cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,target
1.0,1.0,1.0,-18.4,-15.83,-92.87,0.57,28.47,-14.33,-10.4,143.07,-35.63,10.81,118.87,-151.22,143.8,1.0
2.0,1.0,2.0,90.14,20.21,47.29,-36.49,72.18,-137.71,-92.2,151.4,-262.86,1.66,21.07,-272.86,141.52,1.0
2.0,1.0,2.0,-81.06,-4.02,-16.58,-9.97,-28.13,183.71,-45.71,-224.81,-296.13,5.02,129.61,-380.72,144.37,0.0
3.0,2.0,1.0,90.15,-14.78,38.61,15.67,-7.04,-186.09,-70.45,69.57,166.58,5.39,-29.47,348.49,-49.23,0.0
2.0,1.0,2.0,85.48,-55.81,14.62,20.3,-48.21,-159.55,30.47,-72.35,134.25,-7.8,-206.85,282.19,-2.5,0.0
2.0,1.0,2.0,67.21,-26.75,72.47,-13.66,-37.57,87.03,15.94,-300.71,101.38,-10.27,-112.43,-92.66,123.6,1.0
2.0,2.0,2.0,-45.79,33.07,-29.22,9.74,-30.13,88.79,40.59,-221.87,216.95,-0.19,99.37,-8.03,80.04,1.0
1.0,1.0,2.0,-259.35,18.49,20.64,2.02,81.36,-230.31,-27.68,716.24,-171.96,-2.21,23.0,-325.27,8.76,1.0
1.0,2.0,1.0,-4.13,12.27,-40.23,17.42,7.0,126.25,46.13,-297.82,92.69,25.5,-3.79,-97.44,83.98,1.0
2.0,1.0,1.0,67.1,49.58,44.1,-5.68,23.24,51.32,-53.57,-232.67,16.05,-5.25,19.95,-141.67,133.01,1.0
1.0,1.0,3.0,-45.83,-28.41,66.54,-0.27,48.37,192.56,-155.15,-15.98,-263.31,-19.89,117.35,-380.61,125.62,0.0
1.0,1.0,2.0,119.93,-46.77,-72.56,26.93,-21.49,-121.94,-13.68,185.78,352.45,36.38,-44.73,570.72,-126.8,0.0
2.0,0.0,1.0,-220.47,47.14,-81.11,13.58,83.76,-271.92,-77.08,791.72,-255.82,-4.74,161.05,-229.06,37.31,1.0
3.0,1.0,2.0,46.23,22.3,-89.08,-4.31,-39.76,-56.8,16.35,-280.58,-5.12,7.47,25.25,-13.7,117.4,1.0
1.0,1.0,1.0,93.6,11.92,0.65,-14.15,-116.95,-120.22,-10.96,-212.86,40.22,23.6,-123.26,292.2,-44.97,0.0
0.0,2.0,2.0,74.42,41.24,5.34,-18.02,27.38,-68.19,65.08,-187.62,-69.98,-1.33,42.5,-160.32,144.7,1.0
1.0,2.0,1.0,54.89,-22.89,-34.95,13.83,-72.25,7.29,61.07,-458.07,-40.93,8.52,84.88,126.66,60.59,0.0
2.0,1.0,2.0,137.24,39.99,-11.23,-12.7,-31.66,184.52,71.4,-434.92,108.92,20.0,181.35,-33.25,191.24,0.0
1.0,2.0,1.0,10.11,-29.68,43.77,-6.93,47.18,232.84,-74.37,-126.42,-179.12,7.09,-0.44,-332.23,83.55,1.0
2.0,2.0,1.0,69.29,-31.92,-20.0,31.06,36.46,132.39,74.69,-231.71,101.13,17.72,-7.56,99.64,-20.58,0.0
2.0,2.0,1.0,-55.49,-23.52,-5.51,30.73,-0.01,180.76,-51.0,-290.13,-173.16,18.54,171.4,-179.72,109.81,0.0
1.0,2.0,1.0,164.69,-33.59,40.61,-51.13,-24.87,39.33,21.49,-112.82,-184.74,4.0,1.72,-105.62,96.92,1.0
1.0,1.0,2.0,-32.65,-13.37,18.25,13.45,35.97,11.61,-43.01,99.07,-55.09,12.19,181.28,-159.55,163.85,1.0
1.0,1.0,2.0,-102.03,33.61,-66.18,-26.21,70.99,-3.17,-103.22,395.69,-20.08,-2.35,119.63,-322.23,84.25,1.0
1.0,1.0,1.0,48.88,-22.56,26.8,38.09,15.02,-82.73,124.77,-43.05,245.96,4.11,-28.97,253.79,7.68,0.0
2.0,2.0,1.0,43.4,-49.39,-24.46,0.1,-80.27,113.63,-28.33,-514.98,-162.28,-22.73,79.01,-60.8,114.81,0.0
1.0,1.0,2.0,-69.52,21.14,25.72,18.56,32.87,-47.39,-44.32,140.75,73.67,-8.47,160.84,-63.51,104.59,1.0
2.0,1.0,1.0,-173.48,-24.19,-28.39,-16.01,59.77,-189.62,52.98,370.4,-310.8,3.64,141.92,-472.24,181.23,1.0
2.0,2.0,1.0,37.07,13.02,-80.74,-26.34,-17.17,222.19,-82.3,-397.95,-363.96,5.87,108.16,-379.01,148.21,0.0
1.0,1.0,2.0,-200.36,-33.04,66.87,-40.14,90.39,20.76,-67.85,982.53,-394.85,11.97,268.71,-463.25,18.0,1.0
1.0,2.0,2.0,75.14,8.53,16.07,-12.28,-41.1,118.84,36.71,-486.88,28.98,9.65,-17.3,-111.93,132.45,1.0
2.0,2.0,1.0,-30.68,-12.96,5.02,16.23,6.52,-11.63,97.68,-121.47,-51.08,15.37,92.42,-41.76,51.95,0.0
1.0,1.0,1.0,-161.98,2.25,58.45,-13.35,76.16,-138.81,-27.47,559.61,-349.83,-19.28,164.14,-369.73,67.22,1.0
1.0,2.0,1.0,233.78,-1.36,-95.9,22.37,-43.25,165.06,15.53,-689.21,138.46,25.72,23.63,319.9,14.72,0.0
1.0,2.0,1.0,110.36,6.99,-32.56,-16.0,-18.31,136.47,103.94,-475.18,-77.65,-2.31,-93.56,-91.69,33.93,0.0
1.0,1.0,1.0,-69.63,11.32,6.54,9.63,44.89,96.77,-62.48,74.3,72.27,-4.98,41.38,-174.12,60.03,1.0
1.0,0.0,1.0,-143.7,16.65,-17.44,-13.79,72.52,10.66,-137.04,681.71,193.7,19.26,97.36,-192.98,38.29,1.0
1.0,1.0,2.0,-149.28,25.33,15.12,6.34,-35.67,80.91,-20.79,86.53,403.35,-15.6,79.81,41.63,-1.38,1.0
2.0,2.0,1.0,-24.46,6.54,-36.14,14.98,-74.37,7.93,-35.65,-20.4,107.31,-16.72,29.87,306.27,-131.06,0.0
1.0,1.0,2.0,-3.77,-22.22,-5.4,22.2,-64.28,26.17,88.48,-46.93,118.32,11.3,-98.65,254.53,-94.37,0.0
1.0,1.0,0.0,118.41,67.07,-53.79,2.57,-38.21,53.39,65.56,-375.31,-10.88,24.73,123.78,47.37,140.27,1.0
2.0,1.0,2.0,32.84,7.51,48.28,10.55,-57.75,-62.84,67.06,-185.33,10.19,10.04,-87.77,158.27,-17.46,0.0
1.0,1.0,1.0,-205.01,78.27,-27.86,28.89,-52.59,56.63,61.24,110.96,262.06,-5.46,230.37,99.62,-15.98,1.0
1.0,2.0,1.0,21.62,31.99,-32.4,39.28,-13.29,104.45,-47.13,84.92,278.62,-16.06,205.32,514.86,-213.18,0.0
1.0,1.0,1.0,128.71,-27.65,80.24,-1.77,-111.31,-178.83,-92.44,-254.86,15.16,-2.89,-211.08,306.5,-2.7,0.0
2.0,2.0,2.0,-73.93,-56.69,-22.42,5.76,37.43,135.78,134.79,-95.3,-94.68,-0.33,91.22,-289.01,98.21,0.0
2.0,1.0,0.0,-307.17,52.68,89.28,32.16,100.84,-322.06,-33.65,423.2,-306.49,17.45,201.54,-475.88,183.82,1.0
1.0,1.0,2.0,-36.87,27.1,-131.83,-38.67,95.44,-65.9,-33.55,817.7,-177.7,-2.01,88.61,-152.98,-78.16,1.0
1.0,2.0,2.0,28.47,-36.9,-53.14,29.86,-10.01,118.28,205.53,-291.29,-364.46,7.88,161.81,-35.27,34.18,0.0
2.0,1.0,2.0,-56.18,59.69,-57.4,7.14,27.88,-166.33,16.55,23.3,-9.12,-0.7,13.89,-108.9,85.47,1.0
1.0,1.0,2.0,-49.86,-5.31,-64.64,29.14,58.05,114.25,14.58,11.36,51.69,-8.47,36.5,-111.2,39.64,1.0
1.0,2.0,1.0,112.8,-12.37,-94.72,42.36,-50.12,55.92,0.38,-543.54,164.82,25.33,53.64,345.22,-3.51,0.0
1.0,0.0,2.0,-79.51,9.02,-44.85,17.23,49.56,-315.28,21.19,210.79,-448.93,11.43,-68.98,-243.66,93.51,1.0
1.0,1.0,1.0,-48.98,5.76,-56.28,-2.15,-68.59,-87.95,58.93,42.6,-396.34,-8.69,100.84,-71.81,55.66,0.0
1.0,2.0,1.0,-77.6,32.79,0.93,6.21,-14.92,-119.73,-113.19,-312.21,55.27,-3.3,85.7,-226.08,237.17,1.0
2.0,1.0,1.0,109.81,-12.41,42.36,15.1,-65.23,-107.56,83.89,-178.03,90.29,16.07,-90.64,341.4,-33.79,0.0
3.0,2.0,2.0,205.71,-61.77,9.79,7.26,-114.36,24.44,-12.89,-590.71,-332.98,6.84,79.92,251.68,44.1,0.0
1.0,1.0,3.0,27.21,9.08,27.25,6.63,-49.96,-43.39,70.91,-160.15,3.45,-1.83,-108.23,116.45,-21.78,0.0
1.0,2.0,2.0,-66.03,21.67,-14.46,15.93,33.99,139.5,,-41.14,29.94,2.82,152.5,-146.94,67.42,1.0
1.0,2.0,2.0,71.21,-16.29,25.89,0.98,-84.59,-97.05,-164.86,-312.63,86.7,21.25,63.53,198.72,83.07,0.0
1.0,2.0,1.0,-37.83,-10.57,19.89,36.25,-3.01,131.0,-42.4,-174.59,-180.29,-29.69,156.43,-23.02,19.14,0.0
1.0,2.0,2.0,103.39,-10.48,-16.07,2.64,-95.32,-19.18,25.78,-427.2,-156.41,-2.65,11.94,185.63,8.83,0.0
2.0,1.0,2.0,-104.45,-10.03,56.8,-30.56,-42.6,33.31,-29.2,-78.98,-386.9,8.46,8.74,-439.39,134.78,0.0
2.0,0.0,1.0,-73.58,32.65,-6.0,-1.3,-60.43,-273.76,52.45,300.45,402.72,-24.74,215.95,196.09,169.61,1.0
0.0,1.0,1.0,-58.4,22.89,-15.29,26.12,18.03,-38.36,46.97,8.35,28.36,-8.0,247.0,-43.22,141.53,1.0
1.0,1.0,1.0,-67.59,57.38,-8.08,-23.63,129.08,-11.11,-97.77,517.12,-267.51,-15.99,197.98,-379.87,55.37,1.0
2.0,2.0,2.0,-28.57,40.6,-41.0,-18.39,24.14,-26.6,129.65,218.99,61.51,-5.13,59.34,-63.7,7.47,1.0
1.0,2.0,2.0,5.16,-39.65,56.79,44.86,-56.1,47.7,74.46,-318.42,-195.7,-3.43,104.94,207.59,-55.23,0.0
2.0,1.0,1.0,-117.21,34.07,-84.18,-9.25,80.88,-240.44,-23.84,412.49,-110.14,8.37,0.94,-247.54,49.15,1.0
3.0,2.0,2.0,-110.82,68.77,13.76,36.93,26.6,96.77,-98.23,-121.96,187.19,-16.75,175.87,-3.85,11.93,1.0
3.0,1.0,1.0,-29.85,88.05,-36.04,-12.56,66.24,53.46,-73.02,506.67,-34.2,14.25,174.51,-54.89,-45.01,1.0
2.0,2.0,2.0,66.31,-22.48,-13.19,30.22,12.5,-71.48,-25.54,-172.58,194.22,10.19,26.24,233.88,7.83,0.0
2.0,1.0,2.0,-109.42,26.88,-11.79,25.68,47.79,138.87,-4.29,36.77,291.07,2.53,-83.44,-80.09,-29.01,1.0
2.0,1.0,2.0,170.52,-19.76,64.71,20.87,-48.79,-106.35,-131.82,-161.54,137.14,15.56,-56.79,449.7,-46.21,0.0
1.0,1.0,2.0,50.63,36.04,-108.56,-3.21,24.8,-212.26,-96.01,119.36,-215.72,19.94,12.24,-57.36,96.95,1.0
2.0,1.0,2.0,-139.69,33.71,-40.08,17.77,23.66,-158.2,-119.33,91.84,-236.57,-6.79,141.58,-246.5,136.84,1.0
2.0,2.0,1.0,-34.76,5.67,-93.12,2.96,32.45,273.96,-106.9,-136.08,168.88,32.1,-99.37,-192.76,8.36,1.0
2.0,2.0,2.0,79.49,-11.39,-76.46,40.76,14.66,245.02,106.15,-778.36,-211.0,16.02,22.44,-144.3,95.44,1.0
1.0,1.0,2.0,-169.89,45.31,10.47,15.05,23.74,-103.02,21.18,328.32,-79.97,-7.06,78.31,-149.37,29.95,1.0
2.0,2.0,2.0,19.19,-32.26,-5.85,-1.14,-60.14,-155.03,-28.86,86.57,107.36,4.91,-39.91,285.28,-74.59,0.0
1.0,2.0,2.0,-180.97,2.44,-28.19,-10.68,36.59,-120.32,-58.49,266.04,-49.56,-13.05,135.85,-333.32,132.26,1.0
1.0,1.0,2.0,-10.81,49.14,104.46,-5.29,8.12,-82.51,74.83,210.41,-7.57,-3.89,10.1,92.63,-83.5,1.0
2.0,2.0,3.0,198.89,34.55,-80.19,1.4,-193.86,-185.5,70.01,-723.84,31.14,-0.1,-13.73,547.91,-1.66,0.0
2.0,1.0,0.0,-125.87,23.71,-10.26,0.49,61.46,-203.87,-116.67,407.99,-275.16,-6.27,59.33,-279.46,84.36,1.0
2.0,1.0,1.0,97.58,-65.19,-49.73,-0.39,-75.29,-294.38,0.06,28.82,157.38,6.9,-193.21,361.04,-11.66,0.0
2.0,2.0,1.0,130.74,-26.55,105.97,29.08,-41.69,70.86,-17.6,-443.28,-39.04,17.17,46.39,260.71,-18.95,0.0
2.0,2.0,1.0,-46.32,33.19,-6.71,-12.01,33.32,-3.69,-81.02,49.22,-33.34,18.91,42.52,-161.35,20.87,1.0
1.0,1.0,2.0,38.85,11.59,-80.85,-5.53,-102.94,-73.3,-67.87,-341.83,-67.68,20.99,-40.07,99.73,46.0,0.0
1.0,3.0,3.0,205.06,-49.69,-24.67,53.81,-72.25,71.09,-112.77,-765.59,-58.88,-20.18,-39.07,496.97,-114.59,0.0
2.0,1.0,1.0,-19.84,25.67,67.04,-18.27,-17.22,-48.7,-39.15,140.12,131.86,8.89,45.58,17.84,24.02,1.0
2.0,0.0,3.0,19.27,-10.22,-89.62,12.54,-0.41,-152.93,43.81,58.75,51.65,9.57,154.7,-13.86,226.23,1.0
2.0,1.0,1.0,-138.7,-53.63,31.65,-11.2,-73.46,-101.07,13.2,295.21,107.68,-8.17,-96.74,90.2,-97.03,0.0
1.0,2.0,2.0,185.83,36.42,9.72,7.43,-24.52,-56.39,72.37,-298.8,178.65,-17.69,-41.41,312.67,7.96,0.0
2.0,2.0,2.0,72.68,3.64,33.41,-14.7,-18.95,133.19,-66.92,-346.66,13.59,1.22,-47.8,-113.4,81.89,0.0
1.0,2.0,1.0,-8.13,-17.04,-99.68,15.98,63.63,142.67,135.58,-58.65,-114.39,3.98,163.78,-213.48,112.05,0.0
1.0,1.0,1.0,-127.18,-61.68,41.98,-28.9,-3.34,-114.43,-99.07,574.13,-219.13,7.78,-19.1,-136.36,-71.1,1.0
2.0,1.0,2.0,124.18,-23.78,39.07,34.49,-60.9,-126.92,120.0,-91.73,270.91,-0.72,-42.87,580.34,-104.45,0.0
3.0,2.0,2.0,61.33,41.67,22.32,-30.95,-108.36,50.64,-36.93,-568.01,-182.56,11.39,28.63,-129.04,138.42,0.0
2.0,2.0,1.0,2.16,-22.68,50.46,28.77,-29.5,13.6,33.21,-187.83,-142.04,-12.42,74.94,96.53,-4.1,0.0
0.0,2.0,2.0,80.06,-38.18,-28.58,51.99,-18.66,93.1,-127.99,-491.51,192.95,1.16,32.26,254.86,24.18,0.0
0.0,1.0,1.0,105.43,-34.8,28.8,9.36,20.73,-93.77,18.63,157.62,111.9,4.19,-51.86,237.68,-33.84,0.0
1.0,1.0,1.0,-226.74,54.97,-21.83,-10.73,135.35,-156.49,-10.33,593.73,-115.17,-8.75,140.55,-501.82,114.18,1.0
1.0,1.0,2.0,142.44,2.83,-27.99,-1.85,-25.73,-100.61,112.41,-103.39,22.52,-2.65,-151.2,192.73,-1.08,0.0
2.0,2.0,2.0,-183.08,30.56,10.09,2.71,-44.99,196.65,102.23,-29.11,464.65,-12.78,-21.15,7.28,-81.68,1.0
2.0,1.0,1.0,-6.9,-53.64,18.31,14.1,-66.4,-96.06,27.42,31.39,156.62,-9.61,-107.19,266.96,-62.79,0.0
2.0,3.0,2.0,30.76,-10.56,8.99,-31.13,24.05,-142.84,-61.34,-211.37,-19.49,-15.37,-110.38,-234.17,120.69,1.0
2.0,1.0,2.0,42.08,-30.77,-6.99,19.49,-70.93,-22.55,-8.86,-96.08,79.77,-13.97,-94.45,292.7,-72.14,0.0
1.0,1.0,2.0,24.52,31.76,43.42,33.54,-29.95,-14.02,143.98,-408.28,197.34,-14.65,77.46,111.7,126.39,1.0
1.0,2.0,2.0,16.51,-43.27,13.53,-24.47,-50.28,-235.57,-111.22,,-14.72,-12.37,-95.36,68.84,25.47,0.0
1.0,0.0,2.0,-218.5,5.21,37.55,11.13,15.89,31.41,16.47,697.76,-390.62,-10.7,306.95,-247.32,39.13,1.0
0.0,1.0,2.0,-60.56,19.49,44.0,10.59,-5.43,-279.96,-53.08,-125.41,-93.16,-10.06,-60.63,-127.54,138.8,1.0
2.0,2.0,1.0,-98.87,-43.11,5.83,8.24,-39.27,111.37,43.19,-108.44,39.95,15.08,100.15,-83.16,48.92,1.0
1.0,3.0,1.0,205.91,38.73,-25.65,-51.38,83.71,-126.97,105.8,-93.14,-142.28,-12.21,-121.62,-176.83,73.5,1.0
1.0,0.0,2.0,-57.68,-44.12,0.82,-53.42,-80.14,-260.07,-102.93,515.73,103.61,-6.77,183.3,-24.73,187.67,1.0
1.0,1.0,1.0,128.61,-74.41,112.67,17.48,-119.67,-177.26,131.88,-131.79,231.66,4.85,-193.65,535.85,-59.74,0.0
2.0,1.0,1.0,-397.58,66.42,-61.62,20.34,214.43,275.34,15.56,1136.9,247.89,3.12,136.88,-432.93,-177.56,1.0
3.0,0.0,2.0,82.24,-108.04,-38.54,5.88,-67.26,-193.21,-91.72,6.07,82.0,3.05,-368.6,172.78,42.07,0.0
1.0,1.0,3.0,-111.19,33.7,-93.44,31.99,51.28,30.28,129.45,213.22,158.56,-24.54,203.57,-7.16,30.04,1.0
1.0,2.0,1.0,2.63,21.17,23.7,2.64,-68.61,-116.2,117.15,-117.41,59.49,-19.52,4.18,224.23,-52.98,0.0
2.0,0.0,2.0,135.37,-75.87,-17.83,44.06,-26.94,18.95,-213.39,-86.62,109.07,-7.61,-252.17,328.28,-39.86,0.0
1.0,2.0,2.0,41.0,60.64,17.81,49.59,-39.62,61.44,-20.31,-182.07,297.62,-21.01,22.58,500.83,-173.6,0.0
1.0,1.0,1.0,-9.27,21.15,-0.13,19.53,68.66,69.17,23.68,8.46,7.27,-9.58,64.07,-152.89,94.46,1.0
2.0,1.0,0.0,-187.32,18.27,115.56,-5.53,-10.82,31.81,-42.04,445.58,66.5,-59.56,193.15,-81.24,-16.35,1.0
2.0,2.0,2.0,-22.01,17.71,-6.83,14.52,62.72,328.0,-100.64,-246.48,99.74,23.93,-116.93,-252.72,6.3,1.0
2.0,3.0,2.0,-11.11,-44.5,36.29,31.59,-72.5,184.82,23.48,-625.01,-285.21,28.65,338.46,-50.36,132.41,0.0
2.0,2.0,2.0,98.88,-14.94,-11.89,-2.94,-26.54,136.16,-29.5,-404.73,-90.4,12.75,-8.51,-34.32,54.48,0.0
2.0,2.0,1.0,147.57,6.65,-0.98,-16.82,-75.16,-0.76,23.84,-415.08,-67.44,25.34,146.29,63.33,166.68,0.0
2.0,2.0,1.0,-43.96,-13.43,64.73,22.07,-8.6,108.12,-35.6,-243.07,-281.86,-4.25,116.69,-127.49,31.27,0.0
2.0,1.0,2.0,30.03,-21.66,-86.24,36.05,-76.85,-6.63,-56.37,-203.83,119.31,-9.27,-91.45,337.64,-74.76,0.0
2.0,1.0,2.0,-202.94,33.52,-27.18,-0.7,-11.45,-63.21,-104.82,515.35,432.62,8.71,164.43,54.14,7.45,1.0
0.0,2.0,2.0,109.13,-20.87,-33.87,18.79,-40.18,-40.7,153.42,-308.6,-50.03,10.9,-34.06,230.04,-22.5,0.0
2.0,2.0,2.0,25.42,12.2,-68.05,-16.67,-43.75,5.37,112.88,-169.93,40.71,5.36,42.85,-38.44,95.19,1.0
2.0,1.0,2.0,124.27,4.6,14.86,15.19,1.66,-154.55,-42.84,-77.41,65.29,2.02,-121.95,225.39,3.23,0.0
2.0,2.0,2.0,139.25,64.49,-2.17,-17.19,55.17,-160.94,-53.51,-144.45,-193.16,5.45,-70.59,-100.6,77.26,1.0
2.0,2.0,1.0,-110.15,-10.45,-16.87,11.13,-72.79,-11.69,147.99,-81.77,247.32,11.3,133.13,81.83,66.01,1.0
2.0,1.0,1.0,-235.08,5.17,-22.89,-16.6,56.73,-61.33,-41.65,651.31,-82.79,-0.08,165.92,-352.38,55.41,1.0
2.0,1.0,1.0,5.0,-50.19,17.19,10.38,15.44,-149.98,-107.91,320.8,180.24,-3.59,-57.09,219.42,-62.96,0.0
2.0,1.0,1.0,-11.82,36.02,29.02,-14.45,77.77,-81.69,108.12,554.25,-347.87,3.58,89.66,-154.98,-22.76,1.0
1.0,1.0,2.0,176.71,-3.25,43.26,2.31,-151.72,-90.2,3.11,-417.57,44.65,-11.9,-148.19,467.15,-52.13,0.0
1.0,1.0,2.0,155.33,-29.51,-88.57,34.79,-88.35,-77.89,111.79,-263.78,198.08,8.12,-95.04,548.59,-70.92,0.0
1.0,2.0,1.0,-83.89,-0.65,-112.98,-7.66,-0.39,111.17,40.18,85.84,153.94,-4.62,23.96,-116.21,19.75,1.0
1.0,2.0,2.0,100.34,-22.33,46.8,40.14,-97.7,-113.9,-80.88,-398.96,32.06,-0.82,-24.66,469.38,-63.58,0.0
1.0,1.0,2.0,15.56,30.14,-37.43,5.58,-39.37,-11.2,-15.09,-161.55,-3.46,12.02,-82.68,70.14,-17.75,0.0
1.0,1.0,2.0,-209.18,27.82,79.41,7.62,100.17,154.79,135.16,574.93,179.73,4.38,107.75,-264.04,-20.4,1.0
1.0,0.0,2.0,43.14,-121.86,-34.71,18.6,-31.94,-64.22,-88.84,261.98,169.14,1.99,-250.91,258.41,-57.19,0.0
1.0,1.0,1.0,-83.63,40.22,106.04,-1.73,67.23,197.8,75.72,89.48,170.99,10.28,-85.72,-249.07,-6.51,1.0
1.0,2.0,1.0,81.89,-36.9,-80.23,15.62,-51.13,100.6,33.92,-505.04,-201.88,-9.5,110.69,16.57,88.98,0.0
2.0,1.0,1.0,-52.01,-7.01,-21.29,17.72,-65.98,88.22,-136.33,-371.55,-392.26,-10.27,206.01,-188.51,150.24,0.0
1.0,2.0,1.0,133.15,-54.45,58.41,34.03,-94.0,-26.3,25.58,-553.87,-202.35,-17.99,-0.71,327.51,-29.71,0.0
