cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,target
2.0,1.0,-7.89,30.76,180.44,-18.19,-82.05,36.61,34.51,4.68,46.23,-4.89,-19.68,-36.91,-27.24,63.64,-67.16,-5.76,9.37,-24.33,-7.9,-21.4,-64.28,-14.98,-2.69,80.21,2.0
1.0,2.0,-285.92,77.43,-189.85,25.26,84.22,76.43,-31.27,-13.31,76.52,-1.78,-1.46,7.8,12.64,-71.1,-27.64,18.95,-18.8,-5.38,11.21,-21.91,-140.38,-163.44,-11.53,-78.81,0.0
1.0,1.0,-175.17,41.87,-320.68,14.58,-102.98,-141.9,-71.89,-49.53,10.77,5.38,-6.95,1.75,-54.53,51.68,-6.03,-2.72,18.66,-18.87,22.03,169.8,-188.29,16.95,5.07,23.85,2.0
1.0,0.0,-144.51,1.74,-118.28,26.35,-92.45,88.49,87.55,-52.68,19.53,6.75,-9.26,37.2,22.93,-22.27,5.17,6.88,18.05,36.33,10.65,-119.29,-29.84,55.35,5.67,1.93,1.0
1.0,1.0,-157.73,-79.62,-260.64,7.66,87.21,-12.72,150.61,-2.03,-0.35,-27.43,14.01,5.74,13.27,-17.88,-18.38,17.4,-21.42,-19.57,5.91,87.1,-50.54,101.93,-1.67,2.87,0.0
1.0,2.0,-79.45,25.76,-128.82,29.53,0.36,-122.85,-90.26,18.08,-30.54,10.32,3.96,-8.95,-25.16,-10.09,32.33,-13.23,20.92,80.65,-4.7,122.09,-46.77,-58.8,2.55,-104.4,2.0
2.0,2.0,33.36,-17.7,347.72,-19.53,-4.05,1.54,-15.37,-34.2,-110.25,9.43,-15.51,-24.16,14.85,-34.53,27.67,-12.41,-16.8,35.3,-3.04,-143.26,-54.41,-65.4,4.89,-57.91,0.0
0.0,1.0,103.16,-7.22,-324.01,-14.94,-126.85,-132.82,-1.4,79.06,-63.68,2.54,14.3,-29.43,41.47,-21.34,22.03,-13.31,18.26,42.95,0.02,95.75,-85.63,29.5,-4.88,-117.04,1.0
1.0,1.0,-283.75,-54.38,-250.47,-29.22,-544.08,-117.99,-47.05,41.22,75.85,12.88,-32.19,29.03,85.89,49.89,-27.34,8.47,26.67,-14.18,22.51,-142.34,69.03,-28.97,-8.44,-177.77,2.0
1.0,1.0,-77.44,-23.98,-677.92,-37.71,-220.2,-151.21,38.27,22.6,19.21,-3.53,40.73,42.93,-7.93,27.09,-167.53,12.54,10.81,-27.48,-6.01,207.78,134.61,23.67,-12.83,-45.45,1.0
0.0,1.0,32.57,-8.45,-435.44,-2.03,72.63,176.96,-144.61,4.33,-11.6,-13.06,19.81,-46.6,1.1,34.13,32.59,9.86,6.97,-20.63,-18.35,56.6,-68.78,-37.81,-4.8,142.14,1.0
1.0,1.0,230.98,-4.37,-191.55,-28.34,116.43,-9.21,2.22,-11.23,8.57,2.13,33.1,23.51,31.28,-19.87,-54.04,-0.35,-11.78,28.98,11.94,142.0,18.87,5.05,11.36,135.95,1.0
1.0,1.0,-161.28,-10.71,-55.55,33.16,-65.52,-131.72,-51.74,8.68,-27.08,-11.22,-13.92,-38.33,23.42,-103.43,91.51,11.81,-3.88,49.22,10.87,-12.0,-33.68,172.82,-2.51,25.42,0.0
1.0,2.0,-117.98,20.44,-480.86,-46.3,-429.2,-37.86,-122.96,23.48,-32.21,8.03,15.32,-13.2,18.9,17.44,4.82,-11.31,48.88,5.6,-14.32,6.5,-85.04,-138.71,5.3,-54.02,1.0
2.0,2.0,-211.93,53.39,204.52,5.86,-135.07,-88.88,-22.15,14.62,-20.04,-12.15,-21.44,-23.04,6.19,-31.12,-62.57,11.32,-21.02,-10.23,13.85,-186.57,-52.2,-9.03,3.54,-69.74,2.0
2.0,2.0,-41.98,-46.43,94.05,50.17,407.96,233.46,-39.99,12.9,-25.63,-1.75,-9.63,-15.95,-0.41,42.6,57.0,5.46,-6.04,-7.28,13.08,128.2,141.8,-19.77,2.17,18.03,1.0
2.0,2.0,-35.12,-43.25,56.01,11.33,116.91,-45.14,9.91,58.0,-32.5,-0.87,-1.87,18.46,-47.1,45.99,-49.81,11.27,-24.38,83.11,11.94,45.22,127.48,29.91,5.39,27.55,0.0
2.0,3.0,142.23,-49.45,84.13,7.06,291.67,21.31,80.3,45.05,-5.42,0.73,-5.16,48.04,-53.78,65.45,5.07,6.91,-27.1,4.19,-0.21,179.36,61.1,-6.05,-10.18,15.87,0.0
2.0,2.0,-118.93,19.88,171.8,-5.0,3.51,-37.35,-92.79,23.45,12.8,7.77,-1.15,8.7,-7.03,15.63,-107.29,1.77,-14.0,31.96,10.42,-25.56,2.68,3.19,-15.11,80.6,0.0
2.0,2.0,-191.54,107.63,-245.15,31.41,215.78,-7.67,-62.87,-50.99,-99.59,3.0,62.25,20.99,23.4,-35.03,27.07,6.0,-8.95,21.17,-8.51,113.81,83.64,-10.13,14.8,72.1,1.0
1.0,1.0,-216.14,43.18,-320.73,26.85,-113.34,-93.03,-28.51,-1.39,84.84,12.91,20.28,38.99,49.85,22.94,17.66,16.57,3.78,14.7,9.3,-25.43,-161.12,-119.35,-7.24,-91.07,1.0
1.0,2.0,402.24,-5.63,188.01,30.72,302.39,-25.06,-31.32,-13.65,-1.65,2.81,-9.63,-11.97,90.25,-64.14,67.43,-15.47,-3.68,45.34,7.95,125.78,0.13,17.26,-2.62,92.99,1.0
1.0,1.0,-228.69,35.5,-515.35,40.64,47.63,43.94,-64.23,34.33,15.65,-4.35,22.69,1.13,21.04,-26.88,110.87,12.39,25.36,-26.43,-2.38,187.82,208.82,-283.92,-17.69,151.58,1.0
1.0,1.0,-27.81,0.74,55.62,-5.04,-92.48,-171.64,-16.73,-54.74,47.03,-0.36,-33.05,5.29,-2.74,-26.72,24.59,-8.62,-5.15,-22.0,-6.95,49.97,2.88,-111.72,10.31,245.64,2.0
1.0,1.0,-140.51,37.79,45.67,-2.72,-74.12,-100.29,191.45,5.86,-30.16,-7.13,31.84,-2.06,149.47,-6.09,-108.05,-27.99,5.63,-78.61,-7.51,-128.11,58.5,-6.31,6.76,51.08,0.0
1.0,1.0,-92.17,-9.68,10.06,17.06,-90.5,63.09,-11.82,-12.44,-8.62,1.97,-4.37,-3.4,83.24,31.47,14.64,8.43,3.16,74.55,4.2,-197.06,-4.45,80.53,4.55,148.22,1.0
1.0,2.0,-72.11,46.01,-28.89,51.63,-80.19,-202.28,27.72,-48.28,63.63,3.78,30.84,17.93,-53.87,8.23,-73.84,17.7,-8.86,61.11,6.39,-176.55,-86.49,-202.38,-2.59,-28.36,0.0
1.0,1.0,10.32,-46.98,171.89,-29.94,-84.64,-20.07,17.07,18.98,23.31,2.1,-19.96,6.99,-37.69,19.94,22.4,-24.4,-4.83,-39.61,-18.0,-117.23,-22.99,15.62,6.85,83.29,2.0
1.0,1.0,-81.64,-15.91,-284.19,-24.82,-466.62,-217.87,64.38,11.51,117.85,2.11,0.89,3.98,-29.67,61.65,34.24,17.81,16.21,0.73,13.33,-80.91,97.92,80.59,3.66,-87.17,2.0
2.0,2.0,-144.25,9.12,-285.61,-27.14,-446.36,-165.93,-102.99,75.09,24.77,-10.92,-22.14,32.47,-77.59,2.79,-28.23,15.42,22.28,-80.37,4.23,4.39,-101.05,16.02,6.15,-94.5,2.0
2.0,1.0,-86.91,-20.42,-294.65,-14.07,36.1,-223.67,82.23,29.27,25.41,9.22,21.53,-26.19,-68.05,21.45,68.47,12.9,-22.01,-19.49,-8.35,292.82,82.33,114.14,-4.33,-64.52,1.0
1.0,1.0,-44.06,-9.45,-53.4,-24.51,-167.09,-56.2,-79.49,-31.2,-56.75,-10.18,-18.19,-1.58,-78.92,18.72,-48.73,-13.79,5.42,45.36,7.06,-49.6,4.34,56.74,-1.04,136.94,2.0
2.0,2.0,-217.37,0.84,265.94,10.91,109.09,32.84,-56.16,-28.59,-4.86,-12.95,16.41,21.06,-6.62,-75.9,6.61,-22.61,-0.58,-26.52,13.77,-61.64,40.63,-220.33,-17.11,-22.55,0.0
3.0,2.0,11.79,46.46,578.43,12.56,38.22,-102.93,2.72,-33.74,-83.3,-1.77,10.43,25.34,17.14,64.91,-19.79,-9.31,-25.75,9.47,14.45,-260.48,-43.63,-194.36,12.16,13.0,0.0
1.0,2.0,-268.6,22.08,-310.98,1.5,-171.43,-54.89,-13.17,64.23,-70.16,6.82,-16.63,-7.23,-18.82,45.72,-59.91,5.29,19.13,17.31,8.04,118.34,98.3,-84.16,-3.54,-61.53,2.0
1.0,2.0,-116.31,78.98,-33.92,-40.01,-393.65,72.6,124.18,-1.51,-39.0,-13.47,-72.08,-56.23,-59.39,46.89,6.36,13.58,7.37,57.04,-1.14,-188.67,68.89,126.57,-5.74,40.3,2.0
2.0,3.0,-156.85,-92.17,169.46,-14.45,-111.32,-10.25,-91.34,-1.86,31.77,-13.92,-48.8,-13.7,-23.22,-9.27,96.62,4.75,-7.35,-50.12,3.26,-13.17,-13.25,10.39,-2.87,35.63,2.0
1.0,1.0,-366.18,1.21,-297.65,7.96,-81.36,-45.64,101.14,2.08,24.84,14.25,-29.12,-32.39,-13.54,72.57,58.3,10.7,-2.96,50.68,-10.08,117.78,-71.34,72.05,4.48,150.86,0.0
3.0,2.0,-92.0,11.29,463.06,19.18,252.27,121.07,149.04,6.5,147.28,7.67,-17.07,-26.18,55.78,19.85,-3.43,-8.43,-16.49,-3.83,11.45,-25.16,109.28,140.45,-9.36,-18.68,0.0
1.0,2.0,-71.13,67.44,8.6,15.32,15.84,-139.92,96.05,7.79,17.45,0.58,-33.26,32.51,-1.41,31.18,19.81,-3.25,0.26,-24.97,-9.5,174.34,-42.92,30.67,-4.63,72.04,0.0
1.0,2.0,-136.73,-37.21,10.43,6.77,274.18,79.63,-88.43,-60.41,-11.48,-1.53,-23.73,21.85,-28.65,52.75,32.9,-4.98,-24.05,-40.98,-0.05,173.28,-52.94,-107.11,7.26,3.62,0.0
2.0,1.0,-278.24,19.67,-22.5,9.08,-227.08,-265.78,-151.86,22.33,39.16,3.28,31.88,-62.67,6.73,89.74,-103.05,10.2,-11.46,-42.34,-12.69,-134.9,-21.11,-3.67,-10.24,42.86,2.0
1.0,1.0,-63.63,95.88,-112.72,-15.29,-163.59,6.77,34.19,16.83,-91.44,-4.92,48.19,0.1,51.97,-28.8,-29.59,3.45,-1.52,-66.58,6.07,-246.61,-102.09,93.63,-16.78,-147.78,1.0
1.0,2.0,-244.0,-30.85,-203.62,34.29,-161.49,-63.95,-219.56,10.08,17.27,2.69,3.7,-15.34,31.68,4.24,-42.63,15.42,7.87,59.91,-1.46,-121.73,-24.27,-138.13,-6.15,-31.33,1.0
2.0,1.0,-181.27,-97.47,224.19,13.67,-136.84,-39.54,249.9,1.6,71.15,-4.05,-18.83,4.44,-3.49,-59.89,25.83,18.32,-21.29,-64.1,19.17,-265.25,-14.2,105.65,9.59,38.98,2.0
2.0,3.0,2.17,-50.53,272.18,15.01,129.78,-10.44,-32.13,-44.8,100.76,-0.33,3.11,17.47,-40.5,76.87,-21.34,-5.45,-13.97,2.84,8.46,-49.95,38.9,36.43,-0.13,-17.38,0.0
1.0,2.0,224.58,66.06,-470.12,-36.28,-33.97,32.67,9.86,29.59,-88.27,-1.24,53.33,32.27,13.24,17.23,66.74,-13.02,21.33,-51.13,6.12,102.76,17.99,172.72,-8.37,-12.92,1.0
1.0,1.0,-104.59,-1.09,-318.98,-1.33,6.27,-188.25,-85.1,18.97,-19.17,-26.81,12.56,-51.75,-5.9,-7.44,13.56,1.01,-5.58,43.61,2.41,239.63,-58.96,-40.52,-3.03,-38.17,1.0
1.0,1.0,-335.04,1.65,-863.71,-17.83,-159.28,-86.02,221.05,71.14,-14.94,10.44,7.25,-39.35,70.62,-63.97,-6.6,0.3,34.6,-36.0,4.08,424.16,-56.61,26.8,0.24,50.29,2.0
1.0,3.0,-77.91,-29.99,-322.87,-20.32,-246.74,-77.38,15.22,-2.33,7.77,0.64,-26.43,-45.48,48.75,-66.9,-65.92,19.59,7.7,-53.74,-16.43,88.82,26.05,14.55,11.58,24.16,2.0
2.0,2.0,-408.2,38.78,-302.62,17.29,112.15,82.66,-72.34,5.34,71.44,22.38,29.92,-43.07,88.18,-0.81,-34.02,5.77,6.23,10.29,15.21,172.32,98.33,-137.33,9.23,-81.08,0.0
1.0,2.0,46.54,0.72,64.41,4.12,269.15,-31.75,-11.91,18.09,-68.69,-2.89,1.13,50.05,-12.88,6.63,-28.72,-4.79,-28.43,41.67,-5.84,161.17,-81.42,-82.46,3.09,-18.6,0.0
1.0,2.0,-257.07,-7.71,-343.79,-45.67,-219.44,8.3,52.98,-8.77,22.49,-12.85,-22.9,-18.75,59.86,-32.08,-31.88,-1.31,8.45,-8.55,3.25,102.67,138.75,-14.83,-0.16,-129.53,2.0
2.0,1.0,53.74,-29.66,400.92,50.25,187.81,-82.54,151.76,-14.29,73.82,0.11,53.25,14.47,-22.76,-20.27,93.01,-27.44,-8.93,-42.14,9.1,-264.56,127.64,-20.95,-5.39,140.42,0.0
0.0,2.0,119.85,81.32,-453.55,-21.47,-24.87,-14.42,27.81,-42.65,-96.76,-1.69,37.14,-20.49,-12.21,-17.52,-131.97,0.65,5.33,-40.81,13.06,96.45,-124.9,20.14,11.3,-80.44,1.0
1.0,1.0,-115.1,22.0,-187.62,2.67,-248.32,-148.41,-98.5,-55.31,106.37,-1.8,6.79,26.75,-140.78,32.96,20.94,-1.53,15.14,21.09,6.84,-79.45,10.65,-106.33,-14.01,-122.37,2.0
0.0,2.0,-301.62,-45.91,-530.13,-32.05,-602.63,-68.21,33.82,34.79,25.06,6.67,0.98,6.13,-12.9,12.72,36.74,8.26,31.61,-43.49,3.54,-254.97,50.95,42.19,-0.97,44.31,2.0
1.0,1.0,-16.45,-64.38,-172.77,-21.17,-214.05,-100.24,-41.55,-15.61,15.22,-7.0,-23.99,4.66,24.53,88.48,55.41,4.9,13.9,-25.92,5.59,97.77,4.85,-0.18,-1.98,-20.39,2.0
2.0,1.0,-79.47,-20.11,-318.55,-28.73,-242.57,-34.17,-26.62,-73.18,25.61,3.17,14.25,37.85,20.86,-35.1,21.65,-9.91,37.59,-35.26,1.47,91.49,-63.69,88.36,-14.83,-40.27,1.0
2.0,1.0,-158.23,42.93,178.58,-34.22,-41.23,123.18,-41.14,-0.61,-106.69,6.73,-28.69,13.79,9.99,-58.26,64.85,-7.31,-10.09,-46.17,2.83,-79.62,-16.56,175.08,-3.74,57.69,2.0
1.0,1.0,54.7,21.13,-75.64,-23.62,-178.08,-69.81,80.36,-17.06,-32.98,5.63,-25.96,-56.34,69.53,9.07,-82.78,0.88,9.98,-0.46,-6.76,50.36,-160.3,-20.67,-10.66,-148.26,2.0
2.0,1.0,-26.8,-50.84,109.46,-14.58,32.78,31.8,-43.78,-8.76,-53.92,8.39,7.52,-23.48,15.13,-20.23,-93.21,-3.78,-10.98,-27.76,3.43,-44.87,-53.12,1.44,-0.74,126.97,0.0
1.0,2.0,-211.68,-23.21,-40.21,-22.55,-450.74,33.83,55.7,-24.74,8.67,17.39,-48.66,-45.36,8.18,-22.86,-12.55,24.75,9.95,-14.97,-15.78,-265.61,-12.34,-165.79,-14.37,-21.84,2.0
1.0,1.0,231.4,-12.29,24.8,-9.71,56.86,-50.8,170.42,15.37,101.38,3.55,-4.83,-33.71,-69.36,-0.88,121.77,-1.69,-4.5,-20.36,-12.96,95.24,-2.51,55.19,-4.93,-34.36,1.0
1.0,1.0,-127.17,-51.43,109.16,35.36,40.53,-85.23,-29.26,-74.19,68.92,3.56,21.04,6.72,49.16,18.14,-5.34,-9.54,-12.05,-15.28,12.29,-191.0,-58.02,-25.93,9.87,-37.68,0.0
2.0,2.0,237.05,-44.38,-210.41,-25.06,-141.39,-81.67,-1.06,19.4,19.69,-5.04,20.84,-46.02,39.81,59.15,-47.52,-13.44,32.86,25.8,-10.28,115.98,12.53,-267.47,-16.34,-5.86,1.0
1.0,1.0,210.07,-32.94,-148.19,-9.57,142.95,-20.84,8.97,33.22,-39.43,13.65,29.01,-18.57,-26.7,33.69,-23.12,-8.83,1.27,49.09,-1.01,170.3,-70.31,-60.73,4.27,-184.66,1.0
2.0,2.0,37.84,-0.78,36.21,29.55,25.36,-89.16,-73.45,73.28,-126.04,1.56,-25.64,19.43,-50.98,82.81,-5.02,13.19,1.76,-30.55,-12.66,111.22,17.4,-100.75,8.2,-36.03,0.0
1.0,1.0,-120.02,-1.7,-79.62,25.72,46.09,-5.64,31.5,-0.99,-1.51,-1.68,17.47,1.19,45.78,-50.06,-2.16,27.84,-24.6,90.54,13.05,-92.68,-12.56,14.35,3.94,32.4,0.0
1.0,1.0,-30.38,-93.2,-172.89,10.62,67.51,-98.79,48.48,77.41,71.31,-4.71,-12.47,-23.25,-106.47,18.21,-0.3,6.17,-4.92,-63.49,-7.95,217.27,-108.49,47.11,-4.01,81.19,0.0
1.0,2.0,-41.25,0.6,-201.31,5.22,-287.09,-4.92,9.44,55.45,151.78,6.44,-2.5,-39.61,11.38,15.49,20.0,12.01,21.04,5.64,-3.35,-193.05,-6.36,151.75,10.51,39.19,2.0
0.0,3.0,42.64,-94.44,-146.3,35.29,-12.05,-235.53,-18.81,30.18,-37.26,7.99,-9.72,-47.57,-48.8,15.45,53.01,-25.97,28.74,85.98,7.59,194.43,83.47,-45.92,-12.63,34.84,1.0
1.0,1.0,-61.85,64.78,-609.04,-4.38,-34.72,61.04,-44.24,109.52,59.93,-11.03,40.66,-21.78,-41.74,37.34,-20.51,8.17,21.36,-24.59,-0.98,144.47,-117.18,-98.87,5.88,-11.09,1.0
1.0,3.0,143.9,-7.05,55.64,0.27,-101.58,-129.27,-111.2,33.64,33.14,6.78,-14.0,32.25,-10.93,77.54,43.23,-8.74,10.03,13.44,8.8,-0.53,104.47,-105.44,-5.24,-119.59,2.0
3.0,2.0,15.45,30.31,155.01,-28.57,112.22,90.2,-254.58,-0.44,79.09,-14.93,38.29,54.87,-38.41,24.7,-71.67,-9.53,-1.3,-44.7,-3.33,51.12,36.8,-120.93,4.15,-94.91,0.0
2.0,2.0,133.72,14.53,150.01,6.92,113.83,-130.39,150.24,29.2,-65.99,-10.66,-6.25,35.62,45.45,30.55,90.08,-9.0,-6.5,54.89,-7.42,144.53,125.61,67.65,1.01,115.12,1.0
2.0,2.0,-139.91,-5.68,18.72,28.71,72.2,-68.11,-135.61,-14.98,74.73,10.31,40.74,26.99,84.51,-46.86,24.44,-3.34,-6.28,-26.68,26.11,-71.04,62.55,-110.76,-6.39,122.94,0.0
2.0,2.0,-33.35,-2.2,126.96,6.67,10.65,-88.49,39.87,-23.02,-62.62,5.01,20.41,-16.57,-62.16,30.96,68.84,-13.09,-4.93,-47.62,-9.08,-79.21,76.81,-175.05,11.41,-90.61,0.0
1.0,1.0,-198.26,31.42,-492.7,-5.13,-176.91,-151.67,-34.59,-29.6,-6.27,-4.71,-10.12,-17.8,-12.39,25.76,35.03,-0.5,24.09,-44.56,5.51,257.81,-75.6,72.83,11.14,13.52,1.0
1.0,1.0,-68.49,38.9,-464.31,-22.45,-454.44,-73.58,-67.13,-67.41,-22.2,1.45,-2.61,-20.95,-2.11,-36.01,136.66,15.01,37.28,-14.2,7.67,-47.02,-51.73,-92.26,0.89,218.99,2.0
2.0,2.0,60.87,6.94,403.83,16.49,60.4,-101.4,-135.75,-2.56,91.17,31.67,4.01,60.79,-4.24,78.39,95.13,-20.06,-12.41,-60.31,14.32,-167.35,-12.47,-151.12,-7.79,34.14,0.0
2.0,1.0,-43.9,-19.39,158.77,55.96,320.73,168.51,154.32,-1.92,-115.77,-7.37,14.93,13.65,-105.55,23.96,-59.41,6.55,2.59,-34.14,12.21,48.88,81.41,-44.33,11.82,25.38,1.0
1.0,2.0,-356.55,18.4,-69.2,13.35,-58.75,-62.81,-13.51,-85.96,91.68,-14.63,-60.64,-8.69,68.67,77.9,-57.15,-4.78,2.94,54.18,-0.52,137.08,-44.12,-78.72,1.99,-41.2,0.0
1.0,2.0,105.01,-94.43,-6.64,10.0,162.01,306.82,-71.7,10.62,-15.5,-13.9,1.78,-53.5,124.39,12.24,-29.32,2.85,11.7,-33.68,7.52,-57.24,167.02,-139.16,-0.24,73.79,1.0
2.0,1.0,-246.92,-7.8,-120.19,-20.3,-309.34,-192.66,85.77,4.15,-7.86,2.01,-1.96,18.71,30.23,28.3,-36.7,8.13,-2.31,93.01,-9.4,-60.18,113.77,-24.96,-2.19,-115.62,2.0
2.0,2.0,-7.51,-49.88,293.65,8.39,114.01,-41.09,22.0,16.89,8.97,3.4,-18.8,8.9,9.53,-65.02,55.79,-20.93,-8.24,-18.26,3.27,1.24,-92.05,81.32,2.62,264.61,1.0
1.0,2.0,29.9,17.87,-305.23,-52.7,-318.96,-117.4,-110.7,-11.93,-85.46,-7.67,12.19,-11.51,-16.73,9.94,83.13,-4.43,16.41,13.63,3.43,15.92,40.62,-124.77,15.7,24.1,1.0
1.0,2.0,-231.74,-11.4,-16.79,32.89,-80.93,-135.47,-57.04,12.59,-150.23,-11.35,-45.75,-29.38,101.25,32.09,-123.07,-1.14,7.3,28.44,12.34,68.2,-8.74,-54.13,-15.61,117.03,1.0
1.0,1.0,137.77,-27.8,-289.46,-19.3,-154.44,-175.52,-44.01,-25.24,-130.75,-9.76,14.4,-1.44,41.57,78.3,-7.89,-6.2,15.03,27.87,3.11,117.87,123.74,127.9,-0.44,-11.93,1.0
2.0,2.0,-80.69,-43.3,120.3,-1.0,20.05,-39.86,9.8,-53.07,-73.9,1.84,14.6,-17.14,-13.19,19.87,-67.46,-6.38,-8.12,19.03,3.74,-45.65,-76.75,-187.98,12.53,-97.48,0.0
1.0,1.0,-246.99,-3.15,-517.72,-55.23,-153.6,19.35,69.37,5.95,58.14,1.19,-16.53,-46.1,-52.64,83.72,93.73,-2.47,4.69,26.63,-10.13,218.08,-116.45,122.78,0.55,212.51,2.0
0.0,2.0,-115.97,23.47,-236.6,-25.88,-634.23,-37.51,67.74,-7.71,17.85,0.3,12.79,-20.61,60.84,120.24,18.72,8.7,25.08,29.27,-10.57,-539.28,141.7,-72.51,12.99,35.15,1.0
2.0,2.0,-119.38,-111.74,-180.23,51.75,86.64,242.0,4.09,-36.05,-22.48,-5.39,7.71,7.14,37.7,40.85,-151.38,2.83,44.54,-1.36,-9.61,25.16,-29.91,128.84,6.13,72.59,1.0
2.0,3.0,-18.6,1.38,-182.63,14.59,68.04,35.69,-29.0,-42.54,29.24,-19.38,27.28,18.43,17.7,-6.94,-42.07,11.44,2.38,-72.89,-13.32,52.09,61.56,11.07,-4.35,-104.67,1.0
1.0,1.0,-150.12,54.04,-104.2,10.9,-25.64,-107.96,-60.66,29.22,37.74,8.8,-49.38,17.95,50.67,0.65,12.82,1.69,4.61,37.18,-0.25,227.65,41.39,79.69,-0.92,-110.45,0.0
