cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
2.0,1.0,-124.98,-119.56,-19.67,194.35,82.55,-8.99,236.71,-176.37,-0.05,96.32,24.49,1.71,-33.62,0.5,-13.14,-14.23,-52.09,95.15,-24.12,257.03,-0.72,2.0
1.0,2.0,186.95,40.09,-20.87,-8.59,69.49,-26.23,105.95,-118.93,-11.82,22.01,-19.07,9.81,-141.71,45.83,-1.36,-71.79,99.24,88.24,-9.98,95.09,-1.21,1.0
0.0,1.0,-91.37,-17.27,4.63,200.73,40.49,3.93,131.62,251.3,91.28,-67.52,-1.49,68.53,292.36,10.96,-83.46,-41.62,71.79,-259.28,-35.1,435.68,-1.73,0.0
2.0,3.0,-55.74,193.6,11.24,284.16,67.06,6.96,-194.15,-160.39,32.76,240.89,-82.12,48.58,-318.92,11.94,-114.22,-30.51,105.82,29.93,2.99,-130.8,-0.59,1.0
1.0,1.0,104.5,-2.14,-6.09,97.09,90.64,-4.04,136.51,4.24,46.2,-63.04,78.06,31.27,280.04,49.0,158.33,-109.08,-125.32,163.79,-13.6,114.22,0.48,2.0
1.0,2.0,-96.11,-60.79,-4.27,220.67,63.58,-1.8,85.09,-24.1,-58.97,27.56,-12.43,34.61,114.77,-21.99,-116.26,87.42,-33.56,-43.55,7.35,259.56,-2.54,2.0
1.0,2.0,-79.24,-3.62,-8.59,-123.99,64.72,1.81,21.79,-143.95,-72.0,-89.53,119.44,37.97,-144.34,44.05,85.85,4.43,-5.5,6.26,-13.95,-154.36,-0.03,2.0
1.0,1.0,43.78,-69.41,4.03,322.42,3.31,0.58,218.08,271.84,67.2,-51.5,75.55,-92.15,427.25,-0.48,-3.64,44.08,53.18,-238.32,3.12,469.94,-0.71,0.0
1.0,1.0,29.97,-74.12,8.68,137.4,-97.09,-9.26,-112.69,75.11,14.64,18.38,90.96,-8.38,445.58,65.32,-133.02,1.96,-37.0,195.71,16.92,218.95,-1.27,1.0
1.0,1.0,-38.94,82.38,-16.48,-5.48,-121.03,29.55,57.61,28.05,-5.35,-40.24,17.25,42.71,-55.97,15.63,-35.53,-19.91,48.66,-48.24,16.59,16.12,0.48,2.0
1.0,1.0,29.34,-18.62,9.36,65.29,14.16,-43.7,155.14,126.15,92.47,-68.41,23.22,-8.07,252.62,-54.64,103.61,-50.42,-176.83,0.6,9.87,158.19,0.52,0.0
1.0,2.0,-4.57,90.67,-2.06,-282.08,-1.1,7.45,21.01,93.24,55.67,49.1,30.04,-1.31,-440.25,99.56,-270.21,0.16,87.17,-172.67,3.62,57.94,0.93,1.0
1.0,2.0,-154.03,-37.49,8.06,81.57,-116.49,-4.49,143.16,86.27,1.1,-57.67,66.22,-40.62,258.14,51.61,152.41,-42.7,-17.84,24.82,-2.92,161.16,0.17,0.0
1.0,1.0,-13.97,68.02,10.24,-31.04,-53.42,-4.16,295.07,27.51,-64.49,-68.34,23.19,-87.03,157.62,52.12,331.04,104.44,-27.01,231.99,-6.38,41.68,-0.16,2.0
1.0,2.0,49.93,4.4,-3.37,-16.91,25.93,-39.38,-66.4,78.72,-30.18,-49.76,-89.33,-49.5,199.54,-92.29,-106.28,-55.38,-74.8,65.29,-12.5,36.89,1.88,0.0
3.0,1.0,-40.05,76.65,9.42,-269.35,-3.6,11.96,-53.34,-128.73,-52.46,248.48,10.69,64.51,-925.86,-23.48,-6.55,10.51,-164.7,-228.68,0.73,-273.37,0.85,1.0
1.0,2.0,-14.86,-17.15,0.61,-52.57,38.8,3.86,4.38,-133.88,-78.18,-34.97,-43.89,150.55,-87.94,-71.54,0.05,-47.63,-65.99,46.34,10.08,-34.75,-3.48,0.0
1.0,1.0,-89.63,124.35,-6.98,162.09,18.76,-8.74,206.1,-205.81,69.39,-80.46,-7.95,26.96,-43.84,-12.55,-202.5,-59.26,-82.05,165.75,-9.5,18.6,-0.48,0.0
1.0,1.0,3.67,-100.92,-0.0,257.04,22.62,-15.27,1.19,86.37,126.36,-5.15,24.9,17.74,329.69,-21.83,-4.88,87.03,30.62,-104.28,29.66,292.35,-1.73,0.0
1.0,1.0,-25.55,-66.26,4.13,69.41,60.3,6.66,-14.73,-67.07,-18.74,-20.39,76.79,-75.1,64.63,-44.35,181.88,-7.02,-4.38,-40.87,-6.04,42.19,0.13,0.0
0.0,1.0,37.63,-39.64,-0.84,134.85,49.57,-5.65,97.72,-9.13,14.99,-67.45,-46.11,17.32,386.68,19.2,9.76,-63.33,-249.93,196.35,-16.43,326.69,1.22,2.0
1.0,1.0,-25.18,73.38,5.87,202.26,25.48,-26.43,-278.91,-150.0,34.21,131.16,42.39,-84.96,-66.08,2.3,-57.51,-4.15,148.34,59.28,21.7,-65.68,-0.4,1.0
2.0,1.0,275.0,-24.82,12.65,21.32,-37.76,-9.72,43.24,-177.57,53.83,26.48,-91.01,5.65,-151.71,-25.91,-57.11,19.62,20.31,56.32,14.86,18.24,1.74,0.0
1.0,1.0,-73.95,-60.92,5.52,112.07,11.9,0.11,-200.26,44.05,14.37,104.84,38.18,-14.01,320.27,51.57,-182.22,-7.99,-22.62,217.34,-21.3,197.96,-0.13,1.0
1.0,1.0,123.23,154.99,-0.96,280.62,-35.92,-21.11,285.15,-301.08,50.74,-12.87,1.13,-4.68,-120.45,55.56,-251.28,125.33,-39.39,234.42,-6.45,124.57,1.25,0.0
2.0,1.0,-139.05,-60.44,10.78,-115.73,-95.23,0.32,19.56,-79.83,74.52,-63.75,27.15,-14.22,-1.73,-62.49,-7.88,27.0,90.78,65.61,-4.7,-16.75,-0.96,2.0
1.0,1.0,50.44,4.81,-8.26,-68.7,10.32,-31.36,107.06,63.83,-3.64,-2.16,-25.65,6.13,-52.45,26.77,181.82,59.58,-59.48,-49.11,-15.33,5.32,0.27,0.0
2.0,2.0,-151.95,-61.46,-0.62,-41.55,-25.58,23.3,49.6,-95.95,45.68,-14.99,60.09,38.78,-114.69,-28.64,257.62,-101.43,71.76,-51.42,23.71,-136.85,-3.04,0.0
1.0,1.0,-50.29,32.76,14.4,53.11,58.22,-0.61,112.13,-54.14,12.79,-6.74,-24.17,20.54,21.55,43.2,125.54,-21.32,-11.1,85.04,8.4,70.16,-0.71,2.0
1.0,2.0,91.05,-41.63,-9.62,38.91,-104.8,44.07,67.61,94.45,-23.6,-99.43,-66.3,-117.41,207.38,35.54,70.5,-47.84,-120.79,-84.93,-7.77,97.62,2.21,0.0
2.0,3.0,62.33,-2.15,-4.04,-168.82,-75.92,-31.05,55.66,-122.0,-6.58,-98.21,-15.34,-131.83,-162.45,18.48,171.88,-59.64,-39.02,8.4,37.07,-245.92,2.88,2.0
1.0,1.0,-73.35,-68.31,6.5,-229.18,-75.97,12.74,172.52,-42.14,32.85,-70.98,108.85,-31.52,-24.97,22.69,157.64,-22.25,39.14,115.32,6.44,75.54,2.55,2.0
1.0,2.0,76.77,186.74,-1.72,367.77,-99.15,-28.36,270.9,-220.36,-4.18,-100.51,11.47,-10.7,32.56,31.57,-214.51,24.83,7.2,132.42,33.34,73.02,0.12,0.0
1.0,2.0,224.71,101.25,25.36,-6.8,58.36,-15.44,-55.99,8.82,-13.66,-173.27,34.21,-6.62,181.41,-34.07,-32.43,-21.09,-241.21,45.53,-9.98,-121.08,-1.01,0.0
1.0,1.0,57.79,-37.31,6.3,156.61,-126.84,22.96,183.57,227.06,-13.7,-32.6,75.1,-0.5,184.48,-84.5,73.52,-21.81,48.36,-253.85,1.39,276.11,-0.73,0.0
2.0,2.0,0.19,-138.78,17.81,187.69,-51.37,-14.39,68.09,-160.54,4.18,71.84,59.59,-14.09,-146.71,-15.84,-29.34,4.32,-30.21,-176.83,-26.38,203.78,-2.24,2.0
1.0,1.0,84.02,-56.99,3.21,284.75,19.81,14.47,87.6,-139.87,4.57,112.08,44.44,-4.5,-56.45,34.64,-153.77,-36.23,107.94,-41.36,-47.01,315.6,-0.59,2.0
2.0,2.0,-42.28,-79.7,-9.33,39.33,-17.39,-6.24,-15.45,-183.62,-100.13,-43.15,30.67,23.46,66.24,-36.07,210.2,73.57,-37.4,105.65,25.57,-113.67,1.75,0.0
1.0,1.0,46.53,13.0,-16.83,139.39,-18.24,-6.37,67.4,-89.81,-31.78,96.99,-133.45,94.11,-94.83,-54.01,40.36,-6.54,24.23,27.1,-15.26,119.2,-0.5,2.0
1.0,1.0,14.44,-98.34,12.32,95.87,-89.38,56.82,147.25,127.3,-73.19,-346.99,-45.41,-46.46,457.32,-19.58,161.22,-23.97,-41.58,-271.4,10.92,64.8,1.32,0.0
2.0,1.0,-55.84,48.48,15.41,46.51,16.82,23.4,44.5,-299.67,-31.27,-38.56,44.52,15.62,-246.32,-46.9,-38.15,-7.12,-25.45,65.55,27.67,-152.95,-0.37,0.0
1.0,1.0,9.84,50.82,2.4,-141.99,60.06,4.72,-53.53,-263.52,-45.22,-64.73,-66.43,-25.4,-459.48,-23.28,45.44,-47.15,13.37,-140.19,-20.4,-215.01,-1.95,1.0
1.0,0.0,48.55,85.49,-0.22,-83.55,-14.1,-1.0,40.6,8.05,-160.94,-20.29,-1.17,52.89,-110.34,-6.91,204.8,-28.33,-58.09,6.02,-8.75,-173.24,1.03,2.0
1.0,1.0,5.39,-16.39,-10.52,42.33,-21.37,-9.15,-168.77,-60.39,-13.63,121.63,16.85,63.56,-31.52,-39.11,-100.44,-16.57,55.47,82.7,-16.42,66.74,-0.49,1.0
2.0,1.0,-52.61,-271.97,8.83,35.43,-39.67,14.98,210.59,-70.22,52.21,30.17,-81.56,-28.28,112.94,14.14,-24.42,-1.62,1.79,22.67,-0.44,359.02,-2.25,2.0
1.0,1.0,45.11,-93.1,-10.08,153.32,-130.98,-20.96,31.35,-29.5,12.46,-51.23,-6.02,12.5,283.89,-60.23,135.33,-58.21,-105.43,42.65,11.58,108.24,1.58,0.0
1.0,1.0,56.42,-76.09,1.26,165.13,3.8,1.75,134.4,52.6,-58.05,-44.29,5.49,13.02,428.62,23.57,200.66,39.06,-97.66,163.18,37.63,154.97,3.75,0.0
1.0,3.0,23.8,186.65,4.8,-43.06,-33.24,-18.87,134.45,88.51,21.51,59.57,-52.64,-31.84,-123.2,4.78,-355.06,-49.77,55.74,123.51,-15.22,254.01,1.71,1.0
2.0,1.0,-22.94,-26.58,22.4,-41.91,-77.37,-11.05,55.5,-208.39,1.6,12.35,15.08,-67.43,-445.44,29.37,-90.32,95.38,132.22,-184.32,23.91,-119.17,0.37,1.0
2.0,1.0,129.91,-24.27,-11.33,71.13,59.29,8.95,41.49,-22.23,24.47,36.5,16.95,-25.87,-118.72,-15.95,-55.97,-31.78,-228.62,-127.21,12.53,36.57,1.99,2.0
1.0,2.0,-76.77,-15.64,10.17,-35.01,-101.66,19.9,20.36,-97.16,43.65,-102.42,31.95,-68.37,103.98,-23.49,91.69,39.59,202.71,105.2,11.74,-13.77,0.41,2.0
2.0,1.0,0.55,32.11,3.94,275.89,-85.05,-50.67,255.74,33.89,37.69,56.56,45.66,64.27,116.9,-61.53,-252.41,-22.48,-66.96,69.15,0.13,262.62,-0.27,0.0
2.0,1.0,192.64,-74.52,-1.65,-69.71,-22.01,-26.71,120.68,-15.26,-133.03,0.49,-28.67,105.69,-21.78,-67.52,102.44,56.55,109.63,22.17,10.0,64.68,-0.24,2.0
2.0,0.0,-65.12,35.09,11.22,-8.77,39.42,-21.44,-115.02,29.4,83.42,-18.63,-72.11,-29.54,167.96,11.34,-313.94,28.2,21.71,164.25,-13.4,20.68,-3.82,1.0
2.0,2.0,-10.54,113.93,-3.89,298.68,-10.44,8.73,248.74,18.83,7.08,-162.95,18.95,-140.63,275.31,24.69,-238.72,77.56,-183.17,25.29,10.85,101.28,-1.8,0.0
0.0,0.0,-6.69,-278.1,-12.37,171.99,35.73,-3.55,127.44,-127.41,-88.57,-103.69,-70.91,-23.91,585.37,87.9,-156.34,92.11,-30.36,252.13,13.61,628.86,-2.11,2.0
0.0,2.0,58.04,-138.48,-5.6,-92.95,57.38,7.76,100.18,-107.51,13.61,-163.18,30.67,35.03,353.03,25.84,2.91,6.03,-72.93,265.87,7.51,276.7,2.47,2.0
1.0,3.0,79.7,73.26,-9.4,82.21,-26.28,-3.93,-7.52,-19.48,58.44,-49.27,-43.4,9.75,128.19,-63.3,-45.03,26.26,174.76,88.38,-4.7,44.01,-0.46,1.0
1.0,2.0,-11.81,-7.05,3.17,-141.68,28.17,4.54,-5.4,-66.84,-36.02,-83.55,-35.25,-11.99,-71.76,88.21,203.34,-78.07,-35.28,-7.88,-6.58,-158.78,2.76,0.0
2.0,0.0,-138.5,-217.85,-11.32,65.55,-17.0,26.05,161.59,-167.66,54.03,66.67,100.4,52.34,-29.75,-45.56,-5.97,35.85,221.23,27.76,9.71,314.21,-2.44,2.0
1.0,1.0,130.07,-149.31,19.62,-239.67,97.01,6.63,-193.5,-304.58,-60.7,-282.96,98.22,-30.91,102.47,66.66,-165.68,27.68,-6.58,109.17,-23.25,-141.78,-0.87,2.0
2.0,1.0,17.37,-41.59,0.03,-247.51,17.48,-21.92,86.6,-175.73,-38.6,41.47,51.55,-20.68,-564.18,-6.75,142.99,59.59,-99.1,-161.04,-32.49,-120.49,-0.12,2.0
1.0,1.0,-11.09,-1.51,-9.91,-27.98,-56.72,27.21,39.81,-98.12,-12.83,2.73,-48.17,81.85,-25.94,56.57,-43.81,-101.21,26.72,129.47,13.35,74.06,1.06,0.0
1.0,2.0,-9.32,54.09,-8.54,-135.36,-38.55,16.2,213.37,69.57,-64.43,10.52,35.38,50.03,-52.3,81.77,286.9,82.18,-59.83,108.89,-36.9,-2.1,0.46,2.0
1.0,1.0,121.88,65.74,-6.54,-49.96,-129.09,6.32,-73.25,-159.13,-13.25,-158.24,-10.5,-42.11,-37.57,13.35,83.91,14.71,44.95,24.31,11.68,-308.7,-0.13,2.0
0.0,2.0,-125.45,23.1,-5.11,-31.09,-31.85,3.58,20.8,168.65,26.02,-190.44,86.21,-7.53,360.01,119.22,59.21,-72.24,-16.72,-17.9,23.62,63.82,0.38,0.0
1.0,1.0,132.07,-6.27,-2.49,-6.19,33.35,-8.86,130.28,-31.44,-35.17,-71.61,38.69,-28.62,131.96,-14.79,177.13,20.61,93.49,123.18,26.96,11.7,2.36,2.0
1.0,2.0,-30.23,65.96,5.88,269.22,97.81,-19.5,234.1,-158.12,-6.41,-33.87,58.9,-23.57,98.83,66.02,-108.79,-31.72,-57.2,157.89,24.75,217.24,0.35,0.0
2.0,1.0,-42.47,7.64,-2.4,-15.65,39.7,0.2,83.26,-154.48,-139.97,-57.94,50.17,-35.11,-170.54,-19.12,-189.18,-118.79,-54.66,-15.72,6.18,18.29,-0.24,1.0
1.0,1.0,-49.11,-99.58,7.9,-46.49,0.87,-19.21,-52.55,-161.44,-54.9,-107.72,71.5,15.27,66.49,0.54,-26.48,25.19,70.62,23.57,-21.94,112.09,-1.25,2.0
1.0,2.0,39.38,6.09,-21.71,-127.79,49.34,-20.52,-126.13,-38.24,48.4,-33.14,-142.92,-23.29,-6.46,5.59,37.13,66.32,48.26,64.27,-16.58,-94.26,-0.82,0.0
1.0,1.0,-19.76,149.9,15.53,151.25,21.97,4.36,104.18,-39.16,-22.36,-33.89,50.6,-17.1,142.79,7.72,-291.41,-60.48,82.34,235.42,-7.22,124.57,-4.41,0.0
1.0,2.0,15.88,84.06,-3.5,243.43,-20.45,-15.83,238.77,-252.02,3.26,5.21,10.84,44.74,-104.79,50.92,-169.75,-85.76,19.78,152.3,-13.8,143.16,3.59,0.0
2.0,2.0,164.68,-90.26,1.38,131.05,11.71,-11.03,10.32,-63.93,97.58,-5.72,-46.32,-124.8,-92.53,108.21,56.51,-50.53,-89.24,-260.62,-3.78,51.13,1.63,0.0
1.0,2.0,-134.77,194.61,-0.26,191.05,-90.33,4.86,-177.42,-169.84,18.6,207.67,-46.51,-20.4,-381.81,69.33,-50.21,-55.09,25.7,4.24,-18.8,-130.58,0.79,1.0
2.0,1.0,7.14,-80.08,-15.88,-47.9,24.48,-1.16,-50.73,-130.27,-43.11,-62.3,-30.59,-24.45,-81.58,-32.55,219.35,-40.27,-80.75,-84.4,-3.37,-202.03,-0.98,0.0
2.0,1.0,33.62,-69.11,-3.22,116.11,-76.11,-29.75,106.38,-19.32,-12.32,18.85,41.78,85.3,47.67,-32.69,164.52,3.61,74.91,-52.56,-19.39,85.02,1.29,0.0
2.0,2.0,-59.97,79.87,-13.24,-59.06,-107.69,2.9,129.8,-106.57,67.63,60.78,74.19,-13.3,-472.91,14.4,-151.75,-43.99,-57.12,-135.29,-1.83,42.79,2.45,1.0
1.0,2.0,-29.27,165.23,1.88,58.09,27.67,-8.9,39.77,46.32,-63.71,-102.24,-8.76,-39.68,164.39,-32.4,-257.79,25.07,71.09,146.5,4.49,-18.59,-3.25,0.0
2.0,1.0,-57.77,-55.85,4.82,221.42,21.31,39.42,-122.41,115.93,3.05,132.81,60.29,-3.72,459.97,17.25,-276.35,28.39,-39.07,279.45,13.18,271.4,-1.13,1.0
1.0,2.0,-240.23,86.13,-3.81,316.38,-34.06,9.62,300.75,-34.26,78.81,-336.63,64.36,-20.22,341.09,-32.51,-47.64,27.95,-9.05,-129.57,-0.63,59.75,0.67,0.0
2.0,1.0,-47.5,39.69,-1.76,-151.91,0.71,10.62,-131.59,-158.89,-68.19,-152.96,0.05,-142.89,-166.85,-100.93,111.18,89.45,-36.6,-66.56,-2.45,-400.7,1.68,2.0
2.0,2.0,-112.9,-91.95,10.89,71.72,-134.88,-28.64,134.99,-145.16,-51.24,70.21,47.1,120.69,-194.41,5.45,19.75,37.68,124.18,-56.55,4.62,86.98,0.36,2.0
1.0,1.0,2.95,-23.89,-5.6,29.86,15.83,-14.84,67.74,139.88,32.84,-170.38,14.31,-30.25,319.44,-23.83,-39.62,-56.39,-71.11,-83.17,-19.17,169.34,-0.55,0.0
2.0,1.0,58.74,-152.84,2.54,89.55,-69.6,20.36,234.51,-87.15,20.82,47.06,78.41,-19.88,88.79,86.31,49.43,-77.42,-74.67,116.9,9.56,259.09,-4.33,2.0
2.0,2.0,78.84,47.51,-2.21,133.07,98.34,-25.48,131.05,-149.7,-51.84,128.58,17.57,-83.04,-310.03,-0.9,-0.95,-59.5,-23.05,-10.77,-15.03,-18.4,-0.63,2.0
1.0,1.0,61.02,-142.76,8.64,110.77,47.56,16.46,-0.7,-198.96,64.37,-56.75,-14.06,23.11,21.05,-0.8,-7.29,4.55,-101.22,-72.91,30.29,100.24,1.24,2.0
1.0,2.0,-46.14,4.55,1.82,101.85,-8.63,-30.98,105.89,6.55,19.85,-31.91,37.23,64.89,176.19,-77.74,-35.33,-7.47,-181.33,86.14,-3.97,191.59,0.61,0.0
2.0,2.0,-131.82,153.13,23.2,-221.14,-21.8,29.17,82.08,63.81,5.71,147.83,38.12,18.76,-499.24,-67.75,-114.58,-8.69,-35.86,-39.89,9.24,-18.57,0.85,1.0
2.0,2.0,-10.51,-40.89,-0.23,-199.33,45.31,33.1,-68.3,-201.72,-69.02,-150.08,-42.62,-28.29,-154.03,106.3,12.07,-38.84,25.56,4.82,26.85,-312.6,1.01,2.0
2.0,2.0,-27.17,-41.13,-6.81,-6.72,-11.46,8.9,11.22,-56.25,-0.5,31.84,22.83,-57.54,-85.85,39.96,199.0,-36.28,15.05,-34.41,50.3,-48.09,-0.46,0.0
2.0,2.0,-45.24,121.46,10.79,0.13,138.81,38.1,-24.47,-220.68,-134.5,203.28,55.4,14.16,-551.05,-19.89,102.8,12.46,-38.79,31.18,-12.84,-187.21,3.76,2.0
1.0,2.0,29.71,63.64,-5.1,-59.04,-61.76,7.58,-136.18,-73.95,62.63,8.15,-102.43,-6.94,-140.68,-50.12,-94.11,42.4,-117.48,9.5,12.69,-77.02,0.73,1.0
0.0,1.0,131.13,36.75,8.07,174.04,35.14,-15.77,308.43,406.66,26.09,-109.64,96.57,80.52,546.26,-20.41,-48.56,-105.03,14.13,-71.92,-28.82,555.27,-1.88,0.0
2.0,2.0,-36.62,55.55,-1.24,-283.42,-55.97,-12.31,40.03,25.44,-13.79,105.89,52.9,-17.6,-525.42,-68.1,26.66,39.05,-99.42,-138.9,-32.51,-143.99,0.58,1.0
1.0,2.0,-18.13,-15.79,0.87,32.72,29.49,-7.59,43.29,41.69,-19.78,-121.53,-22.66,52.04,196.02,-70.78,72.91,25.52,143.64,-53.23,-3.18,115.0,-1.58,0.0
1.0,1.0,60.07,-75.09,0.51,165.59,25.52,-17.57,90.78,84.27,-30.43,-100.65,-20.96,0.54,381.24,-2.47,75.9,-9.94,59.87,-27.75,34.57,214.64,1.6,0.0
1.0,1.0,77.35,34.63,-0.01,-151.2,0.7,1.86,60.66,80.99,-64.57,-145.01,20.31,96.12,108.4,-8.59,105.57,79.53,-113.29,10.83,2.3,-42.4,-2.64,0.0
1.0,1.0,128.75,51.48,-13.27,62.8,30.53,-14.33,145.92,-117.5,-4.05,80.99,-26.16,25.14,-316.43,-17.22,-231.99,37.66,82.13,-57.88,21.22,220.5,-1.03,1.0
2.0,1.0,-84.08,-83.79,-18.19,-4.39,60.34,0.17,138.73,-97.32,-9.41,43.77,-34.3,-63.11,-161.74,-2.48,-92.22,45.93,2.09,-25.15,-22.29,133.62,-0.8,2.0
2.0,2.0,47.69,-75.49,-13.71,279.81,-4.73,10.68,281.24,-220.66,-11.08,128.57,25.94,-21.29,-107.46,56.75,-163.39,-52.37,6.77,108.06,23.52,286.57,-3.18,2.0
1.0,1.0,52.6,-14.69,13.01,-275.65,-56.96,5.56,104.25,-54.89,-5.49,-90.48,-64.6,47.33,-104.71,34.15,185.6,60.8,105.68,92.38,7.39,-95.78,0.28,2.0
2.0,1.0,-32.17,-129.81,4.61,-28.49,48.76,44.81,144.85,79.63,17.62,-98.38,-16.1,37.66,148.58,36.76,-47.84,13.4,94.39,-105.51,-38.29,137.91,1.0,2.0
2.0,2.0,-91.33,121.23,10.15,-80.64,58.2,-4.97,77.23,-34.22,-26.27,209.01,50.94,-29.13,-728.5,-87.72,-319.75,64.57,-19.78,-263.94,-56.38,138.47,-0.73,1.0
1.0,1.0,-60.71,-127.95,-9.24,250.25,-21.77,56.8,123.81,61.68,-5.7,-116.21,49.0,-3.61,510.51,22.44,85.58,17.81,177.37,15.43,8.11,217.36,0.48,0.0
1.0,2.0,71.74,64.87,1.95,-39.35,-33.7,21.63,-60.37,-38.5,-141.57,-19.0,132.61,145.73,38.64,-24.44,-41.43,-50.8,113.7,144.13,50.61,-36.19,0.7,0.0
2.0,0.0,-25.92,-113.85,-22.84,57.54,58.91,-0.57,162.43,-184.73,148.59,0.74,55.2,24.15,-242.45,6.47,27.0,-39.6,-83.94,-170.58,18.68,124.39,1.48,1.0
1.0,1.0,-11.76,-12.96,-20.35,-1.86,135.5,-33.06,119.48,56.47,74.04,-105.75,9.67,-54.63,14.35,12.61,105.79,-9.63,99.24,-190.32,-34.15,81.55,1.8,0.0
1.0,1.0,45.83,-130.08,-3.61,1.55,-0.76,-9.13,-175.28,149.91,41.8,31.07,-84.53,6.06,263.13,-16.39,52.9,37.77,151.2,-56.29,17.05,113.92,2.62,0.0
1.0,1.0,43.42,133.38,-1.44,214.84,-132.93,54.12,139.53,-88.26,72.32,-56.85,39.59,-37.82,105.3,1.15,-125.33,-28.0,66.53,134.78,10.42,115.59,-0.14,0.0
1.0,1.0,-9.94,-203.59,-9.16,117.0,19.96,-22.0,52.55,-59.88,63.84,35.3,7.19,4.69,121.64,-21.49,-101.32,79.99,164.51,-56.62,12.9,393.43,1.68,2.0
1.0,1.0,56.32,-34.68,-4.18,-35.73,-118.07,7.68,-100.79,-41.1,71.57,89.6,33.47,9.21,-19.11,98.46,-39.82,40.89,-24.89,106.65,14.06,69.48,-1.78,0.0
1.0,2.0,76.32,-56.45,17.28,55.75,1.33,48.35,-40.73,-29.51,96.04,-14.07,17.32,79.69,-112.03,-5.77,-141.03,11.91,61.0,-252.76,-15.73,177.24,0.24,2.0
1.0,1.0,-49.49,13.2,14.76,-24.93,14.95,-1.01,-111.61,-185.29,-72.71,-63.07,40.15,-11.8,-120.05,6.08,-25.82,-87.3,22.44,-14.42,12.22,-80.22,4.58,2.0
1.0,1.0,-111.7,168.85,1.16,191.17,37.4,-0.78,77.69,-14.14,-103.33,-65.83,25.73,-5.91,131.67,95.22,-166.13,38.58,-32.78,116.51,-0.4,-11.93,1.42,0.0
2.0,0.0,79.96,-58.36,5.08,64.25,-113.47,-2.59,-49.44,-19.33,109.04,56.05,-66.7,-2.31,43.39,-96.26,-58.66,30.91,32.6,20.36,4.44,46.93,3.06,0.0
1.0,1.0,-140.73,5.14,-7.84,195.28,21.14,25.37,43.48,-42.94,-20.39,-172.79,-46.57,24.96,220.15,38.77,86.41,14.04,95.18,-112.52,14.87,-12.44,-0.85,0.0
1.0,2.0,42.86,85.74,15.39,-38.75,66.81,-4.97,150.94,-0.66,-117.02,-14.0,-89.34,-13.79,-189.42,42.33,-118.44,80.9,17.77,-49.21,-9.18,63.49,-1.49,1.0
1.0,1.0,-7.38,-105.35,-0.55,76.69,32.59,-1.66,77.59,-92.47,12.8,21.93,1.64,-64.54,68.85,-28.54,-11.98,-95.07,-65.09,39.9,7.11,323.71,-1.25,2.0
