cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,num_24,target
2.0,3.0,2.0,1.0,-38.02,13.23,6.39,40.46,46.04,-147.84,-175.2,50.16,2.78,18.49,-105.93,28.46,-112.25,122.18,-20.92,18.37,28.15,56.69,-32.69,1.11,-75.94,-147.79,68.69,-58.55,-97.47,2.0
1.0,1.0,1.0,1.0,72.71,-88.19,-185.89,-54.05,-157.47,-2.57,-63.38,102.37,73.05,-5.15,80.47,-65.38,-44.98,52.3,6.82,58.67,79.04,38.63,-3.08,-20.07,168.05,188.66,55.92,-42.13,-88.06,0.0
2.0,2.0,1.0,1.0,43.84,-8.44,-107.34,119.09,-12.3,15.97,158.45,4.58,-90.1,-4.45,44.11,-93.53,-56.14,-18.3,73.54,-22.16,-52.92,-153.38,-21.42,13.95,25.86,-67.46,68.69,8.01,-139.87,2.0
1.0,2.0,1.0,2.0,27.19,96.1,140.81,-41.89,100.73,61.44,128.02,35.15,-102.72,-12.0,-78.67,65.95,-72.85,72.38,-62.75,-41.59,-274.38,-91.9,-94.16,-57.08,34.54,61.63,297.89,69.18,19.14,0.0
0.0,2.0,1.0,2.0,46.76,-63.69,119.39,168.68,-6.73,-229.88,-61.87,24.2,74.67,-14.52,-2.42,38.27,-41.91,-12.87,45.77,-8.57,-13.0,-24.08,-92.37,-10.21,9.4,-43.27,241.39,115.6,-37.94,0.0
2.0,1.0,1.0,1.0,40.08,-52.52,30.45,37.89,79.9,256.91,16.95,-80.77,41.53,5.4,82.71,82.12,29.17,-31.46,-19.86,38.6,-94.12,31.01,-56.6,-0.84,-75.58,-106.8,-8.39,-195.99,61.42,2.0
1.0,1.0,1.0,2.0,-55.52,-60.63,150.04,77.96,-114.3,153.18,-1.14,-26.96,127.66,13.81,-84.06,-12.41,158.09,-27.69,69.91,19.24,2.09,70.98,54.79,44.1,13.1,-76.67,305.03,-137.74,63.66,0.0
1.0,1.0,2.0,1.0,-136.84,22.86,63.66,34.1,88.74,-49.26,-67.22,73.37,-59.63,35.82,4.88,-16.89,-17.06,-21.57,129.36,12.45,-38.2,84.73,-55.38,-74.48,-89.47,87.26,165.79,-132.32,62.4,2.0
1.0,1.0,1.0,2.0,-50.77,46.63,112.8,-31.38,-64.05,72.47,29.41,-94.02,36.97,-15.06,-3.88,25.08,21.72,25.43,34.4,15.17,100.77,-100.25,-37.61,-3.52,-3.89,-6.5,-122.58,44.76,-118.28,1.0
1.0,1.0,2.0,1.0,-120.78,-18.13,8.15,-21.41,-91.71,120.59,196.83,-38.92,-4.75,17.02,261.3,33.87,58.33,-79.02,18.03,43.61,53.89,43.14,-27.52,37.63,20.56,68.42,77.77,-53.13,15.49,1.0
1.0,1.0,1.0,1.0,4.98,-51.42,-111.74,-6.09,-26.46,-233.76,128.4,-69.54,-15.9,12.19,125.54,-55.25,-64.25,-11.21,117.48,-25.09,-0.17,66.14,28.87,-12.62,34.73,-40.08,152.85,121.69,-3.27,2.0
1.0,1.0,1.0,2.0,78.16,23.4,154.62,26.82,-98.55,38.13,-18.03,10.12,47.45,-2.19,-79.21,21.77,-6.99,-4.47,39.48,29.36,-20.34,92.6,50.15,-51.41,-9.65,-135.28,59.69,171.91,-60.91,2.0
2.0,1.0,0.0,2.0,-42.98,-56.1,103.69,0.64,35.94,55.27,-28.76,13.35,15.83,2.22,123.08,-18.2,18.74,-5.55,-8.06,-7.77,-97.8,31.69,6.75,-20.13,17.91,111.25,176.34,-52.99,-47.12,0.0
2.0,2.0,2.0,2.0,-110.9,38.77,32.36,-76.94,61.51,-13.69,-5.74,-6.17,6.95,13.46,-76.25,-33.63,-52.21,78.64,-8.32,-29.54,-88.19,27.4,52.81,-24.22,151.48,75.8,1.61,61.64,13.82,0.0
1.0,2.0,1.0,2.0,-119.22,-14.39,-110.39,19.14,-96.23,126.15,-16.87,4.94,-1.61,12.49,149.66,-18.65,56.23,-52.89,61.53,-4.3,15.01,-122.31,44.18,31.09,-91.48,-10.03,-27.04,-55.68,-36.86,0.0
1.0,2.0,2.0,2.0,16.43,-73.72,72.28,-73.29,-210.05,310.57,162.54,21.75,-49.84,-27.72,-66.25,17.91,-22.08,34.0,9.21,25.33,121.76,107.33,73.39,74.46,-11.94,-4.68,21.91,-103.36,-68.77,1.0
2.0,1.0,2.0,1.0,50.91,36.33,-30.01,66.02,-177.77,-81.22,-100.73,21.25,25.3,-17.01,74.95,-38.08,44.94,4.44,-106.7,61.42,99.24,147.61,-44.85,20.47,-148.01,45.09,247.61,-35.12,-53.48,0.0
1.0,2.0,2.0,2.0,94.6,-102.27,365.68,90.57,68.69,-94.01,-16.02,1.71,16.15,-21.01,96.54,62.31,155.76,-42.79,-68.41,-14.03,-119.12,-26.24,-32.07,10.82,-58.24,19.68,366.79,81.01,55.31,0.0
2.0,2.0,2.0,3.0,13.53,-16.84,22.92,-70.46,-124.81,-78.38,12.09,21.46,39.81,5.23,-25.0,40.18,-181.48,-18.71,-63.5,16.1,-104.29,135.72,-0.88,-32.59,51.26,71.55,248.01,231.78,71.81,2.0
1.0,1.0,1.0,3.0,52.35,34.9,115.46,145.14,-106.06,45.9,-4.09,-0.36,143.89,19.53,64.35,64.8,-49.73,-12.75,-91.76,-31.72,-11.06,67.22,14.19,47.21,66.21,77.19,277.07,-33.37,-85.62,0.0
2.0,2.0,1.0,2.0,-64.89,-18.2,220.03,74.66,-46.37,-345.94,-65.58,-40.26,-96.87,-20.48,138.19,-7.27,56.48,-39.48,142.83,-25.98,132.03,-160.36,-8.96,-34.75,23.31,-134.12,170.88,185.34,-65.64,0.0
0.0,1.0,1.0,1.0,-12.91,-27.95,-257.81,34.77,-85.56,-147.91,187.55,-9.62,11.82,18.67,-93.81,74.5,-46.51,73.7,3.74,-33.19,-19.65,-23.55,-8.01,-17.97,-108.29,-95.5,174.91,66.6,11.83,2.0
2.0,1.0,1.0,2.0,-57.75,58.67,58.35,30.26,-76.24,59.37,-49.02,67.0,-5.77,38.71,26.97,-3.93,119.16,37.55,28.28,-5.72,36.46,103.55,-2.62,17.21,-91.25,66.5,15.15,3.24,-70.7,0.0
1.0,1.0,1.0,1.0,-51.72,-10.94,-88.47,-57.65,127.68,127.77,-154.5,-26.57,6.36,9.44,-38.36,75.17,23.76,66.89,99.83,0.81,-125.47,269.35,-14.41,-14.78,102.02,-168.3,8.22,-229.87,88.32,0.0
2.0,2.0,2.0,2.0,33.42,0.0,-2.29,20.02,-261.97,234.63,328.73,57.84,-16.77,-29.62,30.83,69.14,-24.52,-38.18,47.75,32.96,99.51,47.37,-49.45,37.82,130.9,175.49,101.14,25.32,13.84,1.0
1.0,1.0,1.0,1.0,-143.43,30.53,7.54,5.13,20.56,-254.4,-74.8,-25.9,79.82,-2.95,53.76,32.9,113.26,42.22,29.57,-26.24,6.94,4.45,3.51,70.52,32.49,43.91,59.18,142.44,-59.41,0.0
1.0,1.0,1.0,1.0,17.77,115.94,27.65,-8.38,-19.35,-313.47,-69.39,-49.55,-32.63,-42.09,30.32,56.67,53.58,-7.16,-174.01,-1.47,4.11,160.97,-22.97,55.23,45.71,11.2,269.35,117.43,-18.86,2.0
1.0,1.0,2.0,2.0,31.42,-7.97,128.77,-51.45,-125.36,86.64,-8.55,-2.33,23.52,15.15,-18.74,-18.29,90.24,-31.2,-258.05,11.65,104.02,182.59,14.61,-22.21,-20.99,18.85,-90.78,85.71,-28.69,1.0
1.0,1.0,2.0,2.0,-33.03,-61.15,-223.44,-2.89,-101.33,-136.1,76.84,19.36,-68.4,1.66,-13.58,-17.35,-67.6,5.59,28.06,-30.65,-16.31,99.63,13.92,-38.05,-140.94,-65.29,98.6,117.48,91.24,2.0
1.0,1.0,2.0,2.0,7.8,25.64,-93.69,-11.39,-110.17,49.84,-26.66,-87.13,-77.81,28.0,-20.57,66.84,-112.53,-74.92,25.62,-12.2,15.63,62.54,-23.9,62.37,78.7,161.25,58.3,-22.24,-6.17,0.0
0.0,2.0,2.0,1.0,-156.07,-3.45,83.79,68.68,-84.69,-215.32,-204.0,-39.09,34.91,-27.1,38.09,14.62,96.6,-63.78,12.09,26.88,100.44,-146.07,5.84,-24.5,58.04,-82.91,303.25,-53.25,-20.51,2.0
1.0,2.0,2.0,1.0,-49.2,-76.22,188.55,-105.66,25.72,-239.47,-5.78,31.73,-51.96,-18.23,-76.17,10.29,-82.63,-37.82,128.45,-11.01,148.49,24.01,19.56,-44.34,-54.51,3.94,70.05,35.43,79.94,2.0
1.0,1.0,2.0,2.0,65.11,-3.66,-85.67,28.31,-268.62,151.23,139.62,-63.29,0.0,-1.35,122.43,-44.26,152.15,-35.76,-56.95,13.03,85.97,137.25,2.24,35.8,10.9,93.72,166.87,-21.46,53.25,2.0
1.0,2.0,1.0,2.0,9.21,3.43,-98.79,12.73,-72.82,-0.33,18.99,32.13,59.08,-14.5,-9.5,11.64,-17.39,-7.91,-55.39,-19.0,-43.89,40.97,-5.02,-16.8,-17.76,48.78,77.09,54.01,-17.55,2.0
2.0,2.0,1.0,2.0,-84.85,17.5,-313.44,-110.05,-264.0,48.86,180.22,117.93,59.33,-21.8,82.42,-30.52,209.57,15.66,47.69,-32.01,122.39,118.36,-16.11,4.11,-96.12,-54.48,75.37,-32.68,10.75,2.0
1.0,2.0,1.0,2.0,-112.11,30.42,-35.95,-20.11,-55.08,48.52,-122.12,90.1,48.13,-72.89,142.02,-13.8,-8.48,-48.32,35.67,-23.55,-26.4,87.97,-30.72,-32.8,-81.59,103.47,52.73,-33.35,30.28,0.0
1.0,2.0,1.0,1.0,14.02,-49.69,-174.91,87.0,-147.92,20.46,-82.49,-34.03,-147.94,-26.33,-153.8,106.74,-11.03,18.99,-21.1,21.96,58.06,70.78,-19.57,-60.08,-56.19,46.28,63.02,-60.0,-63.53,0.0
1.0,2.0,0.0,1.0,-7.99,-18.36,74.67,38.67,6.19,-157.53,-160.56,-8.16,13.19,43.63,-110.88,-9.82,63.89,-7.63,117.58,19.33,-17.72,149.36,45.01,-49.61,12.15,61.21,189.83,22.79,66.38,0.0
0.0,2.0,2.0,2.0,-59.97,-0.63,-137.64,104.93,-144.25,44.78,13.45,88.67,93.54,-7.7,-28.19,-46.7,17.52,-27.14,-17.52,-12.26,1.95,-6.3,28.82,15.05,-97.63,33.42,110.09,-1.73,-48.34,2.0
1.0,2.0,2.0,2.0,-11.09,8.44,-39.67,-13.25,-113.27,63.0,-122.11,-27.99,179.38,-9.39,-63.45,-14.69,-65.79,0.48,2.5,31.33,65.93,-168.44,13.67,26.97,-9.76,-149.02,34.65,-74.88,54.4,0.0
1.0,1.0,1.0,0.0,-76.98,-55.04,129.29,-7.45,150.08,-247.95,-81.69,3.4,25.49,-49.96,35.85,-38.84,-87.05,-40.58,36.77,-25.56,52.37,-165.58,58.55,18.74,69.59,-117.42,90.49,-69.94,89.04,0.0
2.0,2.0,3.0,2.0,-22.73,-18.55,29.94,96.61,115.21,-190.71,-13.78,-74.98,19.36,2.43,17.11,94.14,29.56,-10.09,15.55,-35.75,-210.05,-12.07,-9.74,14.7,-0.25,128.32,251.62,136.42,78.88,0.0
2.0,2.0,0.0,2.0,123.9,28.36,40.74,26.22,-53.05,250.79,55.07,18.69,-140.51,-1.19,67.1,58.93,23.1,-23.23,-7.64,-35.77,-59.81,52.26,16.57,-5.74,-125.55,-5.19,58.32,-97.56,61.08,0.0
2.0,2.0,1.0,1.0,91.72,26.83,-57.97,-2.76,131.76,-222.82,-133.33,20.88,31.79,-9.57,78.31,-24.5,107.12,-50.32,-1.94,-59.61,78.15,-63.08,-18.2,44.41,24.92,107.05,-348.25,104.14,-25.38,0.0
1.0,2.0,2.0,1.0,19.65,-17.74,30.69,-73.99,-56.13,217.36,90.89,30.48,-40.82,37.55,-97.05,92.68,78.72,-26.3,0.57,16.18,58.87,80.35,50.48,-27.64,132.18,5.71,-53.25,-129.43,-42.52,1.0
1.0,2.0,2.0,2.0,47.47,3.1,-9.4,8.83,-104.94,93.14,119.84,-60.66,-52.23,41.44,-112.89,-27.77,77.5,-21.08,-74.31,14.08,33.46,-12.34,-40.82,-12.29,12.26,46.36,83.93,-21.3,-91.28,1.0
1.0,2.0,2.0,2.0,14.84,29.41,-5.8,-38.21,-146.24,6.54,-99.91,93.62,-14.08,-14.53,19.12,-125.53,15.59,-82.65,65.81,-5.53,38.29,265.42,-8.52,23.57,-122.67,29.59,251.52,-80.4,-39.59,0.0
2.0,2.0,2.0,2.0,51.63,-17.7,91.62,-55.02,-186.54,188.61,223.65,-1.65,170.31,-46.2,89.14,-25.48,-129.2,-94.31,44.25,21.01,64.06,62.51,-45.83,42.0,9.54,77.79,134.98,6.99,-73.69,1.0
1.0,3.0,1.0,2.0,-41.07,49.83,-29.23,71.14,-136.89,400.55,77.69,-80.28,-87.16,1.08,-46.79,23.63,135.86,16.39,30.79,63.01,-11.63,-77.02,-25.62,60.12,68.41,-18.28,-115.23,-76.07,98.62,2.0
2.0,2.0,2.0,2.0,16.81,-100.48,110.57,6.09,-41.37,-103.98,179.9,0.56,42.88,-42.41,12.38,20.17,-11.81,53.87,30.01,1.47,2.46,93.15,6.83,41.24,-28.71,-113.72,186.27,130.76,33.21,1.0
0.0,2.0,2.0,1.0,-4.67,-0.69,-22.65,-46.26,-128.18,38.03,-127.92,20.77,-100.95,18.13,-118.65,37.3,210.64,-35.1,119.97,35.79,106.49,124.54,-22.82,-13.85,-65.06,3.77,13.67,-62.35,-20.88,2.0
1.0,2.0,2.0,2.0,-64.34,-56.68,-176.79,120.49,-82.78,28.15,-98.42,70.1,-5.98,-1.55,47.3,-82.25,160.31,7.03,88.44,-13.66,-29.17,77.81,-25.73,-36.87,79.44,53.24,47.75,-36.26,20.28,0.0
2.0,1.0,2.0,1.0,14.23,-4.08,-1.46,89.54,53.6,-111.78,16.41,-90.05,12.22,12.52,15.65,-129.3,135.95,-14.66,8.45,-14.87,42.63,-9.37,1.95,10.46,94.49,-238.16,-134.32,77.34,-3.11,1.0
1.0,2.0,2.0,2.0,111.54,19.44,54.01,-53.16,-58.35,33.22,-60.03,-66.6,-32.62,-14.42,-38.68,26.08,-130.64,48.05,-101.08,33.39,-32.55,6.15,23.07,-24.34,-136.75,-76.91,172.86,-17.7,-131.36,2.0
1.0,1.0,2.0,1.0,44.13,-14.59,-112.65,-8.63,-17.05,-116.4,36.85,41.58,-6.22,3.35,37.85,-37.0,136.31,15.17,3.0,-24.53,-70.84,-120.79,51.83,-18.28,-68.95,-6.46,188.08,38.89,17.3,2.0
1.0,2.0,2.0,1.0,21.8,19.93,-96.29,102.02,-153.69,182.73,329.58,22.52,79.51,-5.51,62.36,-7.19,59.62,-3.04,39.53,50.81,90.81,151.18,25.29,45.57,67.3,64.05,2.82,-38.74,41.31,1.0
2.0,0.0,1.0,2.0,-48.75,31.38,146.03,48.69,-62.98,-210.08,-106.85,27.01,-14.83,-7.09,29.81,1.31,-93.91,21.53,-35.9,13.14,56.19,28.04,-54.16,-47.2,-168.39,-153.75,204.22,111.16,35.46,0.0
2.0,1.0,3.0,1.0,-49.42,2.01,-10.88,20.39,162.23,-67.91,-65.54,-74.52,-46.92,9.87,-49.29,-70.7,-45.86,21.77,-46.62,-34.33,-123.01,-52.78,8.72,9.8,-8.73,19.04,-67.65,31.65,169.88,2.0
1.0,2.0,1.0,2.0,-80.76,-91.45,-218.46,-50.79,-70.84,-106.03,174.07,17.02,148.19,-1.46,-4.03,-52.46,-3.94,17.68,67.52,-84.33,-25.8,70.29,-11.59,19.43,104.82,27.09,106.81,74.33,108.77,1.0
2.0,2.0,2.0,2.0,-48.96,31.08,-65.44,59.98,-145.1,15.63,13.94,21.72,1.31,-43.44,-34.04,43.86,3.89,73.85,-60.7,15.17,104.38,-9.71,37.65,-28.04,16.72,17.16,-37.67,40.88,-1.34,0.0
0.0,1.0,3.0,2.0,-49.9,-13.59,26.8,110.91,-182.89,-171.57,168.33,18.52,9.98,35.6,-135.48,37.22,41.85,-34.38,60.28,-2.06,151.83,-87.7,-23.0,22.83,155.41,65.61,119.3,185.4,-112.63,1.0
1.0,1.0,1.0,2.0,-43.35,-10.85,125.09,-57.39,-123.11,-125.87,68.96,21.89,109.5,37.93,-48.94,67.77,-34.31,-61.27,44.94,29.76,175.81,19.35,-14.41,-14.47,-103.47,42.41,-52.12,183.78,-133.34,1.0
1.0,1.0,1.0,2.0,-14.3,41.83,-227.36,23.26,-287.07,363.34,185.51,-26.79,43.36,27.98,-58.98,-48.66,-31.27,27.73,-11.23,23.43,120.11,-8.13,1.01,-5.4,-86.27,-44.99,-44.65,-153.84,-22.65,1.0
2.0,1.0,2.0,1.0,45.84,-6.94,-26.95,-10.04,-124.14,198.47,31.38,-121.79,42.02,-19.89,-91.01,-70.51,-194.55,13.0,25.5,24.33,92.87,22.43,-11.88,-6.24,-20.95,41.3,0.63,-152.78,4.28,1.0
1.0,2.0,3.0,2.0,-21.91,-97.8,-21.24,-8.18,92.68,-221.71,24.51,-56.0,-79.77,-17.54,-23.59,28.9,-43.71,8.55,-46.19,-60.82,-114.63,-80.05,26.56,50.68,92.32,-5.27,60.5,187.65,-60.37,0.0
2.0,1.0,2.0,1.0,-48.45,32.93,-30.01,-45.29,106.94,-144.73,-100.51,-12.11,32.26,10.97,42.59,79.64,92.7,34.62,70.17,-28.59,-68.17,-101.55,11.67,49.96,94.96,-82.17,-68.52,87.85,47.08,1.0
1.0,2.0,1.0,2.0,-9.45,60.87,49.49,8.3,107.47,199.68,76.04,-100.61,-49.52,12.16,53.91,19.54,77.34,70.04,-132.15,-35.29,-206.9,-42.51,3.9,-33.69,-142.01,73.61,2.49,-11.55,-66.4,1.0
0.0,1.0,1.0,1.0,21.66,72.59,154.36,-6.01,-39.26,-189.82,-64.3,0.45,122.5,-48.83,23.78,-72.25,-139.74,-63.2,58.67,-0.23,113.5,62.41,27.67,-10.25,-2.54,2.19,202.18,-7.31,-60.86,2.0
1.0,1.0,2.0,1.0,14.62,-34.16,-141.18,3.17,-226.33,-41.08,-7.67,8.23,10.3,31.19,-2.55,108.71,16.59,-50.93,-105.75,69.17,224.04,74.29,10.73,-39.54,-10.93,217.43,-84.74,38.2,-38.54,0.0
2.0,1.0,1.0,1.0,9.61,91.7,-214.64,55.33,-157.96,-34.27,-109.21,-20.09,29.67,-8.04,-92.61,43.98,-225.65,-10.69,25.72,15.13,75.87,-22.9,6.93,56.48,-8.35,-1.76,34.27,-26.87,65.63,0.0
1.0,2.0,1.0,1.0,91.88,-45.99,-205.35,76.25,-170.56,21.64,-121.8,5.47,12.16,17.2,12.35,-47.67,-70.07,-46.52,36.04,34.25,107.77,98.59,25.69,-20.68,-40.6,121.46,-7.96,-72.12,179.65,0.0
