cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
2.0,2.0,2.0,3.0,-99.82,-31.58,-119.28,-6.21,-43.98,177.21,-20.48,12.95,-1.65,-104.26,12.13,121.2,1.02,-1.31,-5.85,94.58,72.5,159.49,-46.43,-0.76,2.0
2.0,2.0,2.0,2.0,-90.42,-98.46,-215.14,-4.02,-45.91,57.33,7.13,81.15,-4.93,-44.32,-3.3,18.81,-4.95,55.43,-23.08,3.92,112.33,-5.0,-53.65,-13.79,0.0
2.0,1.0,1.0,1.0,-58.14,-106.4,148.87,-10.61,33.3,-35.08,-84.73,52.97,9.54,73.62,-19.06,141.45,4.46,-87.99,48.96,17.33,32.12,-10.96,-48.22,16.38,2.0
2.0,2.0,1.0,1.0,56.17,4.98,42.32,-12.27,-6.14,38.7,56.41,-30.02,-1.98,-49.23,-1.45,-61.35,0.43,-54.96,23.74,98.58,-19.17,171.99,63.66,-0.48,0.0
1.0,3.0,1.0,1.0,-102.01,-69.29,233.73,-17.35,-40.83,186.41,-64.28,-44.18,-0.37,50.31,27.46,195.66,6.37,-141.15,26.94,8.86,-183.83,-151.1,20.64,18.86,0.0
3.0,3.0,2.0,2.0,-241.08,60.61,-231.33,-2.26,55.08,242.15,41.77,60.76,2.53,-128.14,-3.72,-104.22,13.76,-22.28,-26.38,68.54,-178.93,86.6,-84.34,-10.96,0.0
1.0,1.0,3.0,1.0,-121.15,-102.22,217.4,-9.88,-79.74,-225.95,43.49,0.42,-0.24,20.8,-10.76,212.18,6.8,-27.34,1.1,-99.68,44.55,7.09,23.41,14.01,0.0
1.0,2.0,1.0,1.0,169.59,-1.29,-262.14,29.97,131.62,114.39,-78.63,-6.45,1.82,77.07,10.23,-291.02,0.85,78.19,-28.28,145.66,-79.31,137.48,-42.45,-4.89,0.0
2.0,2.0,,2.0,388.91,125.52,-398.8,10.13,91.93,431.28,-31.72,-22.84,0.58,64.16,20.19,-153.66,7.18,127.32,15.11,60.07,-198.4,-30.93,-137.21,-9.78,1.0
2.0,3.0,1.0,2.0,-38.97,-38.48,-20.83,8.32,82.32,-15.43,-125.26,-44.41,5.18,-22.11,-1.87,-19.25,-1.91,31.62,-28.53,202.85,98.11,132.03,-4.08,3.2,0.0
1.0,3.0,2.0,2.0,45.12,37.33,153.46,17.9,45.2,-138.71,-47.59,71.92,6.68,-6.03,5.64,130.33,10.09,-78.83,45.32,-1.96,-10.23,59.83,0.2,21.47,2.0
1.0,3.0,2.0,2.0,16.07,-8.52,87.84,17.68,-28.78,-240.99,89.58,55.09,-2.74,-136.26,20.63,10.75,-7.22,-6.44,27.79,15.73,-188.55,-45.04,57.17,-9.76,0.0
2.0,2.0,2.0,2.0,-64.28,-107.34,85.15,-6.2,-3.49,-117.2,-158.8,-6.01,-0.63,63.13,32.89,-31.12,-1.45,-7.97,-10.22,-56.64,-173.09,38.4,-46.27,15.43,2.0
2.0,1.0,2.0,1.0,-243.81,133.18,334.94,-1.46,16.36,-115.33,-73.71,-71.21,3.36,-33.35,28.92,-33.32,-4.36,-131.27,-11.06,-15.19,58.68,-117.48,95.4,9.64,2.0
3.0,2.0,2.0,2.0,84.22,1.02,34.72,7.14,-21.51,-77.81,-100.36,-19.82,0.62,-104.26,-4.52,50.54,9.11,38.02,-19.05,-36.42,-80.3,51.12,-44.33,22.71,0.0
2.0,3.0,2.0,3.0,-211.81,-66.07,-225.5,8.4,17.48,47.49,108.15,102.28,0.36,-23.41,-7.93,-59.54,-11.29,35.22,17.37,1.59,23.85,92.43,-136.85,-24.6,1.0
2.0,2.0,1.0,1.0,112.45,-34.13,-163.74,-20.73,43.93,-3.88,-60.74,46.51,-4.17,-53.92,18.03,-48.37,5.41,85.64,9.06,5.21,-106.23,-29.01,-88.74,-7.3,0.0
2.0,1.0,2.0,2.0,-224.98,-141.14,-135.11,-0.52,-8.99,170.55,-68.04,6.8,-2.32,-34.49,-27.3,63.1,6.39,16.33,-50.22,-109.98,-137.49,-26.11,-30.46,-8.28,2.0
1.0,3.0,0.0,2.0,41.75,67.53,-102.12,-1.12,-39.84,-6.72,118.3,44.2,-3.0,-29.75,17.51,191.08,-1.3,116.8,-18.83,-115.86,-75.36,-174.88,-179.94,15.87,2.0
2.0,1.0,1.0,3.0,147.96,-65.08,-175.27,-7.21,29.94,100.45,23.07,54.12,-3.96,-91.99,-22.93,40.68,-9.82,39.37,5.19,127.96,-26.91,-16.49,31.68,-12.57,0.0
3.0,2.0,2.0,2.0,31.2,96.47,178.32,19.03,-28.59,-111.89,59.34,-22.59,0.7,-103.33,-10.08,46.69,-10.95,-46.74,-4.57,52.12,74.19,-33.45,54.51,19.09,0.0
1.0,2.0,3.0,3.0,-34.44,-55.33,-220.25,-7.99,-15.24,246.56,35.55,59.81,-0.54,28.68,0.85,62.97,-3.03,18.08,5.73,75.9,49.11,11.0,-84.2,-9.11,0.0
2.0,1.0,2.0,2.0,-93.93,97.98,-10.77,9.57,-97.19,-244.31,-13.5,12.11,-3.61,-29.43,2.16,-257.88,6.47,17.52,0.79,-48.0,-17.51,120.3,67.94,-28.09,0.0
2.0,2.0,2.0,3.0,9.86,-72.04,68.51,-2.11,11.12,-158.03,-58.24,-8.08,-2.98,27.35,34.15,24.16,-3.96,-11.89,-13.77,-142.66,47.18,128.6,133.85,-3.65,2.0
3.0,0.0,2.0,1.0,9.99,-50.71,123.23,7.97,90.47,-365.37,-89.94,54.87,0.84,-45.63,17.71,-47.57,-5.04,11.8,26.28,-70.98,64.35,-24.15,32.91,-6.47,0.0
3.0,1.0,2.0,3.0,47.93,121.38,-208.69,-9.49,20.22,-43.42,-0.49,66.73,-6.98,-5.13,51.14,73.4,2.2,80.29,-15.64,122.03,42.06,96.46,83.35,-27.38,1.0
2.0,3.0,1.0,2.0,-85.76,46.55,-282.78,-2.47,-49.77,206.64,-53.78,5.43,2.16,160.72,-27.85,226.57,12.33,126.81,-60.35,144.92,-130.13,-4.15,-40.79,-16.35,2.0
2.0,2.0,1.0,1.0,-138.35,-35.71,-192.16,30.69,-73.8,-76.21,75.91,115.51,-0.84,25.58,-21.95,-4.93,1.53,66.66,-0.53,116.52,25.14,25.43,-109.4,-16.63,1.0
3.0,2.0,1.0,1.0,91.04,36.65,-293.22,22.05,27.53,328.6,-61.5,50.38,-0.45,-145.64,25.56,-27.69,1.42,15.47,-8.48,-112.77,-166.17,128.63,-68.95,1.51,1.0
2.0,1.0,2.0,1.0,65.66,36.53,-183.21,-10.49,29.78,-51.34,-2.42,58.24,2.37,-38.82,15.84,-202.21,4.55,72.52,1.54,-63.21,-116.9,-14.9,-59.05,-16.19,1.0
3.0,2.0,2.0,1.0,-131.34,-4.17,34.46,1.33,5.9,-21.04,96.64,-12.33,4.2,-93.51,6.55,57.0,1.56,-12.85,-15.18,112.3,66.88,41.93,25.2,-2.96,1.0
2.0,2.0,0.0,2.0,19.83,-34.92,31.18,-1.91,-51.23,-83.47,33.38,-5.45,-5.08,86.53,-42.91,-131.78,3.1,7.36,0.36,-146.3,3.46,-74.95,-6.34,-1.78,1.0
3.0,1.0,2.0,1.0,-206.04,-0.87,128.87,1.55,6.23,-372.56,-99.31,36.03,0.73,125.73,22.62,11.33,12.34,54.68,-5.27,5.4,-117.44,-38.81,-141.09,9.56,1.0
1.0,3.0,2.0,2.0,-127.67,44.52,-116.3,-9.39,61.23,136.39,64.78,45.11,8.66,81.29,25.78,-31.28,-3.72,-13.36,13.25,19.62,46.96,36.77,-96.4,-7.06,1.0
2.0,3.0,1.0,1.0,92.37,12.13,93.7,-4.22,82.78,-78.29,4.67,-15.63,5.24,79.68,-17.92,132.36,-7.44,7.47,10.02,-2.97,-55.86,-26.92,33.68,7.76,2.0
2.0,3.0,2.0,3.0,183.37,-159.12,-277.01,24.85,-52.77,-372.77,64.34,41.27,-0.51,50.44,24.38,-93.54,5.98,300.72,-5.99,-38.33,49.91,125.22,-214.19,-17.24,1.0
1.0,3.0,1.0,2.0,106.97,-56.25,221.18,-15.95,-66.81,-179.27,41.67,-96.08,2.08,-140.45,-23.54,16.66,5.8,1.91,1.6,46.77,150.03,-91.29,126.29,-0.19,0.0
2.0,2.0,2.0,2.0,18.47,-47.6,-12.79,13.7,-82.95,-10.98,88.35,-39.97,6.43,134.21,2.98,229.75,-7.67,55.52,-26.78,88.64,-23.0,65.54,81.53,-5.47,2.0
1.0,3.0,1.0,2.0,-142.23,-103.83,-31.68,-6.41,-56.38,-45.68,-6.04,25.87,2.4,-60.17,17.42,-84.44,15.02,17.6,2.26,-36.35,200.74,7.88,-124.47,0.02,1.0
1.0,2.0,2.0,1.0,281.28,-19.3,-84.54,-25.43,-25.63,-77.92,132.7,13.09,2.47,17.35,39.57,-59.72,1.89,95.03,39.19,-24.88,209.7,-15.16,-70.74,-3.52,2.0
1.0,3.0,2.0,2.0,-59.17,16.94,24.91,1.09,53.9,-62.5,-105.04,-76.77,0.46,75.33,-25.97,-301.35,1.04,-25.49,-20.74,0.91,56.79,118.72,148.43,-24.25,0.0
3.0,3.0,1.0,1.0,295.91,9.95,-43.79,-9.14,33.05,230.49,-17.44,-26.5,-6.14,110.98,11.27,-45.13,1.15,-23.97,9.15,129.26,102.55,-86.47,26.66,15.4,1.0
2.0,1.0,1.0,1.0,-84.63,-31.96,-224.8,36.58,25.6,-67.55,-23.9,79.67,-0.37,-8.45,-63.39,-123.94,-0.03,74.68,-19.37,-75.62,-163.73,118.29,-58.87,-18.4,1.0
3.0,3.0,2.0,2.0,100.06,7.74,-271.87,13.89,84.38,-86.02,-39.95,89.79,0.59,-32.4,-32.53,15.02,-4.61,121.23,-15.84,24.72,15.96,108.87,23.84,-24.75,1.0
3.0,3.0,2.0,2.0,90.61,-22.09,-34.2,-23.24,58.98,-90.79,31.66,21.39,-0.13,9.91,0.08,67.27,10.25,43.39,-7.98,67.74,-143.86,6.04,56.7,-5.05,1.0
2.0,3.0,2.0,3.0,-192.46,148.22,-173.78,25.36,-61.81,238.99,-7.2,53.79,7.97,-34.54,-20.8,250.85,-8.96,20.24,-39.77,22.03,-27.48,-61.54,-65.03,-1.37,2.0
1.0,2.0,2.0,1.0,138.27,80.6,34.39,16.13,89.98,-277.21,55.11,39.63,2.82,-67.48,26.62,-95.54,-10.49,43.18,15.12,-73.96,-107.01,22.83,10.0,0.82,0.0
1.0,1.0,1.0,2.0,32.53,109.86,140.15,0.97,-45.92,-82.66,96.02,-71.12,0.97,-86.99,-26.4,66.47,7.14,4.98,-20.37,-12.86,-16.44,6.73,30.34,16.88,0.0
1.0,3.0,2.0,1.0,-74.98,-138.68,-77.56,21.06,-7.04,133.15,22.16,-30.08,-3.02,-17.46,37.13,-144.18,4.81,10.59,-10.88,123.13,142.05,5.46,-99.26,0.47,1.0
1.0,3.0,1.0,1.0,152.85,-115.96,-291.67,-14.13,52.35,100.2,124.23,53.38,3.66,-40.65,16.26,-256.47,3.59,70.75,-9.93,64.85,150.28,93.52,-67.69,-8.82,0.0
1.0,2.0,1.0,2.0,341.64,36.62,-287.99,-10.14,-46.46,357.66,94.29,51.98,0.44,-45.86,1.11,-140.57,5.63,23.48,45.41,-115.41,2.89,-43.1,-91.73,-3.18,1.0
2.0,2.0,2.0,2.0,-100.17,-20.97,-128.24,20.26,3.05,58.85,-50.91,37.88,-1.78,89.26,-28.84,40.7,-4.8,30.55,-11.85,-19.49,-46.76,69.73,-61.47,-5.59,1.0
3.0,1.0,1.0,3.0,49.73,-38.03,-104.69,59.11,-47.46,216.14,-63.77,-8.25,2.2,6.29,22.87,161.88,1.4,21.89,16.58,67.69,-6.97,44.43,-53.71,-1.27,0.0
2.0,1.0,3.0,2.0,-194.45,-19.73,-80.13,-14.39,42.43,-95.73,-74.33,40.09,-0.75,-108.6,12.49,-198.12,-0.24,39.02,22.77,-171.07,154.17,-2.31,-138.99,-22.58,2.0
1.0,2.0,2.0,1.0,90.67,-13.32,-71.53,-0.29,-30.88,114.23,35.69,-44.4,3.72,-81.73,-62.1,-247.9,-1.91,-13.15,-20.57,-50.79,-53.55,16.82,64.4,-5.8,1.0
2.0,1.0,3.0,2.0,-99.7,119.48,35.9,-25.61,32.46,0.59,24.33,52.07,-0.79,29.11,69.84,210.35,5.16,-9.35,-14.6,52.62,-58.83,-189.2,-23.04,8.32,2.0
2.0,1.0,1.0,2.0,76.32,-137.59,185.34,41.61,-43.2,-100.03,-32.12,-62.97,1.78,27.15,25.77,11.28,-0.48,-38.78,16.28,200.9,-1.71,-23.97,111.96,0.54,2.0
1.0,2.0,1.0,1.0,18.9,142.72,-67.34,-0.94,-45.2,-28.59,-7.82,41.5,-0.42,11.87,13.99,-40.93,14.86,16.55,1.79,59.1,-9.4,-10.07,-0.68,-6.99,1.0
2.0,3.0,3.0,1.0,226.3,65.8,35.33,-39.61,-43.95,-87.49,-10.08,33.08,7.34,-116.17,21.2,-127.96,-9.37,-7.32,40.63,-128.05,-60.71,-153.74,35.18,-3.88,1.0
3.0,2.0,2.0,4.0,112.23,22.55,158.43,-10.37,-64.43,-123.89,-87.13,-39.27,4.28,-124.96,-23.59,-51.98,-7.76,-21.23,26.84,-101.76,38.26,38.11,-20.33,18.33,2.0
2.0,1.0,2.0,3.0,-255.19,78.99,-77.0,-0.06,3.24,171.26,-34.14,-3.7,0.45,32.07,11.12,-132.37,-2.76,-24.69,-3.25,-14.49,110.9,80.67,-191.32,5.79,1.0
3.0,3.0,2.0,2.0,10.03,-35.19,-252.73,-0.24,41.96,-81.13,24.72,56.68,4.27,15.29,-41.85,-38.99,-1.32,167.35,4.58,34.77,6.19,65.96,-205.49,-13.99,1.0
2.0,2.0,2.0,4.0,109.29,-106.52,-141.45,27.72,12.28,-134.77,-25.07,70.97,-5.7,-60.24,-33.78,211.69,4.55,110.58,13.44,121.58,-196.35,-21.44,81.15,-32.99,1.0
2.0,1.0,1.0,2.0,-50.19,-89.68,-24.83,-2.35,22.04,-151.01,89.17,39.38,-1.72,34.6,-10.54,40.83,-11.77,53.16,-16.14,-213.33,154.69,56.59,-78.12,9.13,2.0
2.0,2.0,1.0,2.0,-206.16,-142.65,8.39,32.77,-26.09,-24.88,-0.05,31.3,-1.18,-46.53,-11.68,-84.23,-7.07,-22.71,-51.12,85.6,70.55,-18.17,-116.26,26.5,1.0
2.0,2.0,2.0,1.0,186.39,-5.2,-18.61,-10.61,-53.14,-103.87,-18.81,-18.27,-0.84,-69.92,-2.73,157.49,-1.23,83.81,-1.78,-42.29,-64.23,90.05,31.79,2.96,2.0
2.0,2.0,2.0,2.0,166.92,73.33,-142.11,-22.22,-6.31,-21.56,-48.89,3.44,-4.58,-65.16,56.06,119.1,5.96,111.97,14.23,0.27,163.91,68.36,7.63,-18.63,1.0
1.0,4.0,2.0,2.0,153.1,75.58,-76.37,-18.66,4.23,258.59,-51.48,13.55,-2.02,-18.61,31.38,-117.4,-5.47,-25.8,67.74,73.54,22.48,-177.33,-118.31,-4.82,1.0
2.0,2.0,1.0,2.0,-5.27,-25.18,22.77,-42.08,-89.69,84.77,-12.17,31.97,0.49,-5.81,14.3,-53.29,3.24,-63.84,13.22,-44.67,62.85,-103.19,-14.29,6.68,2.0
1.0,3.0,3.0,1.0,19.11,89.99,-27.14,17.31,159.62,23.56,22.67,5.55,-3.28,-45.56,0.87,-161.24,0.7,-37.21,-16.46,10.25,300.48,70.47,44.01,3.94,0.0
4.0,2.0,3.0,3.0,120.94,-13.92,96.03,-11.83,27.74,33.77,20.22,-108.41,0.9,-7.2,20.15,30.02,-2.21,27.24,-24.89,92.35,-29.35,-121.45,49.24,9.33,1.0
3.0,3.0,2.0,2.0,147.81,-56.75,42.53,-7.12,40.86,-109.53,-115.94,-92.58,-1.27,-36.42,7.43,-74.63,-0.56,72.72,-12.59,64.97,-123.1,13.01,46.57,-3.81,0.0
1.0,2.0,1.0,3.0,130.75,71.01,-113.61,-12.38,-4.74,-114.13,48.59,4.72,-4.0,-80.2,17.44,71.69,1.96,127.21,14.98,-99.94,41.19,61.5,-31.7,-17.26,1.0
2.0,2.0,0.0,2.0,-5.04,-25.28,-167.77,3.25,-68.35,228.44,-53.17,16.91,0.62,15.69,4.96,-102.63,-9.1,-11.52,-8.47,-76.19,60.77,110.03,-77.51,5.26,1.0
1.0,2.0,1.0,3.0,-104.91,37.58,-167.39,9.63,111.8,177.11,44.81,85.75,-6.14,-38.96,-29.36,113.2,-0.33,-34.87,-11.32,87.99,37.64,105.44,19.0,-6.41,0.0
2.0,0.0,1.0,2.0,25.4,-29.48,-148.25,1.07,43.57,23.3,-37.64,75.84,-4.52,98.14,-10.27,-394.4,-0.8,-55.12,-19.53,-161.1,-99.56,144.64,12.4,3.59,0.0
4.0,1.0,1.0,2.0,76.92,-49.44,16.92,-8.11,22.89,-207.81,-21.78,5.77,-2.21,-63.72,18.45,113.64,-0.16,62.92,-1.36,16.14,52.48,57.8,88.29,-11.74,1.0
3.0,2.0,1.0,3.0,-110.93,-34.6,-45.5,-3.94,-38.17,-75.6,-21.78,62.41,-4.07,-2.1,-35.14,196.97,-7.61,40.58,,-55.53,126.51,95.35,-97.11,-7.53,2.0
3.0,2.0,2.0,2.0,-49.85,-0.39,93.28,-15.68,50.4,-402.23,-35.85,-7.12,-2.59,-108.69,-32.4,55.29,9.85,125.92,-21.14,61.62,47.65,-11.76,-102.16,8.93,1.0
2.0,1.0,0.0,2.0,-34.22,110.85,-141.15,14.79,81.83,-147.88,-49.29,100.08,-1.73,16.8,21.55,-129.77,-5.86,46.52,4.06,24.23,-39.39,99.23,-75.39,-8.05,0.0
1.0,3.0,2.0,2.0,-135.47,-155.45,106.63,-3.47,-0.16,-249.51,100.14,-61.18,-2.6,51.73,-12.8,-144.63,2.3,25.24,-48.32,-141.78,145.72,60.84,61.62,-2.74,2.0
1.0,1.0,2.0,1.0,-59.97,67.96,-13.11,-15.8,47.83,-129.61,-10.63,29.0,-2.82,58.6,19.43,171.82,-5.54,53.45,-8.41,-115.2,237.02,104.8,-42.48,3.97,2.0
2.0,1.0,1.0,3.0,-142.73,0.08,26.91,5.52,18.24,160.75,-116.09,48.93,4.58,130.83,-10.55,181.46,-5.36,-43.33,21.56,-73.37,34.44,-253.39,-116.03,6.42,2.0
1.0,2.0,1.0,2.0,-118.44,-101.98,140.35,10.98,-153.42,-37.54,22.9,5.68,-0.2,42.56,-41.52,173.62,-7.45,-48.67,-9.08,27.44,169.5,-80.14,8.36,14.85,2.0
1.0,3.0,1.0,2.0,64.6,-51.93,51.96,2.35,13.52,-25.6,119.03,-14.53,1.46,-118.67,19.86,139.6,5.09,16.18,1.77,-40.74,56.58,-91.15,48.19,-0.88,2.0
1.0,1.0,2.0,2.0,-62.97,13.09,113.4,12.94,-19.11,-178.77,116.83,-2.73,-2.46,26.75,10.03,16.15,9.51,1.07,-18.86,-109.26,82.51,-43.56,13.72,8.84,2.0
2.0,2.0,2.0,1.0,-118.27,-104.2,174.07,-0.92,5.28,-110.41,51.2,-12.15,-4.17,59.92,-22.37,122.77,-10.63,-46.16,-14.79,53.62,0.32,-73.0,57.45,9.34,2.0
3.0,3.0,1.0,3.0,-113.45,70.52,-187.65,15.66,10.88,-7.21,93.38,65.27,-1.52,26.78,-0.95,-43.7,-0.16,57.22,-38.56,-22.24,25.29,12.98,-30.58,-12.99,0.0
2.0,2.0,2.0,3.0,8.97,130.99,-77.79,5.07,19.93,270.06,-30.46,35.82,-3.76,0.31,16.29,239.68,-3.38,-72.98,16.18,31.37,97.17,128.63,76.62,-1.22,0.0
2.0,2.0,3.0,1.0,-213.84,-52.54,327.54,21.48,-3.81,20.42,81.47,4.64,1.97,-229.51,10.0,6.47,0.59,-222.86,28.82,13.5,132.13,-144.2,91.45,15.61,2.0
1.0,2.0,2.0,2.0,63.82,-43.01,-143.31,14.52,-12.7,-322.31,-40.71,59.02,0.08,-48.05,-13.85,176.48,0.67,206.04,4.28,-1.84,36.97,30.87,-73.58,-23.7,1.0
2.0,2.0,1.0,2.0,295.71,16.6,-170.91,19.01,-46.6,294.77,-36.1,16.57,,-88.27,-30.5,-104.05,-0.48,-2.81,17.98,-32.47,-45.47,-78.05,-29.3,6.93,1.0
2.0,2.0,2.0,2.0,8.35,-98.69,8.44,-1.73,96.27,111.5,-33.58,-21.17,-3.99,150.48,38.33,121.11,-5.05,-28.5,24.23,-40.3,36.24,136.66,7.12,0.94,0.0
2.0,1.0,2.0,3.0,80.27,-40.77,125.4,6.95,-112.09,-283.74,0.49,-16.38,1.73,-44.56,12.98,40.82,5.16,53.83,0.66,21.74,214.77,12.99,-5.27,10.82,0.0
3.0,2.0,2.0,2.0,-107.26,38.2,137.9,16.93,-13.65,-338.56,60.99,88.23,-0.39,22.81,-10.87,250.27,1.23,-3.22,34.45,-29.34,51.66,-99.11,132.15,-27.38,2.0
3.0,1.0,0.0,2.0,-280.5,18.21,-27.01,-14.22,60.25,289.67,80.36,-27.84,-1.52,-149.78,27.74,122.99,-3.57,-89.49,-10.93,-111.12,175.12,183.51,-10.66,0.16,0.0
1.0,2.0,1.0,1.0,-59.51,78.49,151.56,-41.33,-128.21,-136.2,5.76,34.19,-1.65,-114.43,36.02,337.45,-8.71,3.9,33.27,-211.94,103.96,-117.61,-41.6,6.84,2.0
2.0,1.0,2.0,2.0,0.59,53.03,-62.35,18.77,61.77,-68.81,-85.54,10.88,2.31,-74.3,9.91,66.6,9.93,88.7,7.77,146.97,-21.26,14.16,-128.37,0.23,0.0
1.0,1.0,2.0,2.0,120.45,80.57,-2.55,-17.1,-1.42,-400.51,107.45,-0.09,-1.39,71.88,11.16,-324.15,-12.93,129.42,16.12,59.03,149.71,14.69,-109.8,-7.93,0.0
2.0,2.0,2.0,1.0,-47.23,29.88,-6.85,-12.37,-30.82,-201.99,-39.34,-2.31,0.04,82.95,-8.92,151.03,6.34,103.86,-39.66,19.59,-47.83,24.58,-26.54,3.18,1.0
3.0,3.0,2.0,2.0,-125.76,142.96,321.01,-19.99,-13.51,-96.48,-31.67,-59.3,-3.08,102.66,-12.55,-113.64,-0.63,-172.91,18.42,-79.88,3.94,0.99,179.79,1.76,2.0
3.0,3.0,1.0,1.0,-48.42,-5.29,49.37,-11.02,0.73,-300.85,-1.58,132.49,4.97,-239.92,7.96,81.85,0.86,29.96,59.26,37.35,-151.67,-120.68,-116.48,-6.12,2.0
2.0,2.0,3.0,2.0,10.3,67.71,-8.41,-8.46,-76.77,39.53,13.31,-60.89,-4.96,-38.4,25.72,203.79,1.85,88.04,17.27,-29.74,35.47,-27.29,-84.23,-7.3,0.0
2.0,2.0,2.0,2.0,562.98,39.66,-130.11,-2.58,24.43,45.59,99.75,12.04,-1.46,17.73,-1.78,-122.82,-7.79,65.65,7.62,72.26,-59.84,-142.4,103.73,3.43,1.0
2.0,1.0,1.0,3.0,228.19,-70.45,-103.44,-9.86,127.45,-73.15,64.19,10.67,0.43,-156.53,-3.14,-145.76,-3.47,77.36,1.93,54.98,-43.43,8.6,-22.98,-0.66,1.0
3.0,2.0,2.0,2.0,112.45,-9.05,202.91,-19.6,-8.87,-111.3,10.59,-69.37,-3.11,5.47,-25.87,31.08,-4.86,-29.36,2.4,-92.09,46.66,-92.59,121.74,6.55,0.0
2.0,3.0,1.0,2.0,36.74,66.07,269.91,-11.83,40.0,-56.84,14.72,0.5,-0.47,251.49,11.72,235.28,-10.4,-80.49,37.91,60.89,104.62,-195.55,-4.71,26.6,2.0
2.0,1.0,1.0,1.0,-79.13,-25.16,24.89,-3.29,-25.14,47.61,122.01,-32.96,-7.2,-129.69,-37.76,160.3,-3.86,45.76,-21.68,-0.67,5.73,-105.53,-119.15,15.92,2.0
3.0,3.0,2.0,1.0,27.68,17.23,-213.66,-2.15,50.78,-13.18,36.33,30.72,-3.19,-95.44,-9.45,-191.06,10.26,99.61,-6.51,69.91,-21.63,8.59,-88.66,-19.27,1.0
2.0,3.0,1.0,2.0,-109.02,-77.39,53.21,4.97,7.97,-2.46,-52.24,58.99,2.1,5.86,-36.93,128.85,2.8,-25.87,15.88,-130.45,109.74,-134.35,-113.63,13.94,2.0
3.0,2.0,3.0,2.0,110.98,77.16,-323.75,20.82,-44.32,162.21,38.29,31.88,-3.94,121.52,35.48,-266.0,1.1,104.66,11.02,24.55,-57.41,30.41,-161.59,-18.35,1.0
3.0,2.0,2.0,3.0,102.33,-70.98,130.15,-20.07,118.96,79.82,52.01,-86.02,4.88,-58.61,-3.38,-87.52,-1.01,-40.73,-19.98,36.69,153.62,-152.97,33.89,20.33,1.0
3.0,1.0,1.0,1.0,-38.28,51.75,-18.94,-19.47,49.86,88.79,-87.55,45.2,-0.42,8.36,-57.15,164.31,9.12,-8.7,0.76,90.14,31.25,-105.5,-65.91,10.86,2.0
2.0,2.0,2.0,2.0,5.86,54.6,2.35,-6.85,-10.89,-38.9,-4.51,14.95,6.03,-43.06,16.75,-116.2,-0.36,-25.92,6.47,108.91,48.24,66.52,14.15,-0.17,0.0
2.0,2.0,3.0,2.0,78.02,-85.01,197.34,3.41,8.64,15.34,78.81,36.29,7.26,-12.77,-2.04,120.92,1.75,-135.0,44.45,-152.7,-1.25,-109.55,98.89,14.48,1.0
