cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,target
3.0,2.0,3.0,-75.91,5.31,13.17,-23.87,25.11,16.95,-4.41,-10.63,-14.6,-272.7,-33.77,-4.1,61.69,-22.97,2.87,-106.64,24.6,45.59,-30.44,-14.35,-33.88,-278.53,-18.62,-8.53,1.0
2.0,1.0,3.0,89.39,71.95,59.45,-24.5,-29.84,30.01,2.53,-0.17,0.28,9.65,51.91,-8.98,-13.23,43.25,-4.61,20.8,1.15,81.74,119.35,55.85,34.36,-123.33,1.94,13.51,0.0
1.0,3.0,2.0,23.97,80.11,89.6,2.35,27.65,-10.35,3.87,-2.48,-27.14,-78.23,-3.66,-3.05,-26.26,16.23,18.7,-7.59,-0.48,-90.73,-46.79,81.29,37.24,113.99,-13.42,-18.26,2.0
2.0,1.0,3.0,30.23,138.19,130.39,-14.85,-14.83,99.0,11.16,-0.79,32.47,116.48,72.43,0.74,3.76,-2.85,-12.59,-41.99,-25.11,-72.38,-31.99,-11.66,39.1,377.2,-7.18,-31.7,1.0
3.0,2.0,2.0,-27.64,-111.43,94.67,-52.95,18.53,-24.32,-7.07,0.08,66.23,-156.41,-14.69,-3.5,-13.31,-12.88,-4.47,13.93,-7.62,-91.48,111.94,-37.84,-19.4,-56.74,-11.8,-62.37,2.0
1.0,2.0,3.0,64.62,30.09,173.52,-105.91,16.69,61.54,6.52,-3.68,-46.36,-107.85,-41.98,-1.71,-45.82,34.4,-12.4,-32.82,-23.27,-57.17,90.15,105.96,-6.39,187.21,15.32,-117.93,0.0
3.0,2.0,2.0,0.24,-123.62,82.0,-163.99,1.17,16.14,-2.94,1.18,-5.61,-30.35,-17.2,6.85,106.64,55.98,-8.04,17.59,32.6,86.83,-54.8,-74.83,-36.4,-57.09,-46.95,-17.76,1.0
3.0,2.0,2.0,-14.45,-170.67,-83.15,-105.15,11.66,13.76,7.49,2.33,-68.2,-19.86,-44.4,-8.39,-19.6,38.7,9.22,142.91,3.02,-41.09,14.39,5.18,-6.22,-43.51,20.22,142.88,0.0
2.0,3.0,2.0,-30.02,-114.13,-134.69,59.54,-2.84,-41.22,-2.82,-3.08,7.71,-116.68,30.08,-3.76,19.26,-53.21,10.7,-26.88,-12.25,-38.71,-14.79,-14.95,25.1,-64.62,9.43,6.87,0.0
3.0,2.0,1.0,28.75,-276.57,-283.97,253.81,0.66,19.22,-3.12,4.56,86.74,148.86,58.78,11.32,-86.06,44.43,12.14,-66.56,26.87,54.57,-146.66,89.09,31.1,53.42,19.02,-137.39,2.0
2.0,1.0,3.0,7.16,42.29,94.58,112.29,-2.23,4.16,3.02,-1.63,-37.05,-26.31,24.88,-3.66,-1.27,-36.48,21.39,-37.01,15.08,-57.19,26.69,46.37,24.15,87.28,-45.18,-4.77,1.0
3.0,3.0,3.0,9.28,171.17,296.38,-34.19,32.71,-14.53,0.36,-6.05,65.64,-170.48,-32.1,1.23,26.73,0.28,-13.28,-0.4,-12.56,37.37,41.64,59.02,-71.2,217.61,-9.77,249.19,1.0
2.0,2.0,2.0,79.16,-59.85,126.92,-22.22,-3.75,-30.21,5.85,1.07,3.11,-114.95,-34.64,-1.81,92.92,-64.79,-5.48,-35.76,-29.38,-31.98,-9.07,70.7,44.84,49.94,38.33,-30.34,0.0
2.0,2.0,1.0,17.34,-243.79,134.24,-97.25,8.04,-15.73,8.81,-0.43,28.06,24.69,-37.58,0.99,-169.69,66.29,-14.04,163.68,-17.26,-30.88,4.19,-30.01,4.73,-150.04,-5.63,40.2,0.0
4.0,2.0,2.0,14.39,-50.14,97.69,61.05,19.34,39.93,6.62,-10.02,52.98,-91.05,0.53,-0.74,30.09,-22.32,10.53,-11.7,33.16,-88.52,53.69,-34.65,-9.04,183.44,-10.95,-111.41,0.0
2.0,1.0,2.0,80.22,-178.94,249.11,-2.38,1.64,-5.47,-13.65,-2.4,54.74,-306.03,-45.28,-6.27,9.98,-18.0,-2.22,12.11,70.9,11.05,-116.34,61.78,-9.47,-98.18,2.85,53.7,2.0
2.0,3.0,1.0,24.47,-57.63,-43.49,140.67,-1.17,-121.08,-6.98,-1.21,-38.05,-7.31,54.76,11.52,38.85,39.89,6.31,3.05,-1.99,-55.23,55.66,-13.21,-69.89,-169.48,-12.71,145.69,1.0
1.0,3.0,1.0,3.55,-158.05,152.78,71.05,2.99,33.87,-12.09,6.88,52.29,-309.65,14.61,2.32,62.42,-8.04,-6.4,-27.85,-22.03,-86.42,0.95,-88.84,-35.13,-206.31,-15.29,33.68,1.0
3.0,3.0,2.0,6.78,30.55,105.31,29.25,-11.73,56.59,1.61,5.22,-11.62,-218.39,91.93,-6.56,-31.25,3.73,-9.09,31.85,15.21,-7.86,16.84,-24.31,-24.86,-167.58,8.64,190.07,2.0
3.0,2.0,3.0,-1.98,-96.59,-78.19,-69.99,-17.22,-4.61,-2.57,2.35,-34.84,-100.33,-25.83,2.41,47.82,-20.12,-1.89,-95.9,-8.78,-75.04,83.82,39.09,-19.45,201.59,10.72,-52.21,2.0
3.0,3.0,2.0,20.13,163.98,-66.19,1.78,14.61,-21.39,5.54,-9.91,-23.29,-32.64,-23.85,-1.34,-22.39,-3.66,-0.58,-93.4,-8.36,-60.38,-36.87,27.37,47.61,-279.98,18.0,-38.87,1.0
2.0,3.0,3.0,-4.78,175.46,-143.12,-47.71,19.64,10.84,1.58,3.95,-47.53,234.99,-20.16,6.12,13.45,21.29,-17.21,-41.25,-64.31,-124.0,49.17,22.2,29.49,389.82,2.73,34.99,2.0
3.0,2.0,2.0,17.26,-83.3,130.74,-49.67,-12.3,-27.8,9.79,3.07,10.74,-195.57,0.09,-3.09,-126.99,80.58,19.02,-41.55,-16.36,-97.86,19.06,16.63,34.46,-156.59,-9.96,157.0,2.0
2.0,2.0,2.0,-11.31,-18.06,-45.85,-131.2,24.48,4.81,-6.52,3.01,-0.31,72.54,-50.18,6.73,81.01,33.34,1.87,-2.25,5.12,14.6,-5.19,-10.96,-10.37,-170.77,-22.89,21.39,1.0
4.0,1.0,2.0,-126.55,89.82,269.62,23.75,-1.72,-14.58,1.23,-0.88,-17.08,-20.51,10.17,-0.35,52.95,41.68,-10.21,-12.85,3.11,52.3,21.69,-13.38,46.79,-127.39,-16.54,23.56,0.0
4.0,2.0,3.0,-40.04,-4.54,-8.96,-117.53,12.93,28.82,2.59,3.91,41.66,-8.5,2.68,-0.47,2.19,-32.36,31.23,6.82,42.28,-45.21,90.77,-23.63,-24.79,292.78,12.55,-64.13,2.0
3.0,3.0,1.0,2.62,-147.94,-83.45,-40.05,19.56,-11.64,-4.87,-3.54,-15.94,-107.06,9.43,1.09,-67.67,16.24,13.04,-19.8,-30.59,24.59,0.98,-11.51,24.44,-110.74,-4.58,12.67,0.0
1.0,2.0,3.0,13.18,-141.26,73.61,-45.11,-11.61,17.82,-4.17,3.27,121.54,-292.63,46.18,-3.84,8.66,-10.58,11.35,-33.15,19.74,-51.77,-52.62,-17.68,-65.39,100.75,-3.9,-41.98,2.0
3.0,3.0,2.0,-13.09,159.65,303.55,244.59,8.3,21.15,0.94,1.17,-31.26,-178.55,47.65,-2.97,68.65,14.61,0.68,16.86,20.47,-2.55,-39.16,80.18,-0.67,55.51,-8.87,-13.12,1.0
2.0,2.0,2.0,-23.16,-82.42,-315.5,-5.02,-10.79,10.55,10.33,-1.04,-11.37,115.05,5.08,-0.26,126.09,-94.05,-0.82,29.52,-48.48,1.44,-25.13,-37.72,-35.67,-53.22,-13.98,-13.68,1.0
2.0,2.0,2.0,91.25,-41.85,-99.95,-16.64,-17.74,80.22,-11.8,-7.41,-29.7,33.63,-15.47,4.28,41.55,-12.1,-10.7,-73.62,-45.82,-24.38,38.64,48.06,-1.39,182.81,7.21,79.91,2.0
1.0,1.0,3.0,55.62,73.25,308.8,-48.17,-23.14,70.72,2.67,7.54,63.83,-145.56,-1.19,-1.16,-60.85,60.21,-7.58,-39.64,-5.03,-29.55,38.87,-65.75,-17.11,88.98,-12.7,-95.44,1.0
2.0,2.0,2.0,-58.89,-58.72,95.14,7.62,4.78,46.74,6.64,-10.1,20.54,-239.69,-5.79,-0.23,85.38,-64.17,14.12,-74.13,6.88,32.23,101.43,45.54,-26.41,76.68,-9.09,-1.12,2.0
2.0,2.0,2.0,58.53,80.42,109.83,-180.47,-11.57,-6.46,-9.46,1.06,14.1,-7.52,-10.94,-2.49,-11.0,-8.85,-3.9,28.37,24.16,64.97,-0.0,41.28,6.34,119.75,4.94,4.37,0.0
2.0,1.0,2.0,-24.27,31.75,120.23,113.18,-22.93,36.25,-2.99,10.02,-20.12,2.14,37.81,-1.67,-3.08,-14.26,-13.07,5.23,4.76,64.18,-207.11,-74.31,8.17,-18.96,19.14,200.93,1.0
3.0,2.0,2.0,85.51,-11.93,274.76,-117.3,-11.21,-6.0,-9.59,-1.0,-57.41,-184.45,-49.93,2.66,-34.59,28.2,-12.16,-45.53,-12.54,-110.76,25.5,7.7,-1.96,271.93,-13.96,-118.9,1.0
2.0,1.0,3.0,-69.87,23.91,-68.44,84.86,-17.73,60.82,5.86,-1.21,-1.62,76.47,17.29,-1.24,17.27,17.42,-0.48,-4.69,18.84,56.17,-56.91,-16.21,-30.81,-84.58,-61.89,41.49,1.0
3.0,2.0,2.0,19.99,-42.36,323.82,-117.1,12.04,-81.73,11.09,-2.43,39.87,-265.6,-80.56,-0.6,-67.21,-11.64,-21.22,6.26,-25.51,-75.5,-15.54,0.54,-37.98,162.34,-12.39,-60.06,2.0
2.0,3.0,2.0,-37.02,239.15,72.42,29.99,9.86,-90.59,-3.08,2.52,14.87,54.32,-14.21,1.65,-2.18,25.16,-19.36,52.69,40.66,48.86,-80.57,-51.37,-29.31,106.51,-8.87,-43.76,1.0
2.0,1.0,2.0,60.95,163.99,-122.93,-93.56,-5.1,-62.66,-13.89,1.39,-53.54,373.12,40.41,3.66,-43.69,-88.68,-0.41,14.62,18.98,185.68,83.45,-60.38,69.62,-53.73,-37.55,44.72,1.0
2.0,1.0,3.0,26.15,-74.37,-45.37,16.67,35.63,-58.57,4.15,2.64,28.3,-57.32,-35.83,-3.24,-61.81,-60.96,19.29,-31.23,15.7,-28.97,-25.12,109.22,-15.6,143.38,36.78,2.3,2.0
2.0,1.0,2.0,-60.74,12.78,114.15,-36.35,-4.98,-17.88,-5.29,0.55,47.32,-50.15,27.24,-2.68,-58.07,-37.96,9.48,-4.98,2.59,-180.93,145.02,73.69,12.28,40.03,13.59,-49.64,1.0
3.0,0.0,2.0,-50.83,88.31,-241.57,62.06,-7.6,49.1,1.75,4.48,-75.23,408.74,-43.28,3.42,53.59,63.53,-1.66,50.54,53.03,-34.21,-48.77,42.16,22.5,-235.45,11.18,81.59,1.0
2.0,3.0,1.0,-5.48,-19.61,110.55,-35.27,-9.14,76.36,1.09,-2.23,-60.39,65.96,-12.53,2.05,-12.13,-96.31,15.34,132.46,-40.7,82.26,-32.66,-17.1,-4.61,-113.0,-31.41,9.25,0.0
2.0,2.0,3.0,-76.44,-127.44,290.3,-99.87,-0.31,-46.65,-2.36,-0.33,23.41,-456.31,-30.22,-1.75,22.29,19.61,12.95,-73.8,2.67,40.58,58.3,-67.18,-86.94,93.25,-3.91,-146.88,1.0
1.0,2.0,3.0,-25.99,149.36,-13.62,6.41,-23.27,-33.95,1.48,-11.93,20.59,65.65,19.29,-0.46,-39.93,5.15,-0.43,-50.82,-10.07,-47.27,113.25,-59.72,15.54,39.3,25.16,-28.76,1.0
2.0,1.0,3.0,3.09,5.43,103.29,-43.64,9.2,-63.27,-0.75,-7.01,36.84,-161.8,-31.81,-7.57,39.14,31.59,12.93,-84.46,11.64,-1.68,1.2,-68.79,31.38,-39.14,8.59,-77.43,1.0
2.0,2.0,1.0,23.37,27.8,395.85,-48.01,8.58,-25.02,-1.63,-3.61,-24.2,-13.44,-12.47,6.88,-34.12,-72.0,27.46,15.05,-20.64,-85.87,-15.01,-21.02,64.24,-102.99,-22.05,60.16,0.0
2.0,4.0,2.0,4.74,127.64,57.81,29.02,5.06,34.49,-6.97,8.04,-42.42,71.65,-40.67,0.65,-64.37,19.95,-1.21,97.99,57.07,-64.16,-25.65,-48.01,-4.12,178.12,12.44,48.06,1.0
2.0,3.0,1.0,-45.4,-154.74,-106.8,-87.29,-5.24,34.39,1.44,4.75,-49.77,119.2,-61.06,8.76,-25.96,57.05,17.2,47.46,-10.92,74.55,-15.32,112.52,-10.38,138.68,-32.04,-10.55,0.0
1.0,2.0,2.0,3.68,21.2,-48.39,-46.78,5.19,-27.04,0.78,-2.01,-18.14,10.36,-12.93,0.18,22.24,67.84,15.78,34.41,33.18,74.85,99.23,72.35,-44.99,81.27,16.5,-38.83,1.0
1.0,1.0,2.0,-24.39,8.31,27.63,38.76,15.69,-35.23,2.3,7.91,23.73,-7.25,-51.84,-4.67,23.76,-20.68,5.09,17.82,-14.77,-73.36,43.54,45.13,11.02,27.81,-23.82,-113.37,0.0
2.0,2.0,1.0,-19.48,-175.79,160.23,45.01,-25.98,111.96,8.18,1.17,36.91,-96.52,17.97,-3.4,33.42,-42.68,-23.23,82.09,6.84,-87.31,33.25,36.73,39.49,-134.15,9.54,-179.04,0.0
2.0,2.0,2.0,-21.53,-37.37,-127.67,-31.17,0.68,-4.24,-5.94,1.74,91.79,109.12,40.38,-0.42,41.74,24.76,-2.87,53.6,18.81,40.25,-23.25,-40.94,-9.89,-129.46,-13.85,-8.08,1.0
2.0,3.0,3.0,-10.27,115.51,-235.25,-172.23,-23.86,-64.33,-3.75,2.38,-24.04,95.44,-24.34,1.36,-107.94,-15.92,7.27,-72.03,51.57,-121.49,54.1,-108.88,21.36,157.62,-12.26,4.98,2.0
2.0,2.0,2.0,-2.18,-69.63,98.3,-150.01,3.31,-34.1,1.93,-0.21,23.56,-22.93,-97.35,2.22,50.13,0.44,-13.21,-29.16,1.31,-48.42,-190.58,4.54,17.93,279.94,-6.76,1.95,2.0
1.0,1.0,3.0,3.82,43.38,-33.88,88.64,0.37,48.81,10.19,5.91,-65.41,231.05,-17.56,-5.65,-60.27,99.66,-2.13,103.12,1.45,-54.65,42.39,-14.06,27.98,96.46,-9.56,143.61,2.0
1.0,3.0,2.0,-39.23,87.89,52.02,-16.25,-4.84,32.22,6.07,4.06,-7.5,65.93,41.14,1.1,14.14,8.42,6.04,85.48,55.45,-93.22,102.42,-107.32,-22.78,18.74,23.18,34.76,1.0
2.0,2.0,3.0,-27.02,-82.28,215.7,65.05,-7.17,6.39,-15.07,-1.84,82.21,-281.87,26.91,-3.28,-0.87,42.28,-7.53,-45.57,2.75,227.95,-14.68,60.76,-39.52,169.81,2.89,-37.39,1.0
2.0,2.0,3.0,62.08,-95.37,-64.01,-103.06,22.61,-27.89,-6.73,2.84,-43.9,-188.96,35.55,-4.18,9.51,8.62,-3.36,-74.37,23.9,-9.78,54.95,1.29,-10.12,49.19,8.06,-158.39,0.0
3.0,2.0,2.0,-26.44,-156.93,-202.44,-35.85,-7.15,-9.3,-0.77,5.37,10.42,65.2,-45.42,2.27,-68.19,79.09,17.36,-25.41,-64.22,-23.03,60.2,74.89,10.31,-109.98,-8.67,5.37,2.0
2.0,2.0,2.0,17.56,-107.43,109.49,37.59,9.67,-7.87,-11.67,4.64,18.92,-71.88,23.66,1.21,-14.29,-69.42,-25.14,34.96,7.45,32.86,-63.9,38.78,-7.35,78.75,6.0,10.48,0.0
2.0,2.0,3.0,-18.61,76.26,152.26,35.83,8.09,-79.59,-7.43,-7.43,39.56,-109.02,-4.95,0.26,7.35,-76.15,-8.59,-74.14,-40.8,53.14,117.57,-76.04,-7.07,148.89,-28.24,59.86,2.0
2.0,3.0,1.0,-51.87,-6.37,90.09,10.82,16.8,53.23,7.51,4.2,41.24,49.94,-14.92,4.96,52.54,44.13,9.96,83.61,8.98,-36.72,31.2,53.43,-10.09,-53.86,33.94,84.73,0.0
3.0,3.0,2.0,-14.94,12.77,-303.58,-97.24,8.98,-18.43,-1.25,2.01,-18.64,242.8,-69.81,0.66,30.64,0.9,-7.17,98.92,60.06,-79.52,-22.6,21.53,-8.65,-131.43,-23.62,96.76,1.0
1.0,1.0,2.0,-27.46,-168.65,148.51,-10.07,-12.64,12.03,-1.54,-1.32,6.6,-222.23,28.66,-4.54,29.04,-82.57,20.64,15.09,25.39,115.74,127.14,-9.22,-33.44,5.27,-4.19,-144.6,2.0
3.0,3.0,2.0,-73.8,-157.69,31.09,154.51,-13.1,14.85,13.84,-3.27,-27.76,-147.28,17.74,0.76,40.49,36.39,3.29,-10.0,-19.33,47.05,-51.27,-86.29,0.29,210.58,-33.19,-58.83,0.0
2.0,2.0,3.0,21.56,72.55,116.44,-69.62,13.97,-47.35,-7.29,-13.95,43.56,-249.92,70.43,-11.52,-27.63,-5.34,-1.75,-59.12,19.99,117.06,-66.13,2.23,39.08,-317.85,39.45,25.57,0.0
3.0,2.0,3.0,-132.14,-4.51,-55.31,102.11,14.47,29.6,13.36,3.42,-25.59,-215.54,3.08,-4.34,5.03,-44.78,11.27,-133.6,-15.22,-47.89,22.74,31.95,-4.9,226.12,-26.91,55.54,0.0
2.0,2.0,3.0,-66.49,74.75,316.53,-28.36,29.73,20.88,-8.55,3.87,-56.99,-231.0,47.64,-1.8,11.07,47.17,-9.72,-33.05,16.57,49.67,-149.72,-61.38,-33.32,181.49,6.5,5.05,1.0
2.0,3.0,2.0,37.12,66.77,50.21,73.77,15.18,-32.09,-7.13,-11.21,-2.97,-129.11,12.02,-3.38,-35.1,-63.81,16.56,20.43,10.28,21.88,-139.16,-67.67,-25.79,156.06,15.48,48.62,1.0
2.0,3.0,2.0,-30.37,69.52,303.44,-11.12,0.97,-31.46,5.6,3.43,-8.0,-222.52,-72.06,-4.38,-58.07,-137.65,-11.39,2.93,3.11,136.86,-39.59,27.68,12.43,223.31,-15.45,-10.2,1.0
2.0,1.0,2.0,50.98,-175.83,164.79,134.8,-11.59,56.65,5.05,-0.14,93.58,-54.08,29.7,0.64,99.56,-42.31,10.1,34.83,43.06,141.55,36.98,10.6,-21.22,92.22,-16.47,24.44,2.0
4.0,2.0,2.0,-21.27,-156.62,164.38,28.49,2.05,-54.49,-0.54,-0.19,69.71,-149.84,13.86,0.19,78.05,-40.95,-5.56,-37.85,-7.89,-48.47,-139.28,38.04,43.27,221.3,-41.38,112.94,0.0
3.0,2.0,2.0,10.82,-97.01,149.79,-77.56,0.75,-11.02,13.03,1.57,19.0,-320.86,36.45,-5.54,-76.13,-36.56,7.42,-49.47,46.96,60.63,-16.76,133.38,17.32,-255.86,-38.31,2.76,2.0
4.0,2.0,2.0,-9.74,-94.87,-24.5,-78.36,7.27,13.59,-2.29,6.36,-51.98,-97.12,31.87,-0.86,20.18,2.4,-2.9,-18.27,-16.44,16.82,-66.45,37.03,-3.87,108.19,-30.02,-16.64,0.0
2.0,1.0,2.0,-14.99,-85.58,109.42,143.1,-3.66,28.41,-0.7,-4.96,-6.04,-80.67,18.35,2.2,35.23,-34.51,12.44,-8.58,26.66,-164.91,8.39,-19.48,-30.8,62.08,6.45,4.58,1.0
3.0,3.0,2.0,59.73,-43.72,64.17,-44.44,-10.16,4.55,-1.91,4.84,79.88,-24.18,33.78,2.54,16.94,18.94,-4.9,34.74,42.75,-37.15,116.95,-4.0,-1.1,-1.07,27.66,-91.47,0.0
1.0,2.0,3.0,-97.74,-65.28,-172.43,-96.36,7.38,21.03,-2.99,12.81,35.34,-25.71,-24.02,-0.19,6.85,-33.52,-17.81,-24.38,39.86,-3.01,55.61,-30.82,-29.71,73.58,6.61,25.82,0.0
1.0,2.0,2.0,26.22,-92.95,7.33,-84.26,0.93,-56.11,-9.44,-8.35,-32.38,-169.72,2.15,-0.94,40.7,49.56,5.8,-61.9,-46.4,223.14,-52.65,-15.68,-18.35,-37.95,30.75,-109.91,2.0
