cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,target
1.0,1.0,0.0,1.0,-147.75,3.96,-1.74,-87.33,123.0,-75.38,-25.67,124.08,-6.94,3.91,88.01,30.18,6.46,26.02,33.52,-60.68,-103.1,-107.63,2.0
1.0,1.0,1.0,0.0,38.61,35.94,-29.92,39.02,-4.79,49.27,14.91,66.4,-90.23,-9.88,-66.6,-38.49,-11.39,-133.04,18.02,11.77,-60.93,165.3,0.0
1.0,1.0,0.0,0.0,-38.04,38.65,5.11,-2.64,-204.21,21.23,15.51,-90.9,-59.94,0.95,105.23,-39.02,3.29,117.62,-124.17,23.64,-105.84,-11.37,1.0
1.0,1.0,1.0,1.0,43.56,24.53,-15.32,-65.61,15.66,-61.74,10.76,32.59,-56.69,0.3,109.63,13.11,10.48,106.09,13.94,9.78,-7.63,-129.8,0.0
1.0,0.0,1.0,1.0,107.45,64.92,21.03,-70.68,84.55,-2.49,4.36,173.81,-17.0,-5.66,323.96,24.7,-4.17,-118.38,-58.69,33.97,36.37,-244.28,2.0
1.0,1.0,1.0,1.0,22.3,45.23,-18.25,79.34,-150.96,-81.06,-7.83,148.97,-39.52,-1.37,118.71,27.85,2.87,110.15,-5.57,0.81,-31.72,-141.87,2.0
2.0,1.0,1.0,1.0,-28.67,174.35,-9.29,-9.58,-146.0,23.53,-10.9,-42.98,21.35,-4.49,242.19,-24.91,-2.62,-37.55,-49.6,63.64,-57.14,-39.84,2.0
1.0,1.0,1.0,1.0,-33.7,69.03,-2.92,60.2,32.24,69.3,-23.62,327.35,114.0,-12.97,484.22,0.08,-0.03,64.11,16.06,-2.26,18.32,-73.34,0.0
1.0,0.0,2.0,1.0,108.24,154.06,2.76,40.17,-24.95,23.8,18.62,43.56,-150.82,7.15,158.52,-47.71,0.73,-34.95,61.64,-4.01,106.92,299.81,1.0
2.0,1.0,2.0,1.0,16.06,39.78,35.59,-33.56,18.0,155.26,40.34,-20.34,112.73,-2.58,173.99,-50.55,-3.54,130.97,-45.89,0.62,42.99,332.77,1.0
2.0,2.0,1.0,1.0,81.67,-165.61,-36.09,-54.54,55.74,61.69,-7.83,-58.14,-89.54,-3.36,77.5,12.76,9.55,-27.71,-26.83,2.33,-42.82,-460.13,1.0
1.0,1.0,1.0,1.0,-73.04,-109.32,-4.15,-65.68,57.44,-29.44,-12.34,169.28,66.72,-0.78,40.51,11.49,3.48,50.02,39.01,-3.9,63.6,13.94,0.0
1.0,1.0,0.0,1.0,-21.05,-27.62,-10.52,1.03,-87.08,36.65,26.78,76.32,97.96,-9.14,-10.78,23.33,2.01,-49.77,-68.42,-59.76,43.21,6.45,0.0
2.0,0.0,2.0,0.0,-79.75,140.08,16.73,4.72,-111.92,62.26,-16.16,-26.14,-225.47,-1.11,102.84,-12.53,-28.81,77.48,-79.37,12.19,-87.55,-130.04,2.0
1.0,1.0,0.0,1.0,46.9,105.72,37.93,36.15,92.51,26.52,12.67,-102.34,-14.47,8.8,111.31,-8.55,0.8,-95.74,50.43,-35.83,97.55,78.46,1.0
1.0,1.0,1.0,0.0,44.58,-55.02,-35.85,4.35,-74.16,116.89,-11.89,-15.99,-31.1,-11.62,-44.0,19.59,12.55,-123.41,-7.63,45.27,47.86,-87.5,0.0
1.0,1.0,1.0,1.0,-105.73,-126.28,5.01,16.73,45.51,-37.7,11.11,145.85,22.25,3.28,141.52,19.51,17.55,16.07,-27.67,-31.41,-89.02,10.35,0.0
1.0,1.0,1.0,0.0,-148.88,-82.49,8.07,58.12,24.75,-109.41,-12.19,16.63,2.62,-1.81,412.57,-75.99,21.5,17.7,52.3,-17.49,-64.76,43.4,2.0
1.0,2.0,1.0,0.0,-10.48,-98.16,-63.85,40.73,26.81,57.79,8.49,-162.4,16.07,-9.53,45.44,-35.1,27.17,48.76,-3.66,55.76,35.9,-207.27,0.0
1.0,0.0,1.0,1.0,-7.62,162.26,28.74,-108.37,-29.75,-48.35,9.93,-94.59,43.25,12.28,137.15,-6.72,-1.48,42.68,-71.98,-5.62,-160.21,2.24,1.0
2.0,1.0,0.0,1.0,-19.83,-78.76,-14.07,-46.47,-105.62,-172.84,-1.86,31.08,-136.16,0.54,-513.86,35.45,-14.32,-93.05,-48.61,23.47,-8.9,222.85,2.0
1.0,1.0,0.0,1.0,46.45,19.9,-4.68,21.56,-170.98,0.47,-7.3,139.35,34.81,6.54,157.33,3.58,16.51,33.05,126.48,4.64,-129.33,232.28,0.0
2.0,1.0,1.0,2.0,11.57,-39.55,-13.9,29.12,-103.36,-97.65,1.27,135.91,0.9,-5.56,-88.39,32.04,-4.66,-30.62,162.91,-37.47,174.43,-21.61,0.0
1.0,0.0,1.0,1.0,-45.47,120.5,-42.44,-61.59,-67.4,-59.87,-8.63,127.82,-13.09,-2.56,69.12,6.0,-6.99,-4.55,-78.17,,-8.02,-79.44,0.0
1.0,1.0,1.0,1.0,1.41,-80.08,-57.94,-30.71,-127.39,26.59,-3.49,19.94,14.08,-8.59,-42.3,-17.74,17.28,-101.35,-80.75,12.9,-60.98,-5.93,0.0
1.0,1.0,1.0,1.0,2.9,-115.12,23.34,18.93,61.19,-26.71,8.06,-159.77,-8.65,3.85,-340.6,41.37,2.92,-51.9,-0.99,38.21,-151.95,-0.79,1.0
1.0,0.0,2.0,1.0,19.09,184.57,12.09,96.76,76.59,-26.88,12.56,-100.2,-143.74,1.17,236.07,-35.0,-0.74,-86.78,44.16,2.98,-40.29,-33.61,1.0
1.0,2.0,0.0,1.0,-28.15,-94.12,-51.34,41.8,25.55,42.74,11.52,-16.21,-11.81,16.58,327.62,-37.05,31.36,-34.6,-13.58,15.29,-93.45,-305.43,0.0
1.0,1.0,1.0,1.0,-40.98,-104.41,-43.53,-44.87,-177.43,-39.42,26.72,31.21,-32.58,-3.36,-359.63,19.62,1.93,14.72,-67.98,7.58,136.36,151.92,0.0
1.0,1.0,1.0,1.0,-51.72,-108.52,20.83,-39.96,-50.44,-126.35,21.36,-73.75,140.55,12.91,41.2,-47.06,5.62,73.87,-26.73,37.83,75.73,58.56,2.0
1.0,1.0,1.0,1.0,41.05,45.97,-80.63,-21.39,107.75,-77.06,0.46,-141.69,-21.85,-2.9,-435.05,8.25,9.75,12.48,44.58,11.31,-133.63,161.89,0.0
1.0,1.0,1.0,0.0,-49.51,20.66,-36.17,0.89,109.82,57.33,-20.0,-83.13,-29.71,12.71,-117.48,10.85,14.52,26.88,-30.65,0.3,86.16,129.69,1.0
1.0,2.0,1.0,1.0,69.02,-110.71,19.08,-47.4,50.19,-41.26,-17.18,-106.71,67.4,-6.44,185.24,-6.34,22.39,-2.94,-126.68,-7.5,-59.62,-129.18,2.0
1.0,1.0,1.0,2.0,16.99,-100.76,-18.43,-30.25,-97.82,-41.21,12.37,93.82,-116.98,2.21,-42.38,19.68,10.23,-235.62,-146.26,-13.82,-165.91,15.91,0.0
1.0,1.0,0.0,1.0,87.11,33.73,-15.91,31.84,44.52,96.11,-28.9,161.31,112.95,8.42,149.24,-25.44,-5.33,-121.39,-12.31,-47.05,28.73,66.7,2.0
1.0,1.0,1.0,1.0,99.12,-93.9,-40.83,71.23,31.11,-53.75,-16.76,-12.28,-51.12,6.13,-287.32,16.84,14.19,-108.7,-4.96,-29.48,-152.54,193.63,0.0
2.0,2.0,1.0,1.0,-10.89,-84.13,13.32,4.48,-89.28,-43.57,23.02,-30.22,68.14,1.53,385.58,-20.67,21.1,-88.99,39.67,-28.87,57.16,-210.14,2.0
1.0,1.0,1.0,1.0,-34.95,-50.78,3.0,37.84,25.51,-77.1,32.93,11.12,63.84,2.27,437.74,-56.2,23.58,30.5,-178.4,-5.33,31.18,-53.07,2.0
1.0,0.0,1.0,1.0,31.41,103.55,39.85,-59.64,-4.52,26.63,-0.1,28.1,52.44,9.66,83.11,-17.4,-0.19,-75.49,-34.7,29.25,-98.41,344.42,1.0
0.0,1.0,1.0,0.0,-162.73,28.12,15.46,67.4,-140.44,-4.69,-1.03,-293.49,-36.26,-11.31,-87.64,1.35,14.69,-22.3,-42.95,-24.18,-14.39,-126.84,1.0
1.0,2.0,1.0,1.0,27.39,-98.99,-46.51,67.48,-74.0,131.62,-6.46,-29.29,-131.81,-3.79,-22.7,23.2,10.71,-61.57,15.18,-17.23,-101.38,-252.65,1.0
2.0,1.0,1.0,1.0,-6.35,16.8,36.02,-33.4,72.74,44.28,31.7,-120.87,-51.66,4.78,160.08,4.24,-1.05,-2.34,-32.13,15.94,83.34,-129.55,2.0
1.0,1.0,1.0,1.0,-91.94,14.19,-13.51,-62.34,61.44,-62.59,-4.25,118.48,-12.46,-3.29,12.08,11.0,-4.34,-48.91,-58.84,37.61,72.22,-16.21,2.0
0.0,1.0,1.0,0.0,-14.97,39.6,-20.84,21.06,187.37,141.8,-9.29,-60.37,-80.21,-0.19,318.84,-56.25,23.89,84.59,58.78,21.8,101.29,20.84,1.0
0.0,1.0,1.0,1.0,70.36,3.17,-12.67,-96.32,93.47,109.68,-6.89,-194.2,-109.41,9.33,-39.37,-34.67,20.15,194.67,-31.41,-65.39,-60.67,138.8,1.0
1.0,1.0,2.0,1.0,-39.17,150.15,-12.58,-24.91,-1.96,17.09,-14.39,132.79,-182.24,0.55,498.22,9.65,25.93,-132.03,-17.27,-17.49,44.05,-165.07,0.0
1.0,1.0,2.0,2.0,-25.92,32.36,-20.63,-37.64,124.49,89.65,-3.41,149.04,107.68,14.92,471.61,-42.44,5.67,51.99,109.73,-1.31,19.64,-208.42,0.0
1.0,2.0,1.0,1.0,-25.3,-110.65,-5.5,-17.23,-27.38,11.63,-7.52,98.69,66.45,6.16,69.41,10.59,24.37,-62.19,-4.68,-43.62,5.73,177.35,0.0
1.0,1.0,2.0,1.0,8.67,110.44,-23.77,13.35,-16.76,-2.19,5.41,-130.09,-114.45,-20.86,-101.4,-38.98,-3.18,118.76,-48.52,23.05,144.4,130.48,1.0
1.0,1.0,1.0,1.0,49.03,85.5,1.19,14.13,-20.81,86.19,19.57,-53.66,-26.95,-10.97,39.11,3.42,-2.12,-159.69,-108.66,48.7,76.59,-37.42,1.0
1.0,1.0,1.0,1.0,-113.76,99.67,11.89,38.54,105.54,92.76,-0.41,-57.14,63.73,-0.46,-27.59,-28.4,-2.67,-15.68,95.64,31.53,94.88,391.25,1.0
0.0,1.0,1.0,1.0,33.48,73.12,2.63,-59.34,25.17,7.9,18.41,-198.65,-7.45,-13.3,28.53,-15.08,20.04,-97.75,-139.01,3.22,118.53,-3.65,1.0
1.0,0.0,1.0,2.0,101.12,149.29,22.26,-30.57,-88.65,178.02,-10.9,181.65,13.99,-1.58,496.82,-32.63,-5.82,9.16,89.52,-32.84,-59.09,25.76,0.0
1.0,1.0,0.0,1.0,23.57,-140.56,-24.9,-62.17,125.66,-156.07,12.31,-33.16,-132.86,12.05,-493.07,50.43,4.93,87.32,154.69,-64.53,22.08,139.72,0.0
1.0,1.0,2.0,0.0,-32.35,95.73,7.8,15.6,66.18,36.42,7.05,-126.32,-31.41,-5.84,-8.47,-7.05,8.13,-55.04,-43.62,-30.42,-127.88,135.9,1.0
2.0,1.0,1.0,1.0,15.1,49.65,-48.78,-0.84,60.78,-107.2,-16.5,100.2,-15.9,-26.8,-247.09,14.41,-16.11,-32.19,-24.31,23.87,-10.25,91.74,2.0
1.0,0.0,1.0,1.0,-64.37,-18.45,-13.97,48.46,25.09,-143.24,-17.84,122.03,-100.06,-25.74,-143.56,48.86,-2.73,-32.54,-60.9,-27.29,29.22,-86.72,2.0
0.0,1.0,0.0,2.0,52.22,-25.41,-73.75,63.78,-95.01,58.08,-2.05,-21.03,-60.3,4.92,151.29,-27.57,25.31,186.76,-7.87,-8.91,-136.05,-206.96,0.0
1.0,0.0,1.0,1.0,161.74,13.48,20.38,-50.65,-152.48,-14.45,12.34,-95.95,85.0,-14.99,-79.78,-10.48,-10.36,-12.23,76.44,0.47,78.44,-22.27,2.0
1.0,1.0,1.0,1.0,-28.8,26.61,12.93,-46.5,-157.04,-92.21,24.09,-105.01,-179.24,1.72,63.28,-8.07,11.78,8.04,-71.02,21.45,54.93,44.63,2.0
2.0,1.0,1.0,1.0,-10.85,-59.66,26.01,50.76,-3.55,-45.08,-8.07,-155.24,-121.48,-1.02,-40.03,19.7,7.06,-34.41,80.5,-11.39,81.03,-94.22,2.0
0.0,1.0,1.0,1.0,62.46,66.23,20.47,24.01,7.73,11.71,7.35,-101.07,-30.0,3.72,180.21,-25.73,13.1,38.1,-42.69,-35.65,4.95,-13.36,2.0
2.0,2.0,1.0,2.0,-6.4,-34.68,-11.68,4.49,56.93,71.23,25.68,-32.04,119.66,-1.94,44.43,14.87,18.53,-253.68,18.79,26.21,0.02,62.7,1.0
1.0,1.0,1.0,0.0,78.03,-68.25,24.11,-1.43,5.05,21.72,-21.55,-168.2,26.9,-7.6,188.39,-8.92,15.48,-131.27,52.9,-50.03,22.31,-229.83,2.0
1.0,1.0,1.0,1.0,11.14,93.7,4.15,12.99,-2.39,32.54,17.24,-109.62,18.91,-0.22,139.11,-23.48,5.21,-122.87,56.49,-8.36,-39.13,-19.37,1.0
0.0,1.0,1.0,1.0,27.43,62.8,-58.51,-16.18,-124.32,91.81,-2.46,246.17,26.62,-1.38,108.03,-6.27,9.28,242.27,38.22,52.41,-55.99,85.74,0.0
1.0,1.0,1.0,1.0,-54.97,111.46,35.79,75.94,85.52,20.98,-0.57,-27.92,-11.39,-0.92,345.45,-37.95,1.3,-105.76,-90.06,-37.82,0.04,11.1,1.0
1.0,1.0,0.0,1.0,-41.74,56.85,18.99,-34.31,-83.82,67.41,21.43,-5.61,13.93,-24.9,238.01,-25.06,8.84,14.69,-122.46,19.68,148.7,59.94,1.0
2.0,1.0,2.0,0.0,65.2,-46.19,-11.51,23.37,-55.41,86.86,9.67,-34.11,18.07,0.66,269.46,-2.37,10.02,-51.11,13.21,34.24,-18.16,-291.61,1.0
1.0,1.0,1.0,1.0,83.94,33.05,-21.61,41.33,123.06,-198.36,16.98,-145.72,45.61,5.18,186.8,-19.06,34.15,-14.7,-44.0,5.63,23.74,-48.58,2.0
1.0,1.0,1.0,1.0,-113.27,23.27,-34.77,20.07,77.4,109.29,-0.72,113.26,67.58,3.45,275.54,-35.58,5.69,-85.2,-130.69,-38.13,201.81,-109.84,0.0
1.0,0.0,1.0,0.0,-4.17,132.15,-4.89,95.95,2.21,47.72,2.49,172.67,-118.43,7.27,477.4,10.02,0.39,29.64,-122.58,28.27,-114.84,-341.05,2.0
1.0,1.0,1.0,1.0,25.46,118.23,21.81,-29.53,61.39,21.88,20.96,-31.64,-40.99,-9.31,152.05,-48.37,-9.23,-175.76,-70.08,33.29,-45.14,178.77,1.0
1.0,1.0,1.0,1.0,-117.8,-45.11,3.48,27.22,-77.2,-102.6,3.81,-99.34,-9.54,-1.97,-153.14,-31.28,-12.15,5.47,52.59,-61.77,12.09,-20.13,2.0
1.0,1.0,1.0,1.0,-89.13,39.63,-34.97,56.11,30.76,125.39,-17.83,-18.92,4.39,6.62,-74.36,8.61,15.24,-5.94,-50.26,-25.5,-55.41,153.8,1.0
1.0,1.0,0.0,1.0,142.65,-167.68,-4.29,-14.03,87.67,-14.94,-10.84,96.67,-32.95,4.16,18.78,17.26,17.66,-67.76,40.85,-6.1,38.99,9.54,0.0
1.0,1.0,0.0,0.0,-155.64,-116.76,-25.18,-30.41,127.4,89.18,-10.67,-151.08,7.75,4.9,-570.45,59.37,5.08,-21.43,21.89,24.7,-111.2,62.97,1.0
1.0,0.0,1.0,1.0,-66.6,-24.4,1.65,81.27,-2.07,-71.84,21.46,111.92,193.41,-4.75,-39.37,36.15,-3.01,120.49,-46.55,-7.15,-49.89,-91.85,2.0
1.0,0.0,1.0,1.0,85.56,80.39,-16.96,4.26,308.35,-32.64,32.52,62.17,-109.31,-0.51,-72.21,14.02,-19.93,-48.8,12.67,-28.03,57.85,-87.62,2.0
1.0,1.0,1.0,0.0,-58.71,134.09,8.43,-2.15,33.89,35.22,-7.65,-73.74,60.79,6.59,431.09,-33.44,17.36,100.63,36.98,-42.0,7.01,-127.95,1.0
1.0,2.0,1.0,1.0,-81.59,-69.63,-76.51,-22.62,57.39,-126.19,-9.78,-198.98,-111.88,-15.98,-601.91,13.86,15.48,87.44,-68.91,15.79,45.62,214.88,0.0
1.0,1.0,1.0,1.0,-114.93,-232.94,-59.13,5.7,24.49,-138.82,-44.6,-71.56,48.45,-5.69,-657.09,17.88,-8.54,150.75,-98.03,21.39,91.53,-52.61,0.0
2.0,0.0,0.0,1.0,182.03,44.72,-6.85,-50.24,107.56,-151.04,-5.29,8.41,-69.15,5.39,-345.08,47.99,-27.48,217.38,51.35,-28.34,58.3,-51.55,2.0
1.0,1.0,1.0,1.0,75.6,-106.85,35.09,7.78,82.69,-45.64,16.47,-110.32,35.12,7.55,-227.6,26.82,9.15,29.41,-87.8,-10.17,48.72,72.3,1.0
2.0,0.0,1.0,1.0,35.77,170.1,-30.88,55.13,-84.56,6.94,-3.63,211.69,5.96,4.01,113.59,25.04,-7.93,-57.77,57.75,42.6,-49.22,70.95,1.0
1.0,1.0,0.0,1.0,-1.23,80.42,-15.85,-50.38,-109.31,-62.24,14.53,-175.9,-24.05,3.95,57.19,-2.59,7.18,-69.38,-8.16,-22.69,-132.58,-218.01,1.0
1.0,1.0,1.0,1.0,-9.04,-16.17,-30.58,0.28,-114.68,-125.84,1.32,61.0,24.3,3.33,-147.26,34.59,2.07,75.48,15.54,-35.54,-10.74,-107.52,2.0
1.0,0.0,1.0,1.0,75.76,31.55,-36.78,-26.86,159.18,-39.83,9.62,229.71,-57.57,-2.48,-17.37,26.38,-8.29,110.92,23.71,-8.11,35.85,-20.83,2.0
2.0,2.0,1.0,1.0,-53.42,-165.53,-77.04,-31.69,99.58,40.69,-17.05,-114.92,-124.07,9.62,-107.14,16.17,7.29,167.67,122.07,11.29,47.34,-491.14,1.0
1.0,1.0,1.0,1.0,72.86,-46.51,-54.02,115.79,-43.09,-88.53,3.24,-117.93,42.0,3.36,-387.1,13.01,12.6,-47.9,-63.58,-29.81,-65.5,114.82,0.0
1.0,1.0,1.0,0.0,-24.45,-77.46,-12.54,1.51,3.81,-17.32,26.12,125.92,-63.15,-14.75,-106.31,14.93,9.02,-77.07,-166.52,-14.49,13.28,269.1,0.0
2.0,2.0,1.0,1.0,49.11,-125.92,11.35,24.56,44.64,-53.78,-11.59,-59.1,50.11,2.0,168.44,-46.99,11.74,-101.21,-35.9,52.72,-113.22,8.02,2.0
1.0,1.0,1.0,1.0,33.12,-9.89,-10.51,-60.09,-20.15,1.89,16.15,54.33,86.59,7.1,474.6,-36.52,18.32,-136.26,19.5,44.05,138.42,-273.17,0.0
1.0,2.0,1.0,1.0,-11.23,-171.45,-57.42,-7.94,-162.95,176.8,8.39,-140.9,76.98,4.85,103.58,-52.94,21.62,-190.24,-70.98,-19.08,-24.71,-233.17,0.0
2.0,1.0,1.0,1.0,70.45,126.43,19.58,-56.7,-48.17,-34.16,9.36,199.52,3.83,17.28,342.33,31.74,17.88,-178.99,107.21,7.47,47.47,218.81,0.0
1.0,0.0,1.0,1.0,-65.72,138.61,18.18,-48.08,197.64,26.57,0.53,-24.47,-10.19,-12.0,234.65,-43.84,5.15,99.09,-15.91,1.21,7.79,147.19,1.0
2.0,2.0,1.0,0.0,-6.72,-234.79,62.34,7.01,21.65,83.14,24.48,32.3,57.12,1.47,615.87,-60.39,24.26,27.26,40.36,28.33,-7.79,-87.94,2.0
1.0,0.0,0.0,1.0,-89.29,94.79,20.36,-17.87,150.78,92.55,32.13,210.19,83.08,0.75,37.51,-8.47,-24.87,-11.68,-59.33,23.45,-82.08,259.97,0.0
1.0,2.0,1.0,1.0,53.29,-160.33,-55.72,122.36,13.5,-8.94,-8.6,-66.8,37.26,-15.2,-233.69,-19.26,11.58,23.2,-85.38,9.72,51.17,33.01,0.0
1.0,1.0,1.0,1.0,-53.05,106.01,-44.79,41.93,207.44,-194.42,12.32,-66.29,131.23,-0.28,300.04,-53.49,22.55,4.53,-66.34,24.85,73.54,-65.16,2.0
1.0,0.0,1.0,1.0,-7.46,47.65,-8.78,-4.63,40.61,-0.46,52.93,35.74,52.23,8.3,-13.02,4.87,-17.13,99.4,22.68,48.9,-188.51,-147.93,2.0
1.0,1.0,1.0,1.0,-117.64,-105.2,7.29,41.8,21.74,-53.69,8.75,-19.19,-51.76,-9.31,187.74,-25.84,3.29,5.73,-116.37,16.49,35.11,-215.07,2.0
2.0,0.0,1.0,1.0,-72.87,157.41,-19.48,-8.61,-52.34,-16.05,-3.81,-10.82,-160.38,-8.71,-2.01,1.9,-25.22,12.71,81.29,-82.06,2.76,-172.94,2.0
2.0,2.0,0.0,1.0,29.2,-163.44,-39.64,-17.64,106.74,64.68,13.25,-163.74,-50.44,12.01,-181.68,34.35,6.72,66.89,-29.78,9.39,-148.79,-341.96,1.0
1.0,0.0,1.0,1.0,-12.14,129.73,14.77,42.59,-91.69,27.01,25.96,196.32,-87.58,-5.2,442.71,-6.53,3.26,193.47,-78.47,-31.28,-34.01,-53.37,0.0
1.0,1.0,1.0,0.0,49.26,66.48,-36.66,1.12,74.26,148.75,-19.4,-64.51,-79.44,-5.67,-47.81,9.82,13.68,-27.62,12.85,-22.15,68.28,140.84,1.0
2.0,1.0,1.0,1.0,40.36,-78.08,47.93,-83.41,-108.11,-123.56,24.27,223.36,-53.9,-1.03,73.25,63.43,4.55,21.43,3.61,14.39,-74.46,110.33,0.0
1.0,1.0,2.0,1.0,49.87,27.78,21.95,30.54,-9.26,69.96,8.4,-158.31,-11.63,-5.84,81.0,-16.04,5.82,-58.33,71.06,-16.41,77.69,29.87,1.0
1.0,0.0,0.0,0.0,11.16,133.62,-4.72,-20.59,29.81,23.96,-5.54,131.41,-227.21,15.08,522.69,-32.9,6.61,-51.63,-55.67,41.67,-72.62,-203.31,0.0
0.0,1.0,1.0,1.0,-22.84,83.04,-26.4,45.03,88.44,42.85,-7.04,-33.09,1.3,10.04,152.67,-59.62,13.19,78.73,-47.89,37.08,-3.32,143.33,1.0
1.0,0.0,2.0,1.0,-79.52,127.62,-26.18,-27.97,-8.95,13.93,-28.95,77.23,18.78,-2.21,257.14,-28.39,-0.53,35.75,-163.76,39.39,-175.78,-98.23,2.0
1.0,1.0,1.0,1.0,-122.1,-230.91,32.6,-45.59,-68.66,10.1,6.36,-50.81,-37.13,15.09,14.34,-57.02,-10.87,-117.64,-28.53,-8.31,-49.18,-41.53,2.0
1.0,0.0,1.0,0.0,15.39,178.69,-16.58,76.03,-153.1,-129.03,-16.0,133.19,-5.14,-8.85,234.97,46.13,0.91,-63.09,62.81,6.27,-55.15,-249.34,2.0
1.0,0.0,1.0,2.0,103.45,9.85,-8.21,-85.48,70.95,-88.97,26.05,158.85,0.36,1.3,-157.72,59.43,-17.77,-107.3,67.83,11.12,-230.79,-162.81,2.0
1.0,1.0,0.0,1.0,1.81,-121.3,-10.23,-66.06,-77.78,-41.85,-5.23,78.35,-20.45,-9.62,19.9,9.39,16.16,-68.92,53.98,-16.89,82.51,29.34,0.0
1.0,1.0,2.0,1.0,-9.58,77.41,-28.02,-24.49,285.81,-38.87,-2.5,137.8,-66.68,1.98,-104.34,19.2,-3.52,137.66,-2.99,-0.09,-148.67,232.04,0.0
1.0,1.0,2.0,1.0,-2.01,-106.15,7.44,-91.48,82.59,-134.81,-31.75,-52.59,-66.52,10.32,95.36,-42.83,10.35,123.08,-72.03,2.43,-39.59,-40.19,2.0
