cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,num_24,num_25,target
2.0,1.0,-54.95,121.41,-71.02,147.57,-23.11,-0.69,41.48,22.87,-24.77,5.85,29.58,55.37,24.46,62.15,-12.01,116.85,-1.4,-2.92,-63.2,10.3,76.29,120.89,-58.05,2.24,-40.88,-38.73,0.0
2.0,2.0,29.22,231.9,110.96,23.4,-3.52,-134.36,-27.5,-141.98,-12.91,3.34,106.06,-10.9,-7.59,4.76,3.85,-34.76,2.79,1.37,-55.34,-1.52,-51.69,65.22,2.67,0.45,0.96,-36.68,0.0
2.0,2.0,-56.9,25.29,42.35,-431.81,3.24,-48.49,80.57,82.5,-16.49,1.06,-90.1,-15.48,18.57,-56.28,34.05,-62.92,2.6,-0.12,-15.96,-28.95,22.54,-65.32,-104.43,-25.95,21.45,-142.99,1.0
2.0,3.0,-7.67,-86.74,-32.67,-234.49,-20.27,53.99,25.61,-218.03,-41.92,-9.5,3.0,-9.76,35.74,-39.45,36.12,1.0,5.84,2.83,-32.61,-8.97,57.62,75.33,-38.84,13.82,14.32,-77.83,1.0
3.0,2.0,-112.07,-149.35,-107.73,-311.71,30.73,73.0,-12.17,106.3,30.69,8.31,-74.63,2.99,11.06,63.2,-5.44,48.03,-0.52,8.58,80.59,-9.86,41.59,74.67,-155.34,34.63,-4.98,-51.27,0.0
2.0,2.0,-23.08,-38.37,32.25,-134.93,11.47,64.48,-47.83,-110.26,33.87,3.85,-25.45,-38.42,10.25,-1.34,19.47,2.87,3.01,0.45,-21.69,-20.69,6.37,-100.43,16.38,-10.66,45.53,84.77,0.0
2.0,1.0,18.79,29.75,-103.82,-3.84,-40.6,-12.07,-94.43,-73.18,-5.61,-0.5,10.08,-7.45,-13.75,42.56,-18.13,40.66,6.2,5.33,-26.32,-15.51,98.78,-55.73,-100.88,-43.7,-40.52,216.46,0.0
1.0,2.0,148.67,-214.63,-128.72,-130.82,28.21,2.46,-69.8,-59.73,-36.18,3.55,-36.26,12.9,16.38,-12.72,35.73,-1.36,-0.76,2.96,27.57,18.66,48.04,-102.58,-42.79,-22.77,55.8,242.53,0.0
3.0,2.0,90.26,-68.91,-192.12,-321.74,48.64,110.98,-74.61,57.1,19.12,-7.31,-16.08,14.61,-37.2,-4.91,24.48,-15.95,1.55,-1.61,-40.84,27.03,118.46,-11.77,-44.13,13.91,23.74,60.44,1.0
2.0,3.0,56.21,-42.28,74.38,98.95,-7.07,-67.05,-109.58,-42.66,-31.62,1.57,-9.28,-41.53,-8.58,-14.22,3.71,143.29,3.63,-6.02,6.49,-6.13,-60.39,9.96,33.0,-18.63,-1.61,113.47,0.0
2.0,3.0,21.66,-120.71,-40.53,-32.95,29.51,65.01,-103.39,-30.08,-15.63,2.0,-32.39,2.03,-9.15,-2.6,-36.62,23.46,0.24,-1.8,-11.8,-1.42,14.71,64.64,23.29,-15.16,36.56,266.71,0.0
1.0,2.0,-161.21,3.62,-36.67,-128.26,4.16,-46.79,72.03,85.91,-16.71,0.12,-84.62,8.58,-4.61,51.2,3.0,48.76,-2.56,6.23,-23.79,19.44,19.74,-49.8,-46.98,9.81,7.2,-96.65,1.0
2.0,2.0,27.77,-132.67,-79.59,58.45,2.7,-45.19,-102.99,23.78,-1.43,-1.7,-116.64,-5.18,12.61,4.44,28.02,-14.21,0.83,,-16.7,11.31,81.51,122.94,-90.03,8.87,-38.82,-194.37,0.0
1.0,2.0,-99.4,-99.93,-68.5,-34.54,26.67,68.46,-79.78,23.69,-49.87,1.05,-23.33,35.91,-29.49,-11.08,15.97,56.02,1.65,-6.88,-35.65,-1.05,81.77,-156.52,-38.28,-15.98,-0.69,-73.25,0.0
2.0,2.0,-27.5,-48.15,80.27,-115.52,-63.07,1.65,-161.96,46.55,-18.4,-4.24,202.59,2.36,-6.28,26.75,-21.31,-9.0,3.76,-1.17,-14.04,19.44,-22.74,-68.62,196.54,41.35,-20.1,-508.09,1.0
2.0,2.0,-40.54,14.86,4.83,-277.11,-25.52,34.8,-61.09,-142.4,-39.23,4.83,105.91,1.52,53.99,0.62,-8.33,-7.33,-0.92,1.99,-69.37,2.41,60.27,19.62,78.67,39.44,11.42,-261.4,1.0
2.0,1.0,-134.92,-109.63,-192.27,-521.69,-10.78,3.61,38.1,-161.91,-2.46,-9.82,-83.0,16.36,58.23,12.1,-11.36,-42.71,0.3,0.76,-57.38,-2.85,205.13,7.42,-36.27,10.15,-60.34,-100.7,1.0
1.0,1.0,-81.38,-67.92,-187.12,-293.5,-37.51,87.92,48.37,8.8,38.21,9.1,22.0,-66.74,-12.1,8.56,-18.88,-59.17,-0.87,2.02,4.58,18.02,118.57,-40.84,-48.36,-43.74,-36.35,-88.92,1.0
2.0,2.0,-185.12,-9.42,-113.12,23.75,-38.9,-4.58,110.85,15.68,5.21,0.07,-36.44,14.38,52.62,54.18,37.14,3.19,3.42,1.81,75.6,11.74,-14.41,-55.92,-200.32,-22.29,-13.55,218.67,0.0
3.0,2.0,-28.1,-117.91,-108.07,-172.48,17.91,48.02,2.18,97.79,25.02,-13.2,71.91,-5.96,-6.61,91.8,11.24,8.84,-4.07,1.98,13.98,4.92,49.24,-37.46,-59.31,57.94,37.25,203.24,0.0
3.0,2.0,-165.47,-22.77,-20.97,-18.08,-37.54,43.45,-31.08,48.78,4.09,-10.86,-175.69,-38.05,-62.3,-7.51,-32.17,2.95,-2.46,2.2,12.53,-10.53,-6.68,-75.91,-62.33,21.23,26.68,223.49,0.0
2.0,2.0,45.32,13.81,39.17,-107.87,9.29,25.22,-136.91,-32.16,-28.83,-7.84,-51.39,33.73,17.87,60.73,5.05,62.71,1.88,0.97,-6.29,-18.32,-13.97,23.99,-0.97,21.9,33.69,101.12,0.0
2.0,3.0,22.52,5.58,66.2,79.21,-18.04,66.82,45.49,43.19,3.33,-3.22,124.5,61.82,30.82,-18.59,-10.74,-52.85,2.77,-4.92,-49.48,-21.55,-17.1,-103.88,65.65,39.14,12.18,183.83,0.0
1.0,3.0,21.85,-135.86,13.45,181.28,-19.75,186.13,-101.4,-131.44,17.73,-8.03,6.79,-24.08,-22.95,56.98,22.39,50.82,-1.25,5.42,8.74,8.38,-20.75,37.33,113.01,-12.22,36.54,-95.43,1.0
2.0,3.0,-20.53,32.33,13.71,-439.06,11.05,-96.65,-26.0,-45.68,-34.39,-3.12,197.42,-49.44,18.27,44.33,-4.47,-27.45,4.0,1.39,-29.04,1.36,2.9,140.92,-43.41,18.99,25.55,-52.14,1.0
2.0,2.0,88.35,-72.59,-36.12,18.39,54.5,31.58,-24.62,-188.01,-6.72,4.9,75.17,26.07,-10.18,-5.15,10.14,-5.39,3.9,1.64,-27.38,10.67,51.56,-37.37,7.54,-99.34,33.82,-120.08,1.0
1.0,1.0,-72.74,-84.37,-258.38,-455.27,-43.07,73.53,207.46,74.72,41.79,-6.56,4.42,-10.02,-12.03,14.53,-10.11,-34.03,-3.79,-2.91,-67.46,22.54,189.48,53.93,-51.73,17.89,1.85,175.31,1.0
2.0,4.0,-5.2,-7.26,13.24,65.42,17.44,102.84,226.57,-49.52,-11.3,5.79,207.39,46.56,6.72,8.18,39.18,22.52,-0.84,0.63,-13.0,-9.57,-34.8,24.52,4.29,-68.31,3.02,236.19,0.0
2.0,2.0,-95.31,-65.23,-60.32,-17.48,-31.54,-4.68,16.08,-34.82,27.43,-7.25,51.68,36.3,-17.61,28.29,13.87,41.38,-2.96,1.79,29.9,17.29,5.71,-16.48,-105.31,16.74,14.81,-68.86,1.0
2.0,3.0,-149.27,-99.73,-60.18,-10.6,13.22,43.24,-7.16,19.41,-14.62,-4.24,-11.06,-18.44,46.58,-27.14,-8.51,66.05,-0.47,-3.89,10.69,4.58,7.65,32.25,-37.96,10.14,22.41,220.0,0.0
2.0,3.0,-4.14,-70.93,21.83,-103.91,-32.99,143.28,-66.52,4.66,-0.91,9.84,15.42,-7.16,-61.22,-40.43,42.44,-17.69,1.66,3.43,-36.28,-12.99,18.82,33.22,-2.84,24.16,48.62,-104.91,1.0
3.0,3.0,-52.85,-23.05,-4.54,89.53,-6.99,97.61,117.18,-45.41,-40.76,-3.64,58.18,-20.7,-17.62,-14.12,3.14,19.17,2.72,7.96,11.68,14.96,-11.6,40.32,-23.96,-67.64,-23.94,-336.06,1.0
3.0,3.0,17.93,-35.98,3.31,-337.42,-11.7,-3.67,150.97,69.43,-27.84,2.69,-35.77,16.79,8.7,-4.85,16.93,1.8,-3.17,-4.06,-39.76,28.48,2.13,-177.28,155.62,33.04,-4.54,-240.08,1.0
2.0,3.0,10.87,35.22,34.89,114.59,17.77,-125.86,-6.72,-130.99,2.49,-3.18,55.89,15.18,43.49,-6.64,-12.82,-42.65,-2.23,-1.72,-48.7,-5.95,-4.15,69.45,-46.37,-17.41,-29.99,143.5,0.0
2.0,2.0,2.38,-64.5,-76.45,-201.96,34.14,20.54,51.28,-13.91,1.66,1.09,29.88,53.22,-67.25,31.09,58.34,26.51,-4.91,0.73,-66.81,2.79,112.64,35.18,-42.82,-29.36,-23.62,-213.79,1.0
1.0,2.0,-166.83,-81.29,20.46,-173.73,-39.8,50.49,-99.18,-94.14,-11.51,-2.59,-57.14,-26.17,-32.85,-19.99,-5.7,-36.71,1.36,-4.75,-50.11,4.75,59.84,-66.36,131.56,-3.57,0.77,-419.99,0.0
2.0,1.0,3.77,98.23,-90.63,-226.77,-16.92,30.47,120.07,-12.56,52.77,4.49,-10.51,-17.81,51.68,55.05,-13.16,60.49,1.15,10.68,-17.58,11.59,78.46,35.6,-78.1,-12.79,5.53,-206.55,0.0
2.0,2.0,7.2,-107.67,-174.25,-135.27,25.46,-0.29,-25.44,-31.66,37.26,1.75,-51.57,-9.2,-64.06,38.97,11.43,-13.8,0.64,-3.71,-37.17,10.55,154.73,14.51,-211.67,-39.37,-35.28,-196.94,0.0
1.0,0.0,-96.37,-29.57,-200.97,-81.63,-87.99,33.96,-27.27,-58.95,32.7,-0.61,-23.42,77.08,20.35,-7.89,6.65,68.72,1.45,3.7,6.6,-0.11,121.45,-16.79,-42.98,13.71,-50.0,387.82,1.0
2.0,1.0,18.38,-1.85,-136.23,-90.74,-15.58,45.03,-109.69,38.56,-77.35,6.51,59.43,28.13,24.58,-25.77,-19.91,86.63,4.23,6.72,-32.92,2.23,122.33,-27.49,-118.02,13.98,-20.92,-47.83,0.0
2.0,1.0,-29.16,24.82,-139.14,-167.32,0.84,53.48,-154.93,28.4,-26.62,3.14,-81.05,-6.41,-4.43,73.92,25.18,34.93,-1.1,-6.27,-5.38,33.3,85.2,-5.07,-71.94,-25.87,2.73,-276.35,0.0
4.0,1.0,-248.1,-5.73,-96.34,-245.9,-5.11,3.16,-43.04,-69.26,-36.06,-6.64,-179.72,-6.39,-8.94,15.93,-15.36,-17.59,2.27,-1.27,-14.32,16.52,76.7,47.14,-78.33,-22.34,-8.02,-226.71,0.0
4.0,1.0,-22.99,-66.23,-88.14,-255.86,16.18,-5.62,-188.14,-171.19,-63.4,-3.52,-138.86,-55.36,62.78,-33.45,0.12,17.42,-5.23,2.48,59.9,1.04,26.14,-10.67,-119.51,-28.08,27.61,54.75,0.0
3.0,3.0,-45.53,-44.01,43.39,79.43,-22.82,147.21,-96.75,27.21,-46.49,-7.62,-42.54,5.02,-10.95,35.54,-2.88,1.8,-3.63,-4.57,15.33,14.2,-74.12,238.92,112.66,5.68,18.53,-68.72,1.0
1.0,2.0,59.78,-20.23,-12.45,242.9,-36.33,-98.21,-82.75,-0.99,-28.88,4.56,129.76,24.14,-19.12,-17.84,9.01,39.91,4.27,4.08,-37.99,-0.07,43.42,44.23,-71.38,53.39,-44.52,-26.24,0.0
2.0,1.0,88.99,-30.7,-148.21,-152.02,16.63,0.63,103.58,20.61,18.44,-4.61,182.24,1.23,-6.34,20.14,26.97,56.41,3.78,-0.64,5.16,33.87,97.49,-86.51,-60.69,22.59,-40.09,-328.98,0.0
1.0,2.0,-15.52,-121.24,-74.13,-274.93,75.7,-12.16,109.85,-7.39,-22.63,-4.59,-144.31,-42.12,59.74,27.49,-22.06,-61.23,4.07,7.24,74.35,-0.41,15.76,-73.08,-106.78,37.6,7.93,-23.16,0.0
2.0,2.0,-92.5,-37.72,-83.08,-72.24,-19.13,52.6,-58.33,41.06,63.99,-3.79,51.5,12.88,-13.21,100.02,-17.99,-57.61,5.61,0.4,48.9,0.32,2.99,29.87,-143.76,-30.85,-11.91,110.04,0.0
2.0,3.0,-87.94,-133.81,12.97,-76.54,1.31,23.64,61.82,157.99,13.97,-8.06,-15.86,13.44,-13.69,25.2,9.52,-38.31,0.98,0.34,-1.68,-5.83,-3.87,12.43,54.89,-25.28,12.91,68.68,0.0
2.0,3.0,171.49,-28.06,-26.11,-286.53,6.9,-37.28,-75.8,4.6,-42.48,-2.58,-136.7,-8.74,-8.14,6.63,9.19,-24.84,0.58,3.96,-43.95,12.53,37.88,17.25,2.42,-2.62,11.84,-116.09,1.0
2.0,2.0,9.91,1.1,-41.44,-20.63,38.69,26.51,-77.15,-127.08,-19.23,3.7,-32.15,-39.19,-18.12,13.1,33.81,72.13,-2.13,7.25,-19.25,5.8,48.83,-18.36,-18.48,39.55,-19.72,-159.47,1.0
2.0,2.0,-10.25,-73.64,-6.27,72.77,19.77,103.89,4.17,26.73,6.65,-1.03,-13.49,-6.29,-23.19,22.07,22.78,41.0,-3.78,-5.84,68.64,5.95,-19.68,-34.26,-44.45,24.01,-55.46,-440.86,1.0
1.0,2.0,-48.06,37.48,-69.58,177.86,52.06,-51.49,-36.8,35.34,-23.59,10.08,115.37,-2.92,10.88,16.37,9.18,-68.6,-4.33,0.77,-41.75,15.08,51.68,41.44,-73.83,-15.14,-39.21,41.25,0.0
3.0,1.0,5.93,-100.15,-24.76,364.01,1.57,173.02,-68.67,121.61,-34.63,2.85,-60.47,24.27,2.18,0.03,-4.27,-44.64,-1.69,-1.55,-18.33,4.15,55.04,9.87,55.86,-12.65,25.25,-202.07,1.0
2.0,2.0,-183.06,4.89,-84.22,-285.62,-25.54,-43.0,-114.18,-97.04,19.62,1.92,-121.06,13.13,-118.53,-50.87,26.52,58.37,0.79,0.9,-1.8,25.27,34.49,114.83,10.64,-10.95,-36.78,-86.35,0.0
3.0,3.0,67.76,-0.5,-40.87,-53.75,-44.03,170.47,25.01,94.84,-25.63,5.27,-206.97,54.71,32.56,-54.54,17.0,74.66,5.12,-3.56,-0.7,-17.74,-1.7,76.8,-63.59,-70.28,10.41,275.05,0.0
1.0,2.0,59.37,-170.15,-136.44,351.76,1.33,35.22,-41.59,-47.33,-30.68,-3.28,86.85,4.73,-36.9,9.92,6.31,13.29,2.23,-0.75,-28.91,8.04,103.85,-137.96,-60.72,-66.93,-55.7,159.1,0.0
2.0,2.0,18.85,18.19,-94.36,69.36,-22.96,-10.71,-48.34,80.64,0.51,1.9,-99.21,38.68,42.28,-16.24,33.23,101.62,-0.01,0.44,-51.79,11.75,74.12,-5.41,-69.73,40.04,-43.45,60.26,0.0
2.0,1.0,31.35,-143.96,-192.9,-401.68,-15.45,50.01,182.1,92.27,34.28,-6.52,-71.79,1.89,-7.68,-26.46,-16.13,123.56,1.0,-2.6,-32.44,1.48,172.18,31.07,-48.97,21.79,-55.99,-51.98,1.0
3.0,2.0,60.49,14.55,-49.2,-339.39,-30.9,-17.74,80.76,-186.39,-5.52,7.62,-50.44,-25.95,2.86,-27.97,4.74,32.2,-2.67,-5.38,-58.06,19.4,46.23,70.48,70.8,-6.0,19.65,-1.16,1.0
3.0,2.0,-110.12,-13.77,-106.13,-81.32,5.78,113.88,117.83,-55.85,26.91,-3.92,-46.95,-6.52,34.28,-19.79,7.48,-10.83,3.96,3.23,8.83,25.06,37.69,-33.03,-33.61,38.62,18.65,-86.42,1.0
2.0,2.0,130.68,105.69,-42.32,-209.96,-43.7,-22.16,46.12,104.77,12.75,2.16,-111.15,-32.64,-22.58,-32.36,-20.2,-62.53,-0.22,-6.91,-20.88,34.68,12.02,61.75,56.66,-10.74,-25.88,-241.12,0.0
3.0,2.0,88.74,88.52,-20.48,181.24,-14.61,109.93,7.63,-59.58,-28.64,1.74,60.45,13.75,82.8,-20.59,-16.4,-104.0,2.74,-2.27,-0.39,29.42,-23.62,-223.53,-18.45,-42.27,-21.59,-287.36,1.0
3.0,2.0,63.71,129.78,3.54,-367.03,47.0,-77.8,67.71,134.38,1.57,7.2,0.17,-22.83,-11.5,-31.31,5.82,-67.31,-1.53,3.71,-9.6,23.93,-19.65,-5.87,59.88,-14.55,-16.78,-190.09,0.0
2.0,2.0,-14.77,97.12,-89.47,45.15,-8.57,16.09,-36.31,99.05,-12.47,-1.17,33.88,7.82,27.33,20.25,14.81,-56.56,0.18,-3.63,-101.08,12.68,94.08,-77.89,-25.45,-1.43,-74.43,2.83,0.0
3.0,2.0,69.26,-68.86,-76.73,-225.84,16.5,60.58,-144.3,190.53,34.38,-1.97,106.16,4.05,8.19,19.98,-36.16,5.7,-1.65,-0.98,43.8,-0.71,5.14,82.4,-77.71,2.11,39.36,200.46,0.0
2.0,1.0,-23.15,-41.44,-63.66,61.82,-40.62,70.56,6.71,-133.33,7.13,-2.65,-54.27,-27.47,21.99,-27.86,3.71,-82.81,-5.57,5.58,13.41,-10.26,66.53,32.75,-38.33,-0.49,-67.94,-146.12,1.0
2.0,2.0,-14.14,-49.73,-59.56,-156.27,23.59,-1.04,126.08,-59.77,30.96,-3.71,-43.06,52.8,66.65,-15.35,11.43,17.01,1.04,-0.04,78.0,-3.67,-8.48,26.2,-156.9,47.75,-8.21,4.44,0.0
2.0,2.0,-75.53,-39.0,55.83,-7.38,-22.78,54.19,-73.31,45.58,-14.85,-0.83,144.59,-4.6,25.22,-26.71,24.7,-26.51,1.17,-0.57,0.05,-7.67,-11.22,54.87,8.17,-4.75,22.7,-243.39,1.0
3.0,4.0,-152.08,-63.56,22.79,-194.66,13.54,26.03,-98.89,-32.73,13.02,5.72,179.39,27.3,-38.51,-66.42,-2.2,58.58,-2.95,5.34,18.91,-6.2,-41.16,122.13,-77.14,-7.85,39.44,26.72,1.0
3.0,2.0,-27.77,-112.62,-111.55,-147.43,102.7,85.77,-86.64,25.23,-49.77,2.91,-14.74,16.06,1.59,4.82,11.36,-39.74,4.51,3.5,39.93,-1.37,32.49,-29.99,-93.56,55.76,1.53,192.38,0.0
2.0,3.0,-78.48,16.2,-41.05,-60.9,25.94,100.8,-41.11,-2.18,22.95,3.93,29.77,-7.23,14.84,-17.47,-8.74,-24.99,0.5,-1.4,33.21,-12.45,-15.31,26.01,-122.95,21.03,14.15,189.96,0.0
2.0,1.0,-91.28,-59.05,-53.89,-259.62,28.39,-18.17,119.57,106.7,-41.07,3.67,-124.22,-38.8,20.02,-40.53,-3.04,0.63,1.39,0.51,12.14,10.49,50.47,94.2,-38.29,-6.79,3.38,-264.83,0.0
2.0,3.0,-33.03,-7.57,40.82,-36.44,55.03,14.04,158.39,84.6,-32.98,2.79,0.12,10.67,41.94,-25.32,34.0,29.74,-2.92,-0.14,15.91,-15.8,-33.3,78.58,-23.64,0.46,4.99,62.82,0.0
2.0,1.0,86.07,7.08,-96.14,-187.11,-22.96,-20.76,163.07,-91.23,-10.63,9.0,45.35,4.84,-10.43,75.17,-44.36,-2.46,-0.19,-5.28,-14.19,11.98,84.31,-5.07,-85.57,-19.36,-24.75,-202.03,0.0
1.0,2.0,154.67,71.88,-35.34,-234.1,-1.2,-102.48,-137.67,-174.95,-20.33,7.15,116.02,18.44,-8.25,-59.38,1.39,18.86,-0.52,-7.97,-3.41,3.8,29.71,60.96,-73.99,-22.66,-19.92,-62.33,0.0
2.0,1.0,-71.13,-10.33,-149.37,-214.67,-6.07,56.94,-17.52,9.43,-23.79,0.89,47.04,7.85,-33.0,82.05,-2.03,12.04,2.08,6.24,-27.05,6.23,118.02,56.58,-113.24,16.34,-14.4,-41.29,0.0
2.0,3.0,162.29,-41.68,-21.1,-9.19,23.45,113.78,-7.77,109.11,13.66,7.96,29.69,41.36,-51.62,27.31,41.34,44.11,-2.15,0.51,-20.14,10.79,-2.74,-49.84,29.28,-26.95,23.85,11.1,1.0
2.0,3.0,215.89,-77.18,62.86,-31.37,22.95,62.03,-5.46,31.97,-22.54,6.73,-215.82,17.67,40.0,25.46,29.62,-112.8,0.85,0.83,-22.55,-23.06,-15.08,-73.42,54.99,-9.42,4.64,61.88,0.0
2.0,3.0,22.97,-104.51,-6.64,-6.02,30.75,14.34,-4.36,-66.77,-0.74,6.92,42.42,-3.99,42.94,-57.71,1.84,-38.88,-0.15,-1.91,27.06,-6.66,-19.12,160.89,-34.34,32.53,1.77,129.38,0.0
2.0,3.0,-125.64,-78.04,-7.08,-32.32,-1.07,-101.44,16.26,0.75,16.83,0.98,73.0,5.75,-10.7,0.81,-9.01,-12.45,-0.17,0.25,-0.86,15.74,-15.17,84.93,33.75,34.05,-33.67,40.13,0.0
2.0,2.0,-78.33,-7.23,-11.78,-146.64,-46.74,-139.88,57.31,31.98,22.09,10.96,-148.78,42.3,-1.63,36.37,-29.92,35.22,6.78,4.04,-12.96,-22.93,46.54,25.41,-112.15,8.35,-37.56,90.4,0.0
2.0,1.0,-38.03,-57.19,-164.87,-171.06,-1.64,91.82,164.08,-61.98,21.29,-1.52,121.47,21.87,-7.99,-7.93,11.91,-73.89,-2.81,-1.15,-25.55,9.62,131.92,26.85,-35.55,30.27,-62.58,-105.85,1.0
2.0,1.0,-37.04,-37.6,-114.41,-166.96,19.85,126.39,9.83,68.6,10.07,-11.67,76.39,-26.54,38.68,-2.28,26.78,-15.07,-2.39,1.81,-11.22,15.4,90.35,-133.29,-24.86,32.45,-36.35,-313.8,1.0
1.0,1.0,53.53,92.2,-97.5,-408.09,-8.92,-49.24,-6.46,-157.28,21.1,6.84,32.07,-25.5,20.98,53.43,-11.41,-105.4,-1.91,1.53,-4.02,28.54,57.03,26.67,-47.37,-22.72,-28.76,-285.28,0.0
2.0,3.0,12.75,20.14,58.53,-92.4,-23.95,63.24,-42.39,-101.73,27.62,0.13,-75.18,-3.76,31.26,-9.09,20.52,-8.71,-1.14,2.65,18.81,-30.77,-27.28,-222.41,-60.16,52.99,-3.49,-45.75,0.0
2.0,1.0,-5.32,-47.97,-29.71,-50.54,33.06,58.31,16.55,6.89,14.24,-12.88,-27.6,23.28,-20.16,-54.32,3.34,49.02,-0.37,-0.5,-36.72,12.93,46.62,44.2,107.72,-67.67,36.88,-61.17,1.0
3.0,2.0,-35.8,65.32,-49.29,-68.22,16.79,117.26,22.67,55.17,19.93,-12.71,-53.56,-6.02,52.85,12.37,35.93,-15.23,-1.36,1.25,11.42,-15.08,-3.61,120.19,-115.82,-17.18,29.78,300.88,0.0
2.0,2.0,53.63,-106.9,-37.04,-281.11,35.25,27.1,-4.51,32.32,-27.71,-2.09,104.41,-25.76,-62.52,-1.79,-36.83,-5.62,2.01,3.3,36.6,-5.5,12.31,39.36,-27.71,-16.18,24.78,19.42,0.0
2.0,2.0,63.58,-46.46,14.36,-153.25,28.77,97.44,52.51,-7.92,-4.72,1.33,-60.41,14.36,29.14,10.52,-13.07,-1.47,3.34,0.35,-13.85,-7.91,5.64,-76.28,65.16,-20.38,52.61,21.47,1.0
0.0,2.0,96.09,-8.84,-72.44,-329.47,-19.78,-54.57,-67.24,24.91,0.13,-0.32,68.32,10.19,36.38,-54.19,8.45,-111.4,-2.77,-0.96,-24.13,12.73,50.61,-37.13,7.54,18.74,-24.7,7.73,1.0
