cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,target
1.0,2.0,1.0,1.0,-16.32,37.09,-138.43,206.09,-65.94,-31.17,23.09,-100.88,28.53,53.19,-6.25,86.11,0.0
1.0,1.0,2.0,1.0,-142.08,-4.6,52.3,188.37,59.92,-86.04,502.94,-150.47,18.88,206.39,47.49,-39.05,0.0
1.0,1.0,2.0,1.0,-405.41,1.59,75.39,-124.79,-45.83,39.68,-165.11,-156.41,177.26,-30.51,58.65,158.77,0.0
3.0,1.0,0.0,1.0,622.17,23.46,-281.45,83.04,41.36,-41.51,-237.52,211.37,129.27,-4.46,24.2,-13.34,2.0
2.0,2.0,1.0,2.0,167.75,-29.51,95.28,-50.25,29.68,-65.39,313.62,-227.12,267.45,-30.57,-41.13,-212.7,1.0
1.0,1.0,2.0,1.0,-188.95,14.63,26.06,87.88,-44.73,-73.33,230.31,0.75,-88.89,70.96,53.94,159.39,0.0
1.0,2.0,1.0,2.0,-149.6,1.38,110.98,263.31,19.39,13.48,,-321.92,126.12,186.4,50.22,13.79,0.0
2.0,0.0,1.0,2.0,-153.16,6.8,106.0,55.48,-13.85,-108.44,-45.1,-78.09,20.5,85.28,-6.4,188.22,2.0
2.0,0.0,1.0,2.0,107.49,-2.38,257.32,130.51,-50.33,52.73,544.19,-229.53,-29.58,273.27,-43.1,75.56,0.0
2.0,2.0,2.0,1.0,168.17,24.65,-31.26,-168.89,-66.89,22.4,61.46,-4.17,-58.03,121.96,-18.07,42.41,0.0
0.0,1.0,1.0,2.0,-529.95,-7.37,36.31,133.73,82.17,2.56,17.5,-189.24,50.57,12.72,-82.28,-14.24,0.0
1.0,1.0,1.0,1.0,-120.13,-13.97,71.36,59.67,42.65,116.69,234.85,-143.86,110.74,110.51,-22.55,-48.77,0.0
1.0,3.0,1.0,2.0,-154.87,16.33,-14.25,-17.69,41.63,-26.31,166.89,-144.74,165.39,28.98,76.82,121.58,0.0
2.0,1.0,1.0,1.0,-157.6,-7.13,126.39,-110.89,7.24,-19.32,-25.85,-100.76,69.66,96.68,-79.72,76.15,0.0
1.0,2.0,1.0,2.0,-122.69,5.02,-43.35,-48.57,21.15,-10.68,-177.73,54.72,60.55,159.02,-7.21,101.79,0.0
1.0,1.0,2.0,2.0,-522.86,-17.79,-25.22,340.31,-94.45,8.19,-182.08,205.46,-102.91,-151.15,-63.84,151.5,1.0
2.0,2.0,1.0,2.0,170.45,11.92,-118.41,101.93,-74.21,24.62,96.78,66.83,19.7,-17.55,63.18,-0.98,0.0
1.0,2.0,1.0,1.0,-192.38,-2.97,-31.63,112.95,41.24,-28.66,105.4,-125.48,133.31,56.59,58.13,-33.34,1.0
1.0,0.0,1.0,2.0,-172.08,7.61,-9.57,154.14,4.8,-20.98,-37.72,-195.9,129.97,6.67,-18.95,17.66,0.0
1.0,1.0,1.0,2.0,-56.62,29.24,-349.49,109.49,-15.38,6.97,-147.73,142.17,112.97,46.36,-31.46,27.16,2.0
2.0,2.0,3.0,2.0,17.32,-14.71,-118.29,70.01,-56.67,-75.46,-32.02,223.85,14.21,-13.13,-28.08,-38.48,1.0
2.0,2.0,1.0,1.0,28.74,-2.92,-96.26,164.4,39.68,-30.97,60.76,68.24,97.71,119.73,42.96,7.74,1.0
2.0,1.0,1.0,0.0,-288.96,-34.64,249.9,247.47,-16.91,65.04,-277.98,-105.57,-218.39,24.6,-108.16,-88.88,2.0
1.0,2.0,2.0,2.0,-285.73,-17.24,106.85,90.2,-83.08,-41.14,166.19,-264.0,127.21,-30.48,-44.29,-90.73,1.0
3.0,2.0,1.0,2.0,-86.07,-10.47,204.01,293.05,26.5,55.77,-119.28,-67.04,-227.78,-3.9,40.43,45.2,2.0
2.0,1.0,0.0,2.0,-82.49,-26.76,119.3,142.54,7.31,58.22,113.01,-163.41,158.85,-2.15,-71.27,-66.19,1.0
2.0,2.0,2.0,2.0,209.61,23.3,-68.48,-48.7,-40.64,-91.79,363.38,-61.62,40.79,81.41,52.43,4.44,1.0
3.0,2.0,1.0,2.0,-119.2,-13.59,359.94,242.77,-12.88,-79.63,236.63,-149.42,-322.26,30.25,32.0,77.51,2.0
2.0,1.0,2.0,2.0,322.01,6.6,-7.8,-23.47,-14.72,-194.74,90.13,-36.51,80.74,108.29,-11.58,-18.62,2.0
1.0,1.0,2.0,2.0,-231.49,4.52,-144.04,160.8,80.28,-101.75,-200.81,247.01,-62.49,69.99,-69.1,137.77,2.0
1.0,1.0,1.0,2.0,-245.61,-30.34,226.89,42.8,-8.52,-131.43,105.15,-290.8,44.24,-29.38,27.14,-141.61,1.0
2.0,1.0,2.0,1.0,273.82,25.55,-103.31,-239.46,66.51,-19.6,288.12,-6.5,24.42,28.41,-42.99,-34.57,0.0
2.0,2.0,1.0,2.0,61.48,-2.26,126.25,-15.87,-19.99,55.68,173.79,-139.27,62.01,103.57,-8.16,37.52,0.0
3.0,2.0,1.0,2.0,-86.78,-29.43,277.53,73.72,42.44,-30.86,-172.31,-140.48,-61.06,17.67,-39.33,-14.79,2.0
2.0,1.0,1.0,1.0,16.5,-6.7,105.43,81.19,-27.92,-11.45,-256.85,-39.93,7.14,40.92,57.27,68.45,2.0
2.0,2.0,1.0,2.0,-204.87,-12.63,190.98,23.68,-53.98,-95.16,138.22,-223.96,137.86,127.81,-92.28,79.88,0.0
2.0,1.0,1.0,2.0,-32.66,-17.21,-90.73,134.95,78.47,-83.15,-104.46,224.68,-13.8,-10.68,-61.04,-14.4,1.0
1.0,1.0,3.0,2.0,-303.8,5.34,-138.5,411.74,45.25,-22.67,-39.42,79.37,61.53,-135.28,68.61,139.95,1.0
1.0,1.0,2.0,1.0,-438.31,4.35,-110.77,25.91,-12.56,-53.5,-240.55,44.96,4.39,-177.95,58.34,47.11,0.0
1.0,2.0,1.0,2.0,131.41,15.74,-284.89,95.33,10.33,-63.85,187.84,171.52,80.65,99.38,4.52,-42.34,1.0
2.0,1.0,2.0,2.0,-280.77,-24.08,161.14,11.31,-14.5,58.34,-124.31,-90.66,-19.17,120.8,43.8,-17.22,2.0
2.0,3.0,2.0,3.0,256.08,-5.65,-101.19,192.68,-24.72,-33.86,190.95,62.36,53.81,183.47,-11.89,-110.63,1.0
1.0,2.0,1.0,1.0,-348.86,1.18,110.7,89.14,-3.22,-12.95,-108.78,-322.18,128.21,34.97,67.39,28.75,0.0
1.0,1.0,1.0,2.0,-288.45,-12.49,53.77,70.54,3.83,-136.06,72.19,-199.08,112.04,2.77,64.65,-71.43,1.0
3.0,1.0,2.0,1.0,-119.36,-52.62,302.89,119.47,-17.28,-55.86,-394.21,-2.19,-206.32,130.3,-6.65,-120.94,2.0
1.0,2.0,1.0,2.0,-169.96,2.94,-138.67,75.83,13.38,37.34,-494.53,-157.74,76.63,-17.75,-17.43,-214.33,1.0
1.0,1.0,1.0,2.0,-223.84,30.32,-271.67,219.84,28.64,-41.16,-131.69,30.51,97.17,156.9,32.39,81.01,2.0
2.0,0.0,2.0,1.0,-101.31,-14.59,223.68,94.39,-14.07,-89.75,-46.79,-23.66,-234.26,134.66,13.8,37.88,2.0
2.0,0.0,0.0,2.0,-119.11,2.12,-60.21,280.64,-11.48,31.48,-132.08,-105.7,82.6,-46.24,-28.39,-26.01,2.0
2.0,0.0,1.0,2.0,-103.37,19.8,20.98,101.41,-2.09,-80.4,155.55,-55.58,-48.38,61.82,-45.48,150.3,0.0
1.0,1.0,2.0,1.0,118.29,23.72,-282.11,199.11,-1.48,47.76,-112.69,23.71,137.4,-5.03,-10.43,-53.77,2.0
2.0,1.0,2.0,3.0,46.48,17.87,19.28,-154.22,81.23,-77.13,174.62,-65.64,21.45,113.18,-49.72,80.92,0.0
1.0,2.0,1.0,2.0,-271.51,-2.8,19.94,265.32,-73.3,54.37,-49.68,-94.02,3.03,191.59,-11.53,29.53,1.0
1.0,1.0,2.0,1.0,-4.04,-10.98,5.48,-6.0,-9.86,-24.59,247.48,-124.57,93.34,54.47,-6.18,-149.34,1.0
2.0,2.0,2.0,1.0,50.65,21.65,-176.9,-4.28,-38.29,97.12,-114.27,110.79,72.9,102.96,-19.64,91.18,2.0
2.0,2.0,1.0,2.0,-148.51,-2.88,150.63,197.95,-28.02,-20.84,-125.76,-151.61,30.11,-74.12,-28.23,130.01,2.0
1.0,2.0,2.0,2.0,-342.93,9.43,27.33,138.0,48.48,-44.62,143.63,-123.92,-23.66,79.82,-61.17,84.01,0.0
2.0,3.0,1.0,3.0,-250.63,20.58,-8.94,248.33,-12.06,-7.93,-170.25,-67.57,-68.23,-33.63,4.52,158.36,2.0
1.0,2.0,1.0,2.0,-131.62,17.59,-185.32,196.26,42.69,-110.88,31.26,217.82,-76.52,116.76,-37.57,132.43,1.0
2.0,0.0,1.0,1.0,452.99,-7.84,-277.93,55.81,-16.28,-11.05,232.37,213.65,268.28,-85.65,-36.59,-139.72,1.0
1.0,0.0,1.0,1.0,-517.82,-5.89,117.9,42.16,43.82,-3.34,223.48,-91.42,-45.72,60.92,14.61,119.19,0.0
2.0,2.0,2.0,2.0,200.8,13.48,-34.38,142.19,52.92,-62.98,226.98,-92.28,139.5,107.79,-38.57,50.93,0.0
1.0,2.0,2.0,1.0,-46.58,-2.67,-95.58,0.94,-6.86,-7.39,169.61,-59.58,182.71,1.1,-69.86,-75.26,2.0
2.0,2.0,1.0,1.0,-214.01,-18.2,220.09,6.98,-17.85,7.42,166.6,-75.47,-29.77,199.97,48.43,102.91,2.0
2.0,2.0,2.0,2.0,-222.24,1.93,37.37,73.05,-19.61,-4.52,-419.56,-14.98,-32.45,62.3,17.13,101.43,2.0
1.0,1.0,1.0,1.0,-532.92,17.94,58.49,-52.09,-37.76,-50.29,-115.94,-42.68,-128.23,-60.94,-34.45,217.37,0.0
2.0,2.0,1.0,2.0,-47.96,-4.48,209.17,40.82,-13.44,-55.82,-71.63,-101.22,-79.88,40.77,41.49,111.86,2.0
1.0,2.0,0.0,1.0,-214.73,2.41,168.38,108.78,34.54,70.3,106.72,-378.39,179.4,86.1,45.05,68.13,0.0
2.0,1.0,1.0,2.0,-200.82,-13.45,163.84,-33.56,-15.34,36.27,-91.79,-95.93,43.79,116.35,46.62,87.87,2.0
3.0,2.0,1.0,2.0,-28.27,9.92,222.75,265.43,29.35,62.22,26.7,-163.8,-170.39,-84.47,-135.89,166.33,2.0
2.0,1.0,3.0,1.0,-127.69,-4.35,21.06,109.0,-46.02,28.08,-391.81,56.31,-73.62,87.59,-45.06,53.2,2.0
1.0,2.0,2.0,1.0,-252.43,6.77,45.52,-161.83,16.84,85.54,151.91,59.1,-68.6,136.74,-1.73,157.36,2.0
1.0,2.0,1.0,2.0,-208.15,25.97,-156.62,115.76,-1.09,-27.12,-349.17,3.01,77.65,8.74,-20.53,139.08,2.0
1.0,1.0,1.0,2.0,-395.29,11.04,98.01,109.0,12.43,-38.6,-10.33,-329.23,210.31,-20.16,3.75,162.02,0.0
1.0,2.0,1.0,2.0,6.54,24.23,-299.39,120.96,-24.9,-46.02,-136.72,-30.22,288.49,-36.9,104.81,-9.02,0.0
2.0,2.0,1.0,1.0,504.02,40.02,-251.4,-196.18,-48.99,11.28,7.82,85.97,174.34,95.96,51.57,40.23,1.0
1.0,2.0,1.0,2.0,-390.35,17.61,-276.65,115.34,11.64,2.5,-278.85,341.59,-20.12,123.92,-94.13,221.4,2.0
2.0,2.0,1.0,2.0,435.24,-1.74,-228.08,63.69,-24.81,-147.99,288.94,152.01,220.09,74.84,-4.82,-112.33,1.0
1.0,2.0,1.0,2.0,-51.16,3.22,-171.3,198.35,-35.3,-56.28,-312.08,7.93,65.6,48.41,-62.53,-99.88,1.0
2.0,2.0,1.0,2.0,-97.19,-22.25,171.88,13.34,52.09,-54.34,-295.23,-41.18,-78.25,92.16,6.46,-20.93,2.0
