cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,target
1.0,1.0,1.0,1.0,80.35,57.54,16.98,15.82,71.56,-63.54,-4.65,88.99,57.36,-136.99,18.18,-41.88,-8.06,0.34,-16.39,4.75,8.51,179.02,23.16,-23.19,71.54,1.0
2.0,2.0,2.0,1.0,129.43,13.01,17.84,-13.64,-144.51,-198.42,24.94,-68.89,60.69,-67.68,-29.5,17.64,61.9,0.94,29.63,0.99,-28.4,-183.72,-21.61,-79.23,34.47,2.0
2.0,2.0,2.0,1.0,-145.71,-199.67,-16.79,-14.65,11.36,-217.72,-3.64,45.57,104.65,80.16,-12.9,-118.8,27.95,-1.2,-64.27,-6.32,-15.29,116.79,-39.96,-35.12,50.51,1.0
1.0,2.0,1.0,1.0,-261.11,171.01,12.89,-16.12,-183.82,205.64,27.39,-72.6,-2.19,68.78,-13.87,39.17,-50.65,-0.12,19.0,-0.61,16.6,-9.91,77.15,69.18,-27.75,2.0
2.0,2.0,2.0,1.0,105.69,-8.62,-23.75,-11.03,55.91,-137.61,-16.39,-26.77,67.2,-36.9,-70.99,31.13,-43.68,-0.51,74.69,3.46,4.19,-14.03,-28.8,-62.6,-11.4,2.0
1.0,1.0,1.0,1.0,135.22,86.25,61.28,3.41,-270.38,-144.81,42.15,-1.06,-67.92,84.3,-44.71,-45.03,-6.61,-1.18,12.0,1.35,30.46,-430.41,95.99,93.45,-74.07,0.0
1.0,1.0,1.0,2.0,237.06,46.99,37.16,-59.16,-171.95,376.49,-72.98,-76.86,61.82,-31.03,35.4,-8.7,-3.76,0.75,-2.21,2.3,-3.02,-167.76,-53.16,16.63,1.93,1.0
3.0,2.0,2.0,2.0,208.44,-181.96,29.98,-10.52,202.91,-252.5,74.75,12.25,-44.49,135.71,56.94,51.13,49.08,1.22,-38.77,5.21,14.64,-114.2,49.97,-23.39,109.29,1.0
2.0,2.0,2.0,1.0,-69.48,-92.6,-66.98,52.4,-9.52,-73.12,-45.56,1.53,-6.3,25.92,-36.54,-110.63,-84.13,0.21,67.2,0.26,-41.71,-31.92,29.51,-27.8,0.81,1.0
1.0,1.0,1.0,2.0,56.05,30.15,-40.53,-14.0,-102.96,-16.81,-71.37,-78.83,152.5,-100.08,24.73,86.53,18.82,0.94,34.38,1.91,-28.23,-1.79,-80.37,23.65,-22.47,0.0
2.0,2.0,2.0,1.0,39.22,-61.58,34.55,-21.43,198.57,-89.43,50.38,-47.47,-239.39,-99.88,16.7,-63.92,-11.14,-0.09,-68.8,-5.38,50.93,-48.78,62.29,-156.97,-71.58,2.0
2.0,2.0,2.0,1.0,308.45,2.34,-0.57,1.13,215.75,-267.13,142.08,-50.98,-89.08,-222.12,-41.5,-61.09,48.82,-0.59,36.87,1.65,60.18,-10.52,3.49,22.38,24.64,2.0
2.0,2.0,2.0,1.0,318.52,-212.87,52.95,55.87,204.69,-260.59,-97.8,105.63,-43.1,-116.71,-50.22,-43.21,-15.92,0.13,-28.27,-10.63,-38.94,-75.41,-65.1,15.23,13.84,2.0
2.0,2.0,2.0,2.0,-139.91,-34.35,-15.56,18.47,11.91,-198.81,21.78,20.41,104.13,-191.83,115.41,-30.58,0.77,0.19,-85.87,1.07,6.05,264.93,-79.28,34.09,20.0,0.0
2.0,2.0,2.0,1.0,86.03,43.02,-4.16,1.45,-114.1,128.7,-27.17,14.73,97.07,81.54,-14.21,-68.07,-19.41,0.12,40.53,-2.85,-11.24,-129.3,-50.0,95.24,53.06,0.0
1.0,2.0,1.0,1.0,-98.79,-46.32,-13.12,32.56,3.98,14.25,8.89,55.39,3.65,-3.34,48.82,-53.52,74.08,-0.69,22.23,4.43,-9.51,98.51,32.93,-110.68,14.21,0.0
2.0,3.0,1.0,2.0,-151.95,28.81,-11.24,-59.16,-176.77,-48.4,-105.81,-46.48,157.21,203.56,-29.27,84.18,-12.62,-0.2,149.82,1.56,10.34,-186.33,10.44,-30.52,34.49,2.0
3.0,3.0,1.0,1.0,321.71,-2.41,50.54,60.28,259.68,-17.64,-22.28,37.43,286.82,126.93,-2.07,8.26,65.03,-0.18,16.97,-1.99,34.38,72.05,-23.67,-42.1,-92.56,2.0
2.0,2.0,1.0,2.0,-34.95,125.79,-43.61,-22.99,-116.42,-259.73,68.8,-37.45,166.97,-12.93,37.95,45.61,-62.32,1.23,-33.09,-3.24,61.2,-20.36,-74.56,51.5,14.1,0.0
2.0,1.0,2.0,1.0,260.35,-38.7,15.68,-44.51,115.61,-21.91,37.83,98.51,-86.18,41.64,85.07,59.97,33.04,-0.13,-27.12,-1.05,-47.54,-119.59,14.08,53.32,81.04,1.0
2.0,1.0,1.0,1.0,31.01,-73.2,70.41,-10.08,7.89,-295.88,49.28,-28.1,91.95,-88.52,-14.23,10.12,-4.32,1.15,31.3,1.05,101.09,64.13,32.71,167.7,-7.93,0.0
1.0,1.0,2.0,1.0,141.64,97.11,51.34,-19.01,-57.96,272.07,-77.31,-86.24,39.91,9.81,86.1,54.61,-5.16,0.12,46.77,-7.46,45.45,-107.25,-56.24,-37.51,142.0,1.0
1.0,1.0,1.0,2.0,-31.28,189.08,32.17,-12.61,130.54,59.43,10.38,26.03,-17.64,130.07,19.67,3.26,27.16,-1.11,-52.73,2.24,39.25,53.34,-51.3,-0.56,-9.03,2.0
1.0,2.0,1.0,2.0,33.59,-0.14,8.5,-15.72,-177.99,125.0,35.03,-59.37,-111.8,100.81,4.93,30.04,-93.05,-0.56,-2.41,2.64,-13.3,-282.09,40.0,-6.13,35.97,0.0
2.0,2.0,1.0,1.0,58.7,-28.19,46.11,-25.03,-36.75,-140.56,10.5,-85.64,34.72,117.73,45.54,85.1,51.56,0.88,-71.08,3.92,-77.55,-202.45,82.88,-22.75,46.57,0.0
2.0,2.0,2.0,2.0,234.56,4.28,-17.54,-36.31,-88.3,-110.48,-31.38,-56.33,58.76,60.53,-61.99,-16.73,-52.95,1.65,-29.09,-2.82,23.43,-289.63,-25.13,-49.72,-17.04,0.0
2.0,2.0,1.0,1.0,-14.24,-30.24,-150.32,59.33,52.77,-111.45,12.11,-48.26,-54.24,37.19,24.15,2.26,-22.93,0.01,29.19,-0.49,-70.7,-68.75,-23.74,-104.16,52.56,0.0
1.0,1.0,2.0,0.0,-387.17,-143.22,-23.46,36.53,71.95,152.23,82.0,129.34,-136.38,-228.24,21.9,43.27,94.93,0.29,43.05,-1.97,-4.25,529.92,56.82,135.96,45.93,0.0
2.0,3.0,2.0,1.0,-268.26,-12.86,-78.74,-65.02,338.28,-226.01,108.94,38.51,57.12,-33.35,-33.76,-17.65,-72.64,-0.36,-39.26,0.56,-43.66,460.97,-35.16,79.08,3.48,1.0
2.0,2.0,1.0,1.0,-42.48,112.42,17.29,-6.09,-131.12,-60.82,-9.25,1.82,139.33,197.0,-43.03,27.59,-1.82,-0.51,-45.72,2.11,-28.61,-146.28,-21.66,-36.51,143.05,0.0
1.0,1.0,1.0,2.0,196.02,10.28,-21.58,-18.74,-55.25,303.07,-62.18,-64.02,135.56,-51.38,36.37,-21.29,-14.24,-1.56,17.99,4.1,-35.18,52.82,24.66,-63.17,-62.65,1.0
1.0,3.0,0.0,1.0,-126.1,-55.31,-75.84,-8.51,10.73,-228.39,-93.08,24.44,-20.98,-19.44,-26.25,94.86,-5.5,-0.43,-38.93,5.99,22.96,-84.35,2.42,-74.51,6.43,2.0
1.0,1.0,2.0,1.0,-30.0,29.15,8.54,21.12,-69.63,11.12,64.59,-19.02,-4.59,-4.19,-29.18,-42.78,-31.29,-0.2,-24.48,0.78,1.2,19.25,-14.68,113.76,60.45,2.0
2.0,1.0,1.0,1.0,92.16,-9.13,20.99,19.71,-50.93,-25.31,48.56,-18.51,193.59,-93.6,-69.69,86.68,73.99,0.06,-2.84,-5.64,-33.64,175.71,85.28,127.46,-133.58,1.0
1.0,2.0,1.0,1.0,181.55,84.77,50.34,8.16,149.66,86.91,50.06,77.74,-244.49,50.0,15.89,20.11,35.31,-0.44,-54.32,-0.09,37.98,-169.09,25.92,174.39,95.12,1.0
2.0,2.0,2.0,1.0,-241.62,81.32,24.13,30.63,269.05,-300.07,46.78,58.73,6.25,23.15,3.83,-14.72,-15.37,-1.77,8.45,-0.95,-8.81,298.77,5.37,43.85,53.26,1.0
2.0,2.0,1.0,2.0,-184.82,-184.79,-35.65,-14.6,-141.78,-33.78,144.19,-65.79,93.68,234.31,-23.69,39.44,-31.38,1.01,-16.17,0.66,31.35,-20.99,24.63,-52.55,-11.49,1.0
2.0,1.0,1.0,1.0,66.75,-163.97,16.32,55.37,-51.59,57.81,39.79,-57.69,41.75,35.63,-33.76,-65.55,13.83,0.07,2.8,-0.63,82.0,1.07,31.33,60.3,5.03,1.0
1.0,1.0,1.0,1.0,44.71,-106.45,38.21,-14.3,-49.96,53.68,-84.66,150.97,-57.19,-66.43,-25.64,-41.71,24.41,-1.91,-7.46,-0.27,-12.63,8.72,-74.57,192.12,112.49,2.0
2.0,1.0,1.0,2.0,-59.61,-4.07,0.45,132.66,62.34,42.95,19.38,-81.66,62.37,56.63,-1.17,-29.04,0.32,0.43,-3.12,-6.29,11.94,104.78,-27.17,-43.01,-68.66,2.0
2.0,1.0,3.0,2.0,159.61,160.9,19.1,-4.74,-188.7,-193.65,84.84,-90.69,113.9,34.7,-81.01,-23.89,-50.47,-0.51,-10.39,-6.15,-6.84,-230.7,46.58,25.53,12.84,0.0
2.0,2.0,2.0,1.0,-119.52,45.84,2.42,-30.34,145.16,-199.82,-16.67,47.09,47.51,74.71,47.56,-24.34,-58.57,1.07,68.78,0.3,-67.97,112.55,-7.66,-96.94,18.08,1.0
3.0,2.0,1.0,2.0,471.37,-342.11,6.21,149.02,141.82,-418.56,-39.79,-15.03,-25.9,-48.67,-7.46,19.86,-13.24,-0.89,34.24,0.52,-24.24,-300.11,-7.4,-25.42,49.12,2.0
2.0,1.0,2.0,1.0,227.33,-112.97,23.5,36.14,-30.28,-182.88,-44.44,108.18,59.6,-141.54,-28.47,25.88,46.71,0.19,-18.95,-2.41,15.93,-14.82,2.28,67.75,-11.69,2.0
2.0,2.0,2.0,1.0,-15.16,31.08,-23.04,-6.9,-191.9,-169.16,-24.54,-32.21,167.21,10.13,-81.38,-4.9,17.14,1.3,19.09,4.64,-28.18,-110.83,12.79,31.73,-19.62,2.0
1.0,2.0,2.0,2.0,-135.84,-38.43,5.98,-16.05,-15.56,-126.23,9.79,-49.83,-205.18,-25.07,-12.8,21.21,-35.66,-0.09,-66.32,-1.21,2.66,-146.92,-8.39,107.89,-54.35,2.0
1.0,1.0,1.0,1.0,160.22,66.77,-4.4,-18.29,11.85,399.84,-93.59,49.92,151.1,-38.53,35.21,-51.69,120.53,-0.48,30.57,-2.06,46.85,153.39,-46.29,-47.72,-20.23,1.0
2.0,1.0,2.0,1.0,-275.66,-93.91,-10.99,-29.23,298.3,-163.84,8.24,-13.87,4.84,235.86,60.57,-52.5,-65.97,-1.4,-31.12,-1.77,20.63,245.36,20.79,-34.61,51.51,1.0
2.0,1.0,1.0,1.0,-26.12,-33.51,3.61,-18.76,-119.67,-330.08,75.92,-60.46,58.6,-121.18,23.57,-28.96,-78.09,1.76,-93.61,-5.79,-1.18,-17.21,37.11,65.32,-82.28,2.0
2.0,1.0,2.0,1.0,257.76,-81.68,35.9,31.27,49.06,18.95,-107.82,-69.93,62.55,0.21,26.42,-81.34,-104.95,-0.02,-13.47,-0.38,-24.54,-134.97,26.87,-102.23,-84.84,0.0
1.0,2.0,2.0,2.0,86.97,68.23,22.79,41.97,-79.52,148.93,-25.02,1.54,-85.21,95.68,-15.94,57.25,47.4,-1.58,-13.74,2.45,40.28,-255.83,44.79,-35.56,15.13,0.0
1.0,2.0,0.0,2.0,32.7,77.68,49.19,29.03,20.88,-110.56,-22.57,-49.15,-17.65,-23.99,-37.92,27.62,45.98,0.11,-36.08,-1.1,-46.77,-115.97,14.24,-44.18,-16.41,2.0
1.0,2.0,1.0,2.0,-375.28,-12.13,-1.01,-21.26,62.7,-84.79,76.49,126.93,-136.73,22.33,13.6,-14.8,-86.08,0.49,-6.32,0.05,20.22,238.56,10.68,180.16,60.49,0.0
2.0,2.0,2.0,1.0,117.7,-213.87,24.82,59.67,115.37,-129.41,-15.32,-25.65,60.59,101.4,-4.67,-36.33,87.08,0.25,83.72,1.42,-19.18,-45.7,60.5,35.54,-49.96,1.0
1.0,1.0,2.0,1.0,-94.92,-7.66,70.74,55.71,22.71,-128.56,61.17,5.95,-8.52,-71.78,-16.08,20.63,-68.04,-0.93,-92.46,-0.45,-12.89,143.48,-0.07,-173.64,-22.79,0.0
2.0,1.0,2.0,1.0,-94.9,-59.75,53.62,34.78,65.94,-247.87,96.62,2.34,-27.99,-28.43,44.08,16.49,14.98,-1.32,-44.17,-0.69,16.89,109.38,-17.62,24.76,21.98,0.0
1.0,1.0,1.0,2.0,-168.99,286.81,-26.14,-57.02,266.27,46.66,7.63,-45.87,98.01,242.25,18.97,-64.56,-38.11,0.39,-57.75,4.76,-61.3,253.83,22.69,92.47,-41.9,2.0
1.0,2.0,2.0,1.0,7.43,36.73,-56.94,61.7,-96.03,145.79,-3.83,-2.63,-57.96,74.79,-42.89,-48.38,12.6,-0.41,-1.6,2.72,63.12,-157.92,-90.65,-6.11,26.61,0.0
1.0,2.0,2.0,1.0,-30.44,-68.34,14.25,7.46,-6.94,123.27,-54.05,-16.13,-68.43,97.89,-45.1,-14.98,51.59,0.07,7.9,4.32,-9.76,-104.66,-0.21,28.56,51.34,1.0
1.0,2.0,1.0,2.0,89.23,29.29,54.68,-77.86,118.31,232.94,-8.62,5.4,-77.51,74.38,-75.63,47.24,30.65,-0.07,-25.17,-0.73,5.48,-22.7,-54.17,44.18,-69.72,2.0
1.0,1.0,0.0,2.0,234.45,-14.59,76.47,-11.78,-119.25,248.54,-91.16,-81.99,18.46,-33.49,4.83,2.16,50.08,-0.16,21.49,-0.41,-15.94,-182.41,20.06,124.62,118.56,1.0
1.0,1.0,1.0,1.0,-274.49,102.67,-22.98,-59.94,150.72,272.88,-86.87,-0.16,247.0,250.04,27.11,-62.71,-8.72,-1.64,32.51,1.5,-3.3,388.32,17.74,-26.63,12.65,2.0
2.0,3.0,1.0,2.0,-131.55,0.51,-8.32,-37.23,167.22,-116.29,17.29,-34.47,-24.41,-0.72,8.14,31.0,-74.35,0.22,-79.64,3.24,16.49,102.41,0.27,-42.75,162.55,1.0
1.0,1.0,1.0,2.0,-207.82,125.35,19.67,65.87,137.85,-33.8,5.2,-41.85,132.14,162.17,82.97,-35.04,-69.83,-1.35,-70.92,2.29,34.2,215.44,8.21,8.58,-78.79,2.0
1.0,2.0,1.0,2.0,247.58,179.04,27.93,18.77,-154.07,440.68,-41.48,6.54,123.19,-63.78,-71.09,68.97,-2.45,-0.03,-16.51,0.22,-20.0,-59.1,-5.36,22.38,-41.37,1.0
2.0,1.0,2.0,1.0,-39.81,-76.44,-15.23,-5.06,84.03,-233.27,61.93,121.98,-1.51,-41.21,-43.86,-64.52,90.51,-1.58,18.88,-1.34,-14.75,141.37,-45.5,28.27,26.04,1.0
2.0,3.0,1.0,1.0,-53.55,-101.1,11.37,-11.04,142.1,-54.02,-22.48,-38.9,189.32,67.49,-57.5,38.05,50.49,-0.58,33.63,-2.26,31.93,162.07,21.34,2.96,-34.68,0.0
2.0,2.0,2.0,2.0,42.11,-4.86,-53.81,-38.8,3.88,-343.05,16.57,-12.88,172.6,71.1,67.71,-33.28,-88.41,-0.66,34.13,0.23,34.31,-81.09,-25.56,30.66,-93.3,0.0
2.0,2.0,2.0,2.0,260.71,62.97,-53.67,10.03,91.57,3.86,-57.19,-78.05,-157.6,220.05,-26.67,9.6,8.8,1.31,13.47,7.05,16.37,-440.4,5.88,46.18,60.5,1.0
2.0,2.0,2.0,1.0,43.61,57.4,-41.99,42.11,419.28,-296.63,51.27,-31.4,-4.22,84.86,-6.26,-9.82,-60.57,-0.3,-33.86,-0.01,12.41,118.97,0.12,-88.7,11.49,1.0
1.0,2.0,2.0,1.0,-89.56,56.03,-27.14,-38.76,112.19,86.9,21.99,20.36,-52.96,53.15,69.2,-6.91,4.25,1.02,-6.75,4.75,8.89,72.64,-23.98,-112.34,95.39,2.0
2.0,2.0,2.0,1.0,-203.69,-130.88,-101.19,-31.94,43.33,-57.36,-32.33,-19.85,164.22,-212.87,-4.26,38.63,83.38,-0.34,26.32,-0.26,74.57,396.18,-66.58,116.12,-36.28,0.0
2.0,2.0,2.0,2.0,156.76,19.51,33.03,-25.7,-10.48,-84.36,6.19,3.89,209.68,56.56,3.51,-111.49,88.55,-1.87,-44.33,3.17,-6.75,-15.41,-96.81,-63.82,24.8,2.0
2.0,2.0,1.0,2.0,-25.11,-58.25,42.41,-31.09,172.46,-312.59,6.95,23.71,90.27,42.28,13.98,-41.38,-32.83,2.45,44.19,-0.28,-41.43,108.04,-16.67,-75.95,28.1,1.0
1.0,1.0,2.0,1.0,-119.22,260.73,-15.86,20.75,-102.64,-337.6,88.08,27.64,-191.09,-71.54,27.11,16.49,57.3,0.82,-69.86,2.69,-13.54,-175.52,9.29,144.88,49.17,2.0
2.0,1.0,2.0,1.0,110.19,-111.43,-5.37,12.77,109.08,-244.21,15.27,58.99,-27.24,142.03,64.84,-79.33,-42.71,-0.22,78.85,-1.08,28.28,-101.68,112.25,60.57,-3.34,1.0
1.0,1.0,2.0,1.0,-224.29,358.52,-63.59,41.3,257.28,40.73,37.32,-105.72,110.3,239.89,-68.06,-3.62,15.7,-1.82,-70.69,-0.87,-30.83,251.2,47.14,22.59,-69.73,2.0
2.0,3.0,2.0,2.0,224.2,90.0,12.52,15.46,159.39,-132.91,-128.9,-61.96,45.3,-26.02,29.17,42.76,34.46,1.35,-6.3,4.52,-12.82,-179.42,50.33,60.62,-72.17,2.0
2.0,2.0,2.0,1.0,3.09,-239.33,-34.63,-36.25,99.88,133.05,-74.71,68.54,51.94,232.89,-43.47,125.41,55.21,0.86,47.33,-1.96,-4.34,22.31,-39.18,185.25,24.21,2.0
1.0,0.0,1.0,1.0,407.75,-0.24,8.09,-40.83,-87.99,13.29,-93.1,-3.93,176.02,-277.45,-57.46,-31.36,81.32,-1.73,23.01,-0.68,22.35,29.32,59.59,43.15,-34.17,1.0
2.0,2.0,1.0,2.0,253.97,-149.76,23.87,50.37,-113.52,46.01,-38.82,-79.34,128.68,18.26,-0.0,-75.62,53.53,1.06,-15.52,-0.95,-83.45,-181.1,-66.89,4.56,-34.51,0.0
1.0,1.0,1.0,1.0,246.69,-96.22,-31.82,-69.44,-180.42,110.02,1.42,4.65,-44.54,-55.16,73.29,14.05,-48.93,0.09,-33.21,-0.75,-15.77,-233.15,-68.58,90.72,12.61,1.0
2.0,3.0,1.0,1.0,-88.88,-218.43,39.08,28.4,84.68,-206.96,-23.48,19.82,-8.48,76.24,21.15,-56.84,20.7,-0.45,-37.32,-2.66,43.43,-20.33,-72.11,-73.27,79.71,2.0
1.0,2.0,2.0,1.0,-158.03,-52.84,-19.71,19.52,-44.68,-108.78,-37.4,19.28,-233.29,-154.24,121.42,2.66,-19.25,-0.41,-94.29,0.0,6.0,-63.72,-38.08,103.59,71.43,2.0
2.0,1.0,2.0,2.0,149.61,-223.73,-29.63,-56.76,107.67,-85.19,-66.2,61.85,-101.11,-22.7,-51.31,147.76,44.8,0.1,-57.79,-2.22,17.8,-78.77,-29.3,-35.27,-70.65,2.0
1.0,2.0,2.0,2.0,-82.41,-28.57,-0.12,52.71,-175.25,268.8,-79.77,31.81,-133.88,-40.09,41.95,-113.6,8.48,-1.2,-25.83,-3.43,32.08,-128.17,0.28,-83.99,-39.77,1.0
1.0,2.0,2.0,3.0,116.49,56.0,-42.56,-13.73,75.29,91.52,-84.59,-85.52,-108.1,131.72,-67.49,-1.61,-30.9,-2.43,52.97,-3.63,5.99,-279.99,17.43,-38.22,33.73,1.0
2.0,2.0,2.0,1.0,117.12,-200.31,-59.87,36.16,139.0,58.62,-59.99,-71.77,35.43,-76.42,-37.72,49.11,32.63,0.52,-24.81,-1.11,-70.26,68.6,-52.62,31.87,-89.48,0.0
1.0,2.0,2.0,2.0,-253.5,20.05,-9.82,-25.34,-48.9,-163.97,8.38,3.7,86.39,-61.09,3.33,-1.85,-36.67,-0.25,0.52,3.15,52.74,167.29,-61.91,10.59,-87.83,1.0
2.0,2.0,1.0,1.0,137.54,-57.53,-34.63,-3.78,-164.94,104.64,103.58,-72.46,94.12,10.68,30.38,25.72,107.37,1.02,9.05,5.05,15.57,-88.71,-4.32,-36.53,5.3,1.0
1.0,2.0,2.0,2.0,-292.5,25.23,-82.4,13.93,-8.7,-255.19,22.65,98.63,-22.03,-47.87,-32.08,-94.25,-63.08,-0.35,-27.34,-1.82,38.17,133.85,-2.54,40.66,-20.23,0.0
2.0,1.0,1.0,1.0,156.98,-210.86,66.06,-19.2,-187.07,-212.3,-91.01,17.09,114.07,71.87,-59.58,78.75,6.17,1.1,-32.15,3.79,36.14,-249.9,-7.2,-44.88,-46.8,2.0
2.0,2.0,1.0,2.0,111.86,-81.34,19.25,-53.06,-11.82,-192.66,26.84,3.98,37.64,-23.67,17.94,24.35,-71.03,-0.12,-22.96,3.29,-40.1,-85.88,64.04,28.03,69.91,2.0
1.0,1.0,2.0,1.0,172.98,207.58,92.13,-41.23,-26.97,373.99,-58.38,-113.65,117.35,137.98,-3.62,47.39,-78.16,0.58,-56.36,2.35,28.82,-89.01,-48.29,70.7,64.23,1.0
2.0,2.0,2.0,0.0,435.93,-159.77,2.36,25.18,129.55,-239.76,-111.69,40.8,26.37,-65.8,-14.45,-55.47,77.07,1.38,-72.76,-2.74,-53.88,-227.84,-7.82,-157.13,46.34,2.0
1.0,2.0,1.0,2.0,174.16,-108.94,4.41,-9.44,-19.66,294.45,-114.95,32.48,152.88,-9.45,-67.22,-11.51,-70.25,0.96,-1.02,-1.62,-8.76,25.56,23.75,-71.66,-32.11,2.0
1.0,1.0,1.0,1.0,-185.93,163.23,-0.5,85.31,-147.43,-7.78,-29.22,0.04,-8.04,37.89,32.26,-109.25,26.33,-0.83,16.24,3.78,61.12,-46.62,13.8,89.21,-16.1,0.0
1.0,1.0,1.0,1.0,98.26,-13.95,-31.06,41.64,-4.7,-68.22,-89.14,-28.98,-74.6,62.26,-0.61,-21.0,65.87,1.56,5.97,9.46,-18.07,-242.06,-63.68,-0.89,51.76,1.0
1.0,2.0,2.0,1.0,329.88,-50.68,7.63,57.75,-35.46,282.95,-150.5,4.43,98.11,-0.98,-70.52,-24.02,28.64,0.87,-41.69,-0.71,49.89,-155.63,84.58,-111.7,52.5,0.0
2.0,2.0,3.0,0.0,-191.56,0.98,-78.97,8.56,70.47,-306.47,-27.47,7.36,47.87,78.92,45.26,-42.22,7.39,-0.15,-45.46,-0.4,56.01,52.3,-9.98,28.85,128.32,1.0
1.0,1.0,2.0,1.0,-67.73,-85.01,-9.34,-34.49,-129.36,-51.31,5.07,-1.74,-131.99,23.95,72.27,12.89,59.65,-0.43,-56.15,5.06,40.73,-159.21,11.2,23.68,-70.0,0.0
2.0,1.0,1.0,1.0,-98.28,-36.67,-16.9,-39.72,82.63,-86.84,33.21,-12.88,47.0,-92.76,-64.58,1.62,11.08,-1.48,-1.62,-1.95,-34.26,238.46,-3.97,111.38,50.52,0.0
2.0,1.0,1.0,2.0,108.89,-145.68,0.86,126.58,53.86,57.5,101.11,-69.16,133.76,108.52,-14.24,54.91,-50.31,-0.5,-6.48,-0.1,-42.58,86.2,26.07,-107.25,44.24,2.0
1.0,1.0,2.0,1.0,-26.25,23.71,34.19,54.88,139.83,26.85,-86.67,74.01,-13.43,23.49,-67.71,79.13,63.34,0.45,-84.52,3.29,-21.07,113.61,-22.36,1.31,34.18,2.0
1.0,1.0,2.0,2.0,-117.69,80.25,50.55,-29.0,34.93,157.76,50.54,55.5,-64.14,25.9,-18.03,82.11,65.55,0.79,26.1,-1.71,85.41,173.69,-114.03,197.86,139.95,0.0
