cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,target
1.0,1.0,0.0,0.0,133.02,50.87,40.47,-6.38,-74.55,63.39,7.01,-111.45,13.8,61.77,19.8,-168.18,9.23,47.32,-63.12,17.01,1.0
1.0,1.0,1.0,1.0,68.02,-112.27,-6.65,8.58,-98.41,12.94,-0.02,-68.61,58.1,39.53,1.29,-187.54,17.62,-9.52,-50.72,28.4,1.0
1.0,0.0,1.0,1.0,59.37,31.18,11.43,12.81,-92.9,3.07,8.29,164.17,-153.78,108.89,-29.12,-193.18,7.8,90.16,-8.38,19.6,1.0
1.0,1.0,1.0,1.0,91.95,-15.33,-12.42,-8.76,7.67,2.64,12.35,-86.87,57.93,17.84,-0.5,-269.96,-6.32,148.24,-209.38,15.69,1.0
0.0,0.0,2.0,2.0,-83.3,16.63,9.43,13.75,-178.05,17.88,-0.18,-444.92,-116.2,-38.35,-87.99,-1236.81,0.32,-68.3,-391.27,56.54,1.0
0.0,1.0,0.0,1.0,104.92,29.55,65.99,-8.17,-104.45,-47.92,7.08,-249.38,-8.16,63.9,47.42,-239.69,5.71,-108.66,-10.11,-21.88,1.0
1.0,0.0,1.0,1.0,5.23,-77.19,11.41,-1.41,-80.85,17.89,-2.25,-37.16,-130.44,135.54,13.34,-487.74,3.24,38.15,8.0,-5.79,1.0
1.0,1.0,1.0,1.0,-49.66,-94.83,-45.26,4.04,17.28,-22.26,-6.03,-283.39,-199.29,110.85,-25.09,-830.25,-4.48,62.16,-152.03,-4.2,1.0
1.0,0.0,1.0,1.0,-93.64,11.87,21.34,-6.53,-150.79,4.02,-2.99,-46.61,-94.29,43.99,34.92,-405.69,-12.41,39.03,9.97,-42.35,1.0
1.0,1.0,0.0,1.0,3.69,86.47,-4.2,-4.75,73.61,-40.8,1.86,109.27,-20.48,-6.11,-32.31,389.29,-8.86,-50.6,98.57,-105.19,0.0
1.0,0.0,1.0,1.0,159.52,5.64,-27.46,30.66,-35.74,50.06,3.51,83.91,120.77,1.72,6.4,45.93,-7.35,43.29,-134.85,29.71,1.0
1.0,1.0,1.0,1.0,-40.27,56.78,52.77,4.29,-36.19,-31.15,3.41,100.37,-56.5,63.54,-25.0,-142.32,-14.15,-113.78,62.65,-121.53,1.0
1.0,1.0,1.0,2.0,-91.37,-22.35,-29.32,15.1,-109.56,6.27,3.92,25.02,17.65,-75.45,-7.43,-14.4,-3.7,91.83,9.79,9.75,1.0
0.0,2.0,0.0,0.0,149.77,15.35,26.03,41.27,-41.95,-26.86,2.38,-331.69,21.82,49.86,-18.34,-222.58,5.02,38.04,-91.72,0.59,1.0
0.0,1.0,0.0,1.0,148.41,11.27,2.66,22.63,20.63,-4.51,9.45,-151.6,-66.75,16.16,-59.79,-180.38,-0.65,66.41,-199.54,-25.55,1.0
1.0,1.0,1.0,1.0,3.33,30.39,38.71,-84.67,-97.22,85.45,-0.13,-22.68,70.09,79.73,26.6,-264.27,6.01,115.51,-0.21,7.97,1.0
1.0,0.0,2.0,1.0,-62.18,-29.38,75.39,43.57,-137.94,4.14,1.92,-228.79,-57.88,-5.95,9.24,-734.39,4.25,-74.3,-190.64,-53.29,1.0
1.0,2.0,1.0,0.0,35.56,-45.31,-18.74,-14.02,55.75,7.92,1.41,-268.28,-19.25,-47.71,6.04,335.41,5.25,-105.3,196.88,-34.85,0.0
1.0,1.0,0.0,1.0,-42.4,-9.25,60.97,-12.18,50.17,-8.56,8.37,245.32,-10.49,-2.38,-39.69,54.94,-8.65,-62.21,-112.92,-34.53,0.0
0.0,0.0,1.0,1.0,-85.88,77.91,-26.14,-5.33,-229.31,23.86,-4.74,-312.11,51.19,-122.13,40.79,-652.86,-2.5,34.67,-238.72,82.1,1.0
0.0,1.0,0.0,1.0,123.12,58.53,50.3,27.95,-161.66,-51.96,1.16,-222.51,53.64,62.57,-3.49,-205.32,-10.8,7.26,-1.51,43.41,1.0
1.0,1.0,1.0,0.0,125.25,-6.21,47.77,-8.2,47.6,75.91,-3.01,-265.69,-322.59,-4.74,14.8,49.19,-6.51,9.31,13.85,19.23,0.0
1.0,2.0,1.0,1.0,96.31,81.04,77.8,11.39,52.84,-41.32,8.87,-254.41,108.86,-3.7,32.31,234.32,28.58,9.58,128.78,-130.32,0.0
1.0,0.0,2.0,1.0,-258.76,40.54,74.88,-24.21,-58.89,27.96,-6.84,-226.9,-30.46,-24.75,-38.3,-858.55,-3.1,-19.55,-188.24,-6.23,1.0
1.0,1.0,0.0,1.0,-47.9,58.56,-11.35,-15.69,3.12,62.1,4.48,114.54,18.44,0.15,-47.39,102.84,1.47,-5.92,-29.21,-58.0,1.0
1.0,1.0,2.0,1.0,-99.41,1.25,63.57,20.35,-132.86,-23.61,0.39,-22.77,2.33,-37.63,21.27,-506.88,-13.07,24.01,-126.65,4.44,1.0
1.0,2.0,1.0,1.0,-98.51,52.26,32.62,1.35,-39.46,23.51,1.11,-158.59,-93.37,93.03,22.74,-600.36,5.46,22.11,-72.84,-34.65,1.0
1.0,1.0,1.0,1.0,92.69,-19.51,-44.92,8.83,-142.43,7.98,3.52,-29.87,-8.71,-29.9,-16.26,-63.69,18.93,128.05,-49.9,18.42,0.0
1.0,1.0,0.0,1.0,29.97,29.27,22.61,9.23,-77.21,22.55,-9.78,-167.69,57.29,56.78,-52.48,-191.93,-12.96,-134.43,22.36,46.05,1.0
2.0,1.0,1.0,1.0,-27.75,-0.93,24.68,56.22,25.27,8.06,-13.66,59.09,-17.9,61.79,22.76,6.17,-1.78,88.07,95.22,-0.2,1.0
1.0,1.0,1.0,1.0,127.78,86.57,-13.57,7.14,44.45,-44.37,-8.67,-204.33,63.13,7.16,8.37,127.22,2.15,10.38,32.51,4.99,0.0
1.0,0.0,2.0,1.0,-129.29,65.12,-79.69,-41.96,-31.88,1.72,-3.74,-65.32,-48.83,-23.25,27.08,-409.6,4.17,87.79,-89.84,-10.78,1.0
1.0,1.0,0.0,0.0,41.62,28.79,21.22,16.42,-52.71,45.61,-15.54,-76.81,16.28,68.87,-50.11,-188.93,-7.64,76.63,-17.87,92.91,1.0
0.0,1.0,1.0,1.0,-312.32,1.5,-13.95,-7.82,-43.39,-31.95,-5.76,-215.53,-75.54,-102.1,22.06,-670.17,-8.74,-33.22,-176.74,-41.0,0.0
1.0,0.0,1.0,2.0,-110.24,122.42,-15.36,20.0,-111.79,21.0,1.22,-225.66,29.1,52.84,19.29,-677.44,13.04,-126.04,-86.77,-18.14,1.0
2.0,1.0,0.0,1.0,-121.09,-78.73,38.79,-9.82,140.46,-79.49,12.97,102.71,29.36,2.44,-48.68,187.62,-4.73,-29.69,38.47,8.87,0.0
1.0,1.0,0.0,1.0,182.44,-41.11,-28.22,-6.18,-22.17,14.64,-5.94,-105.45,82.01,82.78,19.72,-155.23,-15.01,-84.53,-113.41,3.57,1.0
0.0,1.0,0.0,1.0,97.48,136.94,-14.58,-2.01,-80.3,-15.04,7.07,-304.32,-64.77,-2.84,12.37,-205.89,-26.56,31.42,-102.99,-82.72,1.0
1.0,0.0,1.0,1.0,-108.91,19.69,-14.88,5.98,-230.19,-70.01,-4.8,75.42,83.8,47.6,60.41,-291.04,6.39,17.82,72.33,-24.71,1.0
0.0,1.0,0.0,1.0,91.53,9.08,-31.88,14.11,-107.64,84.36,-1.49,-187.45,122.12,56.28,-80.21,-295.39,-4.89,-133.91,-68.37,-65.82,1.0
0.0,1.0,1.0,1.0,7.59,48.54,-20.51,-48.52,-96.96,29.57,-1.14,-247.21,-85.75,50.35,17.84,-327.76,9.87,-46.35,8.05,38.19,1.0
2.0,0.0,0.0,1.0,-111.27,189.03,-49.99,-22.62,86.52,-54.35,-3.88,140.1,153.44,-30.43,-5.25,13.44,-6.18,-93.43,-120.45,42.1,0.0
1.0,0.0,2.0,2.0,-67.89,44.39,-4.57,-0.84,-251.69,59.79,7.54,16.43,-35.16,65.87,-1.96,-662.96,-20.64,102.07,-50.31,5.13,1.0
1.0,0.0,2.0,1.0,12.52,-26.85,64.4,8.56,-56.35,0.77,-9.15,-143.13,66.86,23.03,27.3,-482.43,-9.13,-51.34,-128.84,46.06,1.0
1.0,1.0,1.0,1.0,-151.31,56.09,51.29,18.58,89.28,-31.83,-8.18,-32.29,28.05,-49.72,6.37,205.81,5.02,-104.66,117.29,-57.15,0.0
1.0,0.0,1.0,1.0,-17.81,121.0,64.85,15.03,-153.53,-24.05,-3.76,-72.38,-35.12,127.9,65.38,-533.15,-2.41,-20.51,22.87,33.76,1.0
0.0,2.0,0.0,0.0,116.88,-4.88,55.28,-12.9,-26.31,13.78,-0.34,-332.82,16.41,39.7,16.29,-337.23,23.88,-6.98,-134.2,-4.02,1.0
0.0,2.0,0.0,1.0,-16.52,-59.66,4.41,-0.9,34.89,-0.48,-0.63,-516.6,48.54,59.5,3.56,-579.74,2.1,222.42,-121.15,-37.98,1.0
1.0,1.0,1.0,1.0,99.82,15.36,105.49,5.51,106.28,28.53,1.31,-74.15,-55.94,27.39,-18.69,237.41,3.59,-68.85,52.11,-35.84,0.0
1.0,1.0,0.0,0.0,109.19,-78.71,74.48,27.89,21.63,13.86,3.63,-121.48,-24.08,90.02,32.93,173.43,-4.76,158.53,170.69,-0.68,0.0
1.0,1.0,1.0,1.0,64.2,-25.43,65.79,-4.06,60.36,61.25,7.26,-28.31,-103.85,55.17,-2.49,115.15,-0.69,-201.75,67.46,29.22,0.0
1.0,1.0,2.0,1.0,-51.05,-0.12,-39.63,2.9,56.04,-13.14,-5.08,-41.13,-50.55,91.64,8.79,-367.32,8.04,-21.51,-12.58,-14.94,1.0
1.0,1.0,0.0,1.0,31.86,-72.0,-78.75,11.23,-1.47,27.13,2.62,72.46,37.51,-5.1,19.33,348.5,7.22,-77.73,99.43,18.31,0.0
1.0,1.0,0.0,1.0,-38.3,55.91,1.83,15.61,19.0,19.4,4.69,146.45,162.71,14.96,-79.66,148.42,-7.01,72.55,-1.87,-10.55,0.0
1.0,2.0,1.0,2.0,80.91,-15.03,-7.83,0.93,-19.42,12.23,6.99,32.5,142.14,16.62,22.55,42.35,-9.98,11.83,-34.85,-14.82,0.0
1.0,1.0,1.0,1.0,-43.17,-15.64,1.61,-23.86,13.58,21.31,20.6,-116.21,24.36,57.8,-4.81,-455.85,13.73,18.8,-121.45,2.42,1.0
1.0,1.0,1.0,1.0,-24.04,-37.1,22.49,-5.47,-92.23,-66.92,2.55,89.85,42.71,40.15,13.09,-308.36,13.75,-113.79,-79.85,-28.66,1.0
1.0,1.0,0.0,1.0,19.95,13.88,-36.26,-17.05,-81.67,-2.14,-2.5,-86.31,-24.65,43.65,-68.32,-340.28,6.38,-3.96,-116.54,-67.18,1.0
1.0,1.0,0.0,0.0,-154.65,-40.08,46.87,-0.62,66.85,-4.62,7.35,-138.74,-2.42,-17.69,-21.56,-56.45,-1.3,-63.1,42.49,-64.04,0.0
0.0,2.0,0.0,0.0,163.23,39.46,-62.63,-33.11,-53.48,-42.23,7.51,-300.11,132.99,50.41,-31.59,-226.14,8.79,46.68,-83.11,32.21,1.0
1.0,1.0,0.0,2.0,-75.91,33.84,-12.33,25.19,4.38,50.72,-6.58,-148.31,-30.35,-22.04,43.28,-52.06,-0.67,-143.69,4.1,-98.83,0.0
1.0,2.0,1.0,2.0,101.62,-65.05,-3.67,12.1,126.58,8.38,4.4,8.92,45.22,-3.07,68.73,658.52,-14.4,5.89,252.4,9.63,0.0
1.0,0.0,1.0,0.0,-18.88,14.75,25.43,11.82,-47.45,16.22,11.52,-76.67,30.5,76.95,-44.93,-247.8,-2.33,-29.66,35.33,56.79,1.0
1.0,1.0,1.0,1.0,-95.17,82.13,-10.94,1.62,155.05,8.85,7.95,-24.58,-122.19,-41.57,17.16,300.02,-1.42,61.24,111.2,18.27,0.0
1.0,1.0,1.0,1.0,-1.05,31.6,-11.0,-17.91,73.64,-72.96,-0.85,-154.5,112.35,-44.13,-12.22,312.56,2.51,60.91,142.41,-20.87,0.0
1.0,1.0,0.0,1.0,-17.34,-29.13,11.67,-42.72,-53.74,-52.69,0.98,-104.68,27.77,98.95,-38.78,-368.34,-2.27,-6.58,-20.39,17.51,1.0
1.0,0.0,1.0,0.0,98.56,-12.87,0.2,-35.95,-190.7,6.0,11.97,-6.53,5.54,65.77,-14.35,-49.12,-7.93,-80.89,76.49,48.95,1.0
1.0,1.0,0.0,1.0,117.31,38.39,-12.72,-1.14,157.19,18.24,2.38,-301.87,-107.3,12.22,30.04,299.67,-4.57,47.05,111.18,-44.72,0.0
0.0,0.0,1.0,1.0,-212.81,-48.03,23.15,9.72,-62.47,54.75,12.13,-569.73,124.51,39.49,46.47,-1425.97,-3.38,82.23,-341.35,43.17,1.0
1.0,1.0,1.0,1.0,-75.3,68.04,31.3,-14.72,118.26,51.54,-10.72,-310.92,42.41,-46.47,-29.9,116.17,2.64,23.67,134.5,31.99,0.0
1.0,1.0,1.0,1.0,98.75,19.95,2.35,13.91,104.93,-19.87,2.05,-94.7,-98.41,-52.93,29.21,156.45,-1.44,19.32,-105.84,21.65,0.0
1.0,2.0,0.0,1.0,220.76,-127.74,26.18,-4.71,186.35,-37.19,8.08,-97.38,193.34,59.14,31.55,633.33,-25.02,-39.43,181.17,10.38,0.0
1.0,1.0,0.0,2.0,66.31,1.39,85.89,-7.99,64.5,33.72,-9.01,-199.51,30.26,7.93,12.92,162.01,16.45,90.62,59.96,20.99,0.0
0.0,2.0,1.0,1.0,20.41,-60.8,-12.96,13.06,-47.47,-40.75,6.06,-264.73,-48.07,17.77,31.26,-191.42,-7.68,-22.89,38.2,-44.19,1.0
0.0,0.0,2.0,2.0,-142.36,49.38,9.42,5.49,-100.17,-40.58,-5.7,-413.87,5.31,12.36,-4.15,-1075.51,12.45,-110.98,-265.76,17.71,0.0
0.0,0.0,1.0,0.0,-119.01,-92.18,12.18,-3.2,-159.72,-20.8,8.03,-256.13,50.51,-59.73,-18.5,-662.42,6.58,-269.31,-181.87,7.35,1.0
1.0,0.0,1.0,1.0,-10.28,-44.6,6.53,64.7,40.89,-44.89,-0.65,-57.56,74.72,16.02,-42.18,-5.38,11.73,-123.85,2.51,5.71,0.0
1.0,0.0,1.0,1.0,49.69,14.11,-15.76,-1.85,-14.56,27.91,2.84,-169.3,15.26,-44.15,-21.57,-21.82,1.71,117.83,-57.08,62.42,1.0
1.0,0.0,2.0,1.0,26.15,40.38,5.2,-40.43,-159.09,8.05,-2.16,-196.06,91.81,41.24,4.21,-746.16,13.81,91.7,-181.12,-9.68,1.0
1.0,1.0,1.0,1.0,62.45,-68.64,-5.87,-23.4,81.31,-25.97,3.1,-79.67,27.71,14.89,-32.26,150.5,-18.63,-76.62,22.51,13.72,0.0
1.0,2.0,1.0,1.0,51.79,-26.58,54.88,31.76,51.53,-10.84,-9.26,-222.39,250.04,-20.41,-17.98,343.12,19.49,118.56,198.62,-6.54,0.0
1.0,1.0,1.0,0.0,-147.35,0.29,-18.12,13.51,-143.14,-45.79,6.42,-184.21,51.74,47.33,4.54,-796.81,-13.56,23.44,-105.84,66.55,1.0
1.0,1.0,0.0,1.0,11.55,-46.21,29.06,-30.83,28.14,-35.22,-2.04,-27.46,-106.4,4.22,-3.28,192.0,11.26,-87.1,64.32,120.13,0.0
1.0,1.0,1.0,1.0,79.34,-59.9,4.95,40.74,2.99,-27.89,6.03,-303.15,85.29,120.09,73.41,-40.09,1.57,-73.82,242.94,21.2,0.0
1.0,1.0,1.0,1.0,-97.34,11.07,17.89,-5.45,97.05,48.65,1.64,-157.58,-76.17,-53.49,33.48,6.11,7.76,67.64,-7.95,12.8,0.0
1.0,1.0,1.0,0.0,74.85,-9.26,57.28,-26.55,25.65,46.18,9.72,-81.16,-26.21,74.57,-18.59,106.16,-4.39,-62.84,122.74,54.93,0.0
1.0,1.0,2.0,2.0,33.88,-78.95,-10.21,11.08,-116.91,-2.76,-1.57,175.42,-120.75,108.0,5.95,-125.26,19.06,29.89,108.94,121.61,1.0
1.0,1.0,0.0,1.0,106.9,-3.39,-5.3,31.22,77.82,-27.74,-10.94,-265.41,-47.54,39.71,4.01,-126.58,0.55,-104.79,-93.41,-31.65,1.0
0.0,1.0,0.0,2.0,123.26,77.13,35.87,-35.8,-139.85,-12.12,-2.51,-272.11,120.38,0.86,-50.49,-150.0,16.05,87.85,-46.17,28.3,1.0
1.0,1.0,1.0,1.0,-55.11,-20.33,18.12,-30.15,-16.21,-52.59,-2.25,-473.61,65.97,-81.32,-2.97,-21.11,-0.01,146.15,126.04,44.29,0.0
1.0,0.0,1.0,1.0,-32.62,-47.76,-15.94,15.11,-140.3,15.09,-9.55,141.24,46.17,77.68,-65.52,-289.79,9.91,-115.95,-15.97,-58.27,1.0
1.0,1.0,1.0,1.0,-15.08,-7.44,-7.63,-11.09,84.22,18.57,-9.33,-76.62,241.75,-11.53,-75.05,266.38,0.46,-12.55,129.09,17.21,0.0
1.0,1.0,1.0,0.0,32.75,-47.48,13.12,-16.15,-16.26,-32.26,-4.86,-19.25,73.88,83.49,14.46,-41.02,-0.97,-119.87,93.09,37.16,0.0
1.0,0.0,1.0,1.0,-20.48,-71.78,5.82,53.48,-86.06,56.74,6.19,-38.52,26.33,-108.45,-16.22,-25.66,10.05,-167.37,-76.28,-25.2,1.0
1.0,1.0,1.0,1.0,-100.7,7.28,-6.83,4.95,87.54,-76.15,5.17,-124.11,99.03,-37.89,-1.11,60.28,8.27,88.86,38.66,-6.5,0.0
0.0,0.0,1.0,1.0,-40.89,-29.05,-28.96,0.06,-154.94,-41.76,1.24,-414.96,15.56,-22.42,15.35,-826.14,0.88,-26.33,-239.57,2.76,1.0
0.0,0.0,2.0,1.0,-190.18,-40.91,9.1,-24.34,-124.44,-7.53,-3.32,-314.87,130.29,26.36,35.13,-1052.09,7.57,-57.32,-214.14,-112.19,1.0
1.0,1.0,0.0,1.0,-25.65,-66.54,7.2,-13.26,46.55,4.32,4.18,45.89,153.08,4.71,-2.29,189.82,9.13,-4.41,45.57,121.76,0.0
0.0,1.0,1.0,1.0,84.38,-14.37,15.01,-36.89,-60.98,-22.45,-8.21,-195.39,-202.22,6.6,-24.86,-312.81,1.0,77.33,-163.06,-112.53,1.0
1.0,0.0,1.0,1.0,129.75,4.48,98.48,-9.31,-136.27,19.99,2.26,119.01,-32.05,21.35,66.81,-230.99,-8.69,25.72,-201.34,7.33,1.0
1.0,1.0,0.0,1.0,14.58,26.32,-18.84,31.22,-93.63,-1.78,-7.26,-175.42,3.25,-40.21,2.3,85.91,7.26,-0.62,56.34,86.29,0.0
1.0,1.0,1.0,2.0,-6.34,27.41,2.52,-33.54,-69.83,63.09,9.03,-40.49,-106.23,117.8,48.09,-399.92,-23.15,-39.56,21.14,18.97,1.0
1.0,1.0,1.0,1.0,75.09,52.7,42.5,-0.05,54.97,-37.55,5.39,-110.72,179.76,43.54,-39.86,79.67,0.16,-73.91,66.7,-61.49,0.0
1.0,1.0,0.0,1.0,-29.1,-62.48,-1.68,-31.25,-28.99,76.87,-7.87,22.24,68.77,-21.3,-46.26,218.86,5.2,199.54,77.76,-24.04,0.0
1.0,1.0,1.0,1.0,28.52,-35.53,-0.49,27.43,-58.53,-3.75,3.13,-34.84,-67.01,83.73,18.47,-171.5,19.01,151.27,65.39,52.39,0.0
0.0,1.0,1.0,2.0,-17.25,-133.82,-1.61,12.2,-162.44,39.81,-3.18,-99.69,-5.43,32.51,10.33,-525.9,-7.34,-2.99,-153.39,-14.69,1.0
1.0,1.0,1.0,1.0,13.71,35.53,19.54,-4.09,75.41,-8.47,-1.66,14.32,-109.99,15.36,12.93,74.71,-0.76,96.99,-15.87,62.69,0.0
1.0,1.0,1.0,1.0,-53.1,25.22,-7.03,4.58,25.63,40.69,0.22,-46.29,61.08,-32.62,-46.25,187.64,-1.55,83.07,85.47,66.06,0.0
1.0,1.0,1.0,2.0,-105.86,79.53,8.62,-10.08,113.48,12.35,6.39,-227.92,-73.28,-57.38,10.09,83.02,-11.0,-28.91,90.99,-28.14,0.0
1.0,1.0,0.0,2.0,29.65,71.22,46.99,-17.81,28.62,-78.47,4.28,-101.1,-54.73,64.09,-59.62,61.26,11.52,-48.93,110.22,76.56,0.0
1.0,1.0,1.0,1.0,-111.18,30.53,22.8,-19.65,132.07,33.55,-7.74,-157.43,-22.3,-16.63,48.49,-270.43,-14.4,-84.89,-87.49,18.53,1.0
