cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,target
2.0,1.0,2.0,53.9,141.57,-71.94,4.61,1.01,15.71,51.43,30.75,-98.29,-33.88,-53.69,25.23,1.0
3.0,2.0,3.0,7.08,299.61,-35.02,-3.32,6.01,-42.13,-5.4,6.33,396.5,-16.69,81.27,-160.72,0.0
3.0,2.0,3.0,175.05,380.32,-63.87,-0.3,5.09,-105.34,4.48,-10.14,415.88,38.35,16.69,-115.79,0.0
1.0,2.0,2.0,-71.65,55.37,8.14,0.44,3.07,-27.53,-29.16,17.89,-63.81,-10.74,65.52,-205.3,1.0
3.0,1.0,1.0,55.2,7.46,-35.56,-1.73,-2.31,-86.33,63.65,-0.56,-144.4,-48.85,-65.28,395.64,0.0
2.0,1.0,2.0,-12.99,31.66,39.56,1.55,2.05,-24.98,102.8,-11.91,-147.48,29.92,6.54,-4.73,1.0
2.0,1.0,2.0,-7.44,56.6,16.59,1.76,-2.0,-49.58,76.75,28.21,-7.68,18.88,-10.27,109.18,0.0
2.0,2.0,1.0,166.86,31.85,53.37,-3.71,5.04,-43.58,-7.58,41.13,137.88,-30.0,-32.67,69.3,0.0
2.0,2.0,2.0,-25.62,-55.4,28.68,-2.86,-1.82,-41.95,-44.99,-1.22,147.92,54.21,41.45,-78.42,1.0
3.0,2.0,3.0,-55.18,115.63,-63.07,1.25,3.79,-6.95,-66.6,-24.99,-49.41,27.58,37.6,8.86,1.0
2.0,4.0,2.0,-132.17,-180.28,-69.17,3.95,-2.85,-40.53,20.37,0.26,100.79,-0.29,101.27,-208.27,1.0
2.0,2.0,4.0,-41.12,177.13,55.35,-0.73,4.26,139.31,60.0,46.56,148.79,-5.95,33.84,-307.85,1.0
1.0,3.0,2.0,41.57,29.92,37.88,0.08,-0.0,11.39,-50.58,30.89,-197.41,85.67,-62.47,100.21,1.0
2.0,3.0,2.0,59.22,105.4,17.2,-3.52,-0.67,-76.91,-6.47,38.52,-44.85,-66.19,-29.25,150.82,1.0
3.0,3.0,1.0,-24.5,-46.25,-37.24,-1.69,-9.12,36.22,-69.6,27.62,-11.55,72.74,-105.98,432.79,0.0
2.0,2.0,1.0,14.37,113.19,-15.21,-3.28,-4.83,-47.3,44.48,-57.89,14.86,-6.77,-77.39,333.35,0.0
1.0,1.0,3.0,-181.44,-28.29,34.06,5.31,-2.84,47.63,27.4,-5.09,55.22,-63.71,91.79,-332.5,1.0
2.0,3.0,2.0,-88.45,239.48,-66.64,-0.08,-4.12,-3.02,79.99,31.54,153.15,78.07,-3.57,24.71,1.0
1.0,2.0,2.0,85.41,29.58,-9.32,0.13,1.6,-13.4,46.54,-30.36,34.36,-55.26,-1.4,-176.63,0.0
3.0,2.0,1.0,-21.75,96.78,-17.6,-0.6,-7.32,-84.24,-10.19,24.42,88.16,-5.2,-71.28,553.65,0.0
2.0,2.0,2.0,-18.58,70.26,-49.03,-1.07,0.45,-27.03,-59.94,-14.46,-27.48,-46.28,0.32,29.85,1.0
2.0,2.0,3.0,-86.21,-0.72,-67.9,-1.88,1.59,75.5,29.54,-2.81,248.91,37.4,81.18,-347.67,1.0
2.0,2.0,2.0,34.34,152.92,9.39,0.54,1.36,7.79,-12.17,19.73,-51.42,13.63,-47.2,125.16,1.0
2.0,3.0,2.0,-21.07,121.13,-7.99,-4.45,2.48,-32.09,-5.67,-1.89,-41.91,-7.51,19.6,5.1,1.0
2.0,4.0,3.0,-75.89,80.81,27.06,-1.47,-5.19,154.93,-49.78,23.98,169.91,-13.75,-17.12,-167.48,1.0
2.0,2.0,2.0,-57.94,114.75,-55.53,1.39,-4.6,1.24,36.58,21.29,76.21,-24.77,-13.17,51.78,0.0
3.0,1.0,4.0,55.52,227.09,-15.58,3.05,3.75,-1.48,-59.72,36.01,-172.71,-16.92,-25.88,28.46,1.0
2.0,1.0,3.0,2.39,271.9,-54.19,-3.59,1.98,55.04,-21.37,48.07,33.45,41.24,-33.71,14.26,1.0
2.0,3.0,1.0,48.94,52.62,11.59,-3.94,3.44,-114.22,133.02,-31.51,156.14,-33.73,42.37,-9.44,1.0
3.0,3.0,2.0,96.99,193.64,-10.72,-3.23,-1.37,18.9,-51.1,17.39,93.47,-51.6,-102.08,339.2,0.0
3.0,2.0,3.0,10.47,120.24,9.08,-2.4,4.05,-44.33,-52.05,34.39,-155.55,-4.36,19.9,-5.06,1.0
2.0,3.0,2.0,-106.65,53.91,-63.17,-2.61,-2.98,-40.63,39.98,8.99,54.38,54.75,41.92,-23.81,1.0
2.0,4.0,3.0,84.24,-164.71,4.06,-4.2,1.11,-5.85,-47.72,-9.88,-152.57,18.16,-15.16,-29.2,0.0
2.0,1.0,2.0,10.83,149.56,-94.14,-1.56,2.21,-75.11,-59.28,1.71,-471.87,-7.27,-60.19,271.48,1.0
3.0,2.0,2.0,41.81,57.61,49.69,1.41,3.81,-91.6,-18.93,12.0,-4.81,7.81,23.07,115.35,1.0
3.0,1.0,2.0,55.55,-115.51,-39.75,1.76,5.0,-28.18,87.03,35.7,122.77,10.2,52.59,-93.64,1.0
2.0,1.0,3.0,113.84,183.62,-16.93,-0.01,-5.25,11.54,-115.78,12.51,37.41,-57.02,-102.04,113.52,0.0
3.0,2.0,2.0,-41.03,-124.39,4.5,4.07,-4.64,-0.87,-88.2,-14.46,37.14,-47.07,5.38,62.72,1.0
2.0,3.0,2.0,82.58,-81.11,49.08,-1.33,3.22,57.93,47.87,-31.07,-168.93,-21.63,-29.46,-127.58,0.0
2.0,1.0,2.0,13.52,14.29,-46.68,0.79,1.99,11.11,-33.91,-34.7,52.79,-60.45,2.4,3.56,0.0
2.0,2.0,2.0,-53.77,201.57,9.07,-2.59,-3.91,31.55,136.58,11.72,153.22,-23.06,-27.91,81.61,0.0
1.0,2.0,1.0,49.34,157.11,-16.53,0.37,-4.06,-50.34,20.83,-39.8,-86.25,43.09,-86.24,238.96,0.0
2.0,2.0,3.0,19.94,98.79,-43.29,-2.0,0.69,-22.0,-7.15,-26.2,98.71,-2.98,11.67,-38.34,0.0
1.0,2.0,2.0,-7.37,57.75,-76.4,3.86,1.3,21.73,122.86,20.54,-305.98,-48.16,-38.7,-13.2,1.0
2.0,2.0,2.0,-91.85,52.89,101.92,1.36,-6.32,-81.98,-40.08,22.75,-14.09,-2.29,11.12,166.01,0.0
2.0,1.0,2.0,-38.15,-153.49,20.68,-0.92,4.11,20.54,-60.83,-30.07,285.43,-76.21,110.5,-346.32,1.0
2.0,2.0,2.0,-16.66,123.72,-55.48,-6.81,1.81,16.86,40.35,39.66,111.52,45.62,22.81,-139.19,1.0
3.0,2.0,2.0,53.5,63.91,7.5,1.73,1.85,-52.11,85.42,31.97,111.05,-30.46,7.09,36.78,1.0
2.0,3.0,2.0,80.99,56.93,1.84,-0.87,1.49,26.37,16.03,29.69,119.57,70.16,-17.52,-89.07,1.0
3.0,2.0,2.0,9.95,-119.82,13.11,-2.87,2.83,-114.77,30.73,24.56,69.53,-33.82,73.09,13.97,1.0
2.0,3.0,2.0,173.13,25.12,88.51,3.19,4.66,-21.82,-60.26,-12.39,5.18,-40.84,-30.64,-95.62,0.0
3.0,2.0,1.0,-3.93,18.2,34.17,-1.76,-0.02,23.77,-14.72,-0.22,0.01,-72.22,-39.09,236.85,0.0
3.0,1.0,2.0,-46.57,-16.2,-0.51,-3.46,2.54,-77.15,-54.5,-21.46,188.75,43.7,90.86,-79.27,1.0
2.0,1.0,3.0,-86.79,339.85,8.85,1.74,0.79,91.35,98.14,8.45,-39.31,21.45,-36.81,70.04,1.0
1.0,2.0,2.0,-22.03,2.94,17.95,0.78,1.54,14.9,-50.43,-0.45,163.54,26.53,55.66,-294.32,1.0
3.0,3.0,2.0,2.97,71.43,-3.94,-1.37,-1.55,-52.0,-30.6,-20.03,19.83,30.16,-24.84,258.81,0.0
2.0,0.0,2.0,-20.1,-40.73,-3.02,0.09,-4.2,23.96,144.46,44.7,61.05,-21.36,-20.35,42.62,0.0
1.0,3.0,2.0,-106.58,-26.31,-33.19,2.62,-4.2,-93.09,-9.87,-32.06,127.51,18.74,93.75,-216.22,0.0
2.0,2.0,2.0,96.56,-188.33,27.54,-1.04,-0.6,103.09,-77.77,-26.79,-153.0,-24.73,-72.92,4.14,0.0
2.0,0.0,3.0,112.59,86.43,-38.07,-4.65,1.94,59.32,42.65,2.68,48.23,21.77,-45.57,-116.34,0.0
3.0,3.0,4.0,61.22,362.35,-70.48,-1.27,-2.97,-97.32,85.77,16.58,209.66,-33.1,-9.93,46.13,0.0
1.0,1.0,2.0,-10.45,96.73,13.43,-1.51,-0.02,-4.78,0.34,-42.83,-305.03,22.31,-54.18,95.16,1.0
2.0,2.0,2.0,6.67,28.2,-0.85,2.75,-2.78,-33.32,-18.04,-36.35,118.32,-17.91,5.37,-42.77,0.0
1.0,2.0,1.0,141.02,82.41,-10.23,0.36,-1.87,89.55,4.79,40.37,61.2,-44.68,-121.08,47.27,1.0
3.0,1.0,2.0,-3.71,-309.99,57.61,2.41,1.87,-87.56,-64.9,14.01,7.95,-72.87,85.83,-52.12,1.0
2.0,1.0,2.0,73.13,195.11,-33.31,-2.61,-2.88,-77.45,11.89,18.53,-193.77,6.71,-98.85,364.61,0.0
3.0,3.0,2.0,-37.52,-75.68,-6.15,-2.15,3.84,-169.21,-71.83,-1.33,6.92,-44.79,107.02,9.92,1.0
3.0,1.0,2.0,52.03,217.28,-4.35,2.11,-1.34,1.38,22.04,-41.51,225.65,-22.99,-49.04,144.99,1.0
2.0,1.0,3.0,-31.95,84.66,-36.68,1.97,-0.37,-75.84,56.83,-19.98,-74.91,-25.6,23.99,32.92,1.0
3.0,4.0,3.0,-21.4,90.86,-26.84,1.09,-4.56,76.44,61.48,-1.31,-98.62,-67.63,-72.29,157.96,0.0
1.0,3.0,2.0,-75.29,175.55,38.96,3.48,0.04,-28.63,37.93,16.99,-205.66,35.01,-12.26,74.21,1.0
2.0,2.0,2.0,-121.28,-92.37,-16.14,-0.18,-7.29,28.49,71.05,4.67,-136.64,14.49,-15.76,111.91,0.0
2.0,1.0,2.0,-71.49,178.98,37.21,-1.63,1.73,-17.47,20.07,1.02,-90.82,44.44,15.41,7.25,1.0
3.0,2.0,2.0,48.57,190.86,35.97,3.88,-2.41,-158.43,42.49,2.72,-240.39,61.3,-58.83,388.92,1.0
2.0,2.0,2.0,-80.21,185.62,13.2,2.57,1.71,-8.9,32.93,-9.41,-296.12,-11.97,-9.96,55.42,1.0
2.0,1.0,1.0,-74.54,247.63,-58.94,-1.05,-8.53,-17.56,-66.36,-5.23,170.17,-24.32,-58.73,276.78,1.0
2.0,2.0,2.0,20.07,73.21,-14.69,-8.11,2.52,-43.89,46.1,-25.19,-43.73,-81.22,7.76,17.73,1.0
2.0,2.0,1.0,5.41,-27.29,24.2,2.46,-3.58,-33.1,12.03,11.17,62.2,-80.34,-28.33,176.26,0.0
3.0,2.0,4.0,111.37,135.14,25.65,0.42,11.4,-11.45,-24.9,2.33,-55.35,31.54,56.77,-278.04,0.0
0.0,1.0,0.0,300.33,-264.47,20.07,-2.23,-3.71,-6.41,-54.39,-25.07,106.2,88.91,-124.71,-48.32,1.0
2.0,2.0,2.0,-14.7,-108.26,1.36,0.9,1.45,-103.61,11.52,16.0,-45.06,12.85,68.33,-61.07,1.0
3.0,3.0,1.0,16.42,129.7,13.49,6.19,-3.43,12.6,115.89,-90.13,53.13,-53.2,-79.25,321.85,0.0
3.0,2.0,2.0,13.93,236.35,-38.1,-0.3,-6.58,-118.38,38.34,-13.37,-53.31,24.46,-89.76,517.56,1.0
3.0,3.0,1.0,-24.51,-93.45,9.37,-2.29,-2.07,-36.68,-2.13,-31.24,224.46,-15.36,33.17,37.22,1.0
2.0,3.0,2.0,-26.88,199.5,-9.17,1.01,-0.49,16.14,26.0,83.14,267.8,-45.51,-6.35,56.86,0.0
2.0,0.0,2.0,-1.88,374.59,63.62,2.07,-0.5,-30.97,8.94,4.73,183.56,7.1,-30.79,88.21,0.0
1.0,2.0,3.0,-174.37,385.38,73.99,-2.76,-11.59,51.55,-4.7,-7.13,-1.44,-78.34,-66.87,158.06,1.0
1.0,3.0,1.0,58.24,-84.61,-84.98,0.48,0.57,-94.4,29.05,-24.94,-203.26,-35.53,-13.13,44.61,1.0
3.0,2.0,1.0,-70.17,-88.1,93.05,0.12,-5.92,36.42,84.88,-25.14,-60.22,-67.7,-70.14,416.5,0.0
2.0,2.0,1.0,5.91,42.99,1.7,1.54,-3.37,-62.62,-22.6,5.96,124.29,-15.76,-20.87,203.36,0.0
2.0,2.0,1.0,-60.75,-30.54,-82.82,-4.93,-6.23,8.74,-59.69,11.34,78.55,-14.8,-18.64,76.22,0.0
1.0,4.0,3.0,-139.91,60.96,29.62,-3.81,-1.33,34.37,105.63,-33.99,216.32,12.69,99.35,-455.7,1.0
3.0,2.0,2.0,71.8,-93.11,8.09,-1.53,4.46,-91.57,31.25,-32.72,144.52,50.36,70.75,-140.19,1.0
2.0,4.0,2.0,-27.51,146.93,36.97,2.22,-2.0,-107.97,-137.39,-25.71,277.38,42.75,56.06,-45.78,0.0
4.0,3.0,1.0,-36.44,30.55,33.7,1.41,0.24,-23.4,39.22,11.15,-11.61,27.44,-26.81,378.28,0.0
2.0,2.0,2.0,22.06,221.12,38.33,-0.06,-3.76,-11.99,-117.75,-22.11,-16.63,-53.88,-79.95,255.6,0.0
0.0,3.0,1.0,53.02,65.22,-32.29,0.98,-0.96,12.5,73.52,35.22,-235.89,84.79,-76.13,-1.3,1.0
4.0,2.0,2.0,81.62,80.96,5.06,-0.71,2.03,-13.01,-19.37,0.61,63.28,-66.0,-37.41,209.8,1.0
3.0,3.0,3.0,-44.76,33.98,-61.78,-2.25,-9.01,45.84,9.96,53.65,-34.22,-31.29,-73.8,256.96,1.0
1.0,2.0,2.0,47.94,187.91,25.07,-0.23,-1.61,130.6,52.99,-30.15,-112.68,28.0,-118.15,24.41,1.0
1.0,3.0,1.0,30.72,-111.14,-9.98,-3.63,1.68,-69.12,28.73,-36.36,-18.09,55.69,36.31,-123.74,1.0
3.0,3.0,3.0,74.97,237.31,82.56,1.2,-1.8,-107.39,129.13,-44.68,-252.89,-25.89,-87.87,428.01,1.0
2.0,2.0,3.0,-71.17,78.38,37.9,-1.98,-0.75,89.83,-82.81,14.51,256.23,18.48,32.81,-191.93,1.0
3.0,1.0,4.0,-78.24,344.69,2.41,-1.04,-7.3,64.07,45.66,56.07,-175.26,-38.46,-102.78,324.82,1.0
3.0,2.0,2.0,127.02,-61.54,18.8,-2.27,2.56,47.89,-45.22,3.5,-83.25,-53.22,-62.52,83.91,0.0
3.0,3.0,1.0,-51.38,8.93,-4.49,-1.26,-3.05,-33.88,-67.61,-7.76,21.59,49.63,-18.66,282.16,0.0
1.0,3.0,1.0,104.84,-89.97,6.15,0.64,-0.76,28.62,-24.35,12.37,-18.44,28.58,-55.36,-90.88,1.0
2.0,3.0,1.0,-6.34,66.79,-62.79,1.06,0.9,-143.22,20.95,-6.26,305.39,-10.24,77.66,-38.13,0.0
2.0,1.0,2.0,-56.05,2.71,4.57,1.41,-1.24,-1.55,-37.84,11.86,10.38,24.68,14.84,33.84,0.0
1.0,3.0,2.0,-185.12,-21.95,-71.49,-1.59,-3.07,3.02,11.0,-22.36,139.61,33.66,105.65,-318.17,1.0
2.0,2.0,1.0,111.7,-0.39,-12.98,-0.78,2.36,27.49,53.77,-102.34,91.08,22.8,-65.9,171.86,0.0
2.0,1.0,3.0,-80.61,149.64,-80.65,3.09,2.97,-24.66,-28.19,37.39,-112.96,-44.75,36.2,-11.04,1.0
2.0,3.0,1.0,102.97,4.09,-14.84,0.64,0.25,-27.12,66.57,35.04,-262.09,5.05,-91.31,241.84,1.0
3.0,2.0,2.0,-8.93,-86.53,-21.16,2.63,-1.19,12.42,18.84,-60.38,63.86,22.46,3.82,78.85,0.0
1.0,2.0,2.0,26.57,83.43,10.89,7.2,0.63,55.82,98.85,-33.4,-55.11,82.84,-33.34,-125.95,1.0
2.0,4.0,2.0,20.62,88.71,-8.31,1.14,-3.49,-89.9,-96.09,-16.84,93.5,89.97,6.69,6.92,0.0
3.0,3.0,3.0,39.75,-183.44,-2.87,4.71,-4.28,160.63,-37.66,21.63,-123.1,-21.34,-92.92,91.82,0.0
2.0,2.0,2.0,-59.28,29.5,-37.62,-1.43,-6.75,31.35,5.77,-13.38,101.41,-9.38,-36.33,115.06,0.0
3.0,2.0,0.0,-57.06,-13.5,-28.2,-3.26,-0.98,-86.63,46.87,-26.95,302.65,-67.63,50.39,117.94,0.0
3.0,2.0,3.0,62.16,-21.16,38.79,0.04,7.14,-60.4,-44.35,11.37,-151.68,21.41,49.29,-116.22,1.0
2.0,2.0,3.0,-43.67,99.83,15.97,-1.73,-2.17,-103.47,-80.55,-5.99,132.87,6.23,59.27,-78.73,0.0
2.0,1.0,2.0,-20.12,-52.27,2.52,3.48,-0.01,-37.98,-31.43,-5.01,36.4,51.28,47.64,-158.71,0.0
3.0,2.0,2.0,-6.17,-61.5,22.01,0.73,5.4,34.53,101.97,-22.68,246.87,-0.44,85.57,-298.91,1.0
3.0,2.0,2.0,-31.78,148.48,-51.31,2.47,0.57,-17.8,142.6,-20.6,158.53,58.73,19.71,55.74,0.0
3.0,3.0,2.0,95.63,123.95,-42.32,-1.81,0.6,-65.97,-128.96,-20.45,14.45,1.74,-39.01,191.01,1.0
2.0,1.0,3.0,-38.53,-28.81,5.86,-3.33,2.85,-68.58,5.52,-38.29,-84.87,72.92,74.02,-151.64,1.0
3.0,3.0,3.0,-71.58,356.74,65.18,-0.91,3.45,30.87,-37.13,-16.13,17.17,-24.25,9.12,50.38,1.0
2.0,2.0,2.0,-118.71,-90.59,-44.61,-0.09,-4.58,26.09,-26.81,-26.59,-90.3,-1.42,4.37,76.4,0.0
3.0,4.0,2.0,129.06,41.51,-58.42,-7.51,1.73,-50.57,-71.97,-15.62,260.73,-23.42,-8.61,47.15,1.0
2.0,1.0,1.0,57.51,-116.27,-43.76,-0.71,0.31,-63.9,-43.68,35.7,-190.09,32.35,-25.94,134.64,1.0
2.0,2.0,3.0,-105.08,8.22,-3.88,1.63,-4.63,61.36,61.03,51.11,162.86,21.08,26.16,-117.57,1.0
2.0,1.0,2.0,-54.74,137.82,17.41,-1.76,-7.13,17.88,-22.67,-8.1,120.89,-41.49,-42.61,138.09,1.0
1.0,2.0,2.0,3.4,294.79,-22.75,-0.03,-0.23,129.47,14.64,25.49,-34.12,-30.79,-88.09,9.95,1.0
2.0,2.0,1.0,56.61,-135.16,92.37,-0.27,0.76,-109.78,55.53,-19.2,-2.51,-35.37,14.0,120.35,1.0
3.0,2.0,2.0,30.08,-108.55,94.14,3.67,-0.02,-26.97,-25.44,23.48,10.48,-70.59,18.84,-30.81,1.0
2.0,2.0,2.0,123.72,-17.96,31.24,-2.96,1.78,11.5,-15.63,3.46,8.75,-45.61,-36.83,-84.93,1.0
2.0,3.0,2.0,100.62,261.48,4.69,3.85,3.65,-79.92,123.41,-31.46,33.82,50.66,-33.08,109.04,0.0
3.0,2.0,2.0,-55.21,-194.8,-18.89,0.23,-4.12,47.21,85.71,-27.17,32.41,72.17,7.84,21.41,0.0
2.0,1.0,2.0,-31.57,326.6,-51.42,-1.35,-2.8,-32.18,-62.39,51.32,148.25,76.25,-25.83,89.36,0.0
3.0,2.0,2.0,-38.29,64.81,-15.78,0.98,0.81,-68.68,-13.98,-3.52,153.57,-31.77,51.77,-8.71,0.0
1.0,0.0,2.0,-77.01,200.26,35.3,2.06,-2.88,43.11,-87.06,11.12,254.88,2.73,13.02,-134.91,1.0
2.0,2.0,3.0,-185.3,144.61,30.49,-3.05,-12.37,24.49,-34.72,1.93,-100.34,-10.73,-34.27,126.39,1.0
3.0,3.0,1.0,-63.88,248.98,61.87,2.06,-1.32,-1.76,-44.82,24.15,368.59,-58.28,7.95,85.05,0.0
2.0,2.0,1.0,50.68,-77.28,11.61,-3.12,-6.45,106.71,28.42,39.14,-192.37,10.63,-159.3,399.41,0.0
2.0,2.0,3.0,13.02,117.01,7.95,3.4,-5.68,-54.45,-69.52,-23.62,34.13,69.45,-29.8,91.84,0.0
0.0,3.0,0.0,138.94,-117.38,37.21,-4.83,-2.67,-93.43,-40.23,15.03,-375.34,-83.19,-119.31,288.03,1.0
3.0,2.0,3.0,118.06,211.53,81.32,4.47,6.91,64.33,29.06,-5.11,94.55,-7.6,-37.58,-12.51,0.0
1.0,3.0,2.0,-16.59,20.25,-14.18,0.6,0.49,-7.06,39.31,23.68,-17.57,39.54,14.03,-116.33,1.0
3.0,2.0,2.0,135.55,120.08,-3.91,1.21,1.03,4.02,141.08,2.84,-131.21,19.34,-107.63,274.97,1.0
2.0,4.0,0.0,-17.38,-67.96,-114.33,1.96,-2.85,-105.79,70.64,-12.69,119.24,-38.38,6.27,235.08,0.0
2.0,2.0,3.0,-85.53,68.21,-87.28,-0.52,-5.17,62.44,20.46,-56.48,15.06,26.57,-7.69,-50.59,1.0
4.0,2.0,2.0,35.03,211.85,-75.49,-1.1,0.18,8.15,-141.78,-5.76,209.82,19.68,-32.63,181.07,0.0
1.0,1.0,1.0,20.88,-217.34,56.17,-0.18,-0.13,-121.83,109.42,39.86,-2.57,-10.27,52.36,-96.09,1.0
3.0,1.0,2.0,120.34,9.07,-46.96,0.17,-1.66,-112.66,14.78,-33.48,-124.58,-40.54,-61.56,339.55,1.0
2.0,3.0,2.0,-38.16,213.55,-56.08,2.55,-10.8,-61.68,40.66,-9.88,13.99,-29.6,-97.73,464.98,1.0
2.0,1.0,2.0,1.0,5.6,40.3,-0.08,-1.65,71.93,29.11,-67.48,112.56,58.25,-31.82,46.9,0.0
2.0,3.0,2.0,-1.84,154.25,-94.15,-3.23,2.14,-28.24,95.44,-12.9,83.22,-3.64,18.55,-35.54,1.0
3.0,3.0,3.0,-39.15,-28.99,-9.94,1.13,-3.12,-98.53,-65.1,-16.09,-196.5,-33.48,0.9,230.74,1.0
4.0,2.0,3.0,-72.46,190.77,-76.78,1.15,3.22,-35.39,-75.51,19.93,69.69,-14.11,45.85,112.28,1.0
3.0,3.0,2.0,-3.53,164.04,-17.72,-2.9,-0.41,-62.72,-94.96,-11.71,235.09,-61.01,16.88,105.07,0.0
2.0,1.0,2.0,94.73,71.78,67.69,-0.89,0.47,38.63,87.18,-15.84,-4.81,79.25,-75.21,121.02,0.0
3.0,2.0,2.0,33.71,27.78,-56.76,0.05,-2.55,-58.33,-65.64,6.07,-57.44,28.54,-36.58,243.42,1.0
2.0,3.0,2.0,22.01,-41.05,-9.04,-0.41,-4.71,33.88,45.33,39.35,-71.48,-48.03,-66.54,136.62,0.0
2.0,1.0,2.0,13.07,-54.14,-34.08,-2.92,1.78,-36.73,46.77,-24.25,13.49,46.45,32.99,-87.87,1.0
3.0,1.0,2.0,-10.95,16.36,19.08,-0.08,-5.52,-11.61,-48.5,15.91,-79.7,-19.89,-71.79,389.72,0.0
3.0,2.0,2.0,-9.9,-3.08,10.42,-3.16,-4.06,-25.41,-96.82,6.48,-110.23,-25.66,-44.56,235.41,0.0
2.0,2.0,3.0,-61.99,-56.99,-42.38,-3.12,4.28,-38.76,88.45,19.75,219.13,-33.53,138.7,-367.16,1.0
2.0,3.0,2.0,-82.5,162.43,-6.08,3.12,-10.58,-27.77,-28.81,13.54,53.95,6.5,-68.66,353.16,1.0
3.0,1.0,3.0,-64.52,294.5,21.74,-3.88,-1.31,81.33,27.01,17.29,90.56,-8.9,-25.02,15.88,1.0
4.0,2.0,3.0,-12.56,147.44,25.99,-2.24,3.28,-56.4,-12.14,6.46,79.18,-3.77,29.88,134.05,1.0
1.0,3.0,1.0,60.15,-58.85,32.26,2.11,0.99,-107.87,-11.95,-28.01,-178.21,-22.82,0.16,-3.2,1.0
3.0,2.0,2.0,39.13,-154.41,-34.7,5.11,-4.31,10.93,-67.09,-4.81,-237.34,-51.35,-73.88,275.96,0.0
1.0,3.0,2.0,95.68,6.2,-8.19,-6.41,1.8,-21.36,-1.72,18.59,75.71,89.71,11.11,-235.52,0.0
2.0,3.0,2.0,-78.32,2.73,2.66,-2.88,-3.15,21.37,85.46,33.11,170.44,-39.03,27.47,-39.88,0.0
2.0,2.0,2.0,49.65,103.95,-1.72,5.21,1.45,17.41,26.37,31.01,-66.69,16.91,-49.2,102.23,1.0
2.0,1.0,2.0,141.71,56.53,-53.96,2.97,3.33,47.23,61.25,21.33,7.05,-13.63,-74.53,51.56,0.0
3.0,1.0,3.0,-44.63,305.43,28.56,1.09,-3.42,-213.14,-108.73,12.38,410.61,63.83,93.41,0.18,0.0
2.0,2.0,3.0,-74.0,354.21,3.76,-4.1,-3.13,68.6,-40.58,-12.34,112.33,-6.29,-33.13,1.58,1.0
2.0,2.0,3.0,-121.98,86.31,-18.47,-1.49,-3.99,21.37,7.79,-7.61,-30.09,-72.44,20.36,-44.01,1.0
