cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,target
0.0,2.0,0.0,-198.17,39.1,-15.09,7.77,46.89,23.44,-2.59,97.0,8.88,-4.77,-88.42,-10.98,137.5,-17.4,56.27,19.32,92.8,0.0
1.0,2.0,1.0,-108.63,-106.73,-26.87,-53.79,-30.59,19.36,27.11,-97.69,10.96,1.42,196.36,-35.36,96.66,-19.47,-113.33,-130.21,32.85,2.0
1.0,1.0,1.0,-325.5,5.95,30.72,40.8,-78.04,4.91,15.53,55.69,12.89,10.8,165.59,6.48,310.62,15.33,56.64,152.58,-36.18,0.0
0.0,1.0,0.0,-119.91,118.04,-16.42,-24.45,58.42,-26.33,30.25,8.44,3.66,-3.71,-66.11,-13.24,-47.04,-15.81,85.7,64.65,-80.62,0.0
1.0,2.0,1.0,-60.77,-74.84,22.54,-192.8,104.47,-6.95,-21.45,79.28,5.6,8.07,-8.18,41.71,-500.9,-2.13,57.78,-83.63,-158.83,0.0
2.0,1.0,0.0,26.84,18.76,10.3,161.92,-113.19,1.38,31.46,58.8,-12.61,-6.52,-7.94,-14.81,17.5,-14.79,44.7,-90.37,99.33,2.0
1.0,1.0,1.0,-58.83,-49.07,52.63,-213.85,-4.94,-28.17,64.53,26.8,3.34,13.21,-36.41,-58.83,-339.37,-39.63,10.61,278.41,-74.73,1.0
1.0,1.0,1.0,-27.4,86.53,21.85,41.62,-96.15,1.2,47.22,185.28,-1.3,6.87,-51.03,15.75,-9.14,-3.37,81.58,122.97,2.7,1.0
1.0,1.0,1.0,50.38,10.05,15.96,-56.01,-66.23,-50.34,76.25,52.88,-5.13,-14.21,52.56,-40.55,-286.48,35.71,79.09,160.35,22.05,1.0
1.0,1.0,1.0,-168.69,-9.25,-13.34,-65.6,-84.51,40.23,36.01,-119.96,12.71,-5.16,-60.56,7.31,19.97,-7.25,-0.6,51.85,-0.33,0.0
2.0,1.0,1.0,99.48,38.21,41.95,195.3,19.62,6.06,-65.65,144.94,-8.81,10.19,225.36,-25.11,189.27,-21.38,70.52,-138.12,76.58,2.0
1.0,1.0,1.0,308.77,-51.86,23.5,-50.43,22.27,47.16,-81.05,-124.71,-18.3,-0.77,-85.58,12.66,62.54,-20.59,-196.71,284.66,14.61,0.0
1.0,1.0,1.0,-137.23,-5.81,62.77,-94.69,-63.84,94.74,-1.14,-18.07,7.74,-10.53,87.53,52.22,-383.97,-1.11,94.92,-102.58,-102.17,1.0
1.0,1.0,0.0,33.81,142.6,18.14,7.32,66.29,58.54,41.3,92.56,-4.3,-3.25,-93.49,75.64,-95.49,-11.83,46.51,-16.22,7.96,0.0
1.0,1.0,1.0,241.45,-6.69,12.12,-116.93,159.3,28.0,60.18,81.21,-5.8,3.47,9.48,46.71,70.17,-2.77,-206.31,107.09,-169.17,0.0
1.0,2.0,1.0,34.86,-56.35,-27.53,138.91,-66.76,11.46,-30.19,-197.73,-11.33,-1.92,20.32,19.61,49.74,-29.61,15.66,-97.7,34.03,2.0
1.0,1.0,0.0,-275.98,-90.44,-12.79,-0.11,-8.63,41.59,-15.17,156.05,9.15,-8.93,128.45,-11.29,-213.68,-9.52,71.33,-366.04,77.24,0.0
1.0,1.0,1.0,55.07,106.29,-32.91,106.13,-33.13,42.63,28.55,10.88,2.38,-1.73,-1.8,-40.44,148.8,15.77,34.65,-137.15,-15.01,2.0
1.0,1.0,1.0,-166.9,3.58,-2.47,-71.5,-36.68,16.01,-73.33,133.15,8.98,-0.14,193.76,-10.64,-116.82,25.98,56.41,43.55,-48.0,1.0
1.0,0.0,1.0,-66.49,-55.8,8.0,13.61,-142.67,51.74,-41.47,45.38,1.51,10.42,34.98,-5.22,148.56,13.35,-65.87,113.74,-39.84,0.0
1.0,1.0,1.0,-54.71,-55.96,4.22,63.2,-180.55,-11.94,-88.45,50.74,-1.84,-3.88,-2.45,37.2,101.49,14.66,-53.55,2.53,-42.36,2.0
2.0,1.0,1.0,95.22,-30.19,22.56,-54.56,26.67,-67.87,-38.18,14.72,-4.92,0.91,-17.76,4.43,-225.84,-22.35,-26.98,-70.12,112.14,1.0
1.0,1.0,1.0,-116.53,-31.27,36.15,-140.34,-75.79,54.67,30.65,-44.97,6.23,-7.79,28.97,-21.23,-191.08,-16.41,26.44,238.36,77.05,1.0
1.0,1.0,1.0,119.31,56.58,55.58,115.71,-34.24,-28.34,32.1,-59.58,-6.44,5.23,130.12,68.76,69.06,23.09,1.87,-144.86,-75.5,1.0
1.0,1.0,1.0,-381.27,51.92,-58.57,-8.3,-194.81,18.72,2.61,71.7,15.91,-6.83,50.28,-22.63,160.11,-26.79,117.35,295.21,-127.69,0.0
1.0,1.0,1.0,-17.17,27.73,-21.54,4.65,14.41,-10.36,19.91,139.53,1.07,-14.13,-63.4,25.59,6.9,6.94,-1.14,-46.98,-36.69,0.0
1.0,1.0,1.0,-134.81,-73.69,-26.1,-24.06,-4.18,15.42,19.34,36.28,13.55,4.96,9.81,-11.82,179.25,-10.42,-83.96,-152.62,27.68,1.0
1.0,1.0,1.0,-20.79,160.88,40.5,31.06,-28.07,-40.71,-42.92,-83.03,8.24,-12.89,-55.1,-19.09,73.44,33.72,-2.51,-172.88,91.5,2.0
1.0,0.0,1.0,-150.94,53.9,31.65,-13.75,-49.11,-22.12,92.13,214.37,10.56,-0.4,32.75,-25.78,10.08,-46.4,52.54,-26.98,116.08,0.0
2.0,1.0,0.0,-36.1,73.13,35.29,203.95,-88.4,15.23,60.71,-57.88,-9.93,-0.64,-47.61,51.71,78.75,-19.07,97.72,-140.11,-16.4,1.0
1.0,2.0,1.0,6.05,-38.9,53.22,-258.3,75.33,0.96,-85.22,-9.55,2.65,2.4,25.02,17.88,-355.86,-1.81,-54.71,233.12,91.25,1.0
1.0,1.0,1.0,-177.15,-96.6,-29.4,-28.17,-153.0,-34.32,-9.2,-23.28,7.89,5.86,125.47,-33.6,80.44,14.76,-75.46,13.61,-110.75,2.0
1.0,2.0,1.0,209.95,-13.41,13.76,114.8,-85.65,27.37,-5.41,30.95,-11.0,1.87,-127.66,-16.7,-18.05,-12.14,-63.64,-240.59,-119.55,2.0
0.0,1.0,2.0,-96.24,-130.76,22.94,95.17,12.07,2.91,34.15,107.24,5.34,-14.21,36.75,-25.49,185.28,8.25,36.61,-175.93,-106.0,2.0
1.0,1.0,1.0,-45.25,-54.51,-40.4,-117.18,60.31,-28.61,38.55,73.46,3.78,-1.18,-79.08,4.6,-209.85,-11.74,18.56,38.33,-18.1,1.0
1.0,0.0,0.0,-53.2,91.07,-30.46,-18.96,136.82,-5.39,43.69,139.34,7.44,4.36,102.99,-2.68,-15.75,-20.91,-13.45,-273.97,58.61,1.0
1.0,1.0,1.0,61.07,99.25,-39.28,112.84,-10.73,-11.85,14.23,-172.39,-2.58,1.79,100.52,45.49,101.3,-39.23,20.53,-162.63,36.16,2.0
1.0,1.0,1.0,77.55,14.3,4.34,-98.19,15.83,13.05,0.88,-9.93,1.48,-5.29,-58.98,-32.53,-25.31,-22.72,-147.49,-10.31,-122.19,0.0
1.0,1.0,0.0,-374.62,59.63,11.99,12.1,18.23,-13.98,49.28,-12.69,14.95,3.99,-29.66,2.79,317.35,-12.25,62.61,144.63,95.36,0.0
1.0,2.0,1.0,2.59,39.94,-29.37,144.58,58.13,34.79,-44.71,9.15,-1.12,-4.95,11.38,-25.59,203.33,3.73,44.92,-198.01,-53.99,2.0
1.0,0.0,1.0,90.32,77.72,-1.07,185.1,-75.52,64.54,-127.86,28.94,-7.82,-0.13,-90.6,-40.14,183.77,40.9,70.69,-37.4,124.32,1.0
1.0,1.0,1.0,-60.31,-75.75,-35.97,-87.77,21.52,57.68,-6.77,-44.63,-3.42,5.51,-0.73,57.67,-67.1,-14.17,72.09,432.0,-24.24,1.0
1.0,1.0,1.0,-277.19,23.31,-0.21,95.63,-243.94,-13.17,3.31,-34.64,7.04,4.87,-18.51,46.07,168.36,18.26,159.19,254.97,101.94,0.0
1.0,0.0,1.0,10.31,91.12,-31.56,41.66,-88.16,27.31,10.33,-118.09,3.58,-8.44,-59.11,-8.73,43.23,9.55,-3.65,-95.74,-87.32,2.0
1.0,1.0,1.0,104.97,-75.9,-2.03,-1.01,122.92,-8.39,1.91,-67.25,-10.21,3.71,105.46,16.71,-159.32,-35.01,0.51,-96.25,-104.61,0.0
0.0,1.0,0.0,85.15,-13.75,2.3,-63.97,85.3,-20.66,-82.01,-91.16,-3.27,3.78,-48.52,1.44,-50.97,26.67,-120.56,-77.04,-49.92,0.0
1.0,0.0,1.0,-30.91,-13.8,34.46,90.31,-93.95,-25.31,-56.71,-54.67,-2.65,-4.75,-13.76,30.47,109.3,32.94,28.09,16.7,-12.44,2.0
1.0,1.0,1.0,20.12,86.19,55.73,45.2,-50.75,-63.8,2.41,-110.78,0.53,-0.69,-99.77,28.44,31.62,-5.18,-28.46,-140.03,-81.79,2.0
2.0,1.0,1.0,-24.24,-72.42,-2.12,-112.45,36.64,-9.74,26.1,-42.18,2.62,-12.83,-86.7,10.04,-274.85,-15.63,-16.03,-89.08,-106.26,0.0
1.0,0.0,1.0,70.09,-52.32,13.56,-30.7,-13.57,-3.99,-8.06,76.16,-4.24,-7.53,48.49,38.08,-95.01,-10.4,-55.1,-16.97,83.9,0.0
1.0,1.0,0.0,-117.85,-46.75,-66.69,-100.83,-16.33,-57.94,42.77,41.37,1.25,-6.95,-92.42,-26.56,-477.68,8.32,60.46,-174.86,-56.83,0.0
1.0,1.0,2.0,-70.74,-57.82,16.52,-2.16,-59.22,66.67,50.62,67.04,1.24,-13.88,93.36,16.25,108.22,-27.58,68.76,315.12,269.13,1.0
1.0,1.0,1.0,-70.42,-36.34,-23.32,-62.05,-78.16,17.05,-30.05,-55.56,-2.82,0.7,-107.65,-33.03,-211.51,7.72,109.8,297.9,-20.01,1.0
0.0,1.0,1.0,-44.58,-59.73,-32.73,-68.45,147.94,-40.62,-96.27,-26.35,-2.3,-10.17,130.88,23.34,-161.16,11.49,78.62,100.56,163.2,1.0
1.0,1.0,1.0,390.31,-19.76,-13.36,124.52,58.57,-21.25,12.32,-148.05,-23.9,-7.34,-138.6,27.13,85.91,-7.48,-74.48,9.21,24.37,0.0
1.0,1.0,1.0,11.94,-50.68,-7.98,17.75,66.27,5.64,32.66,145.68,3.76,-9.56,-30.51,0.39,149.67,-27.99,-61.4,-138.29,-103.48,2.0
1.0,2.0,1.0,316.28,-29.27,-45.1,124.77,-11.01,-24.93,-120.77,16.72,-24.55,2.07,-28.36,2.9,-37.24,-26.45,-31.75,3.93,3.48,0.0
1.0,1.0,1.0,-105.1,-91.15,1.17,-9.24,-70.32,-2.85,7.74,136.83,4.3,4.91,-110.76,-47.67,73.7,-11.76,-23.69,44.98,55.94,2.0
1.0,1.0,1.0,107.09,16.74,-7.07,100.89,-149.33,-21.93,62.78,-17.43,-8.74,-3.48,44.27,11.39,21.76,-26.25,-41.22,-82.17,-76.41,1.0
1.0,1.0,0.0,-38.31,8.72,18.92,-44.13,201.73,16.81,42.76,111.49,4.5,0.68,-89.91,-9.6,97.03,-1.3,-30.86,-60.5,-16.04,1.0
0.0,1.0,0.0,-167.28,45.41,-23.62,13.88,-53.39,-25.95,-32.43,84.15,4.12,-6.45,-76.93,25.48,91.32,-0.53,55.88,139.08,52.48,0.0
1.0,0.0,1.0,-60.54,-23.42,5.79,107.89,-114.49,54.48,-72.18,93.81,-3.46,1.51,-10.4,-12.57,81.58,-9.91,127.56,149.96,48.83,1.0
1.0,1.0,0.0,-95.3,-51.26,-45.53,-16.58,151.18,8.25,-61.18,19.5,0.64,-0.87,-55.32,-19.96,-190.07,7.02,121.18,-118.75,92.27,1.0
1.0,1.0,1.0,-358.44,39.71,-18.61,75.43,-132.17,-14.0,-2.82,-108.55,13.45,-4.5,23.48,26.63,321.5,2.17,98.28,161.94,-159.07,0.0
1.0,2.0,1.0,19.08,138.65,37.8,179.86,-67.74,-13.04,8.06,-150.76,2.81,3.5,-24.97,37.07,211.86,-6.85,78.32,-214.21,20.58,2.0
1.0,2.0,1.0,-184.5,-44.85,-9.65,-137.92,-86.97,37.09,112.09,7.28,7.22,3.41,31.52,-17.73,-340.87,24.02,99.71,156.73,-11.12,1.0
1.0,1.0,0.0,-317.1,74.37,-9.86,-3.28,70.84,42.05,-80.99,-62.53,12.71,9.33,-149.37,7.57,249.55,-24.46,53.91,96.67,-116.82,0.0
1.0,1.0,0.0,99.91,-22.95,25.21,-36.78,77.66,43.15,27.28,22.94,-6.22,13.07,-35.35,10.9,-150.61,-6.12,-51.07,-99.8,12.23,0.0
1.0,1.0,1.0,-2.3,-6.62,4.63,-19.45,-238.76,-26.86,34.8,-2.32,-3.3,3.73,94.7,24.74,-127.91,3.4,-59.73,79.76,57.42,2.0
1.0,1.0,1.0,-259.99,-183.43,-5.71,-71.13,-98.81,17.61,-14.72,-87.34,15.06,21.38,-149.54,-33.67,167.43,-16.91,-128.06,-38.9,-110.44,1.0
1.0,1.0,0.0,39.68,124.63,43.95,-40.5,149.22,24.67,25.11,-0.62,0.54,-3.61,-124.96,-19.99,-255.09,-24.53,39.6,-260.84,-114.16,1.0
0.0,0.0,1.0,-41.31,-97.81,25.95,-39.84,-56.76,-26.37,-75.58,122.72,3.64,-7.66,-108.98,18.64,-28.16,20.41,-55.24,-39.59,81.26,2.0
1.0,0.0,1.0,-115.34,-80.47,-46.44,-76.66,16.3,23.31,9.84,78.35,-1.0,0.82,-52.89,-42.98,-244.12,11.85,149.21,250.91,101.66,1.0
1.0,1.0,1.0,10.37,-40.64,25.34,-20.09,17.4,24.18,13.39,52.59,1.47,-7.88,46.15,13.11,36.83,-24.23,-87.6,-103.94,-26.43,0.0
1.0,1.0,1.0,4.58,22.38,46.29,154.49,-132.7,-88.27,7.17,-46.65,-8.18,-21.66,-141.69,2.52,60.88,7.43,59.19,-58.25,-135.91,2.0
1.0,1.0,1.0,83.64,4.21,31.52,79.99,-34.38,20.81,-17.04,56.64,-6.71,-4.42,7.89,21.61,43.26,-12.8,7.32,-34.52,41.79,1.0
1.0,1.0,0.0,-36.05,64.23,-4.39,90.13,192.71,38.85,-22.8,35.73,-3.16,5.45,19.92,18.87,-7.48,-16.3,127.82,-195.83,18.3,1.0
2.0,1.0,2.0,-45.43,-126.17,13.78,-294.81,-70.87,37.46,-24.61,28.84,8.29,-9.57,-105.0,12.77,-501.99,11.44,-44.84,190.06,112.83,1.0
1.0,1.0,1.0,12.55,-122.93,-29.46,19.69,-6.56,-6.4,-47.43,-91.98,-7.77,-7.03,-172.37,0.51,-72.24,-4.73,-6.37,-8.34,31.67,1.0
1.0,1.0,0.0,-138.11,58.76,-25.75,27.09,-60.94,-20.94,-69.08,136.32,4.23,-2.82,-40.08,-7.55,112.51,2.28,34.21,81.54,129.6,0.0
0.0,1.0,1.0,103.6,-43.78,6.52,8.21,75.84,-21.25,61.03,82.26,-5.46,-10.99,-91.22,-11.92,52.07,-24.28,-84.91,-76.25,37.18,0.0
1.0,1.0,1.0,143.64,86.89,-68.18,221.7,-96.11,52.7,0.93,38.95,-11.83,-6.83,-62.28,34.83,239.67,-2.07,76.35,28.07,31.67,0.0
1.0,1.0,1.0,-69.74,11.58,67.43,190.56,-130.09,-47.56,-62.48,-41.36,-7.55,-7.09,108.63,50.8,149.36,-21.39,141.69,73.68,38.71,2.0
1.0,1.0,1.0,-27.65,-63.34,-26.52,-143.75,184.24,66.42,-60.12,-77.06,2.59,-5.97,11.59,-44.73,-189.85,15.06,-9.53,18.18,124.07,1.0
2.0,1.0,1.0,-206.49,27.19,-21.19,0.92,-56.26,-14.29,53.8,-231.06,9.1,3.99,105.88,52.76,72.13,5.11,83.63,102.31,-44.93,0.0
1.0,0.0,0.0,-106.89,36.0,70.51,258.15,-169.13,47.16,28.28,159.82,-11.64,1.64,60.53,-8.24,119.07,12.41,188.47,6.13,21.39,2.0
1.0,1.0,1.0,-92.21,18.74,-0.85,-40.69,-18.83,-13.64,-45.99,-133.61,4.19,-0.02,-12.06,-35.83,-31.08,13.29,22.19,73.79,39.67,0.0
1.0,2.0,1.0,-57.07,-19.34,-3.9,-77.05,-29.18,50.35,66.92,-27.48,9.94,4.53,-140.25,8.87,92.75,13.3,-139.5,-71.25,-14.26,2.0
2.0,1.0,0.0,27.31,119.65,-22.69,6.27,-100.89,0.08,55.37,-117.73,-4.58,1.7,44.06,-11.65,-106.79,8.64,36.4,114.91,149.89,0.0
1.0,1.0,0.0,175.1,-38.46,-20.88,11.0,86.81,-3.26,37.2,28.82,-12.74,-11.16,56.34,-50.9,5.78,13.59,-92.86,-5.89,88.7,2.0
1.0,0.0,1.0,44.65,161.36,43.78,92.66,-14.33,-14.54,-83.5,29.75,5.09,-4.5,-29.96,6.31,145.39,-26.87,29.72,-177.91,-75.96,2.0
1.0,1.0,1.0,78.24,5.34,3.21,179.98,-144.21,66.96,124.51,-17.89,-9.84,1.2,41.99,12.76,43.7,-20.78,75.8,-93.14,56.69,2.0
0.0,1.0,1.0,-209.89,-7.71,25.16,103.78,-165.37,38.35,39.73,-7.86,2.83,-3.54,-83.27,-70.81,-27.01,-23.14,181.76,25.71,-45.08,1.0
2.0,1.0,1.0,69.93,64.31,32.01,193.09,34.95,-36.11,62.7,-82.86,-5.33,1.49,20.35,-0.32,218.49,23.88,67.55,-189.74,-140.93,2.0
1.0,2.0,1.0,-59.49,14.48,3.54,-144.5,-79.39,-19.49,-2.07,71.87,5.68,-3.66,-89.55,10.24,-57.45,-5.57,-111.01,181.13,-21.82,2.0
1.0,0.0,1.0,-61.16,-4.56,9.76,-20.28,54.54,4.36,-72.3,-55.83,-0.16,-4.06,161.32,20.83,-90.91,1.43,72.06,46.25,-14.5,1.0
0.0,1.0,0.0,-9.45,71.14,33.76,257.51,43.62,118.83,-51.75,-120.7,-15.28,-1.76,-68.95,-10.29,147.38,1.92,135.76,-171.01,-59.69,2.0
1.0,1.0,1.0,-79.89,-114.25,-47.37,-73.5,-51.27,87.58,-86.89,159.74,8.06,-5.31,-7.2,33.4,6.29,6.98,-108.4,-83.3,24.64,2.0
1.0,1.0,1.0,46.75,-39.11,15.51,66.91,2.96,34.49,-86.55,75.79,-5.04,-3.88,-107.0,21.18,1.45,-8.94,-24.76,-185.72,57.21,0.0
1.0,1.0,0.0,-144.28,-1.96,-31.09,-129.77,232.55,100.7,-35.12,99.03,7.99,11.54,-28.08,35.58,59.62,-20.49,-25.26,105.53,-39.55,1.0
1.0,1.0,1.0,-70.82,5.64,-14.63,39.65,-38.45,-17.18,1.55,-185.34,4.98,1.19,138.8,25.48,103.29,-27.0,40.38,-5.95,-185.77,2.0
1.0,1.0,2.0,-81.6,-147.56,32.22,21.05,80.95,44.19,-44.59,-27.68,11.2,0.13,-144.63,-37.67,174.35,-11.78,-43.4,-276.34,-12.09,2.0
