cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
2.0,3.0,5.03,63.69,91.38,41.74,-56.95,-70.21,-82.35,-19.17,-81.58,-15.04,-63.97,-114.44,85.23,-52.88,5.1,-26.89,86.67,-6.06,-5.17,-1.89,24.46,29.36,28.14,1.0
4.0,2.0,28.01,91.18,61.59,-7.35,-114.04,-36.04,-108.41,-28.38,47.72,-53.29,-62.32,-36.2,63.33,51.2,-6.46,4.85,58.2,-11.03,1.64,-4.59,116.77,-0.86,51.27,1.0
2.0,2.0,22.25,-0.98,-87.67,-28.42,-91.23,25.74,36.38,42.11,111.02,59.51,-67.94,-20.65,-62.01,93.76,-0.01,8.42,59.5,-1.33,-2.96,2.57,119.06,2.16,14.56,1.0
1.0,3.0,89.34,-79.43,-166.08,-56.06,-10.93,8.13,15.85,-119.18,-39.8,-9.3,-72.32,44.01,13.0,-20.27,3.62,-21.12,-71.34,-5.78,-5.73,3.64,75.46,11.08,247.67,0.0
2.0,2.0,28.63,-84.84,94.55,10.0,38.48,126.87,25.0,4.9,-83.18,-14.44,-122.14,-123.8,-12.51,25.74,-2.56,59.3,170.24,-8.15,-0.35,-5.44,-108.44,-17.28,97.65,1.0
2.0,2.0,-15.64,188.48,-33.05,-79.75,117.91,68.51,18.56,159.33,63.81,0.36,-14.67,-87.33,2.09,-45.9,-2.66,80.96,-27.08,23.18,-1.54,-0.22,-96.62,7.98,-187.07,0.0
2.0,1.0,108.09,72.15,-340.9,106.56,-48.17,-51.35,83.57,-133.42,1.42,7.74,-57.57,-22.3,-43.88,9.2,8.02,-4.56,-90.65,-4.13,-8.76,6.81,64.1,16.87,7.42,2.0
2.0,1.0,63.12,-6.02,-62.78,39.37,-55.68,11.25,-12.13,107.25,58.05,24.39,71.55,-15.53,48.16,41.83,-0.68,103.99,-146.5,-9.56,2.54,1.35,222.81,-15.92,-68.88,2.0
2.0,2.0,67.03,-27.28,-21.75,82.12,-58.67,-8.33,-12.07,52.99,20.18,-43.1,70.37,-151.51,-22.69,-20.83,-0.24,-7.26,-54.1,-40.53,11.53,-7.91,-137.1,28.69,45.96,2.0
2.0,2.0,115.0,-47.97,199.68,-62.0,-78.85,50.1,-49.31,-102.76,106.76,-41.95,78.49,12.87,-19.44,20.07,-4.14,84.25,-38.29,25.59,5.25,-4.13,127.07,9.59,-91.69,2.0
2.0,1.0,18.48,52.86,-166.61,-45.37,-51.85,104.03,-26.49,-44.74,-85.53,-4.51,-55.22,-63.13,25.12,41.5,0.45,22.03,11.51,53.46,-4.17,1.65,-144.42,29.46,9.77,0.0
2.0,1.0,27.23,64.78,-290.03,66.71,61.43,48.55,-40.09,240.84,-112.64,-113.4,-253.7,-152.99,64.33,9.65,1.73,46.09,98.85,8.74,8.64,-10.66,177.86,32.11,-50.18,0.0
4.0,1.0,9.6,3.93,33.54,-1.78,12.2,27.2,59.71,-60.02,24.07,-97.15,-119.17,-35.32,92.51,-19.03,-0.47,-72.62,39.57,-16.98,-6.18,-2.52,45.91,5.41,-19.16,1.0
2.0,1.0,-52.21,96.42,-160.74,16.43,-28.83,109.02,-39.85,-312.19,52.3,-59.76,-35.6,210.6,-10.88,-21.81,-2.14,42.29,59.26,-0.46,-0.73,2.86,56.7,-9.5,60.86,2.0
3.0,3.0,-33.64,-15.07,-106.54,-50.5,25.37,16.23,-74.6,102.56,-159.93,-104.64,-51.6,52.67,-44.52,2.19,2.08,108.51,-118.21,-5.02,1.63,-2.29,-139.7,-14.72,-28.13,2.0
2.0,3.0,-116.04,72.62,-321.83,-68.94,-45.29,-6.36,-93.52,-104.08,114.34,-6.15,58.0,-94.75,-3.37,-51.82,2.46,56.15,-53.88,-5.09,-4.63,4.41,-93.98,-3.95,73.76,2.0
3.0,3.0,-42.13,172.11,83.4,-14.03,-84.24,1.29,22.08,92.27,-126.21,70.61,71.9,16.22,-74.4,-30.01,-1.83,-95.23,-47.19,-52.74,-2.42,3.74,-6.84,-4.22,1.19,2.0
3.0,2.0,33.97,189.25,-113.35,41.21,77.03,84.22,34.92,-27.11,108.47,-45.91,53.57,-27.89,42.31,2.82,0.45,35.17,-133.91,-8.39,1.37,-0.26,75.03,8.64,10.71,0.0
2.0,1.0,138.21,0.15,125.88,-17.0,79.76,-68.21,-57.7,40.53,59.95,23.56,-164.88,146.2,-0.39,-34.12,1.24,76.64,3.67,-16.68,-8.03,3.32,-54.31,-28.54,69.81,0.0
2.0,2.0,2.19,35.05,-156.85,4.4,-15.41,44.46,160.42,-130.2,-30.7,-88.85,-17.86,-158.54,35.02,5.98,1.31,47.5,-62.77,-29.52,-7.88,-0.03,-19.46,8.73,20.06,2.0
2.0,1.0,-112.31,-5.41,49.07,22.36,97.77,-40.14,127.96,79.41,-8.11,55.26,157.48,-11.03,-37.18,9.14,-5.31,-82.51,-59.14,12.27,3.02,1.81,-17.35,20.93,-13.11,2.0
3.0,1.0,18.09,20.3,205.05,6.78,-86.35,-4.97,-27.54,-180.09,125.86,-150.37,-16.48,-46.08,68.76,13.96,4.15,-66.46,77.62,-7.17,6.21,-10.66,-54.83,8.02,97.02,1.0
3.0,2.0,-45.18,60.45,-141.21,-36.17,-50.91,-70.01,-4.34,-15.09,87.23,-48.48,52.13,46.93,70.74,39.22,-1.26,120.96,-149.72,14.05,-2.58,3.15,-7.78,-2.3,-77.39,0.0
1.0,1.0,54.4,43.24,94.97,31.03,-117.17,37.41,69.52,-98.84,141.78,-51.93,-27.18,-15.54,-22.4,8.51,-1.66,31.59,45.14,-12.73,1.6,-3.98,163.74,19.78,32.1,1.0
2.0,1.0,-35.64,-11.54,168.88,-55.33,-62.12,3.73,21.87,-93.36,-127.34,-71.45,44.16,-14.0,57.1,9.54,-0.78,-22.39,107.61,3.84,8.61,-7.56,-36.73,-1.61,-116.68,1.0
3.0,3.0,108.22,22.99,122.3,-71.78,-20.95,2.71,-21.64,-217.38,61.64,-47.93,148.05,22.51,-60.04,-56.76,-3.28,-66.42,-113.23,-14.83,0.58,0.1,-28.12,7.2,-193.83,2.0
3.0,1.0,23.59,57.74,95.84,-75.94,67.55,-21.02,9.37,166.68,59.64,60.03,174.59,-39.29,-31.54,32.43,7.97,22.16,-185.55,-19.77,3.35,1.54,40.61,11.41,-53.51,2.0
2.0,1.0,-5.55,-30.93,-189.96,43.03,-33.0,42.26,-32.85,122.5,-101.9,-8.47,-26.27,-11.13,42.04,-4.7,2.27,-31.7,-71.15,3.69,2.4,0.15,-194.56,1.37,-17.78,1.0
1.0,2.0,34.91,-134.25,64.99,-50.29,99.92,-93.8,-10.39,-94.51,-57.69,-73.96,189.78,-78.26,-126.58,-37.72,4.32,43.35,-220.16,20.67,-0.47,-0.53,150.53,11.57,-115.83,1.0
2.0,2.0,34.15,-193.27,-163.99,25.34,4.71,-47.62,107.87,-93.61,-112.09,49.6,103.91,1.84,-92.52,63.92,0.68,83.03,-87.06,-18.86,0.45,4.52,-87.51,10.6,0.01,2.0
2.0,3.0,-13.54,69.38,-24.83,2.6,-52.89,11.06,-13.6,155.75,-4.24,-62.54,-89.94,-15.56,-52.4,2.83,-2.6,144.99,-13.76,-15.2,2.14,-3.98,-74.98,0.8,-38.18,0.0
1.0,1.0,-17.25,-21.28,40.59,27.28,102.59,-23.59,-129.57,7.75,-186.45,43.58,126.52,-44.79,-42.01,26.69,5.57,111.07,-79.33,-2.53,0.4,1.81,-90.22,-2.89,46.41,1.0
2.0,1.0,9.72,174.79,8.04,-38.99,101.54,-43.07,18.03,-64.3,-226.61,-104.41,-93.05,5.36,-28.13,-18.94,3.17,-34.12,22.53,-33.81,-2.08,-3.32,-70.72,-47.73,-39.94,2.0
2.0,2.0,120.23,17.97,-95.84,28.38,-75.91,51.18,-62.52,69.38,25.46,3.76,-6.96,-38.93,50.43,-73.74,2.45,-27.23,-66.41,26.7,6.19,-2.43,-52.35,18.98,24.57,2.0
2.0,2.0,-51.65,-33.52,158.02,-42.22,63.21,14.52,13.5,15.32,-87.54,-44.99,-16.65,108.29,29.97,15.79,4.44,28.2,-31.11,-51.64,-2.09,-0.38,118.67,21.18,76.65,0.0
3.0,2.0,257.94,82.8,-503.95,8.69,-22.3,-22.01,-2.97,-23.02,-32.33,-72.68,-225.02,-48.56,86.1,-9.93,0.45,-43.23,-14.79,,5.69,-3.49,105.45,40.02,-85.2,0.0
3.0,3.0,139.25,142.41,-129.99,-9.26,1.38,67.41,84.85,-151.26,153.36,13.45,-22.74,83.73,15.88,12.02,-3.76,-47.48,-36.67,18.68,0.76,2.37,20.05,6.67,87.52,0.0
1.0,2.0,92.32,44.72,192.04,2.2,-21.62,32.21,124.1,-33.94,77.15,60.65,32.74,18.26,53.02,11.24,3.62,21.12,31.1,4.96,0.71,0.17,150.08,24.37,45.78,1.0
2.0,1.0,39.95,37.03,-213.15,-38.57,22.35,-115.27,-107.58,-91.15,-33.6,-122.41,-43.42,-43.79,-71.14,59.01,-0.46,74.78,-142.15,13.79,-5.41,0.19,-42.13,-17.71,-38.44,2.0
2.0,2.0,24.28,11.54,-191.61,-34.24,-30.68,-3.92,-63.88,-73.58,-113.6,-61.5,45.16,-159.42,-29.22,-39.96,0.3,-62.35,-131.62,5.29,-2.72,-0.4,7.17,10.4,88.88,2.0
2.0,2.0,-35.28,59.39,-32.2,-35.74,-58.71,-20.68,65.11,-126.59,67.17,-34.81,133.46,-121.86,73.35,32.95,-0.94,-70.09,-80.11,38.79,-1.52,0.06,13.77,39.65,-11.91,2.0
1.0,3.0,22.75,-95.67,21.76,11.4,56.49,4.69,-65.59,89.94,52.11,-0.58,1.13,-55.62,-10.61,-28.77,-0.79,27.09,-20.39,1.3,1.78,-1.85,162.98,-13.19,-36.73,0.0
2.0,3.0,32.31,-130.07,-108.17,14.31,29.03,5.03,-52.67,-195.41,-67.55,6.14,28.03,-17.29,-121.64,-20.32,-0.11,-121.91,48.78,-23.86,1.21,0.59,29.22,-17.25,37.34,1.0
1.0,3.0,17.82,79.5,-143.57,-21.49,160.93,24.33,-27.65,213.63,170.8,-81.15,-297.88,-148.01,118.45,-31.45,-5.59,-98.7,133.09,-0.41,-1.86,-6.94,100.5,-6.73,43.15,0.0
0.0,2.0,-183.06,69.06,-39.18,37.78,-54.2,5.74,-140.56,125.86,128.27,-5.83,71.11,-0.66,57.12,15.21,-2.55,-102.91,-71.84,10.34,-1.92,2.27,15.08,-10.45,-37.71,1.0
3.0,2.0,-66.7,-102.74,128.43,58.34,27.42,-16.4,-90.61,6.24,-45.61,56.34,16.72,-93.88,-8.35,-40.28,-3.88,60.3,145.78,-5.3,1.09,-2.0,14.56,12.56,116.89,1.0
3.0,2.0,72.48,80.43,-205.14,-4.08,24.01,30.2,-36.44,183.18,38.9,-25.01,-162.76,-185.54,-22.27,45.38,2.87,14.74,45.26,-3.51,-0.08,-3.86,86.75,6.01,-106.29,0.0
1.0,1.0,64.14,-47.49,-244.28,-27.61,26.63,60.86,-132.79,-4.61,-57.89,50.36,-5.44,-18.13,51.34,-18.74,0.34,-7.19,-2.67,-23.04,4.96,1.11,11.99,10.55,47.89,1.0
2.0,2.0,-46.74,-109.24,-0.4,31.06,-36.73,-57.94,-54.01,57.92,-154.1,7.48,-21.72,-81.56,-88.4,-35.21,0.58,68.18,46.89,-21.44,-1.04,-1.09,50.6,8.42,34.02,1.0
2.0,3.0,-121.11,59.03,-214.82,59.24,33.34,-13.94,-117.08,53.26,36.08,-6.97,89.71,-199.8,41.91,11.33,1.06,100.22,-154.06,-17.14,-8.67,4.23,24.49,13.3,69.46,2.0
1.0,3.0,-44.17,-7.54,-43.43,53.85,-107.28,35.76,70.07,137.58,95.39,-45.34,-149.95,-101.31,-100.19,-68.07,-0.56,-169.78,50.13,21.76,-5.99,-1.91,106.22,-24.94,11.91,1.0
3.0,3.0,-0.86,9.35,-31.73,-44.92,19.56,6.85,63.27,35.51,34.88,20.21,74.85,-116.84,-77.47,-11.12,1.16,32.06,-21.61,-28.86,3.63,-1.64,68.19,9.23,0.83,0.0
2.0,1.0,-82.89,12.36,-84.37,-24.03,127.12,27.05,-4.21,52.72,57.59,-64.72,338.8,-112.41,39.18,-14.35,-2.81,26.29,-337.24,-30.16,9.39,-1.69,121.6,0.4,-128.75,2.0
3.0,2.0,-129.18,-2.7,-176.09,53.34,-15.36,-106.37,-61.47,116.61,186.36,-39.19,-84.46,95.62,-39.81,-29.22,4.26,105.53,-14.61,-4.45,1.16,0.29,-33.54,-19.81,107.9,1.0
2.0,1.0,-60.65,-17.42,-112.88,-40.14,-51.31,-5.06,-107.81,-172.29,60.65,40.41,35.18,-157.47,-41.03,-6.25,-4.34,-11.1,100.78,10.65,-6.0,2.65,-21.27,6.5,71.57,2.0
2.0,1.0,-177.3,77.64,-40.78,6.6,49.77,-53.15,-40.42,94.53,-128.74,1.21,99.93,58.9,-54.0,-41.26,0.42,61.92,-49.95,-32.73,3.98,1.01,-59.61,9.38,-38.6,1.0
3.0,2.0,-15.92,40.26,-99.44,1.72,153.29,20.32,10.18,-85.06,49.22,1.36,147.98,-9.89,-0.91,47.75,-3.42,-25.13,-103.08,9.05,5.43,0.48,58.6,2.15,58.79,2.0
4.0,2.0,-112.58,-1.1,190.65,54.36,-2.3,25.67,21.51,128.6,126.49,-76.73,-99.23,-164.85,81.23,-17.68,-3.02,94.16,120.58,9.42,-2.12,-7.63,-123.66,2.36,99.43,1.0
3.0,1.0,131.02,-108.27,-289.78,4.78,-25.17,42.79,-122.18,-69.6,68.53,-51.66,-159.84,57.49,-180.87,70.3,0.68,-92.81,22.48,4.1,3.99,-1.89,-41.95,26.33,50.37,2.0
1.0,2.0,55.76,42.28,147.31,-6.85,120.04,-126.51,-7.64,0.5,-80.6,37.73,-62.28,-59.92,6.39,-15.88,-0.36,-83.02,125.93,4.0,-0.74,-2.24,-29.75,4.22,80.26,1.0
1.0,1.0,-12.85,-25.25,-117.42,-17.75,-26.89,-32.68,-32.0,-83.25,119.55,-60.79,116.45,84.94,-69.71,-8.23,-2.37,68.62,-236.63,-2.58,-0.42,3.03,59.39,-7.47,78.54,0.0
3.0,2.0,-77.72,69.13,-9.71,-62.53,86.85,-65.82,-91.42,16.78,5.64,28.0,106.47,40.25,54.34,1.24,-1.55,64.19,-55.65,15.03,2.15,2.15,-123.41,14.74,-12.87,1.0
3.0,1.0,68.44,63.84,40.2,-63.94,76.81,33.68,56.2,19.43,20.29,-128.29,86.16,17.76,-107.45,-46.35,2.52,-58.43,-248.17,-25.66,3.2,-3.37,-106.21,9.14,-117.11,2.0
1.0,2.0,61.73,28.43,68.37,-24.87,-33.93,-29.05,-76.54,66.31,-5.15,13.79,-59.43,-72.33,-77.87,-20.84,2.98,51.27,71.79,-23.06,0.07,-2.32,1.88,-4.57,-94.4,0.0
2.0,1.0,126.62,-39.76,-357.37,-8.21,-2.77,6.17,102.73,112.89,97.55,27.21,-150.3,3.24,27.35,-68.42,2.22,6.19,-109.64,-30.73,-4.4,4.5,-80.51,-8.14,144.2,1.0
3.0,2.0,167.3,10.68,-101.43,25.79,-119.19,-77.67,16.26,-181.83,179.25,45.79,-15.73,-83.61,78.38,-42.54,-3.42,-18.08,6.3,-9.79,-3.01,1.92,67.72,9.52,194.18,0.0
1.0,2.0,114.46,-101.66,204.25,-20.4,24.32,-63.12,-31.31,-164.61,0.76,-31.89,80.09,24.52,24.54,42.87,3.07,11.52,-54.41,11.75,0.61,-1.56,-78.08,-0.24,-9.86,1.0
0.0,2.0,180.85,36.66,-282.06,-10.32,0.67,98.2,72.58,61.99,-3.38,-33.09,-156.21,16.43,74.13,-5.73,-3.83,9.64,-42.3,-22.29,2.9,-1.12,-6.88,12.24,-103.22,0.0
2.0,1.0,-87.92,-58.61,25.11,-106.73,-26.22,-36.38,140.43,26.04,45.74,-33.18,-17.25,26.65,-146.4,-34.52,-0.84,0.46,26.74,14.2,0.52,-1.4,-29.78,-1.05,29.17,1.0
2.0,1.0,36.23,-74.06,-287.95,16.65,18.54,-18.02,-61.46,-228.02,-30.89,2.95,158.09,-29.46,-139.24,82.61,-0.89,-40.81,-180.62,1.7,-1.9,5.88,-76.78,-1.75,46.19,0.0
1.0,1.0,44.56,64.52,25.92,18.19,23.88,-10.74,-202.91,32.82,110.65,55.31,18.72,-146.37,-50.65,8.04,1.18,55.49,23.3,-14.95,-0.9,-0.54,-108.11,8.73,105.29,1.0
3.0,1.0,34.25,70.02,90.71,47.35,-15.73,7.54,-25.6,-221.6,-18.0,41.66,246.78,42.94,-37.5,-5.86,2.19,62.77,-141.64,15.38,1.21,4.09,-34.29,-3.11,62.95,0.0
2.0,1.0,29.86,103.47,244.67,8.59,60.62,59.83,-10.58,33.97,-125.2,103.12,69.37,-46.28,57.67,-8.47,-1.3,-1.07,53.58,-0.36,-0.82,0.96,-169.22,-4.4,67.01,0.0
2.0,2.0,-178.21,-50.43,-18.26,-21.08,-31.15,-3.36,-182.66,-167.49,-229.02,55.94,297.45,94.35,1.93,26.24,0.3,47.11,-154.33,-47.93,-2.41,8.9,124.64,-14.92,-8.18,2.0
3.0,3.0,-13.26,9.77,-149.99,-50.18,-18.6,42.06,38.95,-237.42,-80.26,-36.91,-13.7,120.8,86.15,-23.36,-1.52,-59.61,44.62,-23.84,-0.31,2.26,-30.49,-1.86,-45.71,2.0
1.0,1.0,-114.77,33.84,189.94,-61.22,55.26,72.8,-43.74,5.98,-46.16,-52.25,0.16,-147.35,-90.95,-38.67,-1.15,-81.81,183.71,-2.55,4.4,-8.28,16.7,-35.26,-65.61,1.0
4.0,1.0,-18.8,121.65,271.41,-1.85,37.88,-2.34,24.94,-10.05,-59.67,35.23,152.45,6.74,-46.88,20.68,-2.02,16.16,11.45,-10.49,6.07,-2.28,67.38,-17.65,-52.28,2.0
1.0,1.0,30.01,-32.69,-131.8,-39.5,20.0,-41.9,83.74,23.09,6.25,-106.11,-213.13,29.3,-35.51,-33.95,1.15,-36.07,51.43,-12.27,-1.95,-3.41,-82.46,-13.31,-13.84,0.0
2.0,0.0,6.16,-6.96,292.56,36.93,-16.67,51.18,28.96,-168.03,68.61,14.22,133.72,82.54,9.92,-1.0,0.53,-5.94,115.06,-0.72,10.53,-4.46,67.32,18.03,-68.99,2.0
1.0,0.0,38.41,-7.33,162.25,-24.92,-14.54,13.03,-88.34,-117.68,-102.08,76.32,151.61,23.01,16.95,60.47,-0.22,-34.56,3.1,-10.06,4.44,0.83,83.21,-6.01,102.48,1.0
2.0,1.0,138.88,-135.12,-438.34,-41.63,-14.16,-4.27,-10.58,62.19,-37.03,-36.12,-239.5,-305.66,-86.58,24.4,-0.47,-46.64,82.51,-0.1,-1.07,-4.88,-23.92,-2.51,151.25,0.0
2.0,2.0,32.07,34.08,-74.46,-17.35,-12.05,1.75,-32.84,95.13,-25.78,-34.22,-90.91,-16.14,0.82,-58.11,-2.11,-3.73,29.27,7.22,5.38,-4.43,-49.27,-22.52,35.64,0.0
3.0,1.0,168.51,-25.8,-236.64,25.67,9.44,26.52,-17.32,20.24,123.7,-25.29,-194.72,127.13,85.13,-75.76,0.07,3.04,-10.32,36.99,2.98,-0.44,-94.12,-14.82,74.74,0.0
2.0,2.0,10.64,-49.13,-7.09,24.92,-11.1,23.06,145.68,-11.05,91.3,70.3,-25.76,-36.37,-5.8,57.46,3.67,9.56,106.2,7.07,-0.36,0.99,-18.89,-4.78,58.4,1.0
3.0,1.0,-6.4,-7.3,-98.93,23.27,-49.31,88.61,-20.15,37.31,75.81,-19.7,-63.99,-154.64,-82.55,24.54,1.62,-18.7,110.14,-7.87,2.99,-4.61,139.5,9.07,-57.4,0.0
3.0,2.0,-23.43,42.94,105.27,7.59,9.22,-92.95,26.41,30.86,114.08,137.28,124.49,-4.42,2.93,-32.78,-2.78,74.52,-76.65,21.09,-9.61,9.31,-92.7,-22.48,20.72,0.0
2.0,1.0,95.18,2.25,35.4,44.79,104.94,-80.02,-14.65,-71.25,-36.09,-14.12,-102.79,7.9,-7.19,-58.72,5.6,1.25,98.25,-8.68,-0.77,-1.84,-15.2,-21.63,-36.66,2.0
1.0,1.0,-77.58,44.85,-166.23,-23.19,90.45,20.95,111.23,-19.97,-33.71,-102.2,-92.64,-17.96,28.49,3.75,-0.52,66.17,0.88,-15.26,-2.23,-1.93,-36.56,-10.59,32.52,2.0
2.0,1.0,-41.15,-97.94,98.91,-37.2,-15.63,31.51,-42.51,-95.54,129.45,30.14,44.22,122.27,-58.47,65.47,-1.17,-94.48,-12.22,-8.52,-6.15,5.46,-64.5,-6.77,-22.04,2.0
2.0,3.0,7.26,-19.83,-23.3,-55.26,58.46,70.23,220.69,-42.13,-69.39,-3.59,1.87,-17.19,-45.38,38.17,3.23,-96.95,37.37,15.04,5.23,-2.95,-31.95,0.27,169.74,0.0
1.0,1.0,73.76,119.17,-156.41,-70.85,177.62,34.68,20.08,79.5,-25.79,-47.81,-227.52,68.77,31.1,-70.76,-0.05,67.44,76.81,-15.97,2.92,-3.52,113.52,22.55,91.64,0.0
1.0,2.0,-19.36,76.8,-200.18,63.65,30.85,-42.8,4.5,235.68,-37.39,0.3,7.48,-11.64,-26.82,-39.63,1.02,49.92,-179.78,-14.26,-0.3,2.63,88.06,-12.01,-94.06,1.0
1.0,1.0,25.78,-16.77,-360.94,-1.63,-1.4,-16.6,-134.24,222.44,-83.33,-60.73,-240.25,-273.8,62.53,10.36,-0.87,-117.05,97.01,15.48,0.04,-6.1,269.45,-31.2,-82.8,0.0
3.0,1.0,-39.67,200.7,179.37,-25.01,-71.5,-43.75,23.44,-47.42,-98.35,-43.23,1.62,-126.47,20.97,-11.27,-2.67,120.57,109.24,-15.36,1.8,-6.35,22.15,-16.43,95.54,2.0
2.0,2.0,110.44,-54.89,-257.64,12.54,-14.67,-46.16,34.92,-65.88,-55.41,-31.35,-95.55,-111.09,26.65,-23.46,-4.16,15.75,88.23,-8.42,8.43,-5.8,-156.87,-0.83,81.0,0.0
2.0,2.0,-68.63,-175.95,-132.16,-70.45,-14.49,-27.89,115.97,240.3,37.22,16.91,38.71,-2.53,5.27,-11.78,-2.27,43.5,-230.19,-6.67,-5.55,5.41,23.53,10.39,48.99,1.0
3.0,2.0,-60.24,-8.99,109.45,-36.01,-16.3,-32.66,24.78,-356.08,21.51,29.21,297.13,48.79,-6.66,-47.45,1.78,0.36,-82.59,-15.85,-0.09,4.75,-85.84,-28.0,63.3,0.0
4.0,2.0,-47.22,35.64,12.6,-34.1,58.46,23.42,-37.34,62.47,-23.68,-35.54,32.84,29.85,37.98,8.95,4.0,15.1,-57.17,11.05,3.67,-1.83,44.83,-10.78,1.68,2.0
1.0,2.0,-47.01,69.64,-36.88,9.1,-100.79,-52.12,-44.72,26.68,159.77,-82.43,-26.28,38.73,10.42,15.57,-0.55,41.76,-72.61,26.16,-1.17,-1.0,-140.88,9.71,-30.47,0.0
0.0,2.0,65.7,56.16,-67.62,0.13,85.3,-16.14,-46.14,-47.0,146.93,91.18,101.76,8.82,25.98,-5.09,-2.11,-24.71,-113.55,-25.27,-5.99,8.11,33.28,3.93,-81.03,1.0
3.0,1.0,97.79,77.61,364.36,-53.73,-62.47,46.13,-6.95,-115.21,-41.57,-57.08,168.67,12.93,43.93,32.68,0.84,81.59,-65.39,-44.38,8.03,-6.14,-15.79,18.98,-136.12,2.0
2.0,2.0,52.82,-97.35,-137.02,63.05,-21.62,-20.87,-8.73,-81.0,58.46,-91.21,26.66,-77.23,3.33,-11.31,-1.15,-54.98,-153.48,23.16,-2.39,-0.69,-78.6,-18.86,4.85,2.0
3.0,3.0,-9.26,-139.7,-75.27,29.46,15.38,15.31,-11.25,57.19,133.72,-54.25,-176.24,82.23,30.99,42.16,0.11,-38.26,44.26,6.8,-1.04,-1.75,52.39,2.57,153.05,0.0
3.0,2.0,-97.01,1.14,-79.09,17.21,159.03,21.33,-95.95,143.14,-6.83,31.46,55.05,-19.17,-24.22,-47.53,-2.28,7.44,-98.8,-35.93,-1.13,2.76,-26.61,3.35,93.54,1.0
2.0,2.0,-22.0,-16.66,-24.2,-32.39,-17.72,36.69,80.51,-17.96,-123.95,-47.93,64.48,-203.75,-56.51,-23.3,3.03,16.67,-78.75,8.61,-2.36,-2.46,-15.13,17.73,115.74,2.0
2.0,2.0,-6.45,176.74,-141.56,12.2,-135.46,-87.06,-69.47,-20.79,71.66,38.84,-84.09,-61.36,-52.02,79.13,2.44,-60.61,107.12,14.71,-3.81,1.89,14.64,-14.7,9.41,1.0
