cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,target
1.0,2.0,1.0,12.55,91.07,121.39,-30.13,-186.58,14.5,-3.68,68.98,-115.41,11.46,-57.47,1.81,109.9,-24.51,2.0
1.0,1.0,1.0,12.53,47.29,-101.31,31.42,30.24,60.41,7.65,315.06,-51.28,-5.52,-32.64,-5.7,-8.87,-63.76,0.0
1.0,1.0,1.0,23.59,66.58,-77.6,6.97,157.26,-98.29,-28.86,-157.72,-107.75,4.64,75.81,2.68,-67.31,-29.97,2.0
1.0,1.0,1.0,39.17,148.97,0.2,11.14,-65.78,3.39,66.25,27.37,-42.43,6.78,-1.4,0.6,-4.35,39.59,1.0
1.0,0.0,1.0,-47.47,-56.39,-6.84,6.22,12.61,13.9,-158.49,-32.66,-92.23,-35.44,138.93,1.7,-53.04,132.81,1.0
1.0,2.0,1.0,-17.92,91.93,-34.72,18.13,59.56,82.27,-27.22,288.04,72.42,8.87,-106.29,5.87,10.56,-117.27,2.0
1.0,1.0,1.0,7.3,17.53,-87.22,-4.5,120.42,30.19,-147.51,81.04,-51.38,-3.66,-5.73,6.71,-62.26,30.03,2.0
0.0,2.0,1.0,7.48,61.29,9.6,-18.74,168.11,-171.57,-76.71,-177.26,-85.56,-12.16,-33.46,-3.46,-8.67,152.59,1.0
0.0,1.0,1.0,8.51,69.46,43.96,-44.01,-113.56,-154.85,-46.92,-63.0,-5.82,-18.52,-150.55,2.23,-179.82,107.58,1.0
1.0,1.0,0.0,19.53,56.35,-56.58,18.79,46.9,127.62,52.67,-34.79,36.06,19.64,77.99,-8.69,-46.94,41.77,1.0
1.0,1.0,1.0,19.51,-91.25,-78.02,23.84,-11.3,-67.52,4.84,116.46,-36.91,-21.28,-0.57,-5.96,-36.57,-24.35,0.0
1.0,1.0,1.0,18.47,-137.61,52.42,1.05,18.02,130.0,-10.39,285.76,39.12,-33.9,-3.58,4.56,26.98,22.32,0.0
1.0,1.0,1.0,-3.05,140.7,2.28,-13.58,-173.18,-36.83,-14.08,46.27,-87.28,2.99,-46.42,5.96,-98.46,-9.72,0.0
1.0,2.0,1.0,30.5,-142.54,132.68,-27.44,10.43,-68.53,-11.79,-68.27,-92.34,14.54,-63.41,-4.64,-48.51,63.5,2.0
2.0,1.0,1.0,46.69,50.38,98.81,-18.9,-6.75,125.05,-27.13,401.29,86.67,-15.54,-189.11,-3.57,-11.25,66.77,2.0
1.0,2.0,0.0,-22.56,93.39,35.75,13.06,-125.87,101.13,-11.26,264.88,12.36,-17.12,-27.04,-3.15,-188.23,15.31,1.0
2.0,1.0,1.0,-4.03,-108.46,-36.95,25.15,-64.97,177.44,182.59,188.77,56.05,14.99,20.83,-1.04,-55.17,9.54,0.0
1.0,1.0,1.0,15.89,49.27,93.2,10.69,24.73,-24.42,-64.45,355.93,-158.32,-23.21,-88.56,0.39,-17.98,49.73,0.0
1.0,1.0,1.0,10.26,-65.24,-71.55,22.79,-60.68,23.81,1.08,239.09,123.86,10.92,-146.47,-1.72,-71.37,-83.75,2.0
1.0,1.0,1.0,-21.6,110.36,124.94,-5.49,-167.13,14.6,34.38,115.94,62.05,31.94,-158.17,4.63,44.35,-83.5,1.0
1.0,1.0,1.0,-31.07,-59.98,-110.56,-13.19,100.08,4.86,-6.21,-48.23,4.01,4.55,-5.04,1.94,-11.82,-31.49,0.0
1.0,1.0,0.0,-13.29,43.49,73.09,1.07,-154.42,139.24,-27.35,244.13,112.9,-41.5,-22.22,4.77,14.09,136.22,1.0
