cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
2.0,2.0,36.19,-34.02,-80.24,7.32,30.85,-8.51,-3.03,52.05,21.53,-117.59,-1.35,267.28,0.24,-137.25,593.18,-42.79,-37.53,-163.65,-59.47,-48.22,1.0
2.0,1.0,66.03,-10.16,-44.71,-78.4,72.68,-18.47,6.14,-8.37,-0.2,-31.44,-108.54,-78.63,-0.44,275.57,-161.39,15.02,-25.63,-39.41,69.48,-22.33,2.0
3.0,1.0,60.05,33.47,-22.25,-5.84,-57.04,-10.14,3.47,-7.81,-6.23,76.88,60.39,-151.73,5.24,-65.75,-31.54,-24.71,91.93,28.53,133.88,-23.51,1.0
2.0,1.0,-69.66,36.25,5.74,22.58,142.02,-78.69,-6.47,64.5,-2.92,54.36,53.19,7.04,-4.51,87.13,381.12,-37.34,-52.76,-44.97,-1.99,-39.15,0.0
2.0,2.0,-2.32,35.25,87.08,15.52,18.01,-22.63,-0.97,-106.25,17.23,50.37,12.8,-56.23,-1.35,-322.52,-20.98,-10.51,28.93,-13.1,-49.0,33.83,1.0
4.0,1.0,-20.73,-53.22,57.5,5.25,-102.83,61.02,1.35,13.48,2.21,260.07,38.61,-37.41,-0.04,393.74,-293.32,25.54,210.5,-112.48,95.92,25.54,1.0
2.0,2.0,-13.68,170.72,5.22,90.91,-95.34,-20.47,1.87,-21.68,-2.99,-53.01,-95.74,76.91,-1.39,-132.72,14.45,-8.11,33.62,-157.98,-34.86,-46.13,0.0
3.0,2.0,1.67,-7.38,-47.82,68.61,18.75,-46.27,-1.76,-127.13,12.02,5.59,8.63,295.72,3.98,29.51,510.13,-18.72,-35.57,-27.95,-54.99,40.2,2.0
3.0,1.0,-54.48,55.55,-19.54,22.34,50.74,-6.74,-7.26,97.45,9.93,78.19,-60.65,110.54,3.15,280.81,157.67,-1.26,62.63,95.86,30.42,69.01,1.0
2.0,2.0,-70.85,-41.64,99.47,-53.17,-102.34,42.74,-1.93,38.94,8.85,77.89,-58.25,-100.71,2.6,-40.15,-305.94,10.11,-10.46,18.26,-5.8,-3.24,1.0
2.0,2.0,-9.56,-85.41,-5.22,22.82,-65.41,69.93,-1.84,-77.66,-0.52,-39.62,-0.82,-48.07,0.52,-263.65,162.03,-61.0,-37.77,-95.57,14.71,66.54,0.0
3.0,2.0,40.49,-10.42,54.19,-101.57,-50.23,20.06,6.95,8.25,-2.12,232.79,47.8,-240.59,3.34,-235.54,-145.97,-28.72,92.71,-51.8,32.94,-7.92,1.0
4.0,2.0,-7.96,-28.19,-49.14,-51.3,43.45,-67.64,0.1,-95.14,-6.03,-183.57,7.57,68.12,0.15,-476.92,598.33,3.19,-18.5,-96.58,30.24,50.25,2.0
3.0,2.0,13.93,86.75,63.72,45.89,-69.51,-14.36,-1.37,72.39,-18.92,242.72,-9.74,44.06,-1.28,77.18,16.21,-18.73,71.91,-36.53,3.67,62.95,1.0
2.0,2.0,-43.26,-3.83,52.56,-76.5,56.52,-45.35,-1.73,6.58,7.6,106.86,-110.5,-22.19,2.38,244.61,-247.49,20.62,-90.3,57.27,-10.69,62.51,2.0
3.0,1.0,-42.12,50.06,-55.3,-60.04,-164.4,-56.48,9.64,-33.05,2.82,130.6,60.11,53.47,-2.22,239.37,-170.79,18.95,149.99,-59.57,99.59,-1.73,1.0
3.0,2.0,-0.91,-10.0,19.0,-78.19,122.38,35.52,2.93,122.43,8.03,-53.1,-13.92,83.1,-1.99,-218.25,500.28,-5.6,-5.14,64.89,-61.42,1.42,2.0
1.0,3.0,-57.8,75.02,14.08,37.32,-169.12,28.9,-6.12,-28.96,3.99,-186.14,-35.44,232.16,-3.32,-242.62,76.81,-21.79,-56.35,27.18,-0.41,34.43,0.0
2.0,2.0,63.4,-146.6,-33.98,-20.86,39.26,18.87,-1.45,-4.66,13.61,350.3,-75.84,-88.92,1.57,41.35,-515.05,34.15,117.53,81.82,-25.49,-27.09,2.0
2.0,1.0,-1.42,-152.99,-16.31,-0.18,-1.87,23.26,2.22,35.17,4.04,-297.48,-20.83,-12.69,-7.83,154.32,301.08,-21.08,-62.55,17.31,8.0,60.83,0.0
3.0,2.0,44.42,15.6,-30.17,5.25,112.02,3.86,-3.97,-70.1,-1.86,-44.93,-153.07,-32.79,-0.27,-277.8,276.5,16.48,22.34,-110.01,-56.43,-15.87,2.0
3.0,2.0,18.73,11.74,18.78,25.89,59.58,35.14,-2.49,35.24,-0.84,336.48,-5.73,181.31,-0.93,19.96,305.01,-36.53,-59.99,40.85,44.7,-11.3,0.0
1.0,3.0,1.19,-8.82,40.59,78.82,147.17,-1.49,-13.89,-0.42,12.77,122.69,7.31,230.1,-0.23,-10.77,-101.27,35.71,-176.27,-66.13,-21.88,-68.35,2.0
1.0,2.0,-55.94,61.22,-33.13,31.99,-41.84,41.17,0.26,68.43,-8.6,-67.98,45.92,73.77,-0.68,-235.73,95.12,-18.86,-100.89,-91.85,-28.05,13.71,0.0
2.0,2.0,20.08,-65.85,-24.18,-13.13,-47.87,-43.58,2.19,-112.4,-10.06,94.53,-103.32,142.67,-1.64,-16.32,203.75,-28.83,5.06,54.24,28.51,-34.93,1.0
4.0,1.0,-40.94,-116.5,-65.65,79.12,-131.39,-10.29,0.64,-9.66,-9.03,270.87,-10.92,-103.67,-4.44,307.5,-279.78,1.55,103.34,96.4,-18.78,-13.07,1.0
2.0,2.0,46.71,-50.73,-104.12,41.51,21.17,-39.8,0.36,-71.23,15.96,200.03,21.55,43.13,-0.44,206.97,-225.77,14.46,-66.3,28.96,-1.98,-7.05,2.0
2.0,2.0,39.84,-105.56,-10.79,-94.73,60.83,29.38,5.12,-53.64,-17.56,66.08,-51.42,-229.37,-0.76,-215.56,-53.51,-24.17,-29.8,-26.66,-3.21,12.03,1.0
3.0,3.0,-21.42,-176.99,13.69,-32.21,39.82,16.61,4.87,-186.15,-15.53,-123.99,48.06,364.39,1.58,-266.76,530.81,30.35,-71.09,-18.42,-84.16,-11.96,2.0
3.0,2.0,-30.28,78.04,-22.35,-17.54,-48.85,4.89,-0.75,-20.63,4.8,-24.86,67.5,269.41,-0.19,84.8,311.83,4.43,-81.09,140.82,29.45,10.77,0.0
3.0,1.0,23.01,-25.31,-29.67,45.29,12.96,1.03,5.3,-64.98,3.56,244.55,-7.28,-18.93,5.28,209.62,-13.44,-30.14,162.28,165.97,127.41,-56.28,1.0
3.0,2.0,28.78,-103.26,8.79,-34.61,21.82,-27.06,-1.53,24.53,2.05,204.1,107.93,179.71,0.25,-0.02,263.65,-20.27,-64.18,92.74,-76.75,-78.12,0.0
3.0,2.0,79.09,64.66,-146.87,17.74,-86.27,-7.82,-0.78,-25.82,-2.23,322.96,-7.14,-2.66,-3.41,-303.2,-47.32,-23.12,76.74,9.98,36.84,63.24,1.0
0.0,3.0,-37.83,-55.11,-87.72,8.53,107.29,-7.25,8.07,-3.74,-6.16,114.67,-38.48,205.33,0.57,210.02,-250.74,30.4,-135.56,-25.14,-47.69,24.4,2.0
4.0,1.0,-5.31,-10.61,32.06,-1.89,-80.81,-53.73,0.98,6.14,14.0,137.83,61.3,-25.6,1.29,442.73,-186.02,36.94,166.56,45.72,27.75,48.6,1.0
4.0,2.0,-21.44,4.02,2.46,-63.2,-81.54,0.58,3.78,76.79,-11.42,274.28,-36.33,45.74,-1.93,-251.68,281.19,-45.93,84.73,32.37,-51.43,-26.32,1.0
2.0,1.0,9.09,-96.65,39.5,10.3,8.81,-47.35,7.1,-70.35,8.16,-23.65,-78.9,136.67,4.12,-81.68,415.29,-63.67,45.47,-11.88,-57.5,-53.32,1.0
2.0,2.0,10.0,1.75,-4.82,77.95,-64.55,-85.05,4.54,-68.84,1.82,-156.97,-10.93,16.69,2.54,-178.73,237.39,-52.6,-11.42,-12.3,20.5,18.33,0.0
2.0,2.0,0.65,-136.62,12.58,74.37,35.96,-9.48,2.06,-31.3,-13.93,218.29,-39.9,64.35,4.53,102.47,152.75,-30.01,8.26,-66.25,54.34,-33.25,0.0
3.0,2.0,43.06,27.51,5.09,7.1,-63.51,34.96,-1.5,22.87,-3.04,-53.47,-92.56,172.43,-3.08,-382.72,464.29,-7.35,-51.86,-111.62,87.68,3.36,2.0
2.0,1.0,74.09,-5.11,-35.28,31.09,22.04,-3.45,-3.51,-46.82,2.78,-29.69,12.39,121.33,5.12,270.07,216.08,-16.53,14.03,36.08,-31.74,-15.86,1.0
2.0,2.0,-59.94,27.52,-70.94,57.32,-29.03,-54.08,3.75,24.19,15.18,96.14,-78.53,158.3,0.53,129.65,174.25,-17.73,-18.15,-29.45,-26.85,31.75,1.0
2.0,2.0,-5.85,2.88,62.61,71.77,147.65,-6.15,0.98,72.07,-13.97,129.95,-105.33,117.99,-3.64,133.72,38.39,10.37,-114.04,-9.88,11.19,-26.87,2.0
2.0,2.0,-62.18,55.67,49.89,122.6,-67.71,11.19,-3.89,33.8,-3.35,-61.25,0.48,92.32,0.77,-142.45,393.3,-61.14,-60.58,15.79,70.69,-5.82,1.0
2.0,2.0,7.0,-78.41,35.92,16.37,-39.21,17.36,-5.63,73.85,9.6,148.64,-58.33,114.69,0.88,-29.33,151.47,-48.41,88.13,12.53,46.96,35.36,1.0
3.0,1.0,-5.39,-142.32,30.87,34.17,165.0,40.7,2.31,2.93,-4.84,120.13,-50.52,25.22,-2.03,257.72,487.47,-27.93,-64.75,10.09,-105.71,42.34,0.0
2.0,1.0,36.39,60.01,-13.45,-1.73,82.36,8.38,4.63,-126.8,7.3,86.96,-15.35,-66.45,0.85,271.76,153.04,-27.39,7.06,-52.01,56.85,-23.39,0.0
2.0,2.0,7.12,158.09,54.37,113.25,40.58,4.3,6.69,-21.98,-5.28,113.1,-39.99,104.39,5.24,86.75,-90.66,16.21,-13.18,-119.08,50.36,23.32,1.0
3.0,2.0,81.64,-17.38,-30.91,-12.44,42.55,38.02,-4.49,33.43,11.39,-58.92,-20.55,298.44,-6.04,-259.75,362.67,41.59,112.55,2.3,43.85,3.92,2.0
2.0,2.0,47.62,58.22,125.21,-46.58,-85.25,40.67,5.6,161.55,11.57,73.48,-16.87,-177.94,0.34,-49.77,-314.42,4.12,16.45,0.3,11.7,-52.8,1.0
2.0,3.0,-64.21,-120.86,14.35,61.72,61.52,50.16,1.04,-7.03,16.35,153.43,-150.29,260.72,-3.71,-1.07,81.33,13.57,-37.74,-25.02,81.18,-15.36,2.0
3.0,2.0,17.67,72.99,33.16,-38.44,109.99,18.08,5.73,-67.93,7.61,70.23,39.94,48.55,1.33,-152.11,169.64,18.25,52.39,-10.81,-118.56,62.62,2.0
3.0,1.0,97.54,-11.25,-136.73,-15.48,-0.83,14.16,-3.98,17.0,-11.87,76.3,57.58,14.1,-1.96,154.67,108.39,-16.81,175.36,-156.79,-30.08,1.31,1.0
2.0,2.0,4.28,6.38,3.45,46.93,96.68,80.8,-3.87,-85.33,-21.17,-11.83,130.15,12.24,6.12,143.47,-48.25,15.03,-74.87,6.79,-100.73,34.47,2.0
3.0,2.0,47.05,-142.91,35.66,-105.06,38.44,-37.07,5.15,101.85,-1.84,107.06,-9.15,158.76,2.84,-149.74,190.39,6.6,44.51,16.41,-45.49,3.9,2.0
2.0,2.0,-8.91,51.56,50.53,87.41,-35.61,68.49,1.06,-31.89,7.34,-30.7,-74.11,135.48,-2.07,176.47,163.1,-12.58,-62.61,22.58,-73.93,1.6,0.0
2.0,2.0,15.67,66.39,-48.31,-72.33,0.31,-50.86,3.48,51.46,3.82,-27.02,-35.63,155.85,-0.01,31.28,255.77,-26.02,47.71,83.32,-27.39,-15.85,0.0
3.0,1.0,8.97,31.27,31.35,15.31,-91.27,42.04,-6.72,5.78,-1.7,13.53,-59.41,-57.93,-0.98,-0.59,-78.25,-5.76,66.68,-54.81,-12.97,4.35,1.0
3.0,1.0,-2.92,-49.65,-6.61,40.94,17.01,39.19,-3.13,-43.33,-5.66,58.27,134.16,60.86,0.76,-151.97,400.4,-50.95,55.64,-60.45,123.17,30.91,1.0
3.0,0.0,24.82,33.45,50.33,-65.61,174.49,27.19,1.16,-8.29,-14.15,326.12,-41.34,-191.38,2.6,567.56,175.19,-47.36,-14.0,-11.79,-63.79,-68.25,0.0
2.0,2.0,-8.63,-104.01,59.17,54.52,-9.97,9.94,1.22,-153.04,18.55,-115.63,100.37,107.9,-4.38,14.72,98.62,15.86,-166.03,-62.91,-1.06,67.68,0.0
3.0,1.0,35.86,39.46,35.57,-123.42,181.81,-69.6,2.79,73.16,-7.27,43.35,95.48,-135.77,0.64,253.28,321.57,-12.28,-209.06,-4.79,21.49,18.14,0.0
2.0,1.0,17.03,39.62,-9.66,112.34,-30.58,-8.21,-4.82,-24.13,-9.99,-420.41,-31.24,259.54,0.6,160.9,476.2,-14.53,-55.78,-83.42,-1.79,21.58,2.0
2.0,2.0,-71.11,98.74,-119.48,60.16,-71.6,-2.94,-5.62,-1.54,3.87,198.51,-35.79,61.76,-1.68,-45.58,91.41,-43.71,42.97,-78.16,-63.59,5.42,1.0
3.0,1.0,-12.21,-32.49,6.45,64.62,48.52,-13.04,2.91,1.67,-2.08,0.47,-122.19,134.48,1.94,163.71,367.64,-22.38,21.05,-8.8,69.14,34.35,0.0
1.0,3.0,40.03,-34.96,-1.75,60.85,102.1,-1.09,0.51,48.91,-5.13,27.07,-27.75,99.64,1.68,171.7,-309.68,40.79,-125.19,-16.75,36.13,-41.85,2.0
2.0,2.0,38.07,-4.82,44.91,63.64,258.17,33.42,1.22,-8.06,-5.53,200.81,-37.12,38.61,-1.36,176.1,-29.57,25.37,57.01,63.46,-39.54,-40.16,2.0
2.0,2.0,-1.59,79.09,0.09,13.11,95.02,-45.24,-2.33,-61.89,-10.12,86.98,24.33,-147.79,0.06,-399.7,-10.5,-27.94,47.97,-130.25,2.82,-3.75,1.0
1.0,3.0,27.17,-43.12,159.15,41.98,95.65,13.42,-3.24,-25.79,4.89,146.95,-40.23,345.29,2.28,-16.32,105.86,18.25,-125.84,79.78,-11.7,-23.94,2.0
4.0,2.0,9.15,28.77,67.78,74.6,-143.35,63.36,2.54,29.56,-6.35,200.74,39.46,99.93,-2.51,77.0,-7.31,4.05,51.85,28.13,-42.02,15.58,1.0
1.0,3.0,-14.27,-19.0,32.54,57.8,118.26,-2.93,0.17,106.29,5.47,136.15,-52.56,88.06,-2.8,228.12,-227.66,25.54,-131.17,95.42,-15.05,-39.21,2.0
0.0,4.0,-67.33,-98.18,27.6,34.26,122.11,65.65,-7.28,31.69,1.74,191.46,-39.76,378.93,-0.1,-123.11,-322.25,59.68,-165.07,5.91,-71.19,-43.36,2.0
2.0,1.0,13.02,-45.07,-18.58,3.42,-10.3,-45.16,-1.67,-16.22,3.58,-233.78,1.21,79.87,1.31,60.26,441.57,-48.54,-38.61,-46.9,56.11,-49.03,0.0
1.0,3.0,-5.83,118.83,5.35,-46.84,-9.13,22.12,-4.8,-27.02,10.19,76.46,-50.24,159.08,2.06,15.56,-260.41,35.67,-47.14,-11.53,-103.59,-97.74,2.0
3.0,2.0,-33.58,89.99,-59.19,63.71,60.09,-20.72,1.13,93.37,-3.09,66.61,33.02,-33.03,0.43,-34.64,50.63,2.26,74.8,-28.91,-31.28,80.64,2.0
2.0,0.0,45.71,-90.84,-39.64,-26.29,203.99,23.7,5.41,-8.69,2.42,-189.9,-56.25,-37.86,-2.87,-69.47,817.25,-93.44,-38.33,-9.78,55.57,-83.8,0.0
3.0,1.0,63.92,-231.81,73.83,-56.56,212.73,-18.1,2.79,18.21,-16.5,-143.76,46.01,138.43,1.41,-146.31,698.03,-9.11,9.88,27.97,56.6,35.75,2.0
2.0,2.0,10.93,-43.88,-79.66,-96.76,-76.56,53.68,-3.74,92.73,2.44,-8.47,-25.87,160.85,1.13,-193.16,74.36,-11.3,24.4,-47.85,97.39,9.81,0.0
2.0,2.0,-16.47,81.83,-28.83,-91.11,115.34,68.34,4.66,-28.09,12.44,56.05,4.13,11.58,-0.32,179.09,-64.4,14.84,-90.98,-57.97,40.65,-55.42,2.0
3.0,2.0,-13.24,-12.06,-98.38,16.38,94.14,-20.16,-1.87,41.3,-8.46,95.85,169.61,148.01,-1.41,-45.17,241.61,3.81,43.77,-8.28,-11.12,3.41,2.0
2.0,3.0,52.89,2.66,129.81,66.26,-90.65,-70.06,-0.1,-81.39,3.28,-150.62,118.53,16.27,-2.1,-44.95,-152.66,27.52,-272.06,-70.18,36.57,63.79,0.0
3.0,2.0,-11.3,88.76,-27.11,125.31,-17.82,-74.2,1.88,86.02,10.21,186.83,-72.65,-57.13,-4.89,-237.39,72.16,-31.54,45.47,-58.6,-59.2,-2.86,1.0
3.0,1.0,-13.76,7.23,69.73,-10.08,78.05,35.84,-6.48,58.09,-8.94,118.54,-58.91,147.74,-5.28,366.69,445.2,-45.09,-15.5,-69.15,49.3,78.44,0.0
2.0,2.0,-43.1,54.88,-67.43,61.05,-59.65,55.18,7.87,18.39,16.36,-26.47,-5.36,-65.05,-0.5,16.69,-247.29,9.89,33.02,56.13,37.7,-5.67,1.0
2.0,2.0,-17.58,-37.12,-7.63,9.8,-95.48,-17.19,-8.0,-74.94,8.07,-11.24,-18.99,188.07,4.22,-157.22,400.59,-41.38,-94.77,-60.94,-11.18,39.04,1.0
3.0,2.0,-72.2,-38.28,132.27,-13.53,-141.37,2.26,3.65,87.54,1.86,152.66,-28.64,-35.18,-0.54,-42.18,-254.71,3.2,98.22,75.05,75.2,-5.59,1.0
1.0,1.0,48.81,78.75,-21.79,100.12,37.43,70.64,-3.41,-47.02,-0.89,-152.45,-107.28,119.55,1.67,50.61,423.38,-55.5,24.03,20.63,0.65,44.32,1.0
1.0,2.0,-53.66,-131.57,-33.56,-66.21,-40.3,-61.84,-6.75,71.68,8.0,25.54,-63.88,75.23,1.05,-73.39,-221.87,9.46,80.8,-40.69,4.44,60.25,1.0
2.0,2.0,-52.51,57.73,-58.27,41.86,-62.59,11.48,0.72,-67.95,-0.5,-331.18,18.06,82.57,5.89,-89.41,95.97,27.73,-41.85,54.86,-38.46,-6.37,0.0
2.0,2.0,38.86,31.61,-89.32,-54.3,33.5,43.67,6.52,-5.36,8.06,136.79,64.95,-249.41,-6.48,-248.13,-92.16,-28.65,19.45,-3.8,-61.2,-20.32,1.0
2.0,1.0,56.46,-16.09,-39.61,32.47,95.53,-30.81,-6.6,92.63,-9.69,-48.44,-70.53,-9.96,-2.76,84.56,273.89,-31.64,-12.76,-4.12,-32.43,-78.91,0.0
1.0,2.0,-15.23,-49.36,-89.97,-2.63,-23.78,-11.54,4.49,-42.94,-1.81,-178.29,70.11,132.03,2.71,-144.23,295.36,-31.31,-35.33,-101.0,61.83,-21.82,0.0
2.0,2.0,14.72,110.13,36.69,39.25,-1.03,-64.52,4.16,-13.92,5.08,97.77,-8.78,99.1,1.55,-33.5,126.66,-8.19,9.53,40.84,63.89,-22.73,0.0
3.0,1.0,-3.54,51.31,11.49,-35.19,117.36,31.97,-5.27,-60.34,-12.91,-11.5,-43.42,289.23,-0.45,161.1,787.51,-18.6,-143.3,-13.52,-36.19,8.0,0.0
2.0,3.0,20.36,24.25,-9.29,64.0,-63.42,-61.75,1.72,-120.44,1.67,-104.68,-103.51,148.01,-0.93,-149.45,75.47,-2.0,-90.41,215.47,3.03,-21.5,0.0
2.0,3.0,39.0,48.53,11.82,-98.95,-83.69,7.46,1.54,-74.01,-4.6,44.52,-10.41,218.16,1.05,-314.68,136.96,-27.51,50.05,119.16,79.34,-23.76,0.0
3.0,2.0,-20.33,-67.28,-25.44,67.06,26.05,29.83,-0.09,-22.33,-21.1,123.57,114.58,2.05,-0.74,65.16,66.59,-5.46,-75.75,-22.72,-56.05,-21.32,0.0
1.0,1.0,34.16,33.64,-97.76,51.42,39.88,31.98,-5.78,78.23,6.88,-168.37,79.95,-14.34,1.06,-232.93,524.92,-92.61,-43.15,106.32,42.31,-50.21,0.0
1.0,2.0,22.35,16.52,9.09,-63.09,41.66,68.09,1.03,-7.02,-3.51,-252.0,-53.55,80.23,-3.38,-29.25,442.06,-40.6,-164.61,-2.96,10.0,-45.28,0.0
4.0,1.0,-2.15,80.24,37.13,-148.85,-7.6,-26.26,1.47,-38.76,-10.17,-91.45,87.4,25.17,-2.11,-469.59,485.85,-3.52,176.19,86.17,106.51,106.87,2.0
3.0,2.0,33.67,74.93,62.85,-18.72,-45.16,50.9,2.63,-54.41,-6.02,122.76,109.31,-7.18,0.81,17.04,-49.12,5.41,122.82,-26.89,73.19,31.91,2.0
2.0,2.0,2.14,-3.94,94.94,-141.5,-64.28,51.19,-5.95,87.97,8.16,205.63,17.81,143.44,3.08,-35.17,-18.03,-6.29,20.15,6.1,-142.15,45.51,0.0
3.0,1.0,-71.55,8.92,-12.37,-79.04,-140.62,18.11,5.59,-5.27,-15.12,117.16,-7.96,-118.72,3.75,37.12,-73.46,-18.01,127.23,86.54,17.06,-37.13,1.0
1.0,3.0,0.51,6.09,-54.17,-26.8,-129.69,-2.94,1.25,-20.31,7.43,16.12,9.48,66.26,-1.38,-312.71,-257.1,15.69,-208.0,-128.15,-41.46,-0.26,0.0
3.0,1.0,19.09,52.93,54.75,15.45,30.4,2.17,-2.83,10.76,-11.02,104.75,76.85,-17.82,-0.47,240.52,94.24,4.97,-12.11,-60.62,-43.56,-25.88,0.0
3.0,2.0,45.28,-80.0,-99.63,26.21,17.03,32.78,8.11,-63.95,-10.94,39.73,-36.87,169.59,0.92,-205.05,288.73,3.84,-76.77,62.97,-19.94,7.13,2.0
3.0,2.0,14.37,-79.28,14.13,-72.6,30.71,10.54,-6.37,36.57,-9.63,148.88,-41.5,-260.48,-0.6,-273.37,-12.55,-37.69,18.65,-20.4,-38.03,46.72,1.0
4.0,2.0,-34.05,58.33,-62.08,77.39,-60.78,-31.77,4.55,-106.21,1.46,227.91,5.05,199.39,-1.65,-128.99,226.23,-4.26,121.07,-76.84,-80.42,7.8,2.0
2.0,2.0,-44.61,-189.88,10.2,-58.94,116.01,27.42,0.13,13.59,2.03,-30.61,-22.6,76.1,-0.73,-183.15,496.46,-52.28,13.63,118.94,-17.29,-72.21,0.0
4.0,1.0,46.79,-25.55,45.63,-44.0,-160.11,-2.71,-0.34,109.45,17.34,167.26,-44.49,-52.34,-0.02,402.29,-349.99,34.51,162.87,-64.17,-38.26,22.37,1.0
2.0,1.0,53.2,18.42,-70.23,-47.85,-72.29,1.43,6.03,-123.42,16.13,-119.06,64.12,-45.52,-2.65,-9.18,139.03,-31.78,74.16,11.84,-3.03,-93.89,0.0
3.0,1.0,-18.77,-146.09,56.89,77.13,126.99,4.6,-2.78,-67.42,-15.86,391.34,-4.75,115.66,-2.87,174.89,382.59,-51.22,-108.86,-1.78,97.64,2.82,0.0
3.0,1.0,45.86,27.34,-8.03,5.95,56.01,27.35,-1.51,-18.43,-1.75,207.45,182.7,-118.63,-0.9,361.64,-25.61,-17.57,-74.58,96.56,59.21,66.84,0.0
2.0,2.0,39.87,80.96,53.46,7.42,-5.66,-50.58,1.05,-44.53,0.12,-76.46,128.28,-4.43,-0.81,96.57,39.41,-0.85,-70.4,39.52,0.07,1.85,0.0
2.0,1.0,-44.88,-74.99,30.93,-0.98,-35.14,-13.18,0.2,-52.68,6.83,-88.6,-143.93,105.26,-2.44,-82.93,264.22,-29.48,84.09,5.77,-34.71,2.75,0.0
2.0,2.0,-30.89,-16.13,-2.66,78.0,-65.1,-26.0,8.06,17.17,12.1,149.0,14.87,-195.27,-1.11,-84.05,-425.07,7.48,-25.89,-60.84,-30.63,7.8,0.0
2.0,0.0,5.48,40.99,3.27,-15.1,6.6,-18.75,-2.64,-29.73,1.54,-200.16,67.12,-19.33,-4.57,380.44,146.08,-17.11,65.85,-15.67,17.58,-32.41,0.0
3.0,1.0,-8.33,-14.18,-34.75,-100.26,-155.52,3.65,-4.66,-55.86,1.65,85.57,-47.44,-80.63,3.6,133.35,-78.71,-15.02,166.92,-57.07,-41.32,-37.65,1.0
2.0,2.0,-3.17,135.09,34.59,60.69,85.09,-25.41,4.77,-104.0,14.34,360.74,-30.49,58.01,-1.66,76.91,-303.33,27.32,129.45,-3.86,-131.3,34.41,2.0
2.0,2.0,-5.88,66.93,66.78,88.45,-49.4,-49.18,-0.06,-60.46,26.52,-39.05,66.15,261.61,2.01,-164.31,470.74,-45.74,-101.39,5.93,23.44,-22.5,1.0
2.0,3.0,21.87,-14.19,43.66,-39.25,17.13,52.92,5.98,-15.03,20.17,190.41,46.39,42.71,-0.78,98.65,-476.16,50.26,48.41,86.7,90.97,-14.67,2.0
3.0,1.0,33.94,-26.53,-24.88,-12.63,-68.52,-9.56,-1.06,-55.01,-1.96,90.06,47.08,69.34,-4.81,245.69,-2.85,18.22,107.03,-88.13,0.26,78.95,1.0
2.0,1.0,-2.15,-13.67,-37.11,-41.28,-68.02,1.98,3.05,-150.11,12.49,-247.37,65.89,-34.05,-2.32,59.38,162.92,-24.79,-76.61,-10.49,-23.24,37.57,0.0
3.0,1.0,59.27,99.73,15.54,-32.41,23.8,-56.17,-6.0,-92.28,14.35,-57.17,86.38,239.92,-0.08,237.29,319.33,6.97,63.31,-15.7,-32.58,46.07,0.0
3.0,2.0,23.18,-60.76,4.94,43.04,-119.75,-42.28,-0.91,97.89,-2.7,126.71,-36.2,-48.36,-3.48,36.94,-203.22,-1.29,23.23,-44.32,7.11,31.5,1.0
