cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,target
2.0,2.0,2.0,-1.33,159.88,3.67,4.06,19.96,43.11,189.48,5.85,-157.08,-41.94,-34.76,-31.85,-6.6,-2.41,-4.55,20.08,2.91,-57.78,2.88,16.37,7.39,-19.81,0.0
2.0,1.0,1.0,-3.65,-226.63,-5.88,-7.54,32.33,35.98,16.01,-47.15,159.97,-6.76,-122.69,-5.66,95.68,57.2,23.12,-5.03,-35.4,26.07,86.2,9.67,-12.39,-39.43,0.0
1.0,1.0,1.0,-2.91,225.7,10.65,-41.5,22.22,-38.77,12.96,5.34,-25.8,-57.88,-54.75,21.05,-1.39,66.29,14.59,79.36,-17.63,-14.29,62.41,-52.92,-15.12,-109.33,1.0
1.0,2.0,1.0,18.49,-165.15,-0.33,-36.49,99.53,22.74,-42.59,-95.92,-6.09,-110.77,-19.2,-0.42,124.1,-160.7,6.69,54.31,37.02,9.67,78.28,57.66,16.11,156.06,0.0
2.0,1.0,1.0,3.94,81.31,3.69,29.63,31.95,5.16,113.32,76.93,44.58,-45.34,102.67,12.37,-134.91,12.93,2.17,23.18,-40.91,33.47,16.25,-54.23,-12.4,25.43,1.0
3.0,2.0,2.0,-5.76,-35.6,11.83,41.43,-111.92,38.41,-19.25,12.38,63.67,-53.9,-40.9,-21.14,-22.96,29.59,22.5,-12.03,1.49,8.99,-67.05,26.36,18.54,52.06,1.0
3.0,3.0,3.0,2.95,274.64,-11.76,-64.61,-54.24,46.7,49.18,-50.5,-177.88,45.26,-16.67,-23.9,41.72,38.79,8.64,-85.2,15.77,87.95,-4.99,69.68,-15.53,65.97,1.0
2.0,2.0,2.0,-19.57,35.59,-7.35,-33.42,-103.38,104.97,156.99,17.81,55.12,-60.68,80.8,27.97,22.74,-6.47,4.08,12.95,6.63,-30.53,36.42,59.81,-10.42,91.58,1.0
1.0,2.0,2.0,-15.5,151.18,9.49,-32.15,-143.69,84.29,-51.25,89.51,36.2,-41.02,69.15,20.1,37.81,-105.4,-12.3,-22.42,-5.36,-26.78,45.35,39.75,-24.61,75.88,0.0
1.0,0.0,2.0,-10.61,84.34,-8.2,-25.46,32.15,11.87,-51.49,-49.75,-149.98,-44.91,22.33,1.75,-108.85,-101.76,12.65,17.36,-23.06,11.91,-56.04,28.16,16.06,64.61,1.0
2.0,1.0,1.0,2.55,45.74,4.13,-18.78,116.11,0.53,70.94,-43.19,-68.45,-121.62,32.75,-0.34,68.3,47.32,5.0,172.56,13.86,-4.33,-68.54,-30.49,28.47,20.34,1.0
2.0,2.0,1.0,-4.02,-0.53,6.64,0.69,-21.14,57.82,29.23,-54.34,67.04,82.09,24.37,-7.99,-46.01,43.98,-5.92,-0.77,-3.26,-11.99,23.42,4.79,-7.68,-62.36,0.0
3.0,1.0,1.0,-11.19,-165.74,-5.27,-25.18,61.53,102.51,2.99,109.72,198.3,75.22,92.22,19.37,-4.55,121.34,14.44,17.52,-0.26,5.38,60.11,-51.38,-1.06,63.18,0.0
3.0,2.0,1.0,23.46,-312.77,-5.26,43.76,120.14,-27.92,-51.84,-182.42,55.63,-100.96,-86.25,9.49,65.42,68.58,-14.7,-16.02,-39.99,5.06,-49.85,13.35,-50.33,64.67,0.0
3.0,1.0,1.0,-1.91,-192.24,21.23,-57.37,128.66,17.08,-97.13,138.36,-69.28,-5.43,158.43,-1.14,47.53,-44.73,6.48,14.35,1.08,-1.32,47.37,-13.73,3.17,108.2,1.0
2.0,3.0,1.0,7.4,-51.63,0.03,-21.53,-62.69,73.02,-164.18,39.32,139.5,-20.22,35.34,-19.21,9.82,13.52,-30.01,-44.97,-25.75,76.92,81.22,9.92,11.1,-1.21,1.0
2.0,2.0,1.0,18.73,29.83,3.9,-40.96,140.1,-47.92,95.99,-30.44,6.74,-75.77,-29.82,-38.69,-93.61,-2.5,3.5,16.88,29.71,-15.34,-14.83,-22.79,-8.74,46.68,0.0
1.0,1.0,2.0,9.84,-114.65,-1.47,-4.84,-152.75,92.17,30.05,28.51,82.21,129.23,10.15,7.64,-29.83,-114.43,-2.33,4.78,-7.09,-56.73,-83.63,-96.71,11.36,28.79,0.0
3.0,4.0,2.0,-8.81,-122.78,-2.16,-98.37,60.72,-32.88,-138.98,131.58,-19.99,-32.97,25.7,6.27,-69.13,-26.14,17.86,3.88,22.01,-31.36,-29.28,79.79,18.55,181.09,0.0
2.0,2.0,3.0,12.29,-58.0,14.82,-83.35,-120.62,-21.56,-7.9,-114.62,-169.32,-50.74,-49.18,11.47,-88.47,-219.73,-0.7,-2.64,11.13,35.74,-85.66,-114.92,-3.11,141.4,1.0
2.0,0.0,1.0,5.45,-86.41,-2.39,-1.75,47.76,114.6,7.93,-76.08,96.78,124.35,-31.9,-9.54,-92.26,21.77,5.11,49.91,-2.0,-29.92,63.78,9.56,13.4,4.26,0.0
1.0,1.0,0.0,-17.87,226.45,16.38,51.35,-155.59,-105.76,31.78,4.99,322.1,-49.75,-0.77,3.69,67.88,-23.38,6.5,50.61,45.18,-58.91,-24.2,118.76,7.23,117.04,0.0
2.0,2.0,1.0,2.58,138.46,-12.01,0.89,-76.55,-61.42,58.87,36.21,175.53,-76.67,27.26,-12.95,138.92,58.03,-4.42,-8.27,-13.52,-42.57,9.48,-30.68,-5.98,18.73,1.0
2.0,2.0,1.0,-11.49,115.53,10.28,53.06,-67.03,-62.41,-94.65,106.61,41.49,-64.68,18.14,28.35,-80.74,69.59,-17.91,80.66,-0.96,-16.14,-4.54,1.34,-9.58,-77.78,1.0
1.0,3.0,1.0,-8.72,23.98,1.23,-59.44,-107.48,0.95,86.68,-1.12,271.22,69.45,110.26,-27.17,120.42,102.59,-0.87,27.54,-4.36,-53.65,-4.8,29.93,0.98,-94.39,1.0
3.0,2.0,2.0,-18.52,-60.27,-14.69,-8.11,39.17,-41.58,46.47,-6.39,-24.67,-121.06,-158.18,-14.3,-25.81,75.22,12.1,-38.64,7.26,66.88,36.73,78.21,6.16,85.39,1.0
1.0,3.0,1.0,2.7,157.25,1.84,-4.24,-10.43,97.58,-146.84,302.83,72.66,64.36,5.58,36.15,-68.39,-53.56,10.16,-51.77,39.7,-42.74,-45.05,36.23,7.62,68.99,0.0
3.0,1.0,3.0,-23.92,205.46,9.44,-26.9,-81.17,5.19,88.19,145.95,-99.34,105.08,89.12,-12.16,64.36,-16.81,-1.99,-42.13,-46.61,43.22,-11.11,-71.05,5.75,146.05,1.0
3.0,1.0,2.0,0.14,121.33,-8.36,-47.14,-25.77,-100.25,-93.9,-43.73,69.79,79.23,-145.0,20.22,15.83,138.81,3.56,25.16,2.46,-87.73,67.9,116.58,-15.43,57.1,1.0
2.0,2.0,2.0,-1.59,3.15,0.93,-47.24,-24.28,-3.52,-68.35,-16.19,23.12,-10.06,-70.77,2.77,34.77,6.36,-7.93,-14.29,-33.86,-15.62,2.07,-12.39,0.32,71.96,1.0
2.0,1.0,2.0,4.05,-141.75,-8.41,-16.49,-17.62,-0.69,-46.33,-50.89,-97.86,48.77,-31.84,35.81,-35.52,-51.67,-10.8,44.91,-57.66,2.74,-6.55,72.64,8.52,2.25,1.0
2.0,1.0,2.0,-6.9,47.76,-7.24,9.2,-3.37,0.38,-61.46,-2.39,2.51,-36.57,142.56,21.12,94.78,40.72,-3.29,-85.09,-3.43,47.64,11.83,-28.57,-10.6,25.9,0.0
2.0,2.0,1.0,2.85,-185.21,1.32,-77.25,116.22,-155.96,41.01,-219.33,-34.9,123.61,81.07,4.67,-56.1,-77.72,18.4,27.73,-44.12,-73.01,-63.46,46.43,-34.72,105.7,0.0
3.0,2.0,1.0,-25.37,-168.17,-2.55,-9.67,154.75,-11.25,-52.8,93.03,-48.68,103.88,-79.44,20.93,20.76,27.24,0.62,-48.33,24.46,28.27,33.98,4.32,0.43,42.93,0.0
1.0,2.0,1.0,-10.49,143.68,-11.58,-70.72,-86.16,55.53,-279.2,81.53,200.75,-139.31,-27.67,39.28,28.78,47.41,7.62,-12.76,-34.16,2.74,-20.06,-37.91,9.81,6.79,0.0
1.0,3.0,2.0,-20.66,20.79,8.21,27.2,26.49,-139.17,46.88,-72.34,-116.59,1.06,-94.32,-22.19,34.95,22.06,4.8,-78.08,23.93,30.34,21.95,-41.32,14.74,-169.53,0.0
2.0,1.0,2.0,-20.96,58.58,-2.68,34.38,-33.35,42.21,-76.63,6.48,45.29,49.11,-54.34,-5.36,-10.26,-57.55,1.99,-27.61,52.34,9.31,154.2,76.69,8.5,163.97,0.0
2.0,2.0,1.0,-16.8,-65.68,-9.68,-47.14,60.2,-54.08,114.08,153.92,48.83,31.87,40.41,-17.18,-69.06,105.06,3.52,-20.5,-32.05,7.02,14.98,15.72,-5.33,-90.6,0.0
2.0,2.0,1.0,0.66,-203.28,1.29,-89.33,14.8,95.45,-57.49,189.67,134.71,198.07,-85.69,2.04,-53.41,24.94,2.92,-93.5,16.24,-28.4,2.44,38.98,-28.77,20.53,0.0
2.0,2.0,1.0,13.05,-154.26,14.87,35.15,106.07,-5.24,51.97,-37.95,22.27,-141.49,-0.06,-15.42,-112.32,6.41,-0.57,43.81,-3.74,22.34,-57.34,3.51,31.43,2.79,1.0
2.0,1.0,1.0,-2.89,-6.84,1.21,33.25,-10.86,-27.23,77.93,-45.39,41.73,-47.42,0.36,-13.95,216.97,14.97,-5.42,40.13,-39.24,63.83,-69.41,5.86,15.42,23.53,0.0
2.0,2.0,2.0,-5.09,113.06,-1.07,-46.34,-73.4,-21.26,-78.31,-98.5,44.62,-26.97,-17.67,-12.98,87.55,15.52,-18.94,111.93,-5.34,-9.54,42.34,-36.84,-32.54,82.26,1.0
2.0,2.0,1.0,-22.04,2.41,-6.17,12.74,-0.01,-46.29,-55.82,-39.57,122.1,-102.7,43.74,28.91,5.54,58.06,-24.62,-15.47,-14.56,55.38,44.77,0.98,17.19,39.1,0.0
2.0,1.0,2.0,15.23,192.2,9.23,-33.02,-61.43,-31.68,160.8,164.86,-29.97,-80.8,-66.86,-25.25,183.35,45.32,17.13,-20.73,19.8,75.31,-52.48,-38.43,-1.23,28.33,1.0
1.0,3.0,1.0,-3.16,177.72,-2.35,-44.89,-10.18,-91.4,31.42,61.97,32.19,-18.25,34.29,-35.38,-84.93,-64.78,-0.07,-4.52,6.77,17.92,-25.7,49.44,-6.32,105.28,0.0
3.0,0.0,3.0,-1.64,161.66,2.68,20.63,-77.53,37.21,-57.91,-85.88,-110.17,-34.12,-73.81,24.47,-156.55,-108.41,-3.06,76.9,-21.09,-39.18,57.72,-110.52,-17.98,277.5,1.0
2.0,2.0,2.0,4.54,183.37,2.08,-55.89,-103.78,-57.79,-57.04,-35.07,-9.11,119.53,14.79,2.28,114.99,-36.49,-6.66,-77.82,17.95,-38.11,6.29,15.97,-38.85,162.51,1.0
4.0,1.0,2.0,-5.53,-79.9,-11.82,-47.52,-72.49,24.37,56.37,18.86,26.78,36.85,27.66,-4.82,-84.87,264.09,-0.65,12.08,9.83,-25.24,37.18,57.08,-40.19,-156.58,1.0
1.0,2.0,1.0,4.74,66.9,10.97,-58.7,-32.22,-6.15,22.88,38.83,130.08,-20.94,-67.41,-42.94,153.6,-11.7,19.3,0.05,2.35,21.17,-37.56,13.56,35.21,-49.27,0.0
2.0,3.0,1.0,16.69,-133.44,-2.47,-80.39,87.04,-12.96,105.27,-26.63,26.67,-4.92,23.12,20.4,61.15,-27.55,-18.71,-58.26,0.42,-20.81,53.16,55.04,15.15,112.08,0.0
2.0,2.0,1.0,8.05,72.2,-11.11,0.57,-168.08,-28.36,-60.09,87.83,310.66,-64.06,12.51,-55.87,4.89,13.05,11.72,-3.82,-0.32,79.8,-95.74,-37.0,16.87,124.43,1.0
2.0,2.0,2.0,-3.36,139.5,-4.23,39.33,-66.11,-7.18,7.69,-110.37,84.51,-82.46,-175.34,-24.86,29.57,0.41,2.38,13.18,-9.25,22.09,22.72,-64.36,-14.11,124.18,1.0
1.0,1.0,2.0,18.5,-203.57,6.0,9.48,-3.1,-20.04,-20.7,138.66,-81.23,97.27,28.22,5.08,-38.97,-47.73,3.71,7.24,8.63,122.08,-40.22,-60.23,30.59,-93.93,0.0
2.0,2.0,1.0,0.05,-89.78,-6.41,5.69,27.7,17.26,112.6,290.15,63.45,-118.7,-61.03,-34.37,67.56,-15.81,-3.14,-11.14,19.62,-2.11,-41.6,50.39,-24.19,94.74,0.0
2.0,3.0,2.0,3.73,129.16,-6.55,-21.9,-20.61,0.84,-100.86,-49.23,-109.07,-129.74,-17.19,11.13,-115.31,-37.66,6.32,-62.36,-33.31,36.06,31.38,57.53,8.96,80.05,1.0
3.0,2.0,2.0,-0.92,185.02,-0.1,10.36,-16.82,114.12,104.25,125.45,-28.3,67.72,50.34,20.58,30.59,-12.25,7.94,4.57,-6.51,95.02,-54.8,-93.89,-19.66,197.52,1.0
1.0,1.0,2.0,-3.27,-16.46,10.86,59.34,36.79,-26.62,-164.16,101.22,-178.57,84.52,-116.93,4.78,-55.73,-58.56,12.85,-67.74,42.2,42.26,45.09,-10.07,-21.1,-80.59,0.0
2.0,1.0,1.0,-13.87,-31.07,6.58,-27.86,-95.33,-21.4,-37.41,-69.32,183.42,-48.08,-20.37,-9.43,4.16,42.16,6.05,-5.28,-11.4,18.62,70.46,16.43,-9.94,-4.77,1.0
3.0,2.0,3.0,30.68,11.56,-13.15,56.23,-109.63,59.35,10.14,-60.15,-12.02,-91.32,47.11,7.68,-66.38,204.26,-5.21,-32.72,20.09,-12.23,32.04,82.46,26.46,-90.57,1.0
1.0,2.0,2.0,15.22,99.53,-0.15,29.91,-36.56,93.65,-154.93,61.59,-74.62,63.42,-124.25,-6.9,27.27,-53.64,-7.43,-130.04,-8.03,2.69,30.52,-31.91,-15.05,32.87,1.0
2.0,2.0,3.0,0.33,-97.76,-6.1,22.4,15.71,-51.2,127.76,-97.74,-268.02,0.25,76.67,40.68,-126.09,-35.88,7.19,-42.8,-42.6,9.17,-25.64,-121.4,13.25,-99.61,0.0
1.0,3.0,1.0,-12.16,339.73,-20.09,-56.36,-127.67,-34.34,-87.28,30.93,208.94,154.62,-19.82,17.91,-30.9,36.97,-2.74,-85.82,39.36,25.06,33.79,-97.26,-4.1,1.4,1.0
2.0,3.0,1.0,6.86,59.23,6.06,-80.51,-75.31,56.9,-42.05,-47.23,101.36,7.51,67.44,17.94,69.11,30.67,5.02,24.21,6.15,-51.84,-9.16,1.62,12.79,-26.19,0.0
3.0,3.0,1.0,20.75,-98.87,17.81,95.51,59.86,-0.26,-19.64,-3.48,-29.33,-57.2,159.5,-4.29,90.2,-4.69,-1.86,-67.05,-7.35,33.95,-3.54,-11.29,12.22,118.04,1.0
3.0,2.0,3.0,-7.27,210.67,-6.6,-40.73,-171.71,-48.73,0.9,18.65,-55.65,-21.75,19.35,19.15,-101.11,44.08,-16.7,-41.45,55.62,-10.06,-2.11,-44.65,-15.55,35.95,0.0
3.0,2.0,2.0,-4.95,-24.68,2.68,67.58,13.77,-164.86,-185.68,-25.59,5.97,-132.26,26.92,-3.29,77.65,-85.58,0.9,-17.07,54.7,-42.06,-39.93,-74.66,-13.31,228.01,1.0
2.0,2.0,1.0,-7.83,-105.36,-0.38,-20.79,86.2,-54.47,-195.87,38.46,-33.74,-85.51,15.63,2.75,105.79,0.07,-2.45,-57.8,-41.16,-49.96,55.27,5.45,-5.75,-1.11,0.0
1.0,2.0,2.0,22.19,-198.7,3.94,15.1,-158.25,-3.25,103.32,24.29,76.4,122.03,-57.82,11.48,75.06,-84.53,-13.92,117.24,22.65,42.74,-9.82,-105.11,7.41,-72.01,0.0
1.0,1.0,3.0,-7.64,136.53,4.74,20.41,-79.36,-99.71,-9.19,-28.16,-163.63,-78.2,71.15,-24.67,-47.93,-9.11,28.58,-0.52,0.05,-9.74,59.84,-64.72,36.78,-156.48,0.0
1.0,2.0,2.0,9.75,78.63,6.41,111.67,-34.04,102.66,123.68,21.72,-85.24,-50.02,-90.8,-24.23,-28.08,-200.29,1.75,50.6,24.48,-16.44,-51.5,-13.28,13.57,239.35,1.0
2.0,2.0,2.0,1.19,-46.58,7.45,-41.1,-82.17,-31.77,127.44,-49.48,109.57,9.24,47.82,-3.16,48.28,-2.15,1.39,66.83,14.11,46.21,80.51,-2.52,16.1,105.06,1.0
2.0,2.0,1.0,-8.77,-37.64,3.63,42.35,68.85,-70.93,-38.48,34.61,-48.8,8.36,45.94,-17.15,111.1,6.59,0.2,22.47,11.12,36.01,32.53,36.22,4.71,25.76,0.0
2.0,2.0,0.0,26.44,-67.62,-3.62,-27.16,0.5,24.53,-70.74,-99.33,227.53,51.15,33.75,-6.44,61.3,87.83,0.23,44.98,-14.19,-39.84,37.22,22.58,3.97,-7.31,1.0
1.0,2.0,1.0,-4.87,-119.94,6.86,-45.79,124.53,58.94,100.94,30.79,-77.73,93.97,56.5,14.6,41.97,-175.47,11.55,0.76,-9.63,-13.23,43.22,75.38,17.96,101.94,0.0
2.0,2.0,2.0,10.28,-106.85,24.49,-36.96,-44.8,56.07,-208.88,46.69,-51.29,29.38,43.78,-16.47,-15.09,-14.96,-1.66,22.32,3.91,46.94,28.82,27.89,17.08,4.18,1.0
1.0,1.0,1.0,-11.93,-35.94,6.89,-13.24,76.33,38.36,19.97,26.0,52.31,92.59,3.18,18.62,17.53,-46.55,8.75,10.5,43.04,-1.15,-2.79,21.96,11.87,59.15,0.0
1.0,2.0,1.0,14.98,112.36,12.94,-18.91,-29.46,6.88,106.1,53.39,-37.78,205.37,52.86,8.89,93.88,66.3,-1.65,7.78,-0.28,-27.54,-48.18,-44.75,-4.4,-219.22,0.0
2.0,2.0,2.0,23.35,76.67,-5.34,-21.27,-105.76,162.36,83.06,-72.26,136.75,-118.87,-9.2,-28.26,76.16,45.26,-20.72,-41.17,33.38,-25.72,-30.05,-4.1,-26.17,1.51,1.0
2.0,3.0,3.0,-6.72,91.44,-4.19,-17.47,-48.47,-202.93,-100.16,-9.36,-223.4,99.51,-52.84,-2.78,51.88,-59.77,-7.89,-51.71,-12.67,88.43,3.12,-53.5,12.48,6.13,0.0
2.0,1.0,1.0,-0.95,45.31,-3.79,-15.82,102.22,-74.88,92.71,74.91,-9.82,59.05,49.55,16.74,-123.7,41.76,26.9,-40.75,21.15,-25.99,34.72,15.9,17.98,-24.66,0.0
2.0,3.0,1.0,0.88,-368.37,-6.03,51.82,2.51,118.92,4.94,14.22,153.76,53.2,59.7,-14.93,52.38,26.69,-7.21,-44.21,3.35,14.01,103.64,51.38,-21.6,-10.6,0.0
1.0,2.0,2.0,11.39,210.97,9.03,-26.65,-80.02,37.78,-9.61,-49.94,17.27,54.2,43.05,35.15,41.64,-19.91,4.82,13.9,1.34,-90.48,87.2,-79.22,26.03,21.11,1.0
1.0,1.0,2.0,-18.32,-255.83,1.39,-92.57,89.55,48.53,7.19,-73.59,-116.13,-90.96,-20.6,-12.22,-96.39,-215.93,9.69,6.96,-28.57,22.53,-71.55,120.38,-16.33,192.77,0.0
3.0,3.0,2.0,-2.79,-114.69,-14.31,38.42,-9.09,62.98,-86.09,-118.59,45.67,90.84,-45.7,15.62,-27.31,37.36,0.72,32.95,-9.57,36.61,58.37,102.59,35.5,97.52,0.0
2.0,2.0,1.0,-10.1,83.33,13.99,-43.83,65.73,71.56,-75.09,-99.24,-32.89,-26.31,137.06,5.66,62.44,114.61,-13.58,67.71,30.46,58.81,-9.62,10.17,-19.16,-122.04,1.0
2.0,2.0,1.0,-33.39,-475.54,-4.02,-12.93,89.91,43.05,47.15,38.58,78.86,33.49,-84.44,-1.8,69.41,-60.13,-4.69,-26.42,-23.93,24.37,-2.05,30.79,16.86,61.38,0.0
1.0,3.0,2.0,-30.76,110.22,11.15,-37.83,-97.9,39.71,92.0,23.95,25.32,71.75,-43.83,-25.66,96.49,-0.71,9.99,78.38,-41.97,-30.86,17.82,-18.05,14.25,-90.8,0.0
1.0,1.0,1.0,11.28,-59.66,-5.77,-27.19,20.09,-75.55,110.47,40.6,53.58,-26.13,-108.4,10.24,-4.68,18.64,6.44,-40.16,-19.74,-6.61,-61.47,28.54,-53.25,-94.85,0.0
1.0,1.0,3.0,-3.96,162.05,13.02,-108.11,104.66,-179.32,158.78,-206.49,-395.12,117.08,103.97,-21.93,-161.76,51.44,-5.85,-72.43,40.6,-19.03,119.59,-32.2,25.33,-254.33,0.0
2.0,3.0,2.0,-0.21,206.04,1.97,-60.69,-49.06,59.59,181.08,38.84,5.0,-3.95,-34.81,-13.66,122.52,12.34,6.81,-104.82,-25.73,69.04,61.89,-66.19,19.79,19.38,1.0
1.0,3.0,2.0,-10.46,245.37,0.99,11.03,-15.13,-59.28,-25.9,93.95,-91.99,187.93,103.16,-11.64,-149.6,-141.69,14.21,-33.9,45.94,-26.95,-17.02,-9.16,-17.62,194.97,1.0
2.0,3.0,2.0,8.94,114.97,-8.26,47.03,-16.94,-46.77,-89.2,115.03,-8.97,-145.33,-46.92,15.76,-35.03,101.46,-14.67,-55.96,18.52,-20.48,41.9,40.66,-8.46,-32.23,1.0
3.0,1.0,2.0,13.43,-75.62,16.52,82.28,3.71,74.24,-17.28,-98.43,-24.69,-25.53,-15.19,0.05,-21.81,12.63,-10.93,-20.67,-28.38,-35.93,30.11,1.83,18.23,154.29,1.0
3.0,2.0,1.0,-7.71,-7.3,-10.7,2.85,-34.1,-20.46,-17.26,-5.27,188.72,-51.95,6.64,-1.37,51.89,217.4,16.78,17.39,-15.11,-57.47,-85.15,-2.95,0.44,-50.4,0.0
2.0,3.0,1.0,5.8,202.55,-0.38,24.02,-36.73,-70.58,134.51,-0.53,108.2,18.99,90.08,-10.95,-150.49,18.71,4.14,-9.62,-8.99,-22.53,-64.92,-81.86,34.83,50.14,1.0
2.0,2.0,2.0,-9.91,182.28,-9.13,-4.21,-66.31,28.13,53.51,19.68,-17.81,-1.47,-22.74,51.8,-51.11,47.09,-12.06,-39.33,11.62,-19.81,32.29,61.51,0.89,82.02,1.0
0.0,3.0,2.0,18.94,71.03,-6.05,-11.09,37.23,29.64,-158.18,105.02,-154.12,-105.07,-42.34,-1.4,127.21,-254.07,-11.49,-27.23,22.93,-37.6,27.19,39.89,-3.54,137.39,1.0
2.0,1.0,3.0,0.5,-28.47,1.89,-103.68,-49.74,-6.6,14.66,24.53,-168.93,-105.2,27.62,17.02,104.07,-114.45,-1.87,58.69,14.1,56.26,28.07,28.62,1.53,80.72,1.0
3.0,2.0,3.0,-2.41,-121.09,10.6,-28.4,-153.21,8.62,-170.38,-61.27,-176.81,107.76,-37.27,-36.04,-74.71,-135.71,-5.72,-102.56,9.38,-48.16,11.94,-50.55,1.11,120.56,1.0
3.0,2.0,2.0,17.08,95.49,-11.89,-14.75,-1.82,30.79,-42.62,-48.38,11.19,-47.8,27.17,13.63,-38.45,72.31,-6.07,31.04,37.48,11.51,-38.47,80.61,-34.48,113.68,0.0
3.0,2.0,3.0,0.22,-87.08,0.77,-47.48,-74.08,42.74,141.26,57.31,-107.03,-134.3,94.25,-1.28,55.72,48.51,-12.94,-18.19,-6.34,63.93,-24.22,-39.9,-17.51,-63.46,1.0
2.0,2.0,3.0,30.15,55.56,-5.44,-18.44,1.24,-43.13,11.43,-36.37,-150.68,-74.57,-26.33,-31.26,17.75,-72.44,-14.15,-42.48,4.38,12.46,-47.89,5.09,2.54,101.44,0.0
2.0,2.0,3.0,24.86,100.59,-4.01,-48.44,-56.28,-27.23,139.13,85.01,-102.52,55.1,48.87,16.3,74.02,-42.28,12.34,116.56,-30.22,64.53,-10.4,46.24,5.68,122.13,1.0
3.0,2.0,2.0,-23.72,114.96,2.46,-21.68,-127.58,33.35,-60.52,-4.33,67.17,47.82,33.43,1.0,39.55,-32.72,-0.19,130.21,39.55,-16.62,25.04,-62.24,-58.49,197.17,1.0
