cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,target
3.0,1.0,3.0,55.18,-14.98,-69.46,-182.34,-4.9,60.93,-53.19,93.62,125.94,24.84,37.34,101.92,-38.38,86.42,-53.94,-4.03,1.0
2.0,2.0,1.0,97.21,9.2,-39.73,-25.27,30.96,-87.35,30.12,30.1,89.39,12.03,-42.29,-317.61,13.19,49.74,-36.96,-74.72,0.0
2.0,2.0,2.0,-75.03,124.76,8.23,-58.15,35.78,-70.21,-4.93,18.75,-190.05,90.52,-33.49,363.99,-37.57,19.11,-16.4,106.72,1.0
3.0,1.0,2.0,13.95,125.48,103.66,19.84,4.75,-69.12,17.88,-48.64,-108.72,-10.61,16.74,773.02,-4.17,7.11,116.56,199.53,0.0
1.0,2.0,2.0,47.6,76.22,19.75,-7.42,-18.52,105.31,52.3,74.23,91.42,129.13,12.21,-19.33,50.75,-28.44,120.19,-35.01,0.0
2.0,3.0,3.0,-52.02,-124.22,-15.32,-70.16,-18.56,-28.0,24.38,-22.59,54.0,22.21,0.4,-220.99,1.73,-37.0,35.6,-42.8,1.0
2.0,3.0,1.0,197.52,156.7,60.76,-152.84,-4.68,-22.16,24.79,-15.21,106.05,-8.0,-23.8,-182.78,-54.73,43.79,186.25,-56.97,0.0
2.0,3.0,1.0,71.32,-54.61,80.23,22.76,-6.73,95.8,-64.47,-43.69,-305.87,46.39,10.3,229.52,38.48,38.66,-120.47,45.7,0.0
3.0,2.0,2.0,-80.08,140.18,38.0,-12.86,13.31,-70.01,-7.73,95.2,-128.95,-27.68,-77.48,236.1,-8.36,144.55,-85.41,68.21,1.0
2.0,1.0,1.0,-230.57,-169.39,-8.34,48.05,35.43,445.67,-30.1,-16.81,71.7,15.0,7.84,13.69,-10.79,138.61,-60.67,-40.8,1.0
2.0,2.0,3.0,-71.31,-285.06,-16.27,-117.63,44.94,83.34,-29.35,-7.54,254.64,8.92,31.21,-316.67,-78.01,188.62,107.63,-87.56,1.0
4.0,2.0,3.0,64.38,127.51,87.71,39.59,6.94,34.21,22.98,40.37,88.32,-80.42,25.25,303.31,-7.48,25.06,-31.68,53.56,1.0
3.0,2.0,3.0,15.59,-150.82,6.2,-68.61,52.02,-75.13,5.67,81.51,139.24,-19.82,1.98,-178.79,18.35,80.43,2.04,-46.03,0.0
3.0,2.0,2.0,13.58,46.85,39.28,-106.28,-1.24,-167.07,40.24,28.14,38.72,-23.21,-14.21,174.9,-67.35,-32.36,56.65,60.65,1.0
3.0,4.0,2.0,106.07,432.63,-14.42,135.41,-7.06,226.84,-46.98,-29.68,319.03,-73.27,-43.47,-499.11,-34.35,198.53,33.37,-161.47,0.0
2.0,1.0,3.0,-45.6,-84.43,145.47,28.1,9.2,-101.54,104.31,-168.18,122.21,-18.15,0.17,240.59,-32.89,-28.35,-141.98,91.51,0.0
2.0,3.0,2.0,181.05,105.52,6.67,-30.75,3.16,203.76,-49.22,47.17,442.05,25.36,34.47,-420.4,12.45,126.58,-129.94,-161.46,0.0
2.0,2.0,2.0,207.92,34.97,2.71,35.81,-4.01,17.23,-58.21,36.9,150.07,-54.76,-5.08,-240.49,-10.71,65.36,74.99,-84.82,0.0
2.0,2.0,1.0,-169.65,46.37,41.5,162.38,-7.01,-196.23,6.37,96.53,-111.27,-78.38,-81.44,146.6,44.42,-15.28,-4.35,72.06,1.0
2.0,3.0,2.0,118.44,-141.9,30.19,43.45,12.25,54.7,-136.09,-51.8,-279.22,23.25,40.49,94.69,8.0,-37.28,219.78,14.68,0.0
3.0,1.0,2.0,61.25,170.33,15.37,-58.89,22.27,47.71,-17.81,107.33,-217.02,-89.08,-46.18,436.44,-36.5,-100.4,147.93,86.4,1.0
2.0,2.0,3.0,25.65,-44.92,122.24,-87.69,32.15,-48.75,8.27,-94.89,-98.44,-30.6,37.53,425.5,-71.69,-39.45,50.02,116.76,0.0
2.0,1.0,2.0,221.0,44.98,6.48,194.54,4.65,-255.85,1.82,54.34,-169.8,31.94,-5.84,454.11,46.69,24.04,25.02,123.6,0.0
2.0,2.0,2.0,78.98,-153.02,-154.78,-0.19,-30.75,-111.31,-101.66,56.74,159.98,59.97,51.89,-247.18,69.45,-41.38,33.4,-61.27,1.0
3.0,3.0,1.0,-101.15,-284.63,32.17,-139.85,17.95,-112.59,18.88,-52.97,145.88,-78.98,-1.58,-408.77,9.81,-53.59,-5.12,-70.14,1.0
2.0,1.0,1.0,-23.92,19.49,-39.18,-117.82,-16.93,-78.2,7.94,17.44,-214.73,-15.6,-57.33,187.58,2.52,105.04,-95.34,63.54,1.0
3.0,3.0,2.0,46.38,107.85,117.89,-65.11,-5.71,49.46,-18.27,29.98,-79.94,18.97,-10.73,212.55,77.92,-182.15,-33.3,37.64,0.0
2.0,2.0,3.0,44.32,134.24,77.66,26.97,-19.92,5.65,5.33,89.75,-84.97,49.35,21.22,557.62,-5.4,88.89,241.71,118.27,1.0
0.0,2.0,4.0,57.74,-44.6,-29.97,25.07,-20.89,-83.94,-1.64,-30.93,136.34,46.09,-28.63,-395.78,-22.45,7.07,109.7,-85.13,1.0
2.0,3.0,3.0,-17.41,21.34,0.04,47.29,37.36,34.08,-4.82,9.38,17.95,50.49,-19.68,-173.52,112.95,-104.45,37.48,-45.3,1.0
1.0,3.0,1.0,-37.65,164.7,84.99,-204.07,-37.08,224.4,-37.26,-16.94,110.19,70.15,-57.31,-188.97,10.64,171.32,-86.72,-72.15,0.0
3.0,2.0,2.0,-16.81,44.22,12.04,6.47,2.13,-62.91,-3.41,21.64,2.97,-8.42,-46.23,-29.47,-26.67,21.33,99.29,2.88,1.0
3.0,1.0,1.0,-162.2,-225.45,-140.72,-114.81,-11.58,291.15,-0.53,55.94,15.89,32.98,48.24,43.7,3.08,37.15,-43.97,-25.61,1.0
1.0,1.0,2.0,39.54,178.53,25.58,72.02,-31.02,128.96,-21.03,101.96,-175.76,-84.76,-48.93,447.58,44.18,-68.88,28.73,79.08,0.0
2.0,1.0,2.0,61.73,112.49,13.11,15.72,31.03,-47.6,-34.17,-54.44,-1.78,48.19,-14.71,252.6,49.81,-78.35,-52.48,68.8,0.0
2.0,1.0,2.0,-152.59,-9.56,-96.77,-52.3,51.46,245.8,-16.19,74.82,54.79,20.21,5.55,31.84,-14.74,97.94,111.12,-24.03,1.0
2.0,3.0,3.0,121.44,44.07,90.44,-156.52,75.31,30.61,-37.35,-10.41,57.11,25.95,-23.33,-109.09,15.26,161.23,62.21,-40.27,0.0
2.0,2.0,3.0,43.81,101.32,55.63,30.96,-9.23,-17.77,-24.41,-86.4,-80.41,-27.22,10.34,240.66,14.8,-85.11,62.25,67.21,0.0
2.0,2.0,3.0,44.05,241.49,-1.12,-31.12,17.71,97.22,-85.33,3.38,5.08,33.33,-36.28,36.03,-60.42,9.17,305.67,-7.68,0.0
2.0,2.0,3.0,14.58,7.27,47.92,26.92,-20.77,95.73,-2.37,-83.97,-19.31,-99.12,2.12,-8.27,-50.8,-61.5,79.95,-7.09,0.0
2.0,3.0,3.0,18.54,34.09,7.63,63.32,49.36,186.77,-19.83,-30.61,15.37,-77.89,-43.8,-349.23,-93.23,204.68,25.77,-106.23,0.0
3.0,3.0,2.0,-19.37,96.77,-81.23,-79.41,9.84,-10.3,79.76,37.53,318.58,94.65,-11.06,-422.31,49.08,-51.12,46.45,-107.75,0.0
3.0,1.0,1.0,-86.17,79.26,133.93,177.15,13.86,74.86,-32.28,-12.92,166.67,-55.98,-70.54,78.49,10.2,-102.1,-9.0,15.54,0.0
2.0,3.0,3.0,86.49,261.62,-1.16,-18.15,11.47,156.96,104.33,50.6,114.5,-30.68,-35.67,-295.37,-90.99,54.46,-71.09,-106.72,0.0
2.0,2.0,2.0,17.14,10.3,-153.11,45.18,-29.97,14.02,-33.57,85.41,-70.61,17.62,32.69,97.27,-33.53,110.68,-84.57,10.91,1.0
2.0,1.0,3.0,-4.67,-30.19,-1.35,-75.4,-38.3,32.96,-49.68,-157.11,166.23,49.84,-32.24,-238.95,40.17,40.03,-200.86,-45.11,0.0
1.0,1.0,4.0,-16.51,241.97,63.91,193.19,-33.74,-48.15,69.99,36.2,-71.36,55.43,-48.2,454.14,57.59,23.43,82.78,115.79,1.0
1.0,1.0,3.0,-88.19,352.03,147.75,38.99,0.07,-11.88,62.38,149.77,-183.73,16.07,-33.1,931.79,-86.11,-93.33,24.11,218.55,1.0
0.0,3.0,2.0,8.65,228.18,201.59,40.1,-26.8,304.32,-23.74,-36.51,157.5,-12.48,-10.26,19.52,47.13,59.7,204.73,-39.54,0.0
2.0,2.0,2.0,46.63,-83.21,150.15,16.96,-34.09,15.78,-72.84,-64.86,-409.33,162.56,62.12,734.3,8.32,-71.04,47.1,181.34,0.0
3.0,2.0,2.0,-126.67,17.57,85.63,-82.76,-31.38,200.98,-42.47,-218.54,99.18,-24.47,-24.68,-147.49,-4.77,-41.91,-1.52,-29.22,0.0
2.0,3.0,2.0,82.8,202.96,117.14,40.64,12.12,180.45,22.31,-57.2,189.61,-23.9,-21.72,-154.24,78.05,-1.71,-75.68,-66.75,0.0
1.0,1.0,2.0,4.98,121.55,-132.53,26.92,6.95,99.03,-32.98,-67.47,-370.03,-28.83,-106.4,57.76,47.29,34.08,31.2,21.18,1.0
3.0,3.0,1.0,-161.35,-250.55,-10.6,52.98,9.04,166.06,-5.21,8.26,230.97,43.98,34.54,-367.92,109.54,22.3,-84.74,-105.42,1.0
2.0,3.0,3.0,62.93,298.49,144.23,-31.85,-20.83,115.53,34.7,-57.83,286.47,2.7,45.72,112.86,-51.31,161.2,28.21,2.56,0.0
3.0,1.0,2.0,85.77,97.93,-5.8,-89.92,2.72,52.13,57.22,36.93,-185.99,-23.88,-16.64,391.12,-1.34,-244.75,-6.22,79.14,0.0
3.0,2.0,2.0,10.98,-71.29,-44.17,101.52,11.78,13.63,68.69,42.03,16.59,48.24,25.59,62.06,16.07,-33.39,-243.54,5.72,1.0
2.0,2.0,3.0,46.0,226.19,160.57,-61.95,5.86,-37.04,13.4,86.22,-12.73,90.48,87.71,968.71,-15.75,-4.16,-21.34,217.4,1.0
2.0,2.0,3.0,-115.01,-279.32,-42.57,84.1,20.3,-227.19,-30.96,2.0,-76.29,-37.96,-16.02,-185.07,-9.38,17.89,-15.16,0.39,1.0
2.0,3.0,1.0,37.54,71.16,14.77,-63.06,-13.2,8.63,11.24,7.35,149.27,-35.36,-25.4,-267.38,0.09,-304.76,130.89,-71.16,0.0
2.0,2.0,2.0,-30.62,10.81,41.19,60.04,-9.16,-57.93,-22.46,14.96,16.16,-105.46,5.96,132.53,-3.19,-65.85,-159.67,39.79,1.0
2.0,2.0,3.0,50.34,23.46,-36.4,-20.4,51.82,125.3,-51.27,-77.77,-68.15,-45.64,-10.54,-23.33,-61.04,-298.61,225.17,-16.39,0.0
3.0,1.0,2.0,-13.2,39.72,68.0,40.39,10.89,-32.89,-18.82,-84.24,151.5,55.22,-55.75,51.23,7.48,23.74,47.78,26.63,0.0
1.0,2.0,3.0,110.99,44.83,-76.04,114.8,8.33,77.32,52.51,-14.47,-38.59,12.25,-31.97,-152.75,-2.68,-65.3,-109.39,-52.28,0.0
3.0,3.0,2.0,-24.44,120.98,210.3,129.39,-14.09,310.63,10.84,-151.39,272.25,23.71,-35.68,-222.11,92.51,20.43,21.58,-83.31,0.0
2.0,2.0,2.0,-121.98,71.81,83.9,-39.38,-15.58,-182.18,-31.68,76.37,-107.43,43.41,-26.51,522.4,-34.54,-34.56,7.12,155.0,0.0
1.0,2.0,2.0,-173.32,79.26,95.16,-16.5,-1.79,-217.2,-45.62,76.99,-65.01,-47.53,-35.25,429.82,-21.74,-11.69,-234.63,141.62,1.0
2.0,4.0,1.0,-114.45,-108.3,-192.46,-117.53,-24.43,-93.39,27.32,-1.93,29.52,-91.57,15.87,-604.65,8.65,36.63,77.78,-120.88,1.0
2.0,2.0,4.0,-2.7,69.31,-111.26,-86.25,-7.58,185.61,-13.86,196.17,-95.9,-23.75,-48.68,-200.96,39.5,-9.35,54.6,-91.82,0.0
3.0,1.0,2.0,138.83,-8.65,193.52,63.94,-26.93,-149.38,14.6,107.02,-487.03,105.37,43.24,1154.55,17.16,-76.84,-98.68,279.5,0.0
2.0,3.0,3.0,17.56,-40.21,-40.51,-0.43,13.28,-13.3,-45.76,149.05,-5.97,-50.92,-14.86,-146.02,71.34,89.21,189.36,-50.7,0.0
2.0,2.0,2.0,17.5,0.42,34.53,-43.82,37.05,-145.14,-41.3,21.19,27.52,44.65,-16.2,-26.56,9.09,17.85,-165.64,10.32,1.0
2.0,3.0,2.0,-61.05,-142.79,14.59,-82.98,0.2,205.13,-56.19,-87.47,207.41,-0.61,-75.39,-765.33,-79.47,148.28,9.01,-197.56,0.0
2.0,1.0,3.0,-41.91,82.27,-78.7,-84.43,45.02,-42.22,-104.56,55.56,-59.63,17.19,-31.13,121.07,74.81,-55.75,-182.08,35.34,1.0
3.0,2.0,3.0,39.47,87.38,16.44,18.93,12.07,81.2,41.51,-4.94,97.64,-39.81,-23.64,-149.09,-33.22,-166.83,210.58,-51.01,0.0
2.0,2.0,1.0,125.49,220.48,19.57,-0.16,4.36,113.05,12.98,3.38,-129.33,37.45,41.02,527.34,70.39,-33.76,50.27,99.44,1.0
2.0,3.0,3.0,-70.12,-286.27,-27.45,86.35,-11.62,-79.7,25.81,-42.58,86.98,-1.82,20.78,-361.29,-5.32,101.89,-46.22,-66.68,1.0
1.0,2.0,1.0,-133.72,84.65,133.71,-53.0,6.54,-202.85,-39.06,148.88,-37.77,7.43,-24.12,533.81,-139.61,74.83,-109.77,151.22,1.0
2.0,2.0,2.0,-122.26,15.85,33.42,19.25,23.3,151.7,52.75,-25.19,-25.9,-30.33,-31.82,-1.12,-0.59,-185.18,-3.77,-6.78,1.0
3.0,2.0,2.0,-70.14,10.44,-6.22,96.39,40.43,-48.85,40.41,-6.75,-71.93,1.58,-34.14,7.5,-49.59,213.06,17.38,18.73,1.0
3.0,1.0,2.0,-85.78,55.34,125.61,132.84,-14.19,86.94,78.34,-69.5,80.67,-43.14,-47.35,239.58,54.77,-167.63,69.48,59.63,0.0
2.0,2.0,2.0,20.14,-187.33,59.3,-141.74,12.3,-103.88,-79.29,-29.8,70.28,29.61,4.11,-71.67,41.24,-27.89,-0.52,-2.79,1.0
4.0,2.0,2.0,-69.54,-23.08,37.3,19.85,-25.32,2.96,18.29,93.21,-163.91,-30.24,-34.49,105.68,11.04,-33.59,37.11,24.72,0.0
1.0,2.0,2.0,-3.91,-236.3,85.71,-69.03,-24.45,-102.57,-36.36,-71.28,31.96,79.3,-12.36,-34.74,33.18,-94.1,73.12,14.08,1.0
3.0,1.0,2.0,0.75,282.22,100.12,68.97,43.43,-80.18,-31.94,137.45,-147.37,-84.36,-61.22,739.48,-87.08,36.57,-19.69,177.13,1.0
2.0,3.0,2.0,90.1,197.72,-63.49,46.53,-1.3,109.22,7.77,126.81,88.84,43.35,-12.14,-201.43,90.83,-23.6,74.67,-86.84,0.0
1.0,2.0,2.0,-17.51,-212.89,-11.5,-108.52,23.69,33.17,23.27,7.28,246.51,84.37,26.15,-242.95,-2.2,-23.06,-171.8,-68.7,1.0
2.0,3.0,2.0,6.4,182.2,-58.04,194.68,32.5,263.15,92.61,177.23,-45.22,17.17,-69.88,-285.28,23.22,69.11,-59.53,-121.98,0.0
2.0,3.0,1.0,3.93,174.83,-40.38,90.38,-4.2,135.59,-26.52,53.39,221.37,27.58,-10.67,-278.16,16.55,69.81,23.29,-96.16,0.0
1.0,2.0,3.0,-44.13,-94.55,-73.34,27.2,53.27,69.94,12.79,12.37,79.52,84.7,25.38,-204.34,10.44,20.02,56.74,-58.84,1.0
4.0,2.0,3.0,-75.14,138.46,162.51,64.24,-55.77,83.46,-25.13,-14.68,93.94,-1.69,-79.21,91.13,92.98,-132.77,42.65,18.43,0.0
2.0,1.0,1.0,-0.49,189.81,-61.5,-53.41,-2.72,133.32,-20.61,130.88,32.49,4.38,-0.79,274.26,26.23,-67.62,1.48,31.0,1.0
2.0,2.0,2.0,12.44,-96.11,10.77,-163.74,61.83,143.04,54.88,48.84,122.21,42.79,56.44,17.18,61.62,-138.23,-108.21,-28.53,1.0
1.0,3.0,2.0,-105.75,-80.34,-3.03,83.18,19.51,-84.44,-40.08,43.34,-125.36,-19.49,-7.78,48.43,41.08,-46.63,95.71,30.62,1.0
2.0,3.0,1.0,7.99,95.8,83.72,4.51,26.38,169.97,0.75,-40.83,208.87,-6.33,-13.01,-155.02,39.88,-71.46,-38.57,-61.65,0.0
1.0,1.0,2.0,37.28,-117.42,176.97,-161.89,40.35,-36.14,-5.08,47.12,-275.86,22.59,-5.91,680.88,-71.29,62.37,-26.63,163.74,0.0
2.0,3.0,1.0,-100.49,226.16,123.06,-56.03,-28.04,209.73,-37.03,17.61,-84.61,10.5,-53.22,136.34,-4.9,-120.59,87.6,12.65,0.0
2.0,3.0,2.0,80.06,64.75,28.82,47.45,43.3,8.17,-84.05,40.47,122.08,-94.53,-30.26,-262.88,23.18,66.97,-41.0,-76.79,0.0
1.0,1.0,1.0,24.47,-9.0,144.88,5.11,12.18,-199.3,-47.21,-105.49,45.17,56.81,-3.86,316.32,12.36,49.2,-92.43,112.18,0.0
2.0,2.0,1.0,-19.83,114.25,100.25,211.61,25.57,-143.34,-50.43,55.87,64.75,46.0,6.3,381.12,-87.71,106.4,-23.21,104.1,1.0
1.0,2.0,1.0,-78.53,-216.05,-81.59,2.35,39.65,-178.87,-18.55,-28.93,-168.93,67.37,-13.52,-122.29,1.73,40.82,65.99,11.22,1.0
2.0,2.0,3.0,-75.41,-116.65,-162.62,-8.22,48.79,150.04,-16.33,84.37,61.57,0.83,50.61,-69.69,-44.01,142.21,-151.89,-44.07,1.0
2.0,2.0,2.0,-26.49,-107.25,-31.55,2.21,14.68,143.28,28.57,56.29,208.42,-56.06,41.27,-108.08,1.23,5.98,75.58,-56.87,1.0
2.0,1.0,3.0,-1.96,-143.07,152.06,-19.91,35.61,0.18,40.35,-21.53,-173.78,13.4,15.09,546.51,-69.36,-29.18,-277.74,134.82,0.0
3.0,3.0,1.0,107.84,50.29,-111.7,-158.0,25.84,61.72,-90.84,47.26,250.56,91.8,-63.19,-720.1,-45.58,101.34,-96.32,-196.85,0.0
1.0,2.0,1.0,17.65,184.83,12.33,-204.7,-9.1,102.44,-8.13,-32.02,60.68,52.05,-45.84,-88.08,-9.72,-18.54,-204.87,-32.55,0.0
3.0,3.0,3.0,122.91,103.95,142.67,140.84,-37.21,17.79,-0.82,-47.6,229.26,-92.9,16.54,-48.16,-30.78,-115.44,-61.96,-25.68,0.0
1.0,3.0,2.0,-37.11,32.1,71.3,55.45,6.94,58.0,-8.79,38.65,-20.41,-17.75,-38.33,-31.82,47.86,105.99,-157.19,-15.48,0.0
2.0,2.0,1.0,27.92,66.53,-21.65,49.15,43.84,-38.57,10.09,88.06,-217.79,-94.04,-47.24,235.24,37.35,-103.17,13.93,56.1,1.0
2.0,1.0,2.0,34.25,32.29,68.72,-21.35,-0.21,56.42,30.79,90.33,-206.96,-20.77,-20.83,571.17,-33.29,109.46,-4.4,119.66,0.0
1.0,3.0,3.0,19.91,191.43,12.55,-42.43,33.22,143.25,-14.36,33.92,-36.07,19.81,-44.38,-89.9,-107.79,26.19,-53.56,-44.62,0.0
2.0,1.0,3.0,-86.83,-81.14,4.42,21.35,20.61,311.36,22.44,9.19,170.97,-78.2,8.19,2.15,4.09,30.79,219.89,-41.86,1.0
2.0,3.0,3.0,-87.65,-59.0,77.65,-44.58,16.49,64.93,-27.16,110.7,71.12,26.85,-9.73,-41.26,-9.28,-69.89,-63.19,-26.28,0.0
2.0,3.0,2.0,-60.41,-41.29,139.11,50.23,-62.06,-116.55,88.43,46.92,318.26,-58.26,31.4,-63.19,-19.98,104.77,-120.51,-8.25,1.0
3.0,2.0,2.0,-93.52,-151.39,-100.82,-72.67,24.39,60.65,14.39,49.32,7.7,-31.0,26.85,-27.73,-68.06,-24.33,152.45,-13.87,1.0
1.0,2.0,1.0,-148.98,228.5,113.52,-11.67,0.23,-77.63,-10.01,57.42,-108.68,-61.03,-35.21,635.86,-0.97,41.06,89.18,171.95,1.0
3.0,3.0,2.0,-89.35,61.37,94.53,-1.95,53.57,60.52,20.6,77.65,-187.56,-33.92,-25.73,285.33,21.32,-42.34,135.24,62.58,0.0
2.0,2.0,3.0,-65.81,241.72,142.39,90.91,-22.04,-98.88,-61.26,162.37,-136.7,27.3,-8.03,859.69,2.68,-63.66,83.15,208.17,1.0
2.0,2.0,2.0,-139.38,220.38,163.72,53.23,3.89,-119.26,30.29,149.28,-73.06,-100.61,-5.88,758.58,-76.38,15.16,40.58,193.1,1.0
0.0,3.0,3.0,-107.89,-64.98,41.43,87.7,-5.3,-172.52,67.14,101.11,-68.47,2.78,-7.07,137.4,68.19,70.69,27.18,56.24,1.0
4.0,2.0,3.0,6.25,-73.43,-37.3,-12.93,42.13,-31.33,100.44,38.53,108.24,64.11,13.53,-92.46,8.5,101.84,-18.82,-25.38,1.0
2.0,2.0,4.0,-21.0,29.69,84.48,19.94,-13.54,7.99,-32.06,-134.14,90.58,-58.48,-37.62,-74.09,-85.43,-10.85,78.63,-2.21,0.0
2.0,2.0,1.0,-134.75,63.86,137.18,-31.75,-36.06,-96.51,-59.41,139.8,-123.65,-27.76,36.03,736.12,64.34,-172.35,-10.46,184.47,1.0
3.0,2.0,2.0,-76.98,-2.18,40.04,94.23,-7.42,135.39,-13.65,9.19,-145.87,-43.59,-6.05,273.0,1.38,59.81,-85.39,54.41,1.0
2.0,1.0,2.0,10.42,-46.42,-115.55,29.3,-16.09,96.12,28.02,114.54,276.02,-99.21,45.46,-139.48,-5.98,7.47,31.07,-68.59,1.0
2.0,3.0,1.0,200.4,241.13,-43.9,14.17,17.58,213.64,-79.1,104.26,112.5,35.01,-36.72,-370.1,17.63,-111.74,-46.64,-148.18,0.0
4.0,2.0,2.0,-14.65,45.84,-13.87,-34.54,2.47,89.91,26.8,72.62,201.67,-59.58,-3.84,-20.86,-16.33,-64.23,1.35,-29.16,1.0
2.0,2.0,2.0,150.02,141.52,63.22,155.33,9.11,-74.02,-39.97,-0.81,-305.39,27.05,61.5,623.8,-10.38,47.09,93.34,150.09,0.0
2.0,1.0,4.0,208.44,144.83,-6.96,-129.85,63.3,-84.77,-27.62,130.91,-357.66,37.53,21.24,728.46,4.58,-31.13,-35.55,159.75,0.0
3.0,2.0,1.0,-65.55,247.13,118.42,33.74,-2.68,-20.33,-108.32,120.72,-167.06,15.11,3.8,808.66,61.67,-213.72,-14.2,189.93,1.0
2.0,1.0,2.0,-31.37,-37.69,-25.53,45.67,-2.69,242.38,63.24,50.26,-56.17,39.59,29.64,331.62,42.92,-0.38,-66.94,41.25,1.0
2.0,1.0,2.0,29.54,-10.17,-19.4,-111.47,-6.0,66.81,49.16,48.62,-134.21,18.18,21.21,374.09,20.27,51.98,-55.5,73.54,1.0
2.0,2.0,2.0,-10.96,34.78,17.09,6.43,-34.96,191.97,-6.34,-24.65,109.62,0.01,-34.68,-223.3,-61.81,-112.74,11.04,-77.72,0.0
2.0,2.0,1.0,75.15,-83.56,10.58,0.76,-19.81,176.69,25.21,-12.37,-268.52,19.18,3.82,106.77,-114.27,67.31,106.44,0.87,0.0
2.0,2.0,2.0,-61.42,-160.08,62.2,85.67,10.43,-74.52,-68.25,-40.43,16.26,-2.89,-16.85,-93.14,-22.46,154.14,50.72,-1.76,1.0
2.0,3.0,2.0,-94.33,-193.66,-84.77,45.6,40.54,-24.66,63.88,-8.76,238.76,50.05,16.15,-580.58,-39.15,-81.98,130.77,-131.33,1.0
2.0,2.0,3.0,19.51,2.57,51.57,144.37,-55.95,-128.47,-34.23,-91.6,242.8,38.87,-15.49,-254.54,9.45,26.51,98.81,-38.29,0.0
3.0,2.0,3.0,-155.71,-320.5,-33.83,53.98,-49.28,95.66,-37.7,-19.68,49.44,18.11,22.57,-146.39,38.6,-50.44,105.96,-35.13,1.0
0.0,2.0,3.0,-42.33,62.99,29.13,-109.84,33.55,146.26,46.38,-66.14,203.81,-115.09,-80.19,-432.36,83.1,124.7,-10.68,-113.54,0.0
1.0,2.0,2.0,5.14,174.87,4.36,-23.44,20.06,45.79,48.93,-114.23,117.43,6.99,-17.85,-39.17,-12.68,112.12,79.73,-4.65,0.0
2.0,2.0,3.0,49.51,67.09,-165.93,-114.16,18.5,-47.11,25.97,89.79,11.09,-28.36,35.2,-81.25,-43.59,131.65,40.63,-27.95,1.0
2.0,3.0,1.0,-102.07,-118.22,157.57,99.7,-6.97,-29.43,28.09,11.03,79.94,19.97,1.1,89.49,65.37,27.2,-201.11,29.89,0.0
3.0,2.0,2.0,-86.74,109.6,114.46,-83.39,-43.16,-94.25,25.33,71.75,-34.11,62.46,12.48,564.45,-34.45,-21.96,117.62,146.4,1.0
2.0,1.0,2.0,-61.26,-295.39,-72.18,28.19,-24.16,180.23,-81.84,21.51,295.03,-44.37,55.59,-274.18,-113.55,-128.74,255.13,-97.13,1.0
3.0,2.0,2.0,-70.69,0.45,19.99,28.81,5.94,-108.71,56.38,-39.8,-42.66,0.83,-1.51,206.42,2.0,5.64,63.16,76.23,1.0
2.0,2.0,2.0,17.51,203.53,-74.46,87.74,-5.92,64.07,38.29,106.91,48.34,-29.98,3.05,58.55,-15.49,-28.76,-158.85,-9.67,1.0
