cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,num_24,num_25,target
2.0,2.0,2.0,31.03,-0.65,-97.62,0.37,-27.66,-35.51,-8.54,59.96,2.36,29.75,133.44,-77.09,-12.04,-6.05,-110.71,-52.14,-31.7,-54.38,0.91,-113.33,-23.8,-57.6,-27.9,4.36,-6.69,-12.85,0.0
3.0,2.0,3.0,265.31,0.38,-57.27,-0.1,21.34,-53.75,69.52,168.86,0.74,57.83,152.59,42.68,20.71,-32.32,299.33,-53.94,-101.2,11.34,-0.69,-232.0,45.23,-27.24,77.19,35.02,44.7,-0.49,0.0
1.0,2.0,2.0,114.9,1.51,-4.8,-1.35,-1.96,-106.77,10.07,100.81,6.4,-10.49,85.38,-8.08,-25.36,-54.85,-206.41,-8.7,23.7,84.55,-0.51,6.06,-2.34,-75.36,11.63,-25.39,-51.78,-12.26,1.0
2.0,1.0,1.0,-43.69,-1.52,-52.5,-1.39,-7.73,-24.82,67.98,216.82,-2.07,99.62,-53.64,19.44,-0.9,71.35,-16.79,36.58,-202.07,95.35,-1.22,-97.34,23.09,-78.7,-147.51,-36.22,54.23,10.04,1.0
2.0,2.0,1.0,40.37,-2.12,-9.85,-5.95,-22.99,-37.83,40.98,132.54,-13.27,28.29,18.36,-43.11,-2.41,-17.63,-145.42,-65.46,40.52,19.18,-0.34,-89.57,33.5,-72.26,88.7,20.03,-57.16,-5.79,1.0
1.0,2.0,2.0,-60.4,-0.91,-98.72,-1.69,0.76,38.26,113.21,-55.49,-3.15,-6.74,-3.42,-28.09,-6.42,11.59,-92.12,-33.51,-91.5,76.7,-1.07,-63.58,16.24,-1.18,215.66,-70.72,-36.01,4.38,1.0
1.0,2.0,1.0,-30.46,6.2,49.87,-6.28,-11.52,-28.6,120.15,-129.74,2.16,-48.55,130.26,5.43,-11.26,-56.77,-93.34,106.25,109.93,88.7,1.92,-125.52,2.04,-75.78,92.35,19.7,-103.36,8.95,1.0
1.0,1.0,2.0,-81.75,4.76,25.38,7.38,23.69,-7.7,85.05,53.57,-23.29,42.03,-384.42,90.91,4.62,237.72,-180.5,-31.08,-776.71,431.86,1.36,-161.33,-46.66,69.62,55.7,1.05,-31.6,2.04,0.0
1.0,1.0,1.0,11.96,10.94,-0.95,-7.57,8.65,3.16,-124.95,-113.65,-0.81,-1.73,233.06,-28.11,11.27,-105.89,40.79,-90.37,216.21,-72.76,-0.28,-245.4,25.37,-5.69,20.61,-66.06,-95.09,5.55,0.0
2.0,1.0,2.0,-61.97,-1.68,74.52,-3.35,4.75,71.6,55.29,-41.47,0.84,-28.1,28.36,108.36,-11.06,95.75,22.94,-28.23,-104.45,-58.83,-2.61,-57.78,36.07,-37.55,-0.4,-52.18,60.67,-11.65,1.0
2.0,1.0,1.0,-50.9,5.7,-2.25,1.98,5.5,-9.09,-1.9,18.88,4.97,119.14,39.37,6.16,-31.06,4.47,-258.7,42.76,-44.09,-37.68,-0.32,87.62,-10.99,-20.78,-0.47,-42.47,-6.76,-9.34,0.0
2.0,2.0,2.0,65.43,3.67,56.29,-3.98,-6.5,-60.94,119.71,42.84,-3.96,-26.3,415.48,51.49,-7.03,-156.35,81.81,180.34,248.03,-165.96,-2.38,-209.57,23.63,-42.71,93.22,-34.73,-167.57,-1.84,0.0
3.0,1.0,1.0,-4.11,-4.72,-8.24,1.4,7.07,-29.96,-46.6,-41.51,3.1,38.18,188.45,-30.72,-5.18,-65.06,23.36,-100.58,99.52,-205.13,1.64,-17.94,19.99,50.35,-34.2,26.71,-43.68,9.27,0.0
1.0,2.0,1.0,-59.81,0.28,16.81,1.17,10.88,-8.15,10.64,170.85,2.31,75.95,-262.89,58.25,3.86,164.37,-119.14,-155.24,-439.35,275.17,2.63,-109.25,-16.57,-108.94,56.35,4.74,99.97,-6.75,0.0
1.0,1.0,2.0,-78.49,-2.6,-22.06,-4.2,-6.78,37.31,-52.05,-117.63,6.84,-16.4,-19.22,-57.77,-1.86,-41.34,178.24,-192.37,216.09,92.04,1.48,149.32,22.45,-189.93,68.81,33.23,-66.06,-2.0,1.0
1.0,1.0,1.0,-88.56,6.09,20.84,3.12,-23.68,-45.16,156.49,134.15,-6.52,16.83,2.37,6.63,-16.59,106.8,-109.62,24.56,-340.34,276.31,0.21,-213.76,-101.27,26.98,-25.38,-31.79,104.1,-6.49,0.0
1.0,1.0,2.0,43.39,-5.08,16.83,-1.92,-1.86,-11.58,12.71,-57.94,-0.01,70.38,-141.33,-39.4,26.51,44.6,13.58,-13.79,-30.23,-166.77,-0.6,-0.86,68.01,67.35,2.49,-80.12,7.85,-7.94,0.0
2.0,3.0,1.0,25.93,-13.84,-13.24,-1.89,-12.1,90.77,45.92,88.18,-14.45,26.27,-6.17,13.97,12.78,-24.98,-75.95,-28.45,116.68,-128.0,-1.22,-30.12,1.77,-2.3,13.95,-15.86,-168.83,-1.78,0.0
2.0,2.0,2.0,-15.62,-0.17,41.63,4.19,-19.46,-109.81,112.22,-9.9,3.68,29.15,-89.87,58.5,-14.98,93.55,20.75,-203.85,-247.87,189.0,-4.26,40.11,-36.71,-96.41,54.51,-6.77,-17.69,1.15,0.0
2.0,1.0,3.0,91.93,0.31,-5.73,-1.08,2.35,-71.6,-72.36,5.15,-0.67,-9.22,48.14,7.6,-8.48,-28.17,-249.7,-14.47,-27.75,-71.79,3.14,-65.36,19.9,-21.31,100.68,38.56,51.89,-2.98,0.0
1.0,2.0,1.0,80.49,3.99,-47.34,-7.84,-4.77,-28.2,-137.05,-61.93,-14.78,30.36,205.2,-60.89,14.15,-85.29,264.15,-91.14,188.81,-11.58,0.85,-183.6,61.52,-28.86,66.64,7.36,-135.83,-4.64,0.0
2.0,1.0,2.0,-75.82,1.15,71.88,-0.51,13.81,-23.33,-114.25,-94.64,3.82,-21.93,33.43,-39.21,-18.11,-51.65,-194.8,157.06,-41.97,151.06,-1.61,-17.53,-2.7,26.44,-3.44,-21.9,244.69,6.09,1.0
1.0,2.0,2.0,56.07,-2.06,84.22,-10.98,-11.28,79.3,-5.43,-0.62,6.36,67.42,255.6,-78.53,-24.09,-101.64,117.67,-9.47,538.75,35.46,-1.5,40.54,-41.78,-79.32,-0.1,13.69,-100.54,-8.76,1.0
2.0,2.0,1.0,49.47,1.63,17.26,4.47,11.39,-31.07,77.93,46.91,3.37,52.21,296.03,17.79,-21.44,-3.63,79.27,-99.05,-89.48,-232.03,0.08,-87.45,16.67,-96.86,14.43,-18.52,93.27,3.58,0.0
1.0,2.0,2.0,-12.2,-4.05,107.98,3.42,-14.34,-42.57,54.26,-85.35,-8.43,-22.52,-151.96,7.97,-15.03,83.04,-230.81,-61.25,-369.09,151.0,0.01,5.8,21.96,191.82,-9.82,25.15,-91.05,-13.44,1.0
2.0,1.0,2.0,61.84,3.44,42.51,-1.58,9.88,-53.67,115.56,95.64,0.83,-51.72,-51.87,-1.23,-17.03,29.61,-222.38,20.51,-185.32,185.46,1.74,-60.08,7.9,-116.09,-62.52,-11.72,-45.66,-9.41,1.0
2.0,1.0,2.0,-53.85,-0.25,-49.28,-4.83,9.78,69.52,-84.03,-29.16,-3.53,61.85,224.31,13.07,-17.94,-134.48,-348.8,-94.05,485.37,-362.86,-1.53,55.44,-28.07,-78.35,61.24,-19.53,68.78,-8.15,1.0
2.0,1.0,2.0,157.73,0.02,-4.27,-5.46,1.52,41.15,123.37,32.3,-1.93,-42.9,329.4,-58.74,-3.13,-124.68,83.7,55.75,239.15,-185.8,-0.32,-156.33,53.11,-22.76,94.54,33.14,76.12,19.48,0.0
1.0,2.0,2.0,-36.75,-7.36,20.83,-7.63,-13.76,-33.89,-0.33,-17.62,-2.56,-5.09,71.33,58.04,-10.3,-76.26,-74.96,143.73,520.4,-127.25,-2.02,157.43,-40.96,125.26,-83.87,-56.52,42.96,-1.18,1.0
0.0,2.0,1.0,-33.46,0.92,37.13,-3.43,3.58,37.21,-64.21,107.31,-1.7,46.68,160.2,-67.1,-9.46,-28.26,-133.77,245.3,149.39,-16.86,0.55,-156.42,-75.18,38.93,-10.29,-66.36,2.17,2.74,0.0
2.0,2.0,1.0,129.63,4.36,-3.0,0.93,-23.7,-100.19,-88.39,-45.07,-3.69,-19.67,280.36,-35.25,-21.44,-111.78,-74.64,6.72,259.42,-273.6,-0.15,52.2,-2.88,-96.22,-107.89,33.74,66.01,-0.58,0.0
1.0,1.0,1.0,93.72,11.99,42.35,-8.83,25.06,16.54,35.59,33.82,-4.57,-1.73,55.9,33.56,0.35,-6.87,-75.6,-24.76,138.24,-39.23,-0.8,-111.32,33.29,115.45,-23.22,-23.15,-49.32,2.4,1.0
2.0,2.0,1.0,229.5,6.56,5.5,14.04,12.79,-54.9,-0.31,-121.48,-7.17,27.96,-151.36,32.33,-21.32,238.2,86.44,-36.05,-872.76,257.74,2.03,-58.45,4.62,-22.75,-32.57,27.37,35.37,-9.28,0.0
2.0,2.0,2.0,157.56,-3.87,1.14,-5.17,-0.27,61.42,13.59,127.03,-1.51,11.17,84.76,52.75,-3.24,105.89,181.98,33.91,-37.21,-116.48,0.77,-104.99,40.02,68.64,67.26,-4.39,-86.94,16.72,1.0
2.0,1.0,2.0,-24.36,-1.92,-15.99,-2.75,-33.22,7.82,-40.63,135.03,3.61,9.78,-36.94,-54.35,-12.92,18.81,-320.07,-32.78,-3.47,104.09,-0.88,-76.54,-63.34,-19.34,133.31,19.5,-115.41,4.97,0.0
2.0,0.0,1.0,180.02,3.14,-20.73,-7.49,-27.87,33.44,44.19,73.46,-6.91,125.9,114.36,-41.44,-10.6,-35.69,-88.08,-3.26,94.2,97.66,-0.68,-143.16,7.04,134.39,-135.78,50.08,-17.48,-5.66,1.0
2.0,2.0,0.0,137.32,-3.96,-117.58,2.08,5.95,118.66,5.68,-153.99,9.2,-10.71,13.61,-80.78,15.21,18.72,204.83,-68.54,-101.56,-110.42,-1.51,-26.59,59.44,150.66,30.79,62.43,152.95,4.18,0.0
1.0,2.0,2.0,4.51,6.04,57.54,-0.41,8.34,-96.22,27.3,34.04,1.52,16.68,-67.05,-57.26,6.22,4.92,-52.22,-177.56,88.73,-79.25,2.62,66.49,-8.78,-68.12,-33.06,-103.31,-25.97,-7.28,0.0
1.0,1.0,2.0,-111.38,-7.38,-37.11,-5.99,-21.04,-86.44,-15.6,223.44,0.49,55.54,8.59,109.72,-11.75,-21.96,-216.2,-31.57,-0.59,148.66,2.91,-96.85,12.93,-64.7,-67.1,52.26,144.62,-9.67,1.0
1.0,2.0,2.0,-40.22,2.71,-86.12,1.92,-5.73,91.33,-14.25,-74.38,-3.28,-9.04,-149.35,38.71,-16.06,55.11,-271.46,-141.18,-337.92,247.82,0.67,-24.06,8.94,26.2,35.8,20.99,-28.54,-0.33,1.0
1.0,2.0,1.0,-87.94,5.25,27.09,-1.16,23.72,-98.39,77.23,10.12,-0.72,-127.98,-71.16,-30.7,5.35,61.91,-9.67,-40.19,-209.3,103.53,1.88,-113.72,25.78,3.76,-4.15,-23.96,-48.52,-15.8,1.0
2.0,2.0,1.0,-15.43,-4.41,49.45,3.1,-23.43,27.33,100.86,-15.78,7.14,-86.68,44.51,-26.97,-2.0,67.08,139.94,-76.77,-305.19,-52.08,-1.96,-78.43,76.48,-35.59,-100.39,41.73,-22.74,-15.49,0.0
2.0,2.0,1.0,-73.32,8.26,100.03,-2.1,0.67,5.37,-3.01,18.07,-1.88,-52.71,-62.43,55.9,5.23,75.04,-0.89,20.84,-245.71,148.7,-0.58,-168.25,22.39,82.29,-78.37,-35.94,52.11,2.48,1.0
2.0,1.0,2.0,174.24,-1.69,-18.61,-0.7,-14.68,78.27,-89.41,-44.97,18.13,30.57,-58.92,23.45,8.05,-53.95,-172.27,46.78,1.4,56.11,1.04,-34.83,7.38,-99.82,5.39,-27.6,-135.92,9.25,0.0
2.0,1.0,1.0,19.08,4.13,-47.01,-5.23,-11.95,-12.12,-94.61,45.51,2.35,-86.73,71.24,26.83,-5.86,90.27,128.14,-61.63,-103.34,43.41,-0.19,-160.27,22.46,69.66,5.49,3.82,-66.37,-3.5,1.0
2.0,1.0,1.0,28.96,5.55,12.0,7.66,54.26,-4.3,-19.59,-8.36,-0.57,12.29,-284.46,18.67,-25.8,139.14,-352.8,5.68,-649.76,372.76,-1.03,22.74,-0.17,80.64,-79.89,-1.26,84.04,18.38,1.0
1.0,1.0,2.0,-82.56,3.4,29.06,-5.77,-18.66,112.29,127.47,-117.23,5.85,24.05,11.77,-17.95,-7.68,0.13,-154.64,-73.18,-29.98,117.11,2.77,-119.6,18.5,-105.18,-39.62,79.15,43.42,-8.29,1.0
1.0,1.0,2.0,-56.2,2.25,-25.52,-7.47,3.63,-196.97,-62.5,-30.08,4.54,28.21,17.55,4.08,9.91,-46.66,-78.11,71.44,284.08,-110.42,-1.67,-21.62,10.12,-33.2,-90.19,-5.82,114.96,-9.3,0.0
2.0,1.0,1.0,60.26,-8.54,-73.84,4.48,9.89,-184.28,-85.91,-54.97,1.31,-61.88,23.93,62.04,-30.14,94.12,-187.35,-156.17,-331.9,231.8,-1.24,-128.47,-91.36,-23.39,122.38,38.33,-11.59,13.37,0.0
1.0,2.0,2.0,-16.59,4.98,28.25,-1.9,-2.38,12.42,83.4,70.75,-5.78,-88.41,318.17,24.57,-2.92,-91.11,372.93,-65.77,111.98,-53.9,-0.37,-110.44,57.08,-27.51,84.79,-28.62,-175.54,-6.57,0.0
2.0,2.0,2.0,-43.81,6.7,-115.93,-2.92,-3.37,20.43,-23.35,57.01,-1.21,-18.98,168.04,45.06,9.12,-69.73,148.63,81.55,138.19,-72.23,2.49,-117.01,22.04,-44.14,101.43,-15.36,-76.78,6.09,0.0
1.0,2.0,2.0,50.11,-3.76,15.56,-1.9,-7.28,86.07,-16.99,-72.36,1.03,106.25,-59.04,-69.91,-3.63,102.65,-11.69,-102.8,-232.89,63.56,0.88,-94.37,34.17,18.5,-47.52,29.31,-2.59,0.58,1.0
1.0,0.0,2.0,4.01,-9.62,20.94,11.16,10.8,-33.86,84.27,-18.16,-15.21,25.2,-108.31,-10.01,-19.05,93.92,89.02,23.74,-518.01,12.0,-2.42,187.5,108.2,-59.49,-15.25,-4.79,98.44,-3.11,0.0
2.0,2.0,1.0,-49.3,1.21,20.94,-4.15,7.78,72.23,-37.19,53.91,-4.33,-35.49,-18.87,79.28,-7.51,88.29,-30.6,-110.18,-186.45,115.67,2.66,-138.58,22.85,-23.52,-22.93,20.86,46.15,-11.48,1.0
2.0,1.0,2.0,101.86,-5.03,-8.19,-4.8,-6.72,-31.38,-56.45,25.91,4.19,-100.63,104.22,-39.28,20.22,-71.7,51.07,139.3,192.41,-10.2,2.15,-186.59,-25.07,-92.43,-1.93,22.95,18.41,-6.45,0.0
2.0,1.0,2.0,-26.46,2.69,-62.31,9.0,26.12,-164.4,-95.24,-5.87,0.14,-34.29,-138.96,49.94,-23.84,156.61,-216.73,75.44,-589.82,319.28,1.57,-103.23,-81.21,-71.95,-7.93,-25.51,17.01,9.01,0.0
1.0,2.0,1.0,70.88,-2.7,-22.6,-1.25,-16.72,1.59,-102.81,-107.24,-3.82,-3.85,230.38,91.39,3.42,-111.89,-58.15,93.63,221.17,-132.86,-1.74,-153.05,-42.44,49.58,41.93,-75.09,89.13,-0.83,0.0
2.0,3.0,2.0,111.18,-1.27,-23.54,0.92,-2.33,43.16,-3.78,93.73,-5.58,65.18,-36.54,10.19,16.89,-50.51,-228.52,-52.57,205.19,-257.1,0.95,29.35,-37.18,74.7,-47.87,47.51,59.46,-2.33,1.0
1.0,1.0,2.0,5.47,7.29,25.06,-7.22,6.42,-62.34,-80.2,-99.49,6.48,10.56,322.72,-51.23,-13.78,-288.07,-253.51,6.61,675.58,-344.4,-0.64,111.07,46.05,-66.44,-144.81,-42.81,-46.76,-6.1,1.0
2.0,1.0,2.0,-98.43,2.81,39.12,6.25,0.2,-55.22,-60.56,-68.74,8.19,-76.33,-52.98,59.64,-8.66,74.72,-76.56,12.47,-338.84,13.9,2.21,-16.92,14.23,164.76,-5.47,23.73,-62.65,5.18,0.0
2.0,1.0,3.0,12.04,-1.48,31.95,6.89,25.44,6.63,41.34,1.41,7.28,97.16,-346.63,-12.01,0.53,226.71,-60.12,18.44,-664.51,292.94,1.35,-30.01,-0.26,-78.78,-20.46,-73.47,-118.82,-0.9,0.0
2.0,1.0,0.0,10.81,-1.5,-8.82,-3.36,-13.51,63.3,-35.84,45.55,5.82,-27.12,-70.76,54.26,8.0,-44.12,-52.0,-14.03,337.01,-173.4,-5.17,188.96,1.37,-8.42,-98.97,-47.21,72.3,-4.07,1.0
1.0,2.0,2.0,-51.0,6.68,-12.62,-8.27,1.77,67.81,12.4,2.54,4.11,30.47,-0.2,-58.88,5.02,49.52,-38.71,145.31,-1.17,-19.97,-3.93,-149.8,48.54,83.05,65.25,57.61,-95.28,-13.7,1.0
2.0,1.0,2.0,-41.21,13.63,-30.1,0.2,28.66,-20.73,54.48,-55.31,-7.05,-21.33,-226.03,18.65,15.9,92.12,134.81,-103.69,-108.29,15.58,0.88,120.54,45.3,8.61,22.48,32.89,-24.57,-2.96,0.0
3.0,3.0,2.0,7.13,-5.82,63.89,-6.08,-6.4,7.97,113.57,91.14,-1.68,-60.74,169.3,24.49,-6.67,-82.21,-171.67,151.52,297.15,-358.59,-3.52,16.46,70.05,-21.32,19.33,55.28,-64.52,-10.85,0.0
1.0,2.0,2.0,37.57,-5.26,18.31,0.38,-9.81,18.65,52.91,27.41,-5.08,-1.85,111.75,-152.85,-17.28,-48.22,-142.98,-161.27,73.34,12.64,-1.94,-18.69,-43.06,-186.01,68.85,-51.76,-78.19,-14.87,1.0
1.0,1.0,2.0,-41.27,2.3,-32.73,-0.21,9.59,67.82,-79.37,22.45,-10.74,99.93,50.07,17.78,19.71,7.09,367.18,-48.29,-92.0,3.69,0.12,-87.89,69.66,147.62,-2.13,56.58,7.09,-7.1,0.0
1.0,2.0,2.0,3.84,-0.56,71.61,-2.7,-1.18,-200.63,-38.46,52.15,10.07,2.49,-269.43,3.57,13.18,-16.0,-78.07,127.64,375.75,-100.94,1.13,360.53,-16.11,48.44,-82.78,-12.64,38.93,3.01,1.0
2.0,1.0,1.0,-45.93,4.82,-47.5,2.66,18.14,54.56,-12.14,33.84,1.45,-34.33,-77.7,29.95,10.3,53.75,48.14,-63.27,-236.19,125.14,-4.19,-101.88,-7.82,-79.86,-21.8,-21.07,20.92,-2.52,0.0
1.0,1.0,1.0,75.56,-2.79,-10.71,-2.43,21.49,157.33,-11.55,16.83,1.93,81.69,-22.75,-7.64,-10.65,20.94,-162.28,-61.5,-103.47,84.42,0.51,-55.82,18.73,18.78,32.96,49.61,-32.78,2.74,1.0
1.0,2.0,2.0,1.06,2.76,-11.62,0.76,2.61,-10.86,116.23,-189.28,8.88,66.14,117.42,-95.01,-5.5,-76.84,-287.97,-82.48,170.47,-218.69,-0.36,-30.26,-38.73,79.19,-131.4,2.91,-167.32,1.67,1.0
1.0,2.0,1.0,18.71,1.63,66.41,-2.52,-4.53,97.8,37.87,-152.95,6.55,73.9,162.45,45.3,13.62,-63.12,190.69,59.37,66.44,7.32,3.58,-181.68,14.93,-180.2,1.08,5.65,-99.47,10.68,0.0
2.0,0.0,2.0,-10.2,-0.89,40.32,-1.04,13.25,89.52,99.84,29.23,-3.22,-16.57,-81.45,-12.52,21.01,25.53,246.98,-88.47,-34.29,98.92,2.3,-25.75,17.68,84.99,49.8,-56.57,-29.89,0.6,0.0
2.0,3.0,1.0,-50.6,-6.58,-9.28,0.34,39.31,65.81,-104.44,143.66,12.2,37.08,-16.46,15.72,-10.97,116.87,-61.82,-109.96,-329.13,134.2,-1.0,-172.17,-11.25,56.08,34.79,42.27,-3.91,-1.26,0.0
2.0,1.0,2.0,1.57,1.85,-44.08,2.15,17.31,70.63,115.19,42.23,-2.23,-26.92,-177.27,-66.04,-15.86,49.32,-353.28,41.36,-285.69,125.73,-3.89,48.51,27.03,-54.51,-39.42,110.31,-33.57,7.07,1.0
1.0,1.0,1.0,-20.85,5.64,-6.05,-8.43,33.73,97.9,-44.39,50.52,13.88,22.66,-81.02,20.09,13.8,124.62,36.8,136.49,-133.35,-8.05,-3.07,-187.96,64.73,75.81,-52.48,9.32,-22.4,-7.84,1.0
2.0,2.0,1.0,-22.93,5.73,63.08,-2.24,4.8,99.83,15.56,-64.46,0.18,-102.59,199.25,47.51,-2.42,-79.57,109.75,-101.56,176.29,-110.36,-1.29,-46.21,22.45,-95.0,5.15,-50.94,-22.07,-0.75,0.0
1.0,1.0,2.0,-3.26,1.82,-22.46,7.18,-3.36,73.18,84.56,-168.0,-4.07,-5.25,-115.0,10.22,-12.22,98.18,-58.77,-70.18,-351.15,122.18,0.54,35.43,-22.09,-26.29,-48.21,-5.72,74.88,2.21,0.0
0.0,0.0,1.0,-5.86,-3.5,-33.25,-4.22,-7.05,-29.91,110.11,149.52,-1.46,-14.52,25.81,-3.54,-8.2,-28.14,279.98,-74.01,86.93,285.56,-0.33,55.62,13.7,-61.94,11.59,-22.43,-67.58,-5.65,1.0
1.0,3.0,2.0,154.19,1.18,2.0,-2.94,-15.0,-50.76,-60.84,-4.0,-6.44,15.67,-58.68,-21.52,-8.03,75.12,-125.02,-120.62,-176.1,73.18,-0.45,-80.99,26.75,-45.68,-136.7,14.36,56.06,10.27,1.0
2.0,3.0,2.0,17.19,-7.55,21.92,-4.69,8.43,-58.15,-6.44,-187.94,-13.23,57.74,25.93,8.37,-7.29,30.51,-90.27,115.05,17.36,-82.5,0.89,-38.5,38.69,-42.29,77.21,44.71,29.9,-0.29,1.0
1.0,2.0,2.0,124.97,-1.33,132.25,0.27,1.04,59.77,-66.63,46.06,2.73,10.45,5.27,5.7,-12.49,99.41,55.06,113.93,-253.16,94.73,-1.5,-83.79,13.53,36.68,24.04,55.09,12.89,4.77,1.0
3.0,2.0,1.0,-71.26,-1.26,11.35,-2.1,37.71,45.55,94.77,62.65,6.6,-24.52,-124.34,9.16,29.14,-88.91,-25.67,-10.86,366.77,-157.37,0.19,160.48,-5.84,11.39,-76.42,1.28,33.34,0.51,1.0
2.0,0.0,1.0,-76.96,-6.27,54.71,-3.14,2.8,-69.34,42.59,87.79,2.61,29.36,-43.63,-17.56,-7.94,138.87,-4.85,4.92,-190.74,-61.76,-1.24,-58.13,47.32,-208.75,-36.58,40.19,59.99,-7.84,1.0
1.0,1.0,2.0,19.49,-10.66,-25.7,5.97,-23.7,-31.65,45.53,135.82,4.42,-42.0,-272.12,63.54,-1.42,33.46,-318.88,167.54,-489.49,390.41,3.47,-44.14,0.89,20.02,-107.78,-3.49,2.83,12.72,1.0
2.0,1.0,0.0,32.72,4.2,-87.01,-1.14,-18.43,-16.08,67.67,-3.7,-3.99,77.53,133.03,-7.86,9.91,-78.55,-100.35,99.14,60.38,-42.92,-1.44,-200.42,-20.62,23.99,26.12,28.69,-17.13,3.58,0.0
1.0,2.0,1.0,-120.82,-0.79,59.55,0.47,-23.06,70.42,-24.45,-112.07,4.6,32.57,216.78,6.02,-8.73,-78.21,-19.57,-95.28,149.43,-291.66,0.78,9.32,42.5,191.36,-83.82,53.18,-69.59,15.47,0.0
1.0,2.0,1.0,-41.31,0.44,-12.75,-0.87,-2.66,126.3,-125.17,-192.04,-4.7,-54.05,284.23,-100.86,-7.88,-109.14,130.84,-7.97,198.07,-97.94,1.85,-71.67,-0.49,104.66,-4.38,-14.8,3.04,-0.41,0.0
1.0,1.0,1.0,10.82,2.63,-114.07,-2.42,9.65,27.33,138.81,-18.91,8.2,-59.53,120.13,-27.62,-16.96,-42.42,-72.62,33.81,20.12,91.41,3.86,-70.22,-1.44,-49.5,68.79,4.0,118.33,17.03,1.0
1.0,2.0,1.0,-113.48,-0.04,-57.03,-0.59,-3.51,33.62,-32.89,12.26,-8.03,-65.44,-43.09,-51.93,-17.08,91.78,-78.22,-66.96,-308.82,221.93,2.25,-108.24,5.85,-31.17,-65.36,-17.1,1.08,2.52,1.0
1.0,2.0,1.0,-93.77,2.41,41.28,-10.4,27.78,-145.32,8.28,-92.84,-2.93,88.21,141.49,69.05,-2.83,-23.29,-3.87,-37.61,158.51,30.87,1.3,-189.61,22.37,-51.84,-18.88,-44.09,-65.38,-1.76,1.0
2.0,2.0,2.0,25.69,1.69,-19.79,-3.2,-16.54,28.26,-22.36,-71.78,2.51,-102.27,-15.53,-56.89,0.21,-45.57,56.78,22.48,226.85,10.46,-0.74,120.86,1.7,22.63,-22.66,78.78,49.2,20.07,1.0
