cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,target
1.0,1.0,-23.33,-117.08,85.63,-118.9,13.94,80.72,87.4,-4.92,11.46,6.65,-0.59,-256.08,-105.2,-1.35,149.72,-128.38,-50.37,32.1,1.0
1.0,1.0,5.35,-92.68,22.27,57.03,-16.9,82.31,62.98,14.73,-0.18,3.77,24.84,-81.99,-79.82,-0.72,-129.33,-15.56,-87.19,46.06,1.0
1.0,2.0,55.45,-223.96,-97.99,-36.31,-18.9,371.65,-20.76,-29.2,20.0,-3.95,-9.36,73.21,-37.84,-1.15,408.13,-243.5,-207.53,33.58,2.0
2.0,2.0,0.45,-186.76,-19.07,-5.63,-1.35,-88.41,63.85,41.43,-2.5,-7.16,3.57,77.7,-57.62,3.04,-907.87,37.02,-405.79,-44.31,0.0
1.0,1.0,-40.27,49.37,-82.96,-80.84,10.0,183.33,-16.15,-37.26,21.93,8.79,6.55,36.46,87.27,0.88,765.39,-223.55,-14.05,281.66,1.0
0.0,1.0,22.82,30.4,-11.23,211.2,18.78,0.65,-13.69,15.37,24.14,-7.09,-4.5,288.67,-0.81,2.67,201.46,-212.62,-111.13,162.49,1.0
1.0,1.0,-29.09,-52.75,106.27,236.93,9.56,100.21,-39.54,17.72,13.98,3.03,-3.62,-23.01,23.22,-1.14,129.15,-106.05,79.67,-86.43,1.0
0.0,1.0,222.57,-141.58,55.39,216.67,-12.75,-51.0,-26.91,-35.05,-17.42,23.05,-10.25,-135.04,26.88,1.07,87.61,55.88,-254.12,275.43,0.0
0.0,1.0,47.65,-180.99,24.82,-269.15,8.88,-162.94,3.64,-34.19,-9.18,10.35,8.51,89.67,80.85,-1.62,-65.56,-189.45,-134.61,-299.86,2.0
2.0,1.0,-1.76,36.93,-3.11,158.78,1.55,-25.4,52.05,1.05,-10.52,-4.41,6.55,103.91,-32.37,0.61,124.87,-183.89,-170.16,233.52,0.0
1.0,1.0,-173.15,-283.53,12.97,-152.91,10.17,-5.03,-44.98,-56.59,4.2,9.75,-4.05,-6.15,30.53,-0.9,97.04,-78.62,-106.62,-285.28,2.0
0.0,2.0,2.77,137.25,-115.7,-224.9,4.21,274.24,93.96,15.36,3.63,0.7,0.6,275.0,-46.34,3.74,300.27,-279.77,-142.97,-69.03,2.0
0.0,0.0,-7.18,-44.71,124.36,-15.22,2.28,-50.65,-72.53,4.25,19.08,-0.73,2.76,12.27,182.74,-0.54,10.45,-115.65,-338.9,3.62,0.0
1.0,1.0,1.76,194.78,43.37,63.66,-0.87,-123.93,-53.1,7.93,18.63,1.26,-9.73,27.79,98.78,-2.07,302.44,-153.72,141.3,177.05,0.0
1.0,1.0,104.69,167.13,-3.85,-42.5,-8.47,153.73,37.76,74.76,8.7,-12.7,6.06,174.57,-73.58,0.92,203.16,-273.45,-91.76,297.5,1.0
2.0,2.0,66.0,-96.46,-32.38,-23.75,8.3,98.55,59.28,23.56,12.41,-6.29,13.84,-83.87,-82.53,-2.05,-8.64,-166.95,-80.31,278.6,1.0
1.0,2.0,-6.1,128.33,-67.11,51.48,-23.35,-128.14,190.25,19.74,8.03,4.55,15.79,232.44,24.63,0.65,-445.98,3.41,-251.28,29.63,0.0
1.0,1.0,-133.83,-42.76,19.97,194.86,36.36,32.07,-4.87,-2.97,-9.44,-1.54,5.62,-26.18,47.67,1.43,237.02,-139.91,-30.25,253.15,0.0
1.0,1.0,8.85,58.48,57.59,24.27,4.06,-72.88,-48.48,60.97,-6.63,10.48,-5.14,265.65,119.97,0.16,111.37,-234.73,18.22,117.33,2.0
1.0,1.0,-59.54,-331.67,-32.68,8.05,-7.73,103.58,-7.5,-65.94,2.56,4.58,-3.69,-209.82,-25.0,1.85,-140.21,41.14,-327.04,-34.82,2.0
2.0,1.0,-118.94,-53.86,-58.53,38.1,-12.66,145.08,-27.64,-19.23,21.03,-8.27,-1.76,-0.01,-4.63,1.53,422.82,-111.41,30.41,211.23,1.0
1.0,1.0,89.8,165.55,-23.03,98.55,-12.08,-62.71,13.99,-1.46,36.19,3.85,7.02,84.3,-150.8,2.94,109.31,-55.21,-38.95,169.4,0.0
1.0,1.0,-33.03,-202.59,-37.07,5.2,13.17,194.93,-50.69,-2.81,29.87,5.76,15.84,-1.67,-15.26,1.59,389.96,-212.99,33.35,183.55,1.0
0.0,1.0,34.52,-37.11,62.72,113.9,7.24,-68.32,-77.79,-22.14,-31.61,1.93,-21.01,9.91,28.62,2.67,313.86,-176.71,89.92,-5.18,0.0
0.0,2.0,58.56,70.11,-23.74,8.86,-13.87,1.38,82.43,26.37,7.56,5.72,-10.72,222.97,75.8,-2.86,6.06,-232.87,-17.65,-33.99,2.0
1.0,0.0,15.67,-1.17,57.4,-196.17,-3.2,52.53,11.44,-45.23,-13.76,-19.87,-35.57,-146.26,-141.8,2.2,492.41,-215.82,-251.8,104.78,1.0
1.0,1.0,-54.99,31.26,-30.67,-144.59,14.22,122.13,25.75,0.61,9.74,6.5,16.69,-140.93,-157.54,1.0,363.89,-226.46,-3.67,294.5,1.0
2.0,1.0,-94.78,-245.67,45.62,69.23,16.32,93.83,-82.21,-19.27,9.04,-13.51,-14.77,10.23,-53.6,0.27,176.03,-16.13,-144.54,-17.17,0.0
1.0,1.0,1.24,-11.08,60.51,58.51,-6.04,102.95,34.8,-44.23,6.61,2.59,-0.98,-294.44,8.05,-3.03,61.57,-7.05,-113.29,-106.35,0.0
2.0,1.0,-109.19,117.94,63.58,-54.18,-17.58,54.54,-60.16,-24.32,-17.49,-7.72,-0.56,-197.56,-61.5,2.37,137.22,-55.19,-110.6,-63.54,0.0
1.0,1.0,-48.07,76.81,31.14,90.35,-16.72,253.42,125.31,34.06,-3.61,19.35,-24.97,71.29,-39.56,1.33,271.16,-108.18,47.24,-32.79,1.0
1.0,1.0,95.21,21.44,72.37,-30.28,-14.91,102.01,24.46,-8.73,-13.47,2.67,4.89,-67.96,-70.33,-0.09,90.29,-214.05,-106.49,-216.41,1.0
1.0,1.0,-23.11,-156.61,48.9,67.34,-4.97,163.77,-75.88,-4.89,23.94,-0.66,5.04,-85.82,3.09,0.79,337.34,-286.63,100.67,-29.95,1.0
1.0,1.0,-75.98,108.76,24.76,90.17,-2.05,-49.43,88.76,-57.37,18.39,5.1,-20.92,-205.33,-125.4,-0.77,423.55,-59.02,134.44,92.75,0.0
1.0,1.0,18.53,-193.79,5.25,37.31,6.55,192.83,9.93,-45.35,8.51,1.74,17.7,-153.07,-30.32,-3.11,219.03,40.47,-252.45,67.39,0.0
1.0,1.0,11.51,123.35,-52.64,-91.12,-5.16,90.4,143.79,12.55,-19.76,6.52,0.26,102.72,21.61,2.15,-180.65,-53.18,-201.86,-93.04,2.0
1.0,1.0,193.53,-11.56,15.61,-57.9,10.81,192.89,-47.07,-31.47,15.87,3.55,14.91,-103.26,-41.14,2.64,169.26,-106.3,-141.53,-189.3,0.0
1.0,1.0,-204.75,-24.59,3.74,129.91,17.75,-141.48,-58.06,20.66,-9.81,-4.58,-1.38,24.59,-125.52,-0.06,-442.63,81.78,-163.16,130.21,2.0
1.0,1.0,-52.45,7.43,72.52,136.8,-1.0,-126.22,66.45,2.06,-3.11,-2.1,5.17,0.83,15.48,0.77,-250.17,-36.99,-159.76,-49.22,2.0
0.0,1.0,-119.48,-116.74,-14.35,213.9,-19.76,136.63,19.94,-46.64,-3.92,-0.8,14.24,-137.71,203.78,-2.63,88.84,-3.9,-129.76,23.92,0.0
1.0,1.0,-196.8,4.09,58.19,246.96,27.54,218.22,37.84,55.16,-15.08,-1.61,11.56,-18.2,1.24,1.29,-175.13,-57.56,-112.8,46.37,1.0
1.0,1.0,24.07,-156.49,67.99,151.81,16.6,-11.31,-76.98,-25.5,10.76,2.55,17.94,-94.13,-61.24,-3.3,90.02,-52.75,83.61,-117.53,1.0
1.0,1.0,-113.47,115.55,78.26,142.44,-14.54,-246.61,33.21,39.36,-8.67,9.29,-2.82,24.64,67.11,5.35,-321.82,-91.01,104.42,20.29,2.0
1.0,0.0,-41.58,-229.55,73.29,45.7,14.44,68.44,53.84,-0.2,-3.09,-7.26,-6.96,70.36,-40.18,0.72,36.45,-33.81,-312.27,-1.42,0.0
1.0,1.0,20.29,-16.6,-35.3,2.95,-6.97,100.27,19.93,-38.35,40.68,-8.94,-27.67,12.24,57.13,0.59,484.81,-152.35,-89.38,164.33,1.0
1.0,2.0,-0.82,-300.97,-149.67,-14.67,5.43,121.85,-8.94,-26.95,35.19,-7.11,0.16,16.16,-13.43,1.59,118.88,120.07,-0.43,256.47,2.0
1.0,1.0,-36.04,64.14,58.42,-94.19,7.97,101.4,-1.43,-18.95,-7.13,20.36,-2.64,-80.94,106.87,-1.14,163.86,-150.62,-231.91,-106.17,0.0
1.0,1.0,91.36,252.8,144.81,79.53,11.52,-204.53,52.91,39.17,15.46,-3.83,-13.81,42.62,4.54,4.2,-122.97,-274.31,21.93,-107.34,2.0
1.0,2.0,15.37,-149.33,-144.53,-27.28,-23.64,379.75,-60.77,-2.83,-15.92,3.62,-6.09,161.94,33.48,1.47,487.49,-269.52,-56.48,173.4,1.0
1.0,1.0,-42.96,-142.55,-88.18,36.37,-13.22,155.78,-28.14,-50.78,-23.21,-1.49,19.05,-122.55,151.57,-3.76,133.22,131.12,-52.75,63.12,2.0
1.0,1.0,109.67,32.66,-45.59,-155.36,16.91,-3.52,16.82,10.48,-6.82,-3.57,14.31,137.43,45.37,1.73,-118.44,-79.83,-74.05,-109.68,2.0
1.0,1.0,-205.21,-114.28,23.23,-54.88,26.15,158.68,-68.57,-2.43,7.58,3.44,-8.34,-95.62,-128.59,-1.84,333.47,-96.59,43.86,70.33,1.0
1.0,1.0,-186.99,-111.23,94.48,-39.87,0.64,-260.62,4.24,-25.47,10.73,-7.17,0.42,3.71,122.77,0.67,-330.91,-20.17,-90.3,-338.52,2.0
1.0,1.0,127.18,-15.43,-109.59,-129.65,-9.62,114.45,18.28,0.92,-15.93,-21.17,-6.46,157.28,100.47,-1.64,213.88,-12.5,-64.91,158.24,1.0
1.0,1.0,-100.48,-78.78,107.98,-163.99,6.31,-357.54,-91.72,-22.56,-8.45,-1.26,7.54,-1.03,-9.41,-4.52,-518.67,69.64,-101.24,-451.31,2.0
0.0,2.0,37.01,-223.58,-62.77,67.91,-10.49,20.64,29.36,5.71,2.01,-4.29,-14.73,103.37,32.85,-0.82,-136.98,-28.2,-22.51,69.28,2.0
1.0,2.0,31.07,-226.67,27.72,109.85,-27.7,72.12,-11.76,5.01,16.14,-5.06,-32.84,-242.99,-122.6,1.33,-271.0,-66.79,-159.06,151.98,1.0
1.0,1.0,-31.81,-71.33,-9.67,-79.02,34.17,-59.63,-70.42,-30.97,-7.53,-5.32,5.51,-68.89,-150.9,2.03,-315.72,50.43,-227.3,-159.47,2.0
2.0,2.0,-180.11,-55.5,60.37,148.84,-3.81,63.26,21.3,54.09,12.2,-5.22,-17.5,-216.24,40.74,1.44,-480.1,-291.05,-467.02,400.31,1.0
1.0,1.0,-9.33,-37.4,-39.42,121.9,9.28,132.02,76.68,-8.09,-11.44,-3.1,-1.48,18.76,-12.35,3.51,100.05,72.13,-26.59,65.03,0.0
0.0,2.0,59.96,-39.27,-20.69,114.76,-8.04,-109.32,7.33,-8.69,16.04,-7.09,-23.07,-38.94,-5.48,2.24,-334.71,-57.24,-296.35,192.95,0.0
1.0,1.0,16.24,38.67,-23.88,-150.71,-23.62,304.05,66.8,-49.5,-10.99,0.42,-22.75,-99.06,-84.56,3.46,394.28,-137.28,-123.53,-247.21,0.0
1.0,2.0,150.8,-4.37,-11.71,46.14,8.56,188.07,105.7,-28.5,-6.95,-2.24,10.64,-32.47,-52.72,3.32,221.17,-222.99,113.68,-289.55,2.0
1.0,2.0,124.2,-95.95,48.63,211.47,4.28,-46.28,-45.14,34.63,-12.86,-3.02,1.29,-281.63,142.13,2.28,-845.39,-129.77,-518.22,296.88,1.0
1.0,1.0,191.03,68.52,-43.7,-106.89,4.6,115.22,-20.47,-11.67,4.24,3.94,-1.47,159.8,-28.57,1.31,164.17,-167.26,-93.98,-185.18,2.0
1.0,2.0,-83.4,-22.6,-10.91,49.94,-0.41,47.8,31.18,45.49,-12.67,-13.2,-7.75,-131.63,75.43,4.39,-471.04,-195.13,-385.94,350.83,1.0
1.0,1.0,-104.91,108.57,64.07,143.54,9.81,206.32,-7.46,35.91,12.54,5.6,-24.95,159.43,38.29,0.97,334.24,-98.26,193.32,-192.61,1.0
1.0,2.0,-51.78,-45.28,86.45,190.9,2.37,-258.23,-61.04,14.52,-10.04,9.26,42.06,-1.22,-88.21,2.58,-395.77,-120.74,-33.08,-23.96,2.0
1.0,2.0,171.56,-151.54,-101.53,2.69,6.4,48.92,87.33,12.35,16.22,-2.98,-1.89,238.3,-49.75,-0.26,-95.13,77.37,-87.17,83.95,2.0
1.0,1.0,2.19,-92.19,76.44,12.89,22.65,-65.03,20.29,-4.72,11.07,1.93,-12.05,-30.64,-5.71,5.94,259.5,-227.35,-52.73,143.85,1.0
1.0,2.0,35.83,38.07,28.76,35.11,-3.78,-144.26,-10.08,84.29,13.59,-0.4,-0.25,201.94,96.4,-1.84,-1093.65,38.74,-223.55,-295.04,0.0
1.0,1.0,127.76,-191.17,44.67,1.71,-3.91,-74.01,70.18,-28.02,37.91,16.22,15.64,123.54,-23.39,-0.72,156.42,-208.34,29.15,-240.49,2.0
1.0,2.0,44.53,47.2,-56.24,-60.53,-11.53,12.37,-57.62,16.0,13.77,9.02,15.65,141.97,52.09,-2.66,-103.85,-167.21,-113.59,17.59,2.0
1.0,1.0,57.28,23.02,-56.58,89.65,22.92,137.3,-28.13,36.79,25.45,3.67,-12.54,335.84,67.11,0.9,-54.27,-75.26,-212.81,21.5,0.0
1.0,2.0,147.97,-383.53,-113.56,-12.84,-15.9,456.32,-21.42,-51.73,8.5,2.22,13.26,136.08,54.56,-2.69,887.39,-387.14,-29.39,51.65,2.0
2.0,1.0,-184.23,-76.88,-15.24,12.03,-20.57,97.66,-8.81,-21.95,-8.22,6.26,-16.14,-52.47,-136.06,0.39,298.82,-87.21,-41.66,133.92,1.0
1.0,1.0,23.12,-110.5,-45.42,62.84,2.06,187.49,-47.28,-23.04,18.41,5.99,-5.1,100.79,-122.97,-2.47,462.19,-24.25,15.35,67.66,1.0
2.0,1.0,-91.33,-47.93,42.97,19.12,-6.0,91.3,14.3,4.3,2.01,0.37,13.6,49.41,154.87,1.33,285.48,-153.46,143.08,-127.03,1.0
1.0,0.0,-55.91,-118.04,13.04,-60.52,8.4,87.65,41.52,-19.77,-5.77,15.77,-6.97,55.13,-82.75,-0.89,299.84,17.92,-62.14,-36.73,1.0
1.0,2.0,-100.94,-196.46,-34.66,126.81,22.42,302.51,-98.92,-1.71,2.17,4.12,-15.71,41.55,-63.68,0.52,-89.94,0.24,-17.01,-293.79,0.0
1.0,1.0,-115.82,-148.46,55.54,147.08,2.46,17.27,6.94,1.35,19.81,5.32,-4.04,-209.22,-29.28,0.03,-243.84,-83.55,-243.6,168.67,1.0
0.0,1.0,-106.91,113.73,18.81,176.16,-0.84,-101.58,26.95,10.08,-5.61,-6.47,9.62,61.06,87.09,2.87,-74.46,-143.47,-134.18,171.84,0.0
0.0,2.0,-50.52,-71.16,12.56,132.18,-2.14,106.87,0.21,38.36,14.22,5.86,9.01,-187.48,66.33,-2.04,-458.51,-202.11,-349.51,261.93,1.0
1.0,2.0,53.58,-111.33,-48.33,8.42,-11.64,-3.11,-23.14,10.9,-11.36,-3.63,14.15,-225.61,107.98,0.58,-699.76,38.53,-419.19,239.08,1.0
2.0,1.0,61.22,-84.59,13.03,-100.45,11.51,-144.77,10.69,-5.79,-13.04,-4.69,-10.34,104.85,33.89,-2.18,-133.57,-108.21,-21.44,-167.8,2.0
1.0,1.0,131.91,-107.94,112.98,267.87,-15.96,-99.4,37.25,24.68,9.42,12.24,11.98,65.04,-103.27,1.92,-254.17,-177.72,-65.47,-100.15,0.0
1.0,1.0,20.57,-14.76,-7.64,45.58,9.35,75.51,-44.95,37.82,7.78,-11.82,-9.36,-68.43,42.61,-0.9,-223.61,-41.73,-209.39,275.54,1.0
1.0,1.0,21.4,108.12,-31.61,131.23,-8.51,-7.52,91.04,-66.89,-3.66,-0.93,15.53,-117.43,-158.35,2.65,457.88,-36.84,14.26,183.39,0.0
1.0,1.0,-40.94,-55.17,1.14,-92.64,-8.85,70.99,25.48,-5.85,0.79,-3.23,5.68,-157.56,19.72,3.11,112.65,-114.85,-83.21,156.08,1.0
1.0,1.0,-248.28,-202.99,18.72,143.18,-16.63,194.46,-47.42,-27.18,-42.02,1.85,7.04,-112.39,57.42,3.01,21.73,-90.26,26.28,-251.44,0.0
1.0,1.0,-97.3,-243.83,8.12,103.01,16.65,175.61,80.97,-1.4,-11.19,12.12,-10.71,-11.91,15.39,2.17,-72.63,206.18,-278.45,82.15,0.0
1.0,1.0,89.01,-17.88,-34.07,35.16,-24.94,208.01,6.12,27.21,-4.36,-1.18,18.31,-31.15,-15.5,3.1,-63.56,91.82,67.45,-10.04,1.0
1.0,2.0,139.4,-289.04,28.66,79.53,13.51,41.24,-21.73,-1.7,17.46,3.96,8.8,-180.93,-3.49,3.61,66.13,-333.59,-219.79,378.64,1.0
2.0,2.0,-38.92,239.71,-83.96,-67.18,18.12,64.78,-73.73,35.54,-17.09,-0.63,16.13,160.98,74.58,-2.36,-154.55,49.08,30.02,-38.28,2.0
2.0,2.0,-180.5,-18.71,-64.8,158.77,-4.47,32.86,-13.52,-9.32,34.92,-4.71,-19.26,129.24,51.91,0.66,-66.26,-146.76,-393.09,259.03,0.0
1.0,2.0,143.59,25.79,-29.16,53.11,5.24,-168.63,-111.4,16.08,18.83,-11.59,-17.89,148.67,-136.4,-4.85,-571.17,-62.77,-388.35,64.76,0.0
1.0,1.0,138.36,19.78,149.29,181.79,10.74,-270.97,-53.77,24.45,3.52,6.41,-2.47,-1.27,25.16,-0.19,-347.31,-168.25,-156.84,0.83,2.0
1.0,1.0,-45.68,89.05,103.59,61.27,0.12,-39.2,58.76,-4.74,-21.7,15.2,-4.52,-170.4,35.14,-3.92,-51.49,-46.35,-130.58,-17.25,0.0
1.0,1.0,-100.18,-156.53,30.11,141.35,10.42,99.7,51.78,30.3,13.04,4.05,-0.48,-171.75,-32.07,3.21,-319.14,-62.21,-257.01,248.81,1.0
1.0,2.0,-17.58,-176.75,-17.44,78.78,2.77,15.8,-34.6,18.28,-1.86,-18.59,-11.23,-208.65,-39.8,-1.75,-585.22,-13.2,-311.53,228.83,1.0
1.0,1.0,-16.74,29.73,-3.29,9.2,0.32,141.19,37.41,29.91,-4.43,4.21,9.54,48.73,49.81,3.78,77.87,-56.44,29.17,22.27,1.0
1.0,1.0,246.69,-42.46,0.71,-82.74,-8.37,91.75,61.88,-42.54,7.45,2.82,-8.99,-95.11,101.28,3.67,576.18,-189.26,22.66,108.49,1.0
0.0,2.0,42.8,123.13,-107.49,-28.22,19.5,177.73,-6.53,21.04,6.95,5.72,14.98,173.16,4.72,-0.01,69.34,-149.94,-78.11,74.35,2.0
1.0,1.0,76.99,-168.33,43.52,-44.05,14.07,112.52,-9.13,15.84,6.0,3.88,-13.98,-39.55,53.53,-0.53,99.6,40.47,54.77,-31.64,1.0
0.0,2.0,262.92,-70.82,96.33,134.99,24.91,-258.5,82.5,38.4,-29.24,9.94,2.26,-62.54,54.73,-2.91,-696.3,-104.19,-75.21,-64.12,0.0
1.0,0.0,-26.74,-222.27,116.56,215.76,18.16,-124.65,-13.17,6.97,-18.31,1.38,-13.05,16.32,-24.45,3.35,-64.12,24.06,-171.46,146.02,0.0
1.0,1.0,45.85,-124.41,28.04,-38.34,-1.33,130.21,-49.11,-40.23,-15.82,-1.06,19.73,-224.87,27.25,-3.15,248.85,-175.75,-201.53,88.86,1.0
1.0,1.0,-77.99,-32.19,-90.12,33.04,-14.95,165.26,6.9,-39.93,-5.6,-2.75,13.71,118.85,-5.21,0.15,690.51,-117.36,62.21,189.28,1.0
1.0,1.0,-84.44,17.65,-30.54,163.9,-27.0,-48.87,29.79,-13.05,-14.78,1.62,-2.04,25.66,15.15,-1.84,194.58,-70.32,-80.38,346.33,2.0
1.0,1.0,124.43,21.65,-130.61,-28.35,5.58,76.41,-13.87,-16.02,-11.68,6.19,6.62,177.18,-37.67,1.39,270.94,4.12,-92.34,245.26,1.0
1.0,2.0,112.97,-136.43,-3.85,92.5,3.91,91.08,-36.7,-0.31,10.17,-2.7,-0.18,-379.27,-4.2,-1.53,-812.74,105.9,-335.05,-18.26,1.0
1.0,2.0,-7.56,-61.17,-108.01,-58.92,11.86,282.29,28.45,-7.1,35.32,-1.85,-17.59,198.17,21.49,4.64,481.0,-232.34,28.0,10.06,2.0
1.0,1.0,40.9,-169.65,28.36,50.25,17.48,36.93,-111.01,10.59,6.6,3.27,-26.34,-55.81,191.35,-2.3,-177.18,101.72,-52.77,-5.31,1.0
1.0,1.0,64.1,248.54,-35.29,-134.79,-27.51,7.26,-71.0,53.82,0.19,-6.18,3.9,296.18,68.01,-1.07,-101.77,-96.73,53.83,-161.96,2.0
2.0,2.0,68.89,18.32,-38.8,61.56,-14.55,-83.21,21.07,9.61,-15.15,0.39,-12.25,-7.85,24.71,2.35,-356.99,89.03,-31.34,47.69,2.0
1.0,1.0,-60.07,19.99,-8.63,-82.15,-3.13,7.39,91.37,-30.67,18.2,-4.82,21.91,63.68,87.76,0.11,3.35,-105.99,-152.04,-230.63,2.0
1.0,1.0,151.72,-196.27,-1.17,57.98,1.42,26.73,27.63,-4.08,-12.29,3.99,10.55,85.02,-126.28,-0.77,10.57,171.16,107.78,-117.74,1.0
2.0,1.0,32.07,45.6,-17.58,-169.79,30.75,63.92,6.66,-31.73,-3.51,2.93,1.66,-116.21,100.28,-0.3,409.19,-228.13,-178.57,231.31,1.0
1.0,1.0,19.25,-74.71,56.71,64.13,-12.36,-154.78,0.73,8.47,26.41,-0.06,23.02,50.19,-105.62,-1.68,1.36,-139.5,-81.49,151.0,2.0
2.0,2.0,-93.81,-54.37,40.04,194.33,-17.28,-165.28,-59.22,24.8,-14.36,-0.75,-15.83,96.75,49.13,-3.46,-409.45,-97.79,-115.45,12.09,0.0
1.0,1.0,-55.44,-75.15,20.76,181.18,-13.7,-12.46,-76.8,17.37,11.63,-7.57,1.0,353.97,-72.75,-2.29,341.58,-214.81,415.05,-264.66,2.0
1.0,2.0,-5.34,-192.31,5.72,137.65,-0.74,-66.63,-13.68,15.2,-14.2,1.17,-18.81,151.68,-83.02,0.39,-74.97,-133.67,18.34,39.88,2.0
1.0,2.0,51.08,19.48,25.67,59.76,-4.53,-294.73,-79.23,14.53,23.15,-13.36,-0.44,86.56,-40.76,3.06,-406.45,-86.59,-134.38,77.38,0.0
1.0,1.0,-125.94,-111.65,3.25,-66.29,-16.87,107.73,-60.36,-22.5,14.54,-3.37,-1.42,-146.09,-11.8,1.57,238.82,-118.68,-41.76,77.33,1.0
1.0,1.0,-108.71,-328.14,-83.1,75.58,7.3,292.62,-0.17,-44.32,-14.29,4.65,-4.14,-7.48,7.9,-2.88,468.4,-78.18,41.33,52.18,2.0
1.0,2.0,-3.45,-323.4,-104.83,41.44,-7.99,47.78,22.57,-31.18,-7.51,5.78,3.69,130.88,-126.34,0.23,212.81,55.39,79.29,110.08,2.0
1.0,1.0,-99.64,-142.24,-29.6,-155.15,10.4,98.89,-17.39,-39.03,0.61,-1.46,-5.66,45.56,-128.58,3.22,195.53,-4.45,-2.65,-257.91,2.0
