cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,target
2.0,2.0,34.04,71.0,184.1,25.54,1.43,200.02,16.63,-16.31,-8.8,-375.16,-1.44,-40.86,-120.64,14.53,1.0
2.0,1.0,-4.75,38.52,-133.38,-34.59,3.95,-31.66,-20.07,-17.7,-1.81,-21.51,1.94,-18.41,-105.11,-14.85,0.0
2.0,2.0,-37.77,35.05,-134.23,71.77,2.54,-264.76,-13.94,7.01,7.45,382.05,6.63,20.71,-68.88,-26.06,0.0
2.0,1.0,2.21,-69.12,-46.84,-28.23,-0.53,295.16,7.3,1.32,2.79,-80.46,-1.07,-37.16,-143.0,14.94,1.0
1.0,1.0,10.64,-124.51,-88.57,86.63,0.4,-167.14,26.41,20.34,16.87,-316.29,4.38,-18.69,-472.42,-20.95,1.0
2.0,2.0,-8.66,-36.21,51.88,-28.89,-3.63,3.3,-19.31,62.6,-2.15,-157.18,-4.93,-16.8,-130.35,16.1,0.0
0.0,0.0,27.73,-24.43,-53.58,29.04,-12.34,239.35,-2.08,8.33,4.36,-334.39,-5.18,-78.94,-321.39,11.49,1.0
3.0,2.0,-31.34,-27.59,35.78,172.16,-1.52,108.07,1.65,-12.47,-16.41,320.58,-4.67,-54.47,12.02,27.18,2.0
1.0,1.0,13.75,47.91,-22.34,60.12,3.15,92.01,-19.13,-45.71,-6.6,-124.44,1.45,-40.14,-21.25,14.03,1.0
2.0,1.0,-33.05,-23.53,-162.59,67.71,8.14,-81.12,28.69,35.13,1.89,71.4,-0.97,21.33,-67.46,11.53,2.0
2.0,2.0,3.39,24.4,-28.75,-17.13,5.57,177.84,-40.03,-27.89,-4.7,5.33,-3.83,8.52,30.07,-4.36,2.0
1.0,2.0,4.13,89.33,-55.08,65.47,11.43,-16.41,-20.21,16.57,-1.4,-112.31,-0.98,-47.88,-218.4,-5.31,1.0
1.0,3.0,9.74,-29.21,-128.69,117.48,2.52,-58.79,2.94,25.73,-4.97,-125.11,2.48,58.59,-30.91,-27.35,0.0
1.0,1.0,37.0,-12.67,163.19,9.25,6.67,154.49,13.27,-26.39,-3.65,-70.72,-7.89,-15.99,23.28,-18.19,2.0
2.0,1.0,-4.96,78.6,-102.85,76.37,15.06,27.71,29.28,-22.74,-4.08,-150.16,-6.03,7.19,-265.45,-21.0,1.0
2.0,1.0,-7.58,-95.04,53.61,-5.35,-7.03,89.93,-17.38,-4.27,4.95,-160.82,-2.95,-29.76,-197.83,26.82,0.0
1.0,1.0,15.93,13.93,-20.88,5.34,1.65,44.5,45.48,2.3,-15.0,-202.65,-1.94,69.51,275.44,5.86,0.0
2.0,2.0,3.63,19.45,16.22,125.24,13.65,-50.57,-16.23,-7.31,-3.09,226.46,2.24,6.8,-43.01,-40.63,0.0
2.0,2.0,3.42,62.17,72.7,37.57,10.29,101.95,27.37,30.77,-12.27,128.13,0.14,15.5,168.19,-5.97,0.0
2.0,2.0,1.03,23.73,108.82,12.13,-2.02,184.67,-7.31,-36.81,14.91,-0.49,8.26,53.97,58.31,22.13,0.0
2.0,1.0,20.54,19.04,45.28,7.25,12.36,233.91,-20.37,-33.14,-4.99,-126.06,1.52,-15.94,-156.13,-21.67,2.0
1.0,2.0,30.95,-89.97,108.73,113.16,4.43,156.49,-34.36,23.29,-2.32,-47.66,-2.28,-34.47,-145.67,-21.89,1.0
2.0,1.0,5.33,34.51,74.67,-36.01,-15.0,21.99,-12.94,1.88,1.85,-115.69,-6.34,27.67,32.46,8.13,0.0
2.0,2.0,25.59,-143.8,158.13,68.26,9.04,192.84,-25.67,-28.87,-11.87,-135.17,5.53,17.18,37.45,-7.89,0.0
2.0,1.0,-24.13,-104.93,-68.52,3.44,-0.8,-35.79,38.82,-5.18,-1.71,-167.26,8.55,-22.91,-213.25,23.48,0.0
2.0,2.0,-26.69,-33.79,-88.02,68.28,8.73,-230.32,-7.24,-28.92,1.04,227.57,2.7,6.71,-86.26,-22.07,0.0
2.0,1.0,-10.41,-41.36,-53.78,0.09,11.64,-101.82,44.21,12.15,-2.35,47.94,6.99,27.0,11.37,-15.0,2.0
1.0,1.0,2.65,80.46,-150.84,84.66,-6.12,-113.47,20.56,44.25,-1.59,48.9,-5.67,15.97,-8.88,-22.93,1.0
1.0,1.0,35.96,27.22,44.08,88.42,7.94,263.38,10.18,-0.55,-0.17,-309.99,-6.23,-73.96,-323.04,-2.0,1.0
3.0,3.0,-20.14,-30.59,12.67,-40.12,0.4,26.76,-32.51,59.94,2.23,-133.92,4.19,-37.02,-208.36,27.17,0.0
2.0,1.0,-25.3,-57.12,-130.81,10.72,-1.14,-150.64,9.54,40.96,2.74,15.03,-6.9,-53.27,-243.55,4.69,1.0
1.0,1.0,16.81,-72.85,13.67,41.61,2.04,32.71,-7.73,-9.05,7.27,-185.89,-2.31,-34.89,-183.81,4.25,1.0
2.0,1.0,34.31,13.3,23.91,66.08,9.28,137.85,0.84,-5.14,-19.22,-360.02,4.9,-68.4,-277.86,-23.22,0.0
2.0,1.0,18.14,-62.81,67.3,23.7,-0.04,210.49,-12.71,-29.08,-0.92,-120.51,-1.13,-37.44,-113.29,5.59,1.0
2.0,1.0,-7.28,-57.37,-3.86,-46.34,6.35,69.22,-4.71,22.32,11.8,3.78,-4.49,52.53,47.2,8.09,0.0
1.0,0.0,22.81,11.0,62.2,135.94,5.88,-74.94,34.78,36.46,10.45,-260.67,5.02,-35.17,-411.96,-20.24,1.0
2.0,2.0,-8.19,-31.59,-65.89,-19.66,7.53,-101.53,-14.65,-1.81,4.65,3.9,-3.86,-9.52,-127.51,-12.41,1.0
1.0,2.0,-7.87,60.99,-52.81,99.37,13.63,-73.89,-11.37,-16.23,-8.83,-3.27,-3.37,3.47,98.44,16.99,2.0
1.0,1.0,0.47,64.56,-58.86,-8.43,-5.6,-60.12,2.77,-1.53,5.42,2.83,-3.44,4.03,15.0,0.91,1.0
2.0,2.0,28.72,-34.78,129.23,-30.97,-8.36,310.44,-20.46,-8.9,13.37,-140.48,8.82,57.98,-23.19,-8.49,0.0
1.0,2.0,4.79,15.27,4.96,-80.47,0.05,151.63,-59.05,27.11,-0.0,-225.85,6.73,-19.83,-27.04,28.55,1.0
2.0,1.0,-14.27,116.56,-107.63,82.27,5.83,110.48,7.57,7.4,7.8,-31.52,0.96,-1.01,-190.89,12.53,2.0
2.0,2.0,-10.3,70.82,-19.53,-30.58,0.01,21.84,-10.94,-51.34,-4.5,155.06,1.54,35.97,126.51,-11.2,2.0
2.0,2.0,6.18,-84.39,-110.45,64.27,2.75,-1.88,33.51,27.83,-11.15,-191.2,7.73,61.74,25.97,-15.51,0.0
1.0,2.0,11.17,30.09,27.66,-19.69,-0.46,-27.22,49.0,-47.25,-7.84,-172.51,-11.27,40.74,140.12,2.73,0.0
2.0,1.0,10.33,68.72,-34.27,-72.56,6.15,0.35,-15.55,-52.3,-8.74,-267.2,-8.01,45.2,80.19,-3.97,2.0
2.0,0.0,19.2,2.79,45.33,68.6,-0.01,-24.41,24.44,42.84,-8.83,-56.26,-2.99,-3.0,-42.85,-26.76,2.0
1.0,1.0,18.97,47.47,162.02,85.01,-1.72,-0.16,26.11,20.52,0.4,114.52,-5.52,-11.05,208.55,15.07,1.0
2.0,1.0,-24.18,-81.88,-168.03,103.16,8.69,-114.17,-12.29,-18.78,0.6,1.91,11.74,30.08,-19.47,13.91,2.0
2.0,2.0,7.35,-15.76,3.53,-65.86,-3.4,119.15,6.44,-12.69,4.79,-76.62,-8.38,60.39,86.71,-3.83,0.0
1.0,1.0,6.14,-85.31,-32.12,-15.9,12.82,81.95,-16.5,1.41,-7.23,-114.64,5.66,-8.16,139.44,24.11,1.0
2.0,1.0,17.9,-69.99,37.81,42.4,3.95,2.02,-7.49,3.81,-6.32,-248.64,0.15,12.19,-113.33,-15.06,0.0
2.0,1.0,-12.31,57.71,-37.52,58.23,6.64,,-7.89,-5.37,-4.27,96.92,-5.7,24.21,82.84,6.71,2.0
2.0,0.0,12.98,51.74,121.13,88.74,0.1,4.55,-14.01,48.26,-4.81,-2.35,-4.35,-65.06,-162.85,-7.52,2.0
2.0,1.0,1.61,-23.63,59.83,-79.51,-8.71,34.1,-15.78,2.9,-1.36,-178.99,-0.58,1.87,-96.35,1.38,0.0
2.0,1.0,-32.14,10.56,-170.65,97.8,12.11,-257.61,-11.67,4.76,-3.83,78.73,10.3,33.72,56.89,9.86,2.0
2.0,1.0,16.67,-63.37,71.34,36.38,6.5,216.92,-19.19,13.71,-10.39,14.92,-4.17,-0.67,107.1,-1.96,2.0
3.0,1.0,-8.74,9.67,21.8,42.83,-2.53,-34.16,21.18,-81.54,-4.51,-101.23,1.86,42.16,-37.6,0.62,0.0
3.0,1.0,-34.67,29.87,-73.14,-39.71,-1.98,-98.96,-22.06,-1.66,-14.17,181.51,-0.56,85.78,393.43,18.55,2.0
2.0,1.0,-7.1,-105.85,54.82,71.11,-0.81,-41.62,27.23,-59.23,-9.24,20.46,-2.14,-33.05,-39.57,10.02,2.0
1.0,2.0,1.26,27.19,-62.86,-18.47,5.8,1.76,30.0,1.33,0.01,-152.44,-1.12,-54.13,-181.52,6.69,1.0
2.0,2.0,15.46,71.32,45.01,-56.97,-5.06,123.61,27.43,-44.19,3.91,-179.35,-6.44,37.95,-81.06,-16.38,0.0
2.0,2.0,-7.86,17.56,-10.5,-20.44,-3.8,140.35,29.66,-48.67,7.46,-136.3,-0.71,24.34,-43.79,27.69,0.0
2.0,1.0,-39.86,25.07,-183.51,58.14,2.55,-330.15,-4.34,23.52,6.48,259.15,5.18,39.59,2.6,-10.62,0.0
1.0,2.0,-15.63,-19.38,-56.72,7.37,1.21,-202.92,8.25,-39.58,4.52,354.47,-7.63,6.53,150.61,-13.88,0.0
2.0,3.0,-10.36,36.1,-28.68,21.76,8.41,-128.96,-15.42,30.71,5.19,17.05,1.96,-11.95,-224.47,-20.92,2.0
2.0,0.0,18.57,-44.45,122.06,121.12,6.78,78.41,-9.53,11.38,0.92,-159.86,-0.48,2.3,-167.17,-7.25,0.0
1.0,1.0,-3.57,66.32,-21.59,-53.39,1.52,-71.41,4.76,-0.94,-9.76,45.74,-0.24,31.82,272.37,6.0,0.0
2.0,2.0,24.67,-52.12,150.49,30.37,3.55,126.17,-31.16,62.67,-1.63,-42.74,-2.0,9.63,52.83,-7.98,2.0
2.0,2.0,-5.41,-35.94,16.27,61.1,1.55,110.41,10.09,-18.43,-5.34,-37.52,6.52,-30.85,-169.74,3.81,2.0
2.0,1.0,18.33,-46.83,230.32,-87.09,-5.55,66.23,22.77,-8.89,4.77,-20.86,11.01,43.79,32.81,-23.39,0.0
1.0,1.0,12.66,-25.63,109.93,102.21,1.56,-38.84,-2.63,-17.38,-15.86,66.75,-3.19,-28.44,221.98,15.31,1.0
2.0,1.0,-23.55,-67.58,-97.99,50.66,-2.1,287.61,38.06,23.24,-8.91,409.21,-1.78,25.86,333.37,24.01,2.0
1.0,2.0,-18.3,102.06,-144.24,-71.25,4.26,-77.83,-15.43,20.11,-4.55,6.92,-7.94,-38.65,-1.25,14.01,1.0
2.0,1.0,-5.03,56.49,56.82,-39.57,-4.51,36.35,-5.49,13.38,4.82,-136.98,8.15,10.9,-43.81,21.29,0.0
1.0,2.0,-17.2,-16.31,-86.2,115.94,10.31,-131.49,26.67,-34.2,-8.13,50.02,5.51,-2.13,63.21,17.18,2.0
1.0,2.0,6.3,121.18,-76.35,117.23,3.88,-124.81,-22.63,-0.37,2.13,-23.15,4.76,31.21,-102.5,-29.73,0.0
2.0,1.0,7.67,5.22,-27.49,23.71,4.3,79.43,35.68,-3.99,5.26,-340.59,-2.55,-17.83,-403.95,-9.43,2.0
1.0,2.0,12.66,7.09,-57.92,30.66,9.91,102.09,-30.63,-50.91,-6.85,-101.0,-3.09,-45.97,-101.67,-4.38,1.0
3.0,0.0,8.71,-13.41,74.39,39.77,6.42,175.8,-25.62,-10.43,-14.08,-18.13,1.77,26.47,54.75,-13.14,0.0
2.0,1.0,-22.51,-62.18,-175.98,-94.97,-10.33,-116.64,-9.5,30.83,2.17,-62.59,10.9,-32.81,-193.86,0.08,1.0
1.0,3.0,31.81,31.87,81.42,-45.58,-2.52,312.68,-4.8,27.85,-8.04,-335.81,9.41,-72.52,-66.11,29.31,2.0
1.0,1.0,5.23,-52.68,118.73,25.82,-12.24,97.9,-6.88,-26.39,-4.95,37.31,9.98,-40.75,116.74,32.84,1.0
2.0,1.0,14.58,-13.42,93.2,-96.83,1.73,-134.14,-1.25,-31.58,3.81,-44.23,1.08,60.68,116.23,-28.88,0.0
1.0,1.0,18.83,-74.24,27.44,100.97,6.81,-59.36,2.42,-4.09,9.83,-221.19,4.93,-47.11,-395.23,-18.35,1.0
2.0,2.0,-3.23,-31.19,-66.92,39.51,5.64,-49.97,-24.73,4.85,-6.43,-4.41,-2.99,-10.83,-42.45,-8.08,0.0
3.0,0.0,-30.72,51.34,-1.43,-19.83,5.89,-101.7,22.87,-28.57,-4.29,210.43,4.58,-34.58,-42.49,4.4,0.0
2.0,1.0,18.81,-78.81,136.02,95.8,2.43,55.38,39.39,13.19,-5.03,35.45,3.45,-77.07,-212.94,-20.31,2.0
1.0,3.0,34.31,-13.53,-118.68,156.17,-1.71,15.33,14.41,-22.81,-4.36,-193.41,8.85,101.19,42.8,-45.81,0.0
2.0,1.0,19.11,-47.7,73.26,73.88,10.56,-57.82,-18.96,15.66,-15.13,-435.04,-5.26,-13.08,-158.3,1.89,1.0
3.0,2.0,-31.7,42.62,-141.95,60.0,8.43,-134.36,-33.79,33.21,-3.53,185.88,-3.29,-15.74,-153.49,-15.25,0.0
2.0,1.0,32.92,60.15,307.27,182.67,0.19,-31.28,70.84,-1.02,15.38,-155.0,2.39,35.67,-260.58,-27.24,1.0
2.0,2.0,-9.53,-6.39,-3.53,-41.39,13.27,-66.6,17.68,39.14,2.53,-43.47,-8.13,-49.38,-211.9,-2.77,1.0
2.0,1.0,-10.02,-59.17,0.49,44.11,3.54,-54.81,28.05,-10.61,-3.21,88.25,0.63,5.97,34.41,1.45,0.0
2.0,1.0,-2.53,87.39,-6.98,-43.71,-3.53,70.36,11.63,-22.52,-3.51,-174.77,12.6,0.23,-77.47,9.63,0.0
2.0,1.0,-8.79,-70.03,10.3,52.36,-3.97,234.12,-2.88,43.82,4.58,-231.52,3.2,-4.21,-178.87,42.51,0.0
1.0,1.0,13.64,-64.4,-13.95,63.55,10.36,-11.53,-21.02,2.1,2.65,-242.58,8.51,-36.27,-271.94,-6.02,1.0
2.0,2.0,8.69,-52.25,36.67,18.08,1.26,109.72,55.98,47.73,1.09,-179.85,8.08,-12.33,-186.24,-0.98,2.0
1.0,1.0,16.7,-44.36,52.91,62.21,11.19,123.66,55.88,-19.21,3.04,21.88,6.42,3.15,40.45,-1.58,1.0
2.0,2.0,12.75,-82.48,147.11,-76.22,-2.0,115.7,0.4,-6.74,6.41,-23.73,7.73,34.19,63.1,-4.63,0.0
2.0,1.0,2.18,-94.22,-44.02,81.72,-0.55,35.12,34.88,53.68,-4.24,221.35,-4.55,40.53,139.54,-24.12,0.0
2.0,2.0,-1.63,12.01,5.22,32.43,7.66,77.65,-3.02,10.01,3.94,-14.09,7.05,13.66,-30.42,5.66,1.0
2.0,2.0,-1.66,-0.57,12.88,-10.8,6.73,-125.55,-26.17,16.0,2.42,-38.09,-6.67,-2.38,-51.55,-5.34,0.0
1.0,1.0,8.98,-13.02,-21.79,88.41,3.7,-8.18,15.16,-16.33,-3.42,-131.39,-7.31,-23.16,-159.81,-6.68,1.0
2.0,3.0,16.9,19.07,126.51,26.22,-1.08,241.88,-12.24,-17.57,-0.2,63.34,-1.69,18.53,11.76,-15.56,2.0
2.0,2.0,-21.15,63.03,-94.24,24.23,-0.09,83.28,19.58,-25.13,-1.99,288.96,0.25,28.83,133.53,-1.76,2.0
1.0,2.0,-12.49,-3.84,-105.01,-90.15,2.62,133.28,0.11,28.58,-1.53,30.95,-1.81,-14.78,199.59,41.46,1.0
2.0,1.0,17.01,69.74,55.77,-6.29,4.0,124.17,-6.94,-85.96,-8.99,-40.97,-0.6,-38.86,-124.17,-25.21,2.0
2.0,1.0,11.59,52.28,-67.15,89.5,12.07,66.2,2.49,-26.98,0.45,-168.8,-2.36,-29.36,-288.84,-17.58,1.0
1.0,1.0,-6.86,104.64,-89.0,-18.29,5.39,-177.12,-30.17,8.86,-15.02,-64.15,-6.19,-18.02,177.14,18.58,1.0
2.0,1.0,-12.83,60.49,5.04,-33.58,-0.95,58.54,-27.28,19.46,-0.41,-100.46,7.39,5.97,-63.59,17.56,0.0
2.0,2.0,0.18,-19.91,58.76,-126.65,-3.29,16.95,-67.02,-27.73,-2.23,-16.95,2.45,-7.63,114.1,10.82,0.0
1.0,1.0,45.85,32.8,114.26,101.05,5.56,133.61,-8.54,18.06,-6.04,-43.48,14.89,-37.46,-121.48,-44.65,2.0
2.0,1.0,13.21,26.78,133.48,105.79,10.23,9.88,-7.58,9.61,-6.39,-113.41,9.16,10.62,85.3,16.4,1.0
2.0,2.0,-4.01,-31.8,-12.42,-11.23,-6.36,92.02,-20.85,6.77,-3.91,-175.79,-2.43,-33.63,-96.99,27.15,1.0
2.0,1.0,-36.77,19.66,-199.92,62.29,7.43,-259.89,-4.01,54.12,8.46,226.88,5.55,9.1,-211.79,-27.44,1.0
2.0,1.0,21.2,45.1,220.57,-99.5,-14.95,91.38,2.5,-11.65,11.26,-45.12,8.23,27.54,84.62,1.01,0.0
2.0,2.0,-30.83,34.35,-115.87,5.92,-2.87,-27.66,31.61,-26.23,-8.88,278.39,-1.31,43.03,227.44,4.52,2.0
2.0,1.0,5.99,-33.36,-37.47,115.0,4.33,-69.85,-12.34,-20.16,7.22,-137.13,-0.07,-35.28,-403.3,-24.14,1.0
2.0,1.0,0.62,15.09,-16.01,1.31,6.07,253.6,-20.05,43.8,-7.25,-54.74,-5.09,-11.12,-15.47,11.85,2.0
2.0,0.0,29.51,45.06,113.34,124.53,7.32,156.64,23.4,12.41,-8.04,-76.38,6.14,34.06,-81.6,-40.31,0.0
2.0,1.0,-40.2,-25.91,-221.14,-53.61,-2.55,-304.32,12.12,-15.19,-1.28,-28.79,-0.19,-58.08,-331.68,-6.54,1.0
2.0,1.0,-5.4,-100.31,-93.79,39.87,4.65,-10.09,11.81,-30.83,-10.78,-54.42,-6.69,0.93,-27.51,-5.1,0.0
2.0,1.0,6.88,6.24,55.27,7.6,-0.57,150.59,3.92,-17.92,-1.84,107.58,4.14,0.81,52.77,-6.75,2.0
2.0,1.0,7.6,91.0,34.92,36.09,8.82,65.72,25.94,-11.5,-9.93,-155.52,1.18,-20.69,-152.32,-9.98,0.0
0.0,2.0,36.44,17.95,-128.01,87.7,-9.51,175.87,6.06,-9.22,-17.22,-270.61,-15.57,-15.93,169.31,16.65,1.0
2.0,2.0,4.63,61.13,60.52,-39.19,3.33,79.98,25.55,7.94,2.37,-213.34,17.53,3.69,-133.58,5.48,2.0
1.0,1.0,44.8,1.49,91.39,-24.51,10.73,-68.83,-14.52,-36.44,-1.44,-367.69,-3.49,-4.26,-148.83,-37.08,2.0
2.0,1.0,-1.23,66.38,-98.25,17.59,6.48,71.08,-23.81,-33.06,-4.12,-93.4,1.5,-55.17,-239.42,-6.6,1.0
2.0,1.0,-15.0,14.68,-48.12,-31.29,3.15,33.6,26.21,27.55,5.99,-119.56,-3.01,9.98,-35.13,30.54,0.0
1.0,1.0,4.3,-75.6,-65.6,-2.98,4.93,-16.66,23.96,64.17,4.48,-4.08,-1.46,-18.67,-121.87,-16.52,1.0
3.0,2.0,-17.98,-129.21,-63.2,66.85,12.71,-178.91,35.74,0.12,7.54,43.17,-11.56,-59.71,-482.03,-33.72,1.0
1.0,2.0,26.96,34.13,113.43,51.36,-5.32,-26.85,-30.41,27.07,-10.29,33.73,-3.14,-0.58,144.37,-20.14,2.0
3.0,3.0,9.94,54.83,101.75,-70.08,-5.66,93.93,-12.5,41.61,0.16,-208.57,12.59,12.99,-141.88,-10.01,0.0
2.0,1.0,-5.1,-5.84,-13.54,10.68,10.88,96.86,-15.92,-22.94,-14.28,-72.25,-1.18,-14.42,-4.54,7.72,2.0
1.0,1.0,9.97,10.96,57.18,71.75,9.37,268.5,14.74,52.18,3.89,-27.18,7.12,0.36,18.56,22.5,1.0
1.0,1.0,39.0,-75.73,129.9,7.44,-2.57,103.16,0.63,54.69,9.46,-214.33,-3.76,5.68,-217.2,-35.14,2.0
3.0,2.0,-13.92,-91.67,90.27,172.54,-0.2,63.93,-20.74,-7.01,-6.75,187.89,-5.1,-47.6,-128.65,9.03,2.0
2.0,0.0,-0.83,-7.78,52.67,84.12,0.87,-31.47,1.53,27.65,-7.84,-10.87,6.72,-1.97,0.88,3.3,2.0
0.0,2.0,6.52,7.53,-116.96,45.81,-8.52,20.07,34.03,66.69,11.67,-145.29,-10.1,-40.04,-247.39,5.41,1.0
3.0,1.0,-44.47,35.09,-135.08,-12.46,6.08,-59.23,2.81,-6.62,-3.14,254.08,9.58,58.77,167.13,11.21,2.0
2.0,2.0,-0.38,44.97,-17.43,32.52,2.93,135.29,-20.33,-19.18,-5.7,131.85,-1.62,25.04,194.78,6.08,2.0
2.0,1.0,16.95,-112.76,125.74,32.45,1.81,112.8,-32.53,-35.65,-2.61,-32.2,-3.06,-34.66,-80.0,-5.24,2.0
2.0,0.0,-4.18,-2.21,-105.55,51.48,5.57,37.7,-25.2,-7.53,7.57,106.39,-2.64,6.73,-135.13,-22.08,2.0
2.0,1.0,-11.52,-29.09,35.74,58.79,5.32,-292.06,8.41,-28.24,17.6,-138.58,1.54,-16.79,-396.72,-8.97,1.0
1.0,1.0,2.41,37.05,-160.72,70.91,6.1,-93.98,11.94,-24.98,-7.83,-10.38,2.76,38.57,-10.73,-34.99,0.0
1.0,2.0,2.66,-41.97,-72.23,51.58,10.18,-119.03,14.69,-21.58,2.02,1.19,-6.0,30.15,-66.72,-30.02,1.0
1.0,2.0,-8.24,-15.98,29.81,20.88,-3.7,184.61,-3.48,25.52,14.18,-66.16,9.13,2.88,-28.51,47.51,0.0
2.0,2.0,10.7,-107.36,69.69,114.39,1.59,-33.57,24.55,-11.69,-13.98,56.1,6.23,-70.28,-90.58,-12.36,2.0
2.0,1.0,1.66,64.48,40.7,-7.24,-0.25,38.5,8.98,46.15,-1.7,-168.73,6.42,26.39,-81.07,-1.93,0.0
2.0,1.0,0.56,137.22,-55.7,82.59,9.96,-16.91,-19.69,55.03,-3.48,-269.63,2.96,-33.48,-397.17,-14.49,2.0
2.0,2.0,17.89,-19.46,35.83,-56.4,-5.16,99.03,-9.19,18.01,-4.42,-185.05,-7.35,26.06,-29.05,-17.95,0.0
1.0,0.0,3.82,-11.12,-11.95,0.59,1.43,-220.03,33.83,5.89,11.47,-216.73,2.8,3.09,-266.78,-17.57,1.0
2.0,1.0,21.69,120.19,94.63,105.64,1.43,102.61,14.87,18.18,-13.16,121.21,10.71,-12.22,97.03,-20.74,2.0
1.0,1.0,10.73,-75.15,8.99,77.65,-0.56,420.87,-28.34,-6.36,-5.63,97.09,10.39,-3.25,169.46,26.3,2.0
2.0,2.0,6.47,-69.18,27.56,-45.82,1.26,167.48,30.73,50.69,-0.21,61.39,-9.45,4.57,-49.59,-22.64,2.0
2.0,1.0,-29.58,24.62,-124.11,14.57,11.07,-169.46,1.49,10.03,-4.84,373.18,3.59,-13.24,93.21,-13.25,0.0
2.0,2.0,-7.47,-25.93,-44.58,-51.51,11.55,-91.56,17.26,10.76,9.3,-131.81,-9.37,20.32,-272.52,-27.24,2.0
1.0,2.0,13.99,47.43,29.02,106.35,1.74,-134.04,40.53,31.06,-12.95,-70.87,2.93,-47.68,-112.7,-18.82,2.0
2.0,1.0,27.43,40.13,83.0,-29.21,11.82,21.05,-30.28,12.34,-6.63,-221.14,3.43,-56.42,-213.5,-26.41,2.0
1.0,1.0,19.92,-50.0,109.86,19.31,0.16,175.14,9.03,12.26,-2.02,-92.86,8.01,-28.83,21.77,15.96,1.0
1.0,2.0,7.35,-32.08,14.24,19.97,-2.48,88.76,-8.46,-37.86,-8.05,120.01,-8.4,-45.37,203.31,23.23,1.0
2.0,1.0,-59.24,30.13,-204.0,-16.14,-2.58,-253.44,38.84,-20.27,4.12,416.19,0.88,-22.48,-29.57,6.27,0.0
2.0,1.0,-10.76,-20.23,-77.05,93.02,12.53,-77.31,28.06,-22.72,-6.81,92.5,5.6,21.47,-30.37,-20.5,0.0
2.0,1.0,16.65,-45.19,110.52,0.5,-5.77,80.21,-34.22,16.02,-0.29,-3.83,-3.04,104.74,169.51,-27.51,0.0
2.0,1.0,-11.69,-62.64,89.92,-52.46,-3.83,-29.06,-3.4,78.58,-0.55,-92.25,-1.65,-32.83,-61.25,28.44,0.0
1.0,2.0,-18.94,-11.52,-59.91,172.57,-1.81,102.02,-21.07,-35.56,-9.11,110.78,0.52,20.22,262.84,55.6,2.0
3.0,0.0,-5.18,10.68,31.58,-42.57,7.14,202.93,0.58,-55.32,-0.83,-115.11,4.07,14.78,-116.35,3.3,2.0
2.0,2.0,-28.9,-68.88,-301.03,107.27,9.24,146.85,-3.92,-15.99,-9.61,299.9,-7.34,15.49,138.18,5.78,2.0
2.0,0.0,-11.24,56.32,33.63,-27.84,12.07,35.59,13.24,18.17,15.25,140.05,-5.8,69.18,162.94,11.94,0.0
