cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,target
1.0,2.0,2.0,1.0,3.34,47.84,-15.03,8.2,69.67,-178.54,-8.32,-207.47,-29.95,48.81,4.07,13.06,5.73,54.94,7.86,1.0
1.0,1.0,1.0,1.0,4.07,-52.58,26.56,0.06,-32.71,-25.72,-44.37,129.2,-1.89,-44.72,-5.81,-6.01,5.87,89.09,40.16,0.0
2.0,1.0,2.0,2.0,-2.12,-39.38,-4.81,29.73,-24.69,-170.77,-125.78,206.48,16.91,-59.19,11.64,-8.27,38.69,-104.84,-32.08,1.0
2.0,0.0,2.0,2.0,-0.56,5.79,33.16,-2.08,-37.88,45.28,8.17,38.24,-5.55,-22.97,16.17,-23.9,15.91,137.99,-35.67,0.0
2.0,2.0,3.0,3.0,19.81,102.16,-13.52,-49.22,-10.65,89.45,-64.97,-378.35,-21.29,16.33,10.53,33.48,5.11,134.15,12.04,1.0
2.0,2.0,2.0,2.0,-1.21,9.4,31.76,-90.82,-131.58,-89.66,17.75,0.74,6.2,-9.16,18.85,-20.43,13.23,136.99,-16.86,0.0
1.0,2.0,2.0,1.0,-9.89,37.82,-5.51,-8.88,6.22,160.87,-101.82,-14.11,5.66,-105.81,14.95,-64.01,-2.6,-13.51,-25.01,1.0
2.0,2.0,1.0,1.0,-5.7,-28.46,25.4,102.54,106.82,-142.71,-103.8,-137.34,-1.5,11.12,39.49,39.49,9.23,74.96,21.47,1.0
0.0,0.0,3.0,1.0,8.74,56.57,2.05,6.06,-144.89,-8.79,7.1,329.85,-9.74,-37.25,16.6,-271.42,17.58,-136.64,-60.41,1.0
1.0,1.0,1.0,2.0,5.5,-1.03,33.87,-31.22,-66.0,78.02,-45.59,88.93,15.02,32.09,5.87,-93.73,-8.57,31.32,-115.15,0.0
2.0,1.0,0.0,1.0,-6.12,-103.97,-8.92,-0.59,99.13,-116.28,-26.47,97.75,-2.09,-30.38,-8.62,191.58,1.44,50.98,-52.81,1.0
1.0,1.0,1.0,1.0,-5.88,-88.26,-52.71,-49.05,58.03,-19.74,-78.56,30.84,-7.88,11.98,9.09,188.76,-15.25,74.15,32.11,1.0
1.0,2.0,2.0,1.0,10.55,181.82,24.98,-15.09,-3.25,-22.66,-78.3,-183.66,15.59,13.87,-5.17,-130.8,-3.69,-76.56,-195.17,0.0
2.0,1.0,1.0,1.0,-11.26,-67.06,-13.39,-1.33,40.04,71.93,-55.74,103.54,1.35,-12.98,-60.64,116.52,16.34,70.92,-101.84,1.0
1.0,1.0,1.0,2.0,1.66,-55.53,-23.31,53.69,34.88,-179.92,80.46,130.5,3.61,-33.87,-23.81,16.63,11.01,-138.83,-65.02,0.0
1.0,0.0,1.0,2.0,0.61,-26.92,2.36,6.08,15.19,9.9,-63.15,40.72,16.24,-45.29,29.84,-24.88,-7.57,6.33,-40.07,0.0
0.0,2.0,2.0,1.0,8.37,153.8,-12.03,-36.34,41.06,-80.5,-75.97,-238.3,-9.68,13.21,2.32,-157.07,-7.95,-166.74,-11.61,0.0
1.0,1.0,1.0,2.0,5.24,-24.32,10.62,-34.13,-79.11,42.7,-75.16,92.45,-11.06,44.28,30.45,-28.51,12.19,15.97,-124.38,0.0
2.0,3.0,1.0,2.0,-8.95,-14.02,7.94,-48.96,-106.76,8.73,-6.07,-47.92,-28.81,26.53,-25.7,16.09,17.31,186.28,-29.37,0.0
1.0,1.0,3.0,3.0,2.47,-121.95,7.45,40.6,54.14,62.89,-6.81,187.44,-17.17,-13.84,19.23,-28.11,16.24,23.78,106.61,0.0
1.0,2.0,2.0,1.0,10.76,117.87,20.85,12.08,10.48,40.83,26.8,-122.55,9.8,-52.42,12.06,-100.53,-0.72,-95.2,-115.6,0.0
1.0,1.0,1.0,1.0,-19.07,58.63,-22.1,35.07,65.94,-9.7,-53.51,-139.5,-6.61,-45.33,-14.43,-64.02,1.76,-129.74,-7.55,0.0
1.0,1.0,2.0,1.0,-8.3,27.98,-7.25,80.49,103.24,30.45,-28.46,-127.71,7.83,-26.1,-12.76,-38.34,10.51,26.58,49.07,1.0
2.0,1.0,1.0,2.0,-13.98,-50.66,-2.02,15.19,-102.08,-15.05,71.5,9.57,-0.92,-16.29,12.75,15.56,0.9,26.63,110.76,0.0
2.0,2.0,1.0,2.0,6.23,-40.86,37.37,-15.47,32.37,-40.29,-68.34,-46.42,13.12,27.05,22.37,65.4,13.61,52.68,-43.97,1.0
2.0,2.0,1.0,2.0,6.85,-93.56,-53.02,48.24,27.54,88.66,-71.47,231.13,13.91,-38.65,21.26,120.08,0.28,45.99,-237.37,1.0
1.0,1.0,2.0,0.0,11.32,-8.72,14.02,10.26,82.9,3.46,-96.71,55.64,1.29,-47.52,12.57,5.95,9.83,-27.61,125.72,1.0
1.0,1.0,1.0,2.0,-0.21,-154.34,-21.01,7.66,-3.78,-6.59,95.67,32.78,-5.16,61.4,15.79,126.72,-18.99,234.93,25.42,0.0
2.0,1.0,2.0,1.0,7.67,5.33,-3.13,-13.54,100.21,91.01,-23.59,-153.86,-5.89,16.77,-14.07,69.73,-5.87,86.3,124.71,1.0
1.0,2.0,2.0,1.0,12.23,67.48,56.95,-1.36,-127.15,54.63,-33.78,48.0,-25.86,15.45,8.03,-180.45,18.42,-51.81,0.89,0.0
1.0,2.0,2.0,3.0,15.15,-131.58,-41.42,-88.25,-87.24,72.31,55.04,71.75,1.61,47.3,38.44,108.21,-2.1,158.56,97.78,1.0
2.0,1.0,2.0,2.0,-9.69,-18.31,-16.4,68.61,5.92,-70.08,-169.03,25.1,0.69,-20.09,42.29,-16.85,-6.15,-25.05,-111.21,1.0
1.0,1.0,1.0,1.0,-7.57,182.11,-28.91,55.06,-45.72,-50.0,-106.23,-273.42,6.92,11.94,1.14,-79.27,9.23,-201.47,-74.14,0.0
1.0,2.0,2.0,1.0,-22.85,-2.12,0.75,13.86,-49.9,-54.65,-79.32,19.36,-14.12,13.56,-5.96,-51.8,-25.55,45.82,4.64,1.0
1.0,2.0,1.0,2.0,3.75,-159.15,13.72,-14.99,30.41,-192.58,9.28,240.75,-14.45,9.39,-8.78,40.8,20.12,88.84,-39.61,0.0
1.0,2.0,1.0,2.0,-12.97,15.58,33.39,5.64,-43.03,58.88,27.55,31.44,-4.47,66.28,17.92,-125.84,9.42,-10.08,-67.13,0.0
1.0,2.0,2.0,2.0,6.27,-1.77,3.46,11.11,-50.6,27.22,-120.27,45.59,-20.77,-14.06,-13.2,-87.98,-22.08,48.62,-1.96,1.0
2.0,1.0,1.0,1.0,3.59,-45.37,-25.66,99.15,72.49,-74.97,204.77,-12.68,35.31,-40.34,-9.63,129.51,-13.6,19.58,-144.02,1.0
1.0,3.0,2.0,1.0,-10.57,107.76,-25.09,-0.76,59.02,-67.0,34.55,-262.02,35.93,32.65,-19.78,-2.45,5.97,-19.76,126.83,1.0
1.0,2.0,2.0,2.0,10.87,-81.01,31.5,50.7,-87.36,47.92,-48.06,152.77,-6.95,-22.59,-6.96,-103.0,5.36,73.29,59.33,0.0
1.0,1.0,2.0,2.0,0.16,-43.02,15.86,4.21,-53.9,-160.43,89.92,65.87,-4.38,-18.66,-3.11,-112.11,8.58,-102.06,123.62,0.0
1.0,2.0,2.0,2.0,-3.78,-45.82,24.63,43.09,7.29,-4.88,137.08,139.65,-10.75,9.47,5.78,-87.46,-0.42,89.94,-78.43,0.0
2.0,2.0,1.0,1.0,-15.71,-131.4,-31.68,-37.81,91.77,-78.47,89.52,88.62,-3.95,47.1,6.92,221.36,-3.69,98.53,35.28,1.0
1.0,1.0,2.0,2.0,-0.62,-20.87,22.55,-0.69,5.12,-63.04,-40.96,62.32,-6.48,-7.47,-12.55,-36.94,-1.27,22.39,90.38,1.0
1.0,2.0,1.0,2.0,-10.79,-42.55,20.6,60.01,-73.59,-23.6,-51.31,81.63,6.52,12.46,-38.65,-65.26,-5.43,44.19,-13.96,0.0
1.0,2.0,2.0,1.0,2.19,84.68,-2.13,-47.69,-3.83,-76.74,132.15,-135.33,4.29,57.49,10.88,-46.16,13.3,60.74,-107.98,0.0
2.0,1.0,2.0,2.0,0.24,33.37,9.59,16.84,-14.81,-26.41,81.24,-195.15,15.33,-30.88,-8.54,-3.46,-4.93,59.59,31.76,1.0
1.0,1.0,1.0,2.0,-2.17,43.92,23.53,-21.32,-57.66,-68.33,44.09,-38.46,12.99,9.84,-8.5,-74.73,-16.25,4.24,-81.0,0.0
1.0,3.0,2.0,2.0,-5.18,-152.14,13.57,3.42,34.42,2.0,-16.68,163.56,-42.31,-36.38,2.72,11.66,13.06,197.84,99.37,0.0
2.0,1.0,2.0,2.0,-6.02,9.29,11.87,52.07,-25.35,46.7,-121.08,-122.42,15.6,19.3,-14.52,-27.34,-1.43,73.42,61.6,1.0
2.0,2.0,1.0,3.0,3.51,-61.94,41.86,-102.79,-198.45,90.89,-82.37,126.68,-8.25,20.37,7.06,-23.57,1.36,181.1,-83.27,0.0
1.0,1.0,2.0,1.0,-6.03,57.28,-11.76,32.14,-18.03,63.39,109.32,-108.52,-9.89,-8.44,42.78,-67.32,-0.57,22.45,60.58,1.0
2.0,1.0,1.0,2.0,-3.29,-130.68,-45.25,76.17,117.36,-107.85,138.99,154.56,6.27,-18.97,34.83,140.2,-23.45,119.5,-249.17,1.0
1.0,1.0,1.0,1.0,-7.89,-43.79,22.4,-113.44,69.17,-27.57,-17.27,5.9,17.23,12.8,-4.25,95.23,-24.27,101.8,71.99,1.0
1.0,2.0,2.0,2.0,-0.47,-62.6,-47.12,55.44,48.59,-47.88,-115.12,-43.7,-5.72,-28.71,-3.47,38.18,-19.11,-72.06,154.77,0.0
1.0,1.0,1.0,2.0,-9.46,-51.91,-3.24,-88.35,-3.36,-59.1,108.61,27.48,-7.48,20.56,-33.37,21.01,0.56,141.41,-66.63,1.0
1.0,1.0,2.0,2.0,6.91,-101.84,0.11,-49.43,43.83,-112.39,-54.29,59.47,11.46,18.6,-2.98,7.35,1.45,155.6,73.47,0.0
1.0,1.0,2.0,1.0,-6.7,-40.98,21.37,-0.78,-57.33,125.26,27.05,99.52,-11.48,-4.58,-20.4,-19.93,15.34,79.61,63.57,1.0
1.0,2.0,2.0,1.0,14.01,6.84,10.82,28.33,-56.75,56.2,23.14,-70.32,8.02,-32.99,16.08,-39.8,5.11,93.14,51.93,0.0
2.0,2.0,2.0,2.0,6.64,-1.6,17.74,37.8,-41.51,-117.54,-28.67,63.86,29.69,26.86,25.78,-44.41,4.19,25.1,-25.99,0.0
0.0,2.0,3.0,1.0,-19.41,46.86,-16.37,26.28,-37.8,89.18,-24.38,152.59,2.44,12.6,-6.18,-163.9,1.41,-47.86,44.06,1.0
1.0,2.0,1.0,1.0,-1.01,168.49,20.26,-36.72,-144.7,73.87,22.81,-183.3,-8.7,-7.08,-52.23,-169.31,24.14,-82.55,-195.2,0.0
1.0,1.0,1.0,2.0,-14.67,118.64,17.08,-28.48,-27.45,-113.75,-94.71,-86.92,11.88,22.96,31.2,-83.75,-0.37,-133.6,-213.88,0.0
1.0,2.0,2.0,1.0,-10.17,38.95,-12.15,-86.27,-42.95,44.99,-51.79,-119.95,13.37,11.85,27.72,-11.3,24.35,17.11,91.43,1.0
1.0,1.0,1.0,2.0,-7.05,-114.6,0.96,-16.29,0.88,81.62,60.72,118.51,1.28,-48.88,8.12,85.72,4.77,127.6,32.01,0.0
2.0,2.0,1.0,2.0,-4.51,-101.61,-35.42,6.32,-36.88,35.76,-129.24,66.51,-26.28,10.8,-9.93,118.37,21.63,56.12,-20.73,0.0
1.0,2.0,1.0,1.0,-0.47,8.12,-12.06,-63.62,-4.09,90.98,6.31,-47.7,-14.43,-2.57,-24.43,47.09,9.25,131.31,-118.37,1.0
1.0,2.0,1.0,1.0,-7.09,-146.73,-28.51,-69.34,167.46,54.39,4.21,86.76,4.12,17.39,-1.75,234.86,-4.6,187.84,-38.12,1.0
1.0,2.0,2.0,2.0,-9.19,49.19,-22.79,-48.55,-1.29,-53.33,-93.21,-197.53,-0.29,27.11,9.45,-4.0,24.35,136.8,-58.86,1.0
1.0,2.0,1.0,1.0,8.31,-28.88,-3.8,5.38,28.07,190.42,50.72,73.8,-7.47,-53.0,2.32,7.36,-3.04,15.67,-72.32,0.0
1.0,2.0,1.0,1.0,5.16,128.63,-17.68,-41.1,-27.32,115.27,-2.19,-229.34,-4.6,-48.61,36.68,-29.91,29.45,-5.38,-130.15,0.0
1.0,2.0,1.0,1.0,-5.18,-78.68,-17.11,0.66,53.13,-87.53,22.8,36.48,-12.65,-24.02,10.49,124.55,-12.99,164.1,56.39,0.0
3.0,1.0,1.0,2.0,1.61,-27.25,-26.81,153.78,130.26,53.5,-13.59,137.02,-12.94,-17.25,4.74,103.72,-7.2,-59.89,-261.59,1.0
1.0,1.0,3.0,2.0,-3.63,173.52,13.58,-12.41,-70.37,113.22,77.02,-171.6,-22.85,-58.3,-16.47,-252.9,11.76,-96.89,-99.29,1.0
1.0,1.0,0.0,1.0,-3.55,-62.73,18.47,89.39,181.42,5.44,-54.34,-146.06,14.79,30.23,-4.55,108.91,12.26,51.17,77.28,1.0
1.0,1.0,1.0,1.0,-5.94,80.01,22.79,-62.44,-27.07,96.15,-53.66,-188.02,-23.56,-7.88,-11.01,-36.16,-1.72,57.39,-4.58,1.0
1.0,1.0,2.0,1.0,-2.54,31.0,60.99,-58.01,-35.46,-37.93,-116.66,150.25,17.8,-6.22,-19.68,-97.28,11.41,34.73,-31.92,0.0
0.0,1.0,1.0,1.0,7.82,157.88,-6.44,-34.75,-0.74,24.68,6.94,-260.41,-12.66,-9.81,7.01,-115.49,22.01,-111.17,-114.88,0.0
1.0,3.0,2.0,1.0,7.59,-41.33,14.31,-1.58,70.29,31.61,-10.52,64.08,0.79,-8.27,9.7,10.99,20.89,66.85,56.39,1.0
1.0,2.0,2.0,2.0,6.78,-4.44,-19.51,55.56,6.79,221.92,29.56,-1.78,-12.91,-19.36,12.26,-31.15,19.14,17.49,-163.62,1.0
1.0,1.0,2.0,2.0,-3.41,-27.96,13.33,-53.19,25.44,-36.11,6.06,3.56,-3.7,6.2,-5.01,-19.66,-12.91,79.68,25.15,0.0
1.0,2.0,2.0,2.0,-8.8,74.84,35.75,-16.26,-107.76,-49.5,34.22,3.45,-27.87,21.55,5.63,-210.56,-7.81,-42.77,-83.42,1.0
1.0,2.0,2.0,2.0,11.43,-103.79,-5.17,41.27,19.04,-19.55,-31.77,70.94,-5.03,57.62,-28.3,-9.71,0.42,59.41,106.91,0.0
1.0,3.0,1.0,2.0,1.18,-102.23,4.31,-16.27,-41.21,17.43,-50.93,144.19,9.86,0.37,-41.7,60.92,-13.94,155.31,-57.71,0.0
2.0,1.0,1.0,2.0,8.34,-98.5,-33.87,39.32,49.88,168.42,-1.04,67.87,-6.47,41.72,-24.06,152.58,21.48,49.96,-63.32,1.0
1.0,1.0,1.0,2.0,-2.1,17.52,8.95,33.76,-65.37,24.97,-114.5,-32.72,0.87,-72.11,-11.32,-79.16,11.98,-115.92,55.64,0.0
1.0,2.0,1.0,1.0,-8.55,-14.24,11.77,-101.83,21.9,-183.05,-41.58,-1.25,1.76,-13.07,-39.03,49.46,-8.34,114.68,-60.4,1.0
3.0,2.0,2.0,1.0,-8.57,-13.34,9.62,56.35,-127.1,2.99,8.89,17.92,35.41,71.86,24.57,8.64,-3.47,68.97,96.56,0.0
1.0,1.0,1.0,1.0,-6.99,91.77,-23.29,49.54,-28.18,-50.62,-60.54,-153.16,-10.03,5.11,1.13,-86.41,16.73,-234.55,47.52,0.0
1.0,1.0,1.0,2.0,10.78,13.48,-68.59,-2.97,87.82,105.26,62.21,-162.88,-31.89,32.53,50.43,102.08,6.21,-67.15,-44.58,0.0
2.0,2.0,2.0,1.0,-10.34,26.5,7.35,-46.71,-40.93,38.15,85.83,-72.31,0.05,34.58,-14.61,13.24,0.29,61.16,11.79,1.0
1.0,2.0,2.0,1.0,-7.17,4.81,-9.92,53.62,79.78,-113.3,149.19,-120.96,-8.91,-61.24,-11.21,-3.89,11.32,8.17,156.25,1.0
1.0,2.0,2.0,2.0,-11.84,-45.77,4.19,-181.98,-44.09,56.66,0.46,-104.43,-2.74,26.23,3.58,30.55,-13.27,212.0,151.28,1.0
2.0,2.0,2.0,3.0,4.78,-68.15,-21.81,1.73,55.78,-12.66,-115.08,21.09,16.25,-20.55,18.3,106.0,5.54,43.81,94.21,0.0
2.0,1.0,1.0,1.0,-3.1,-34.03,-22.72,-40.9,-38.45,67.63,-9.62,-24.37,0.47,-14.21,11.43,98.14,5.62,184.43,-96.48,0.0
0.0,1.0,1.0,2.0,-4.02,12.23,-19.23,-40.32,49.55,90.43,64.29,-120.57,-11.88,-36.95,0.83,-43.75,-17.58,7.09,-21.7,0.0
2.0,1.0,3.0,1.0,-4.5,221.34,37.97,4.24,-80.71,-47.93,29.87,-262.39,7.32,18.83,-1.76,-193.31,-3.58,-121.59,11.49,1.0
1.0,2.0,1.0,2.0,-16.96,-64.52,-3.21,8.63,-43.97,73.95,-81.62,38.39,0.65,0.45,29.72,11.93,10.98,105.17,-62.81,0.0
1.0,2.0,2.0,1.0,-0.68,93.65,6.98,-126.32,-79.64,-147.21,25.03,-126.06,8.95,-9.81,3.73,-113.7,32.43,3.13,75.79,1.0
1.0,3.0,1.0,1.0,-0.78,-19.66,40.67,-127.33,-47.98,89.13,-66.41,-65.05,2.75,-12.76,-6.49,43.09,-10.92,109.2,170.9,1.0
1.0,2.0,2.0,1.0,-1.43,42.47,4.14,-37.12,106.01,-49.84,42.23,-17.47,-20.06,-34.37,1.58,-5.54,-11.71,-27.48,49.91,1.0
1.0,2.0,2.0,1.0,-19.02,-16.14,12.95,13.4,-50.37,-35.18,-23.71,12.08,8.91,0.85,-7.42,-28.59,-10.54,69.11,39.52,1.0
1.0,1.0,1.0,1.0,4.87,94.03,-6.43,10.6,-85.0,41.68,-18.06,-132.07,-9.07,17.82,-5.5,-100.2,4.1,-186.81,-2.62,0.0
0.0,1.0,1.0,1.0,-8.38,112.6,45.11,-35.11,-52.07,-81.93,-32.65,-57.53,-19.96,27.77,-9.98,-212.99,-3.26,-5.84,-218.87,0.0
2.0,1.0,1.0,2.0,-3.52,1.78,-10.73,91.41,-49.73,72.11,52.64,-13.32,-9.74,-40.56,-2.1,-49.12,-5.81,-122.1,33.12,0.0
2.0,2.0,2.0,2.0,-3.68,7.67,20.26,-51.4,-42.47,-192.78,-96.04,47.31,-2.21,-21.02,44.35,3.34,-2.82,47.95,-36.84,1.0
1.0,1.0,2.0,1.0,-5.79,-48.46,14.33,-63.12,59.57,24.02,-82.65,205.23,-41.46,-3.79,-27.32,43.82,-2.04,14.06,-43.15,0.0
2.0,3.0,2.0,1.0,3.36,108.2,34.53,-5.36,-70.31,-107.72,38.15,-35.46,-18.65,-9.55,16.79,-129.89,4.01,-85.7,-48.44,1.0
2.0,1.0,2.0,2.0,5.59,56.92,-18.05,-10.09,169.64,-12.62,-77.15,-297.81,23.72,-2.67,6.97,89.67,11.22,78.23,28.35,1.0
2.0,2.0,1.0,2.0,-2.39,-75.58,29.38,8.84,-83.72,36.93,-90.46,117.72,2.17,4.25,0.91,-21.5,-17.9,85.98,49.66,1.0
2.0,3.0,1.0,2.0,4.85,-138.05,-15.34,-46.69,89.08,-8.44,-8.42,199.25,15.28,-11.56,2.66,201.82,29.63,132.73,-40.23,1.0
1.0,2.0,2.0,2.0,-4.96,-10.65,-31.12,13.44,21.87,45.8,-11.8,-117.99,-17.48,-24.76,0.69,-2.75,7.48,58.15,-51.83,1.0
1.0,1.0,1.0,1.0,8.31,-203.4,-13.76,-16.36,99.84,28.17,70.0,254.07,13.56,-7.26,15.04,201.24,2.62,190.06,52.59,0.0
0.0,1.0,2.0,2.0,-0.33,8.84,30.92,-2.69,-36.96,-45.47,20.27,38.18,21.54,55.98,-4.41,-177.88,-35.46,-59.27,41.29,0.0
2.0,3.0,1.0,2.0,-9.81,-54.22,40.22,18.36,13.01,106.66,94.8,84.15,28.22,-1.67,-5.75,-0.99,-4.62,76.2,-46.5,1.0
1.0,1.0,2.0,1.0,-5.73,56.8,31.99,-72.73,20.54,26.98,81.17,-45.36,22.28,4.92,-23.58,-23.36,-8.21,-14.15,23.08,1.0
1.0,1.0,2.0,2.0,7.46,-15.53,-24.06,5.39,7.05,224.36,-143.47,-12.84,-23.35,-6.57,44.88,-4.82,14.64,-0.9,-11.69,1.0
1.0,2.0,1.0,1.0,7.27,-39.91,-23.58,-59.41,-17.29,127.06,24.39,86.69,19.65,26.25,13.15,47.38,-10.32,107.42,-195.02,1.0
1.0,2.0,2.0,2.0,-3.75,52.28,12.82,-39.04,-2.39,4.49,14.85,-86.8,25.8,75.53,22.08,-48.99,-11.38,22.61,-29.01,0.0
1.0,2.0,3.0,1.0,1.39,58.34,-9.07,-44.73,86.76,-23.06,56.45,46.78,15.55,-1.17,3.89,-57.76,16.24,-71.67,11.16,1.0
1.0,2.0,2.0,1.0,13.91,138.01,-6.71,-22.5,9.36,64.76,-37.12,-184.98,4.96,32.56,2.59,-72.78,-9.77,-17.38,-100.94,0.0
1.0,1.0,1.0,2.0,-8.53,0.63,-5.16,26.29,-37.76,11.41,-93.84,-34.75,9.79,8.16,-9.57,-56.17,6.75,-3.01,7.96,0.0
1.0,2.0,2.0,2.0,11.76,20.95,-0.02,-34.02,68.63,-53.7,65.95,-100.83,-3.44,29.3,43.18,-17.18,9.28,-45.74,20.78,0.0
1.0,3.0,2.0,2.0,-1.01,-105.88,-36.75,-107.09,-65.98,189.81,41.95,320.17,4.46,18.16,-28.35,24.86,2.95,128.78,-181.19,1.0
3.0,1.0,2.0,1.0,0.87,-44.19,-13.14,-23.72,-91.52,121.92,-37.46,119.94,-9.5,20.23,-27.41,108.28,5.18,-74.51,168.45,1.0
1.0,2.0,1.0,1.0,-1.64,-34.12,14.27,-26.38,-41.48,35.35,-81.82,15.42,-3.93,-13.84,7.95,-39.58,0.63,200.27,-127.14,0.0
0.0,1.0,2.0,2.0,-3.16,148.04,4.87,-15.08,20.45,-120.95,32.03,-135.28,-1.35,-96.49,15.53,-174.21,2.97,-178.4,-117.17,0.0
1.0,1.0,1.0,1.0,-0.74,97.63,-13.05,34.35,-33.26,220.88,71.7,-160.26,-3.48,18.7,-9.79,-57.96,6.2,-161.22,-3.2,0.0
2.0,1.0,1.0,1.0,-5.55,-68.83,-20.23,-64.69,-65.47,63.81,31.5,30.08,-10.49,11.77,-6.33,138.55,-7.21,279.3,-147.53,0.0
2.0,2.0,2.0,2.0,16.31,15.8,0.14,37.11,-32.7,87.1,-106.88,-39.37,18.28,6.38,-2.11,-60.7,-8.02,-198.91,123.07,0.0
2.0,3.0,1.0,2.0,4.17,-73.22,-31.63,13.19,-31.89,-38.07,-27.52,94.63,-11.87,-21.25,-6.21,94.13,-24.96,32.81,-44.09,1.0
1.0,1.0,2.0,1.0,-9.0,109.03,33.1,-8.29,-42.46,-15.78,-44.03,-95.27,-17.63,23.37,10.21,-171.35,-11.48,-88.07,-3.06,0.0
1.0,1.0,2.0,2.0,1.69,27.7,0.74,-36.78,-63.49,25.99,-25.38,-5.91,5.06,-34.16,-15.22,-43.29,-1.43,41.91,50.57,1.0
2.0,1.0,1.0,1.0,5.8,-45.23,10.49,-27.28,-170.81,-53.9,-59.15,-101.9,-6.7,-28.19,26.56,26.41,-1.75,298.64,50.7,0.0
1.0,1.0,3.0,2.0,7.91,79.01,11.25,-33.47,-66.79,19.51,-100.66,-55.36,5.08,10.99,11.52,-148.88,1.58,-20.93,-40.15,1.0
1.0,2.0,2.0,2.0,-5.05,67.62,-27.66,-49.1,112.02,-45.43,-102.28,-194.93,-4.2,-1.41,-7.72,25.05,-27.82,-24.87,16.02,0.0
1.0,1.0,2.0,2.0,-6.71,20.11,-30.61,22.12,0.78,-39.24,21.37,-74.11,3.61,16.75,-3.35,-2.93,-26.59,-5.49,-53.35,1.0
2.0,1.0,1.0,2.0,-5.73,-0.8,-24.58,-43.47,-10.2,-11.55,19.88,49.53,-3.12,-37.81,-16.54,52.52,4.96,-61.49,-112.81,0.0
2.0,2.0,1.0,2.0,-0.57,-130.36,-34.31,-60.0,-0.92,-126.79,-17.69,95.72,10.68,-63.46,3.06,169.83,6.87,145.58,46.55,1.0
1.0,1.0,1.0,2.0,2.99,-15.4,49.59,-7.96,-101.14,14.39,-22.99,112.93,9.23,61.68,6.2,-157.09,-26.4,2.16,-83.02,0.0
1.0,2.0,1.0,0.0,7.29,221.73,52.11,-19.94,-115.02,-144.98,-16.31,-148.95,2.48,-5.11,24.83,-253.43,-6.27,-66.85,-330.14,0.0
