cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,target
1.0,1.0,0.0,1.83,207.75,167.02,-16.47,241.8,1.58,52.3,-333.87,-414.13,-5.97,40.56,-12.5,55.04,-36.07,-11.22,-60.67,64.59,-6.87,0.0
0.0,1.0,0.0,-12.76,140.85,128.05,-96.47,80.71,54.35,-21.44,-94.27,-95.59,-50.37,36.84,87.29,-57.5,-34.15,-49.01,-21.93,0.15,35.12,0.0
1.0,1.0,1.0,-10.92,87.28,163.59,208.88,215.73,-55.25,9.32,308.97,320.94,55.36,11.82,-63.47,84.58,79.1,20.79,-7.71,-8.96,15.77,0.0
0.0,0.0,1.0,14.44,-52.47,93.01,-116.68,-84.83,39.36,-14.19,163.88,218.63,-16.24,-7.77,98.57,-11.29,14.09,-14.53,53.86,62.88,-8.12,0.0
0.0,1.0,1.0,0.7,141.56,50.51,-12.55,172.58,-66.86,50.09,35.31,-368.96,3.46,-18.23,-67.58,-99.76,-35.51,28.22,-40.59,52.15,-3.6,0.0
1.0,1.0,2.0,27.52,-196.6,55.5,-77.62,53.33,-50.51,-24.47,-187.88,-191.81,-3.93,73.89,-8.47,-11.68,13.91,15.72,-39.2,8.71,11.18,1.0
1.0,1.0,0.0,5.12,46.86,96.3,-355.82,-190.49,55.81,-2.52,173.67,-125.05,8.97,-48.57,5.32,-43.05,26.75,17.49,-30.74,85.56,-1.42,1.0
1.0,0.0,1.0,5.92,-69.7,31.03,-40.41,35.12,85.27,52.95,-358.6,-129.08,64.9,-14.84,27.08,100.44,-25.09,-28.5,102.14,2.1,7.31,1.0
0.0,1.0,1.0,9.74,129.64,97.02,-51.22,161.96,-17.04,-17.46,-369.99,-394.06,-120.12,-36.64,38.25,74.19,-21.04,-29.81,92.58,32.37,-19.64,0.0
1.0,1.0,1.0,10.5,-6.15,-59.88,-77.04,-62.12,10.86,10.05,-72.0,-257.96,-49.25,9.0,109.45,213.73,-51.34,-14.92,-30.56,4.93,-6.16,1.0
1.0,1.0,1.0,15.97,-139.49,-13.08,-24.01,17.87,-24.0,24.38,-44.81,-112.92,-41.42,22.34,50.74,61.98,-54.01,10.6,-12.77,53.49,13.97,1.0
0.0,1.0,0.0,-13.41,166.21,-108.68,47.7,9.49,14.22,15.21,145.29,-155.78,7.94,-92.78,33.79,75.75,12.72,-36.7,59.86,-68.34,-15.81,0.0
1.0,1.0,1.0,-18.11,83.38,15.1,79.85,68.24,81.39,-23.98,147.71,98.74,72.44,64.27,-30.38,83.82,-1.31,57.71,-4.52,-112.15,17.72,0.0
1.0,1.0,1.0,10.6,-97.17,-45.51,-25.38,-18.84,13.27,-2.89,-118.5,-136.9,-10.44,16.54,-36.67,-74.88,-3.09,-0.99,2.61,42.45,6.79,1.0
0.0,0.0,1.0,-9.53,102.71,16.92,-197.23,-18.52,19.63,12.24,-240.46,-291.85,-39.78,-49.75,5.91,-140.62,1.99,55.84,-12.51,-0.44,-33.76,0.0
0.0,0.0,1.0,9.54,48.25,118.21,-150.96,35.51,-77.69,4.94,-132.1,-136.74,74.01,31.35,10.33,-133.79,-22.9,-15.32,-33.09,15.64,-3.71,1.0
1.0,1.0,1.0,12.03,-114.41,-40.13,-45.29,11.35,33.09,-58.81,4.35,-230.44,-12.03,-56.47,-151.43,101.55,-123.88,-8.02,48.92,-6.55,6.77,1.0
1.0,1.0,1.0,3.94,-123.66,-51.75,-69.6,-51.8,51.09,28.49,-182.32,-129.98,-16.21,36.31,86.75,47.41,56.9,29.79,54.43,-121.83,-1.18,1.0
0.0,0.0,2.0,13.45,103.62,174.68,-90.96,50.7,68.04,12.38,-76.46,20.33,-119.72,29.74,10.82,-31.84,166.56,1.06,37.68,-7.09,12.42,0.0
1.0,1.0,1.0,19.9,-102.68,-6.18,-165.73,-104.35,-8.43,-27.2,-31.79,-205.84,74.49,20.58,-61.36,-154.25,-34.68,5.15,-98.04,33.22,-2.54,1.0
0.0,0.0,1.0,16.13,132.55,145.48,-48.24,115.01,-2.43,41.91,-192.51,-191.37,-16.84,21.7,-82.6,-68.58,20.34,17.15,15.97,50.19,18.37,0.0
1.0,1.0,1.0,11.55,29.0,77.15,-187.84,-114.76,-74.02,36.71,199.25,-5.44,88.41,8.63,-125.56,33.67,-34.09,-18.74,-49.56,-21.15,21.54,1.0
0.0,1.0,2.0,0.7,-124.59,-41.46,-184.21,-104.39,-47.55,-32.29,210.06,-94.23,16.82,48.92,64.26,-22.57,-88.46,-2.19,-66.99,-20.01,20.84,1.0
1.0,1.0,0.0,17.98,-32.62,105.73,44.15,117.14,-0.13,-67.63,-37.82,-54.77,-102.23,-15.2,-80.69,-26.98,-64.12,-34.5,14.11,-77.14,9.84,1.0
1.0,1.0,0.0,18.23,-235.12,91.41,-112.92,20.13,-12.78,1.5,-241.5,-44.58,-5.94,41.77,39.74,-19.88,-38.17,-48.41,-96.53,5.57,3.24,1.0
1.0,1.0,1.0,20.02,-103.51,10.65,-114.54,-35.62,46.34,-39.52,-114.22,-199.81,-23.34,-12.33,-115.38,81.2,59.44,-41.99,30.0,-1.67,17.28,1.0
0.0,1.0,2.0,-21.25,270.38,39.66,73.76,153.18,-12.77,41.29,245.64,-120.51,52.63,-9.12,19.77,-45.69,-19.95,-22.63,25.07,-39.04,4.6,0.0
0.0,1.0,1.0,-0.54,94.59,-195.92,-252.22,-261.82,19.76,54.28,93.9,-360.44,43.99,-45.31,223.51,43.58,54.99,-20.04,99.09,-90.77,-5.71,1.0
1.0,1.0,0.0,-2.98,-33.95,14.64,-126.06,-44.13,-46.04,0.27,170.61,-77.67,16.8,-3.67,144.83,-36.05,-5.67,18.64,57.8,25.56,2.78,1.0
1.0,1.0,1.0,15.34,54.35,-22.9,8.5,13.72,74.63,-3.88,-182.74,-213.37,5.35,4.37,11.67,30.75,50.51,-31.51,-32.47,-1.52,-13.47,0.0
1.0,2.0,2.0,4.15,60.06,111.47,-12.86,74.04,17.77,-69.62,100.1,-72.9,-38.31,45.49,-62.36,20.81,41.97,-2.66,-158.97,-2.69,-1.25,1.0
1.0,1.0,1.0,-20.35,-42.81,24.71,146.01,66.24,-18.85,20.26,197.36,336.34,3.83,14.92,122.41,-20.18,40.28,14.53,-19.8,66.63,9.84,0.0
1.0,1.0,1.0,-13.72,26.05,45.56,163.2,136.53,-47.43,-44.05,152.36,179.06,24.13,-46.67,-164.45,-138.23,-23.59,-15.64,-70.21,51.83,22.05,0.0
0.0,1.0,1.0,-3.87,113.45,-6.26,2.02,91.49,-35.68,45.2,-118.52,-267.11,-42.68,1.4,68.06,-94.99,11.71,15.93,-107.45,-39.09,-12.61,0.0
1.0,1.0,1.0,0.95,50.18,185.74,-23.55,50.28,-103.08,-25.67,153.38,153.55,73.64,43.82,-98.04,-25.33,-28.49,-11.19,-30.51,10.17,19.1,1.0
1.0,1.0,1.0,10.55,-18.64,-3.25,-135.04,-53.46,20.37,0.07,69.29,-200.64,-37.41,-48.46,70.59,145.56,76.98,-24.47,-54.95,-72.62,31.96,1.0
1.0,1.0,1.0,-7.79,-58.88,203.29,73.12,129.74,31.18,13.51,298.3,347.46,55.11,31.17,105.37,94.64,-127.5,6.29,-110.19,22.92,10.94,1.0
1.0,0.0,1.0,1.88,242.6,95.39,-85.14,-10.91,44.63,-17.84,-189.2,-85.47,62.78,80.92,-47.73,10.43,26.59,33.91,73.1,-7.59,13.32,0.0
1.0,0.0,1.0,5.42,60.09,9.63,-1.65,-32.07,-10.0,-4.85,-18.46,28.81,-5.1,-60.04,-33.55,-20.31,14.75,63.44,-62.93,-49.21,-6.8,0.0
1.0,1.0,1.0,3.04,-19.9,45.95,-81.04,-31.86,-46.89,0.12,58.34,-17.93,-52.01,-48.49,-40.79,-28.54,-51.1,-4.52,-115.76,-15.2,-8.28,1.0
1.0,0.0,1.0,9.87,110.18,50.8,-131.77,-83.16,-4.27,0.24,-15.3,-64.57,7.25,47.77,-22.33,-32.54,73.6,-2.08,53.17,-8.1,-2.67,0.0
1.0,1.0,0.0,1.02,39.63,75.37,-55.87,24.14,12.21,33.82,6.72,,-5.36,-20.18,158.12,70.48,-16.93,17.83,-143.94,-1.45,-8.74,1.0
1.0,1.0,1.0,-24.15,-78.49,-451.71,-130.66,-395.67,108.8,-3.19,1.22,-242.27,56.37,-24.01,38.49,-24.17,74.53,49.24,-12.38,77.76,9.51,1.0
1.0,1.0,1.0,-0.0,182.49,-10.63,-89.99,24.45,-17.32,12.12,-362.77,-412.16,77.05,94.59,-6.25,-51.42,-83.23,-55.73,18.59,-23.96,-5.78,0.0
0.0,0.0,1.0,16.63,-52.66,94.32,-77.52,13.02,25.92,30.81,51.42,48.72,81.28,44.25,105.64,53.58,71.72,18.21,-53.64,-27.35,18.63,0.0
0.0,1.0,1.0,-0.01,123.63,82.64,-77.64,93.26,59.96,-13.63,-190.0,-249.29,55.66,91.94,1.8,74.37,-48.69,0.22,-80.69,-84.13,16.3,0.0
0.0,0.0,1.0,-7.54,24.22,119.93,-26.68,74.23,43.73,-35.47,54.26,139.95,61.93,72.36,-2.59,99.29,92.95,13.53,83.15,-72.84,1.44,0.0
1.0,1.0,1.0,1.53,68.4,209.32,-71.69,88.89,28.53,-54.9,169.56,94.73,-80.76,-13.81,-31.07,45.04,-39.81,-8.28,-61.8,-96.25,-6.97,0.0
1.0,0.0,1.0,16.44,158.67,134.13,-96.65,-52.21,32.18,-25.24,26.39,65.65,21.09,0.96,4.16,94.56,74.91,-1.37,57.32,24.69,1.32,0.0
1.0,1.0,1.0,11.94,-118.15,-23.53,32.39,97.7,2.58,7.94,-225.25,-203.66,30.59,22.48,51.95,18.78,7.74,-7.0,32.66,9.84,3.38,1.0
0.0,0.0,2.0,2.39,-83.1,19.16,-70.7,-31.97,122.45,-36.47,78.14,78.66,98.22,21.78,97.97,6.04,-62.05,12.39,47.21,32.54,-17.87,0.0
1.0,1.0,1.0,-5.0,-32.76,-245.06,-171.16,-282.9,17.26,-47.78,-101.1,-275.44,17.64,-5.39,-25.1,-5.48,50.48,14.32,-168.02,55.91,18.51,1.0
1.0,1.0,2.0,2.22,2.8,51.95,93.09,95.61,-11.72,14.4,148.97,97.08,6.02,-6.7,39.62,214.34,0.48,19.67,2.54,-69.98,7.27,0.0
1.0,1.0,0.0,10.16,-77.95,-66.18,-8.32,-21.62,-63.34,24.75,-168.19,-145.84,-106.01,-7.87,8.9,135.01,53.84,13.85,19.92,22.9,7.44,1.0
1.0,1.0,0.0,-33.36,158.12,50.06,-12.31,10.85,-30.94,-2.37,170.29,149.98,20.42,-26.45,-78.53,-22.56,28.71,2.94,103.07,92.13,-42.42,0.0
1.0,0.0,1.0,11.18,-176.33,-98.73,-81.0,-114.39,-18.66,-28.33,-208.5,-87.4,84.84,21.14,28.09,18.75,-51.19,17.06,-33.52,-23.42,1.64,1.0
1.0,1.0,1.0,5.94,6.74,78.55,-132.18,-58.04,-10.73,-22.22,138.69,-0.31,27.36,23.05,114.94,63.01,-15.7,-30.74,-38.89,68.85,-10.97,1.0
0.0,2.0,1.0,-12.49,276.33,112.17,43.81,219.28,14.5,-18.24,275.17,-207.32,34.17,-99.71,-52.78,-156.62,63.71,-36.68,-60.75,14.65,12.59,0.0
1.0,1.0,1.0,13.21,30.52,121.5,27.82,88.02,29.86,43.13,30.11,-17.23,-97.36,59.61,134.17,64.14,56.5,3.18,-44.41,-53.01,-3.77,1.0
1.0,1.0,0.0,29.35,80.25,121.0,-81.55,51.03,48.01,-38.4,-127.4,-235.85,-22.65,39.35,49.65,64.41,-7.91,45.57,164.17,-20.12,22.68,0.0
0.0,1.0,0.0,-2.32,174.12,138.28,-153.83,92.18,-13.92,11.19,137.26,-262.94,-68.88,-16.81,1.57,-37.18,-37.52,36.4,189.59,69.29,17.96,0.0
1.0,1.0,0.0,-20.13,52.62,221.22,35.55,166.45,9.27,30.33,180.66,259.07,116.25,-7.82,86.46,32.97,67.76,2.71,-123.83,-101.24,29.39,0.0
1.0,0.0,2.0,14.05,90.12,138.54,-84.65,-82.0,-80.09,-30.5,63.52,175.79,-0.2,-30.2,5.34,169.35,92.92,8.52,56.62,163.95,-8.72,1.0
0.0,1.0,2.0,20.27,47.15,-126.95,-94.45,-21.75,-20.52,-15.98,-117.69,-572.52,-14.61,-38.99,-5.98,107.98,14.76,15.39,-16.3,-13.72,-14.81,1.0
1.0,1.0,1.0,-10.1,6.44,-20.97,208.32,124.32,3.0,16.05,-65.21,119.12,15.99,-9.84,-79.94,55.78,50.7,-6.56,42.04,-50.86,0.58,1.0
1.0,2.0,1.0,8.43,103.84,173.78,40.68,182.31,-119.69,6.03,67.58,-165.38,58.0,-52.97,119.34,-1.01,51.44,-15.06,-39.66,43.96,-4.66,1.0
1.0,1.0,1.0,-5.85,36.44,-214.62,-96.91,-171.52,14.91,-10.19,-42.19,-356.1,133.32,42.39,-148.86,-144.15,-56.62,2.08,60.48,-17.2,34.95,1.0
1.0,1.0,1.0,1.76,-51.94,-201.86,-105.36,-176.21,-47.05,4.09,-64.37,-295.76,-24.59,27.2,-8.73,43.37,-174.13,24.01,-3.34,-36.18,-17.16,1.0
0.0,0.0,1.0,-0.46,-92.77,169.76,-133.89,-30.91,6.96,32.08,308.63,350.57,-25.34,10.35,-47.61,-29.77,-67.82,10.56,-55.68,-71.5,5.87,0.0
1.0,0.0,1.0,15.77,143.09,87.4,-118.54,15.52,18.88,32.03,-208.1,-244.38,49.57,-25.58,-38.72,-19.12,70.94,30.69,-7.64,114.45,6.0,0.0
1.0,2.0,1.0,1.59,12.77,-306.34,-152.62,-261.2,-65.1,-38.32,137.57,-485.45,-128.27,6.26,20.46,-52.17,11.87,-0.91,-8.87,-121.48,-9.51,1.0
1.0,1.0,1.0,-15.71,-49.29,166.86,-225.5,-79.99,-83.29,-10.08,266.67,185.47,92.2,-23.78,89.65,-33.74,3.4,-16.29,-55.92,-112.15,14.27,1.0
1.0,1.0,1.0,25.61,152.71,-83.0,-178.93,-91.34,71.42,10.67,-29.3,-589.08,19.83,-97.05,-51.11,-139.63,20.06,-14.12,-55.11,-62.18,15.75,1.0
1.0,1.0,1.0,18.44,160.56,-9.01,-161.0,-83.89,-22.84,-19.72,153.49,-362.88,72.23,15.18,-20.82,127.44,3.32,22.95,66.8,-53.9,-11.99,1.0
1.0,1.0,1.0,25.83,106.89,95.96,-14.74,128.61,50.95,-78.27,-291.79,-324.06,-56.15,9.32,-70.09,-37.79,168.03,-9.53,-123.76,70.93,2.53,0.0
1.0,2.0,0.0,10.06,31.71,217.25,128.49,221.42,3.23,-76.67,141.62,68.7,49.08,-1.73,70.0,91.49,157.83,8.2,-56.45,-44.46,17.44,1.0
2.0,1.0,1.0,-0.98,-91.58,-175.88,-233.55,-306.45,-2.97,-1.31,-82.8,-180.35,-88.73,9.25,-7.33,-74.71,2.85,13.47,30.64,-31.9,-14.23,1.0
1.0,1.0,1.0,19.63,59.57,46.96,-16.92,81.51,31.66,32.62,-237.81,-271.41,-7.72,24.64,-53.84,-47.55,-70.5,11.11,60.52,62.78,2.52,0.0
1.0,1.0,1.0,-0.81,39.88,160.55,61.27,49.54,-61.28,16.07,144.33,313.28,-17.73,39.11,32.27,-8.58,-75.58,-18.71,-19.31,42.89,13.48,0.0
1.0,1.0,1.0,0.11,-71.08,-194.1,-75.03,-167.71,-32.87,-12.12,-74.66,-187.2,-1.03,-26.23,-41.93,29.07,-16.86,53.62,30.62,-15.18,25.0,1.0
1.0,1.0,1.0,-3.02,-107.19,-228.58,-99.44,-204.66,-32.68,-8.84,-128.9,-202.8,-109.96,63.24,162.94,37.31,30.95,-5.33,-112.39,26.85,2.74,1.0
1.0,1.0,1.0,-18.31,79.21,45.71,48.66,66.42,59.69,9.88,192.7,111.53,-93.68,24.78,35.86,-35.87,-42.64,39.66,58.46,-7.82,21.6,0.0
1.0,0.0,2.0,-1.34,51.3,106.27,-39.68,29.64,53.71,-43.54,50.56,103.86,-34.46,-76.97,10.7,-14.04,108.91,-0.94,-15.59,80.22,0.67,0.0
1.0,0.0,1.0,11.73,-107.56,-137.67,64.88,-28.59,60.99,36.3,-139.33,-92.58,-0.18,-20.97,87.41,-75.3,-101.29,-20.81,-32.78,151.37,-7.35,1.0
1.0,1.0,0.0,10.33,26.82,108.49,35.92,95.43,-7.44,17.64,123.23,-15.1,-11.54,-27.54,-143.39,-7.04,-46.01,-40.18,9.62,-85.46,1.58,1.0
1.0,1.0,1.0,13.48,-73.9,-34.96,-235.99,-110.9,124.46,47.28,150.35,-298.17,-81.5,25.54,22.6,91.2,64.79,13.53,-16.24,-55.89,-9.14,1.0
1.0,1.0,1.0,17.05,158.23,-48.37,-79.89,-65.97,-42.66,-26.12,-52.25,-332.27,-52.6,-9.25,-118.58,-152.73,87.74,-21.54,-76.76,38.72,-6.06,1.0
1.0,0.0,1.0,-2.57,132.5,50.11,-89.34,-18.05,22.25,-21.77,-113.29,-83.36,98.81,7.84,-69.18,-17.1,31.35,-35.08,5.83,55.51,-24.47,0.0
1.0,1.0,1.0,-19.98,48.2,88.25,59.09,116.64,57.69,-1.92,99.27,119.59,22.2,-31.92,8.04,-81.17,-123.94,-27.33,68.79,139.36,17.95,0.0
1.0,2.0,1.0,25.36,81.71,61.7,63.61,146.99,-43.92,-34.66,-111.2,-335.03,58.05,-126.12,-1.82,12.53,12.85,-7.23,-78.39,-19.16,2.26,1.0
0.0,2.0,0.0,1.22,300.23,81.63,-119.44,172.56,-10.28,-37.35,94.11,-584.0,-15.25,0.06,38.08,7.88,-55.84,23.55,95.2,8.34,3.3,0.0
1.0,0.0,1.0,4.29,125.04,110.79,-193.19,-155.55,-13.71,41.21,136.47,172.1,69.11,-27.99,79.58,-127.83,17.89,14.01,-7.07,-22.77,3.55,0.0
1.0,0.0,0.0,18.44,15.61,73.9,-38.96,-36.51,-62.62,-55.61,42.5,95.97,46.34,17.7,165.51,46.42,-69.28,-3.46,-16.19,-66.48,-21.64,0.0
0.0,1.0,1.0,-8.65,124.93,-17.38,-48.76,4.98,-63.93,-44.4,308.91,-110.27,-33.6,28.73,42.59,103.2,55.7,-4.93,-27.2,-21.29,-6.04,0.0
1.0,1.0,1.0,12.08,218.59,121.56,120.25,119.52,43.05,10.54,63.96,-30.22,-25.42,-34.31,-13.86,112.62,115.05,26.01,61.82,-7.96,22.38,1.0
1.0,1.0,0.0,-6.65,-13.52,107.26,-85.25,10.05,32.47,-12.64,143.93,67.65,70.58,40.67,-125.15,-18.71,12.65,-29.75,68.32,-0.88,19.21,1.0
2.0,0.0,1.0,-36.01,-91.72,78.33,59.52,-43.43,-52.59,-16.36,95.48,601.59,32.33,29.77,-130.17,60.0,-43.91,4.35,50.55,52.66,-15.17,0.0
1.0,1.0,2.0,16.69,73.63,-61.29,-18.62,-2.95,-120.49,29.48,-23.61,-359.52,-22.41,-8.44,82.17,-196.05,-48.71,10.82,-40.36,53.92,-14.54,1.0
0.0,1.0,1.0,-12.88,61.11,180.72,92.18,233.12,73.34,7.49,242.71,109.65,5.56,53.19,-79.22,49.74,-57.43,-53.09,75.0,29.96,-11.15,0.0
0.0,1.0,1.0,4.31,64.04,171.03,55.44,248.82,118.49,-62.55,2.17,-132.31,20.38,15.26,-58.85,44.41,-67.97,29.08,-9.14,61.83,14.73,0.0
1.0,1.0,1.0,-8.43,60.84,206.12,97.67,238.16,-6.56,22.79,220.39,136.4,-93.73,34.23,133.24,-9.23,101.06,25.07,-9.4,-21.71,-2.06,0.0
0.0,1.0,1.0,7.78,7.21,82.28,94.72,192.08,-66.59,36.27,97.28,-85.81,0.36,-12.74,3.03,-39.82,46.6,13.99,-2.52,36.7,10.34,0.0
1.0,1.0,2.0,7.07,-150.24,-192.8,-152.11,-177.58,21.38,-63.32,-13.38,-299.02,38.01,-4.15,-50.67,-94.35,-62.59,-6.55,28.62,12.84,11.53,1.0
1.0,1.0,1.0,27.12,149.82,64.92,10.24,161.51,15.89,10.85,-421.57,-500.63,-101.52,76.16,3.06,-16.91,-35.03,14.08,-43.85,-16.7,-11.22,0.0
1.0,2.0,1.0,-3.07,93.23,-257.11,-84.39,-160.56,-53.21,35.63,59.01,-513.65,-143.38,-34.4,-124.97,81.47,41.04,16.49,-6.72,-35.36,-2.99,1.0
1.0,2.0,1.0,6.1,-17.02,-194.98,-111.06,-194.88,8.64,-7.21,112.85,-296.03,-48.84,-18.21,43.08,-127.75,-49.99,3.35,34.49,15.22,-0.9,1.0
1.0,1.0,1.0,-23.24,59.79,-38.51,67.29,25.23,-20.43,22.07,278.51,115.49,122.55,12.89,-3.91,9.29,5.98,-15.24,-25.17,-37.57,13.56,0.0
1.0,1.0,2.0,-20.6,-33.95,156.51,122.36,154.41,19.8,31.2,52.07,346.84,25.5,-0.32,-64.49,-60.3,-18.92,6.4,95.09,-80.79,-1.62,0.0
0.0,1.0,1.0,-0.98,261.86,59.14,7.68,177.63,1.9,-33.63,45.47,-373.13,47.81,-20.29,46.65,-24.25,74.84,-1.85,-11.2,-68.03,-14.59,0.0
1.0,1.0,1.0,8.31,113.58,24.86,-69.71,-9.05,-105.46,-14.77,-101.52,-196.14,-83.32,39.1,94.21,-91.29,-94.61,16.51,8.09,-150.93,7.29,0.0
1.0,1.0,2.0,5.49,20.55,137.38,-30.86,96.5,-9.17,-9.3,49.22,-5.22,-54.23,-59.36,80.73,-28.91,47.48,33.17,-87.07,86.76,6.24,0.0
1.0,1.0,1.0,1.64,113.37,-93.61,-141.48,-107.39,28.19,-27.7,113.45,-324.49,-31.89,16.5,-128.66,128.7,49.17,27.3,-95.43,101.51,10.56,1.0
0.0,1.0,1.0,-6.48,167.13,33.37,61.59,138.73,69.67,-12.24,195.89,-141.75,155.84,-39.05,-39.95,151.16,41.23,5.37,82.84,21.31,3.43,0.0
0.0,0.0,1.0,-5.51,-18.9,54.1,-178.58,-69.22,61.8,-26.92,63.62,23.98,-52.37,13.65,68.72,-48.04,28.29,15.19,-56.68,47.16,-5.09,0.0
1.0,1.0,1.0,1.44,-10.22,118.98,53.01,94.05,-4.51,-8.23,204.37,122.74,63.5,7.75,20.66,79.01,61.54,-20.5,7.67,11.77,-14.0,1.0
1.0,1.0,2.0,21.42,227.12,119.18,-18.45,34.04,12.39,-17.97,-22.45,-198.81,67.75,33.52,33.19,-71.26,5.47,2.82,26.05,90.55,-13.32,1.0
1.0,1.0,0.0,10.33,-129.82,-90.96,-83.54,-77.29,58.53,-19.51,-91.44,-192.83,16.3,19.64,63.65,56.33,-73.3,-6.57,86.44,34.82,7.94,1.0
1.0,1.0,0.0,11.53,-148.28,42.93,-49.04,36.28,67.33,-11.45,-271.35,-90.28,-139.13,-27.45,-105.65,-26.34,-21.58,-20.36,92.21,-15.81,-29.36,1.0
