cat_0,cat_1,cat_2,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,target
0.0,2.0,2.0,-17.01,168.92,29.81,2.48,55.6,121.85,-28.8,83.03,-28.64,65.44,74.18,9.82,513.49,2.53,-151.02,25.51,8.83,-161.11,51.88,18.47,2.0
2.0,2.0,2.0,-20.26,47.19,9.4,43.06,-14.76,121.39,234.29,28.2,-20.99,140.02,-107.93,40.75,-35.16,-8.2,59.57,-64.0,4.42,-39.29,-121.49,-74.95,2.0
2.0,3.0,2.0,2.25,29.21,-18.25,57.2,-13.37,-42.05,84.83,-27.29,40.78,-26.66,33.24,84.52,283.26,1.8,-15.87,-27.7,-3.68,9.74,-10.81,54.75,1.0
2.0,3.0,2.0,27.72,-11.57,27.82,-45.32,-40.99,-151.51,-105.19,23.22,52.15,9.02,54.8,-93.17,-208.88,4.93,24.76,11.38,20.53,55.08,-9.59,107.44,1.0
3.0,2.0,2.0,3.03,100.17,-65.3,-111.1,-27.83,-51.96,55.83,-11.86,92.81,86.33,-128.8,25.5,-69.77,-13.92,-6.62,46.32,17.46,-43.72,-29.78,-14.19,2.0
2.0,2.0,3.0,-31.55,-19.82,51.98,-24.29,-67.17,67.16,-14.28,14.32,-44.32,32.73,-71.81,-6.27,-97.1,-21.64,86.86,-82.29,7.29,-2.21,2.81,-18.43,0.0
2.0,1.0,2.0,16.59,-57.76,-146.87,27.09,-46.36,-42.9,-181.57,-30.14,-97.43,-41.5,61.92,-187.55,-99.17,9.5,-110.27,92.13,47.71,9.54,-73.87,-39.05,0.0
2.0,1.0,2.0,32.87,86.2,-19.35,-82.38,-3.62,-87.97,-121.51,-40.69,-58.72,104.17,-173.85,73.61,90.53,29.02,-63.31,-66.43,-15.52,-119.84,-28.2,8.26,2.0
3.0,2.0,2.0,3.94,37.34,0.15,-102.83,-49.7,6.62,-121.93,-53.66,-125.89,-48.13,18.85,20.29,-312.13,-24.62,89.79,82.13,-10.7,47.37,-8.37,24.98,2.0
1.0,1.0,3.0,-23.33,-87.14,-45.85,181.53,-69.06,-54.25,30.24,-19.87,-53.56,224.08,-137.37,67.12,-233.69,-1.46,2.86,24.62,-4.57,4.78,92.25,-22.98,0.0
2.0,2.0,1.0,12.94,7.44,-189.65,-127.74,71.57,162.08,-202.53,59.73,53.62,-23.1,106.75,-131.41,51.99,25.79,-59.49,46.06,0.5,67.33,79.58,-62.65,1.0
3.0,2.0,2.0,-4.33,57.42,-17.95,45.79,13.42,-129.6,-61.81,32.63,-33.95,98.12,-152.01,-23.6,94.99,-33.73,-31.84,18.0,-13.62,-45.78,-130.18,-2.04,2.0
2.0,2.0,3.0,-3.0,-6.85,4.21,-104.27,-67.16,93.77,113.42,17.04,-21.54,16.07,-56.66,-133.65,-57.03,1.21,111.59,20.34,26.42,82.55,86.52,20.53,1.0
2.0,2.0,2.0,20.35,17.56,-37.1,-34.19,-4.32,-196.62,-38.93,-53.99,39.53,195.36,-144.89,66.91,-183.33,-21.2,81.64,-32.9,14.03,-27.15,-81.55,0.63,0.0
1.0,2.0,3.0,-7.63,-43.43,255.79,-81.03,-102.78,45.86,63.4,56.02,44.24,155.83,-163.43,21.55,-217.65,25.34,70.23,52.27,8.84,-17.72,78.63,25.2,0.0
1.0,1.0,2.0,-34.82,29.99,-316.53,-18.51,-12.98,-371.68,-122.16,-20.47,-44.6,175.1,4.05,-9.97,-300.71,35.38,-40.24,42.09,-20.62,37.66,-76.86,-18.34,2.0
4.0,3.0,1.0,12.75,-76.52,78.02,79.14,26.75,222.74,96.06,-34.5,-32.82,-92.99,51.55,140.66,63.14,14.37,85.28,47.65,-0.73,-24.41,167.5,-10.03,0.0
2.0,2.0,2.0,-19.3,16.06,-58.63,-25.96,30.86,-173.55,-152.95,-50.94,-160.39,95.29,-96.13,-12.76,84.34,-12.52,-55.5,68.7,-20.42,-8.03,110.89,22.94,2.0
2.0,2.0,1.0,15.09,152.52,22.83,73.66,41.27,-57.84,97.12,56.23,-19.36,114.84,-71.5,-123.69,221.28,-30.05,-20.39,59.38,10.62,50.31,-14.75,80.87,2.0
1.0,2.0,2.0,-24.91,-71.18,60.27,50.3,32.93,-308.6,-169.37,2.47,-133.06,235.31,-104.23,71.65,-100.76,-37.58,-56.35,-46.17,13.54,86.24,64.48,70.41,2.0
1.0,3.0,2.0,9.77,135.64,-120.26,-25.45,7.75,160.17,-1.79,-70.02,70.38,-2.94,39.16,50.33,317.91,14.19,-38.44,26.18,-12.77,-65.96,-31.16,26.43,1.0
1.0,3.0,3.0,37.5,-57.91,-24.6,-79.73,16.3,-9.12,-33.09,-0.93,29.74,180.91,-83.48,-3.04,-38.67,46.38,94.6,-90.02,-27.76,29.18,-57.05,-21.26,1.0
1.0,2.0,2.0,-18.01,-34.74,-4.09,4.04,-45.85,-203.37,-51.0,32.55,23.84,78.01,21.38,-130.55,-227.12,-3.29,-37.68,-3.21,16.72,96.51,-49.99,-74.11,2.0
2.0,2.0,1.0,-8.45,16.77,151.34,-17.05,56.97,138.69,-75.45,26.67,111.3,168.99,-114.04,87.28,-160.79,-0.36,69.01,-53.55,-3.01,-100.8,9.11,82.96,0.0
1.0,2.0,2.0,4.34,-39.15,-147.58,-157.51,14.38,113.28,-147.0,-18.01,115.37,4.15,76.57,-10.91,56.25,-8.33,-103.93,-32.52,20.64,-35.2,-50.49,27.84,1.0
2.0,2.0,2.0,-2.99,-142.52,73.69,-84.49,-46.87,-86.55,-277.91,-11.01,45.46,-121.12,131.79,-21.3,-91.84,-26.81,-83.41,24.91,-34.07,-72.64,8.19,-67.65,0.0
2.0,3.0,1.0,8.95,56.64,-57.37,-63.76,54.21,280.19,-156.48,-31.62,-36.93,-72.77,103.36,137.94,128.93,5.69,-19.64,-19.84,-1.39,65.78,60.96,26.85,1.0
2.0,3.0,3.0,6.98,-203.89,-12.15,-96.57,-42.44,-36.87,-82.76,31.77,61.93,18.38,-51.48,109.21,-80.23,-9.79,101.33,48.7,33.1,133.57,-70.45,83.15,2.0
2.0,3.0,2.0,1.33,-13.21,-7.79,0.66,20.13,-174.25,-96.99,67.63,-58.21,91.17,-76.64,-235.86,33.21,-11.7,-59.28,14.21,-8.07,33.71,-54.92,6.73,2.0
2.0,2.0,3.0,-3.69,207.85,-45.83,60.56,-80.55,80.64,79.19,-2.75,37.48,63.94,-125.31,-111.66,-73.42,-11.43,66.31,6.51,1.89,-4.87,81.3,-23.4,0.0
1.0,2.0,3.0,27.15,-158.95,93.48,-109.08,-30.55,-6.7,56.87,-38.39,-119.79,117.89,-79.46,17.47,1.48,9.74,48.08,-2.01,-7.52,74.2,46.79,8.15,2.0
2.0,3.0,2.0,-28.82,-9.17,47.69,-51.74,-0.25,127.2,-10.73,63.04,33.33,77.54,-6.58,89.57,-80.72,-25.06,-3.98,-11.65,-3.65,75.33,-9.59,-63.3,0.0
2.0,3.0,2.0,-24.84,56.39,26.76,-40.97,19.12,38.46,-21.07,-14.19,-76.51,140.06,-111.93,-62.73,132.36,10.88,-8.82,49.8,-4.31,94.98,-64.8,-8.89,2.0
2.0,1.0,2.0,25.32,-5.05,-14.8,98.06,33.0,-85.29,109.41,31.4,11.62,127.75,-98.22,-10.94,92.01,25.81,40.52,-19.02,2.04,21.8,84.1,-15.5,2.0
1.0,2.0,2.0,14.49,17.28,112.1,-159.14,-41.73,-220.27,-100.74,-6.89,-55.8,18.03,92.3,140.19,-176.7,8.38,-12.74,-27.52,21.62,50.83,89.63,-39.35,2.0
1.0,2.0,2.0,34.0,24.98,-54.29,32.81,31.67,-60.61,-70.46,52.99,50.84,18.24,73.35,-63.0,280.13,1.91,-128.96,13.96,4.95,0.98,35.16,39.89,2.0
2.0,2.0,2.0,-44.71,73.14,-94.66,-12.84,27.18,-4.85,2.73,40.62,53.62,59.42,-96.4,5.26,304.64,3.42,-1.04,-7.46,-7.06,32.37,-4.46,-108.49,2.0
3.0,3.0,1.0,0.98,-32.34,-75.63,-27.55,-50.99,-23.14,196.02,-45.07,57.03,72.02,-102.65,84.17,-264.96,15.45,67.3,-108.68,-2.31,-53.2,-11.42,70.62,1.0
2.0,1.0,2.0,18.62,105.09,46.51,33.02,-43.28,89.23,-145.29,-2.3,4.25,-36.55,34.75,-3.02,-130.0,21.01,-64.89,58.26,-0.55,-36.03,21.53,-10.84,0.0
2.0,3.0,2.0,3.93,15.71,103.92,-46.88,11.25,148.29,-33.36,-85.24,-25.12,-78.69,102.4,19.72,157.72,-12.4,30.62,-126.91,-3.43,50.18,35.08,-35.33,1.0
2.0,3.0,2.0,-7.51,72.33,114.04,132.01,26.21,-96.78,28.51,27.06,4.15,18.56,-4.01,46.12,359.1,7.96,-83.32,59.94,24.1,-45.22,-22.91,50.98,2.0
2.0,2.0,3.0,31.69,-42.15,-82.49,-2.5,-69.28,-39.51,-158.36,-38.62,-39.89,-76.32,114.04,-60.71,-97.21,5.24,-33.43,5.16,23.8,8.23,-63.78,-55.69,0.0
2.0,1.0,1.0,-4.76,-115.57,-39.61,-91.96,5.24,134.74,135.35,77.6,6.26,111.4,-50.47,150.87,-188.42,-43.58,-43.51,-10.97,-20.58,-48.54,79.63,-9.79,0.0
2.0,2.0,3.0,-24.75,60.33,4.26,171.48,-34.2,-48.38,43.46,46.71,-75.93,113.66,-154.61,148.41,-171.48,-1.76,231.61,66.91,5.15,-72.46,41.67,-35.49,1.0
1.0,1.0,2.0,38.47,-91.87,36.73,-226.84,46.5,31.56,-40.78,-53.3,48.85,178.65,-124.98,19.56,120.09,21.75,26.08,-51.46,-10.4,-51.77,-87.97,42.6,2.0
2.0,2.0,2.0,10.29,-53.17,-35.9,203.22,4.28,0.88,-102.02,-60.74,93.91,10.31,-18.52,15.98,251.86,-1.74,-108.11,-96.34,23.24,27.67,-13.6,-45.8,2.0
2.0,2.0,2.0,-8.11,131.01,68.95,-98.85,3.09,-53.79,75.81,-53.61,-32.07,91.8,-32.84,-49.84,91.93,-2.76,18.36,-4.62,14.03,-100.66,-130.35,82.33,1.0
2.0,2.0,1.0,-27.75,-73.96,197.63,11.29,3.2,177.25,276.17,-12.6,-16.37,160.26,-106.35,-155.2,-169.28,13.75,33.17,-60.48,-7.15,114.93,-88.94,40.12,0.0
2.0,2.0,2.0,11.05,-48.37,143.72,55.15,-5.7,-186.49,-114.32,-47.95,32.92,109.44,-55.28,110.06,-301.98,3.37,27.03,-75.85,-19.85,12.5,6.57,-132.08,2.0
4.0,4.0,1.0,-15.27,-10.25,2.84,-138.63,39.3,370.93,-128.62,70.07,28.15,-243.41,194.16,16.52,-100.5,-35.47,143.39,37.99,9.28,-0.52,-38.13,45.7,0.0
2.0,2.0,2.0,0.21,-154.93,-36.0,-87.53,-29.01,45.64,47.46,-64.05,-31.23,115.67,-143.18,30.55,-198.43,1.7,151.86,5.54,32.86,-34.3,8.57,-25.64,1.0
2.0,3.0,2.0,-14.13,20.59,-28.46,15.5,1.28,153.65,35.71,101.79,-10.79,-15.01,16.94,-39.83,16.54,14.88,114.4,26.6,-2.46,1.31,-9.06,-6.07,0.0
2.0,3.0,2.0,-20.14,-19.11,-14.99,-138.63,-8.67,93.37,-38.89,-9.06,75.21,63.08,-51.41,-158.7,94.92,4.72,-18.12,9.85,-7.66,141.67,7.93,58.38,1.0
2.0,2.0,2.0,-51.55,-97.58,-39.15,95.92,-32.82,-2.18,-305.31,8.69,-131.9,-16.47,-71.86,81.42,120.57,6.51,-131.1,-26.96,-11.17,-113.16,-38.17,4.38,2.0
2.0,3.0,2.0,-13.19,32.48,103.5,-167.37,-25.07,-66.54,70.26,-24.37,54.7,113.48,-92.85,-20.84,-162.15,-20.72,82.46,-22.45,21.08,-57.56,-55.09,62.7,1.0
1.0,1.0,2.0,-14.79,79.72,-105.3,55.85,-2.08,-114.97,64.16,34.65,-138.41,170.08,-58.53,223.65,-146.05,-12.83,68.93,26.14,16.4,75.85,90.45,70.09,1.0
0.0,2.0,3.0,-8.32,-102.14,5.89,54.32,-103.21,-39.64,117.12,-49.7,-45.03,344.83,-234.66,28.24,-361.95,-5.49,-52.1,-0.94,-16.33,-18.81,44.69,40.52,1.0
2.0,3.0,2.0,-12.93,-75.02,-69.04,-94.57,-51.29,47.42,-53.73,8.91,-52.01,43.76,12.03,46.3,-179.18,-27.71,-87.97,53.51,-41.04,-5.93,68.03,49.85,0.0
4.0,2.0,1.0,42.11,-107.23,92.86,66.97,49.85,176.15,-86.57,62.95,44.26,-92.79,61.09,-66.14,42.25,-10.77,12.77,-72.56,11.03,-37.78,3.47,-11.54,1.0
2.0,2.0,1.0,43.76,-22.31,-28.42,-185.37,40.7,-234.59,-107.75,-61.0,-51.32,123.05,-78.19,45.01,75.62,-5.62,-124.42,-11.32,28.51,-26.19,-40.05,79.92,2.0
2.0,2.0,2.0,-3.0,24.0,103.85,-215.0,2.4,-11.14,-45.97,-13.08,35.29,-14.72,-16.88,38.71,206.94,-0.16,-26.49,58.06,-6.29,19.89,-44.07,20.7,2.0
1.0,1.0,3.0,-28.9,75.93,-135.18,148.1,-47.85,-55.2,227.29,42.09,-104.96,232.41,-192.29,-55.66,26.06,-23.92,60.86,29.49,-6.56,96.49,28.34,95.98,0.0
1.0,2.0,2.0,-13.23,-92.5,-42.2,143.41,-7.61,47.8,-330.55,-99.29,-28.71,-29.11,13.46,19.7,340.22,8.16,-211.64,-5.95,-20.91,-31.6,116.55,-79.92,2.0
3.0,1.0,2.0,11.92,18.95,13.52,269.73,-32.52,-106.58,51.0,-50.28,24.14,88.75,-139.04,0.56,-153.38,-4.51,148.47,-16.83,25.99,-76.01,44.87,2.6,1.0
2.0,2.0,2.0,9.59,63.9,-109.46,-53.07,-66.17,-205.84,101.56,-4.72,17.26,26.79,-0.62,101.88,-103.96,-26.47,23.37,-3.99,2.55,59.8,-86.85,-37.09,1.0
1.0,3.0,3.0,23.55,-82.81,-53.21,-46.45,-31.24,-145.82,-283.31,42.04,51.39,55.49,-33.1,-4.19,-159.23,20.23,-37.42,-29.9,20.72,-8.04,-23.27,30.26,0.0
1.0,2.0,2.0,-35.62,-42.72,19.88,33.87,27.46,-57.6,-136.36,-7.99,-70.45,56.07,21.31,-69.75,175.78,28.72,-130.71,-86.26,-12.0,-28.64,151.84,-25.3,2.0
3.0,2.0,2.0,-11.63,7.4,-25.96,-60.33,-57.88,-6.74,5.02,68.63,-34.06,-22.27,-28.5,-60.46,-199.87,-8.41,26.39,-36.82,-9.21,-22.07,18.42,-36.93,2.0
1.0,1.0,2.0,-10.66,-34.84,103.29,105.11,26.21,154.33,-165.76,79.67,-12.66,-2.02,89.24,179.22,134.73,23.97,-109.18,-7.71,-7.79,21.42,110.94,13.52,1.0
2.0,2.0,2.0,-55.77,32.92,47.5,142.13,27.5,-234.02,-136.34,-2.05,-66.12,177.41,-117.82,-51.53,-121.49,0.11,1.41,45.05,21.83,-4.83,-8.0,-13.51,2.0
1.0,4.0,2.0,-2.12,-99.81,-94.65,-238.86,-41.49,-9.62,155.97,18.02,-102.21,240.21,-148.13,-64.7,-293.0,-0.38,31.77,-43.12,20.99,11.95,-1.08,-9.81,0.0
2.0,3.0,2.0,-4.08,127.6,17.01,78.43,3.84,-157.89,-32.8,4.54,-24.17,171.1,-151.87,61.91,94.37,1.15,-56.29,-37.01,6.06,71.47,29.32,7.41,2.0
1.0,3.0,2.0,-21.15,46.55,71.62,43.57,-25.77,-7.05,3.56,-7.76,82.58,39.74,42.9,-123.05,264.08,33.93,-95.06,-40.43,-7.73,-59.9,61.51,15.62,1.0
1.0,3.0,2.0,-13.83,-11.32,114.93,244.03,-8.33,112.08,-135.84,-94.19,50.24,28.51,80.68,69.3,85.93,34.59,-139.49,32.94,-1.72,-9.05,-116.91,-19.63,1.0
3.0,3.0,3.0,-36.5,66.22,16.54,74.43,-78.31,125.0,-109.33,34.35,-84.22,-128.63,42.16,85.22,-332.26,5.29,257.46,61.5,-16.2,-83.28,-199.69,12.86,2.0
2.0,2.0,3.0,-21.12,21.35,-93.29,131.29,-24.05,-129.86,30.76,44.23,127.82,125.88,-76.53,-46.67,-207.83,-2.89,187.09,15.25,22.68,143.0,1.96,-22.49,1.0
2.0,2.0,2.0,23.94,-56.3,-2.33,-111.67,-7.34,-220.56,190.32,48.59,101.5,68.43,43.91,82.44,58.85,26.6,30.14,-40.5,-6.64,97.21,94.62,3.44,1.0
3.0,1.0,1.0,0.63,70.55,84.18,5.62,-42.72,-49.92,27.7,32.05,59.52,147.87,-146.44,-10.05,-336.22,-18.5,-49.78,48.13,-25.62,-94.88,17.35,-50.6,1.0
3.0,2.0,2.0,-3.75,6.63,-112.74,19.6,-35.59,174.17,10.5,12.75,84.48,-52.81,-7.03,77.95,-95.92,-23.43,70.04,-65.23,-3.1,-19.61,96.49,-105.01,0.0
1.0,3.0,2.0,31.07,8.37,67.06,-67.72,6.68,-154.28,-113.99,-11.54,100.52,126.18,-90.63,-34.49,71.69,8.9,-29.67,-63.16,18.69,27.77,-84.76,37.12,2.0
3.0,2.0,2.0,-7.52,-88.19,-37.54,-78.84,-58.38,40.91,-40.45,-28.72,51.09,-70.79,6.21,-183.59,-355.18,18.81,101.78,-6.33,2.67,15.02,90.04,19.34,2.0
1.0,2.0,3.0,-9.41,-41.21,-88.17,-65.07,12.03,10.84,-38.35,77.39,55.58,180.43,-107.72,-24.74,35.21,-16.41,144.24,-46.08,-7.37,46.44,-222.15,-1.48,1.0
3.0,3.0,1.0,17.57,3.59,-5.96,-166.13,71.09,333.81,-246.78,-2.89,-129.14,-86.85,114.15,-45.36,-107.24,0.1,-26.77,46.02,-2.68,-66.77,117.48,33.29,0.0
2.0,1.0,2.0,-41.21,-95.92,-106.91,-5.88,4.9,-0.52,56.93,-19.9,29.75,210.57,-192.53,-134.83,-205.35,19.18,20.16,-73.23,-6.85,114.62,-39.29,32.43,1.0
2.0,1.0,1.0,5.92,0.76,-17.75,128.17,-18.44,121.85,86.61,-26.12,88.0,-18.34,153.34,125.77,-108.71,-3.54,-39.18,-31.7,7.45,-35.36,-52.1,-26.69,0.0
3.0,2.0,2.0,-23.77,12.36,72.47,-185.63,-60.22,-44.09,-125.64,83.36,27.79,-74.29,69.31,-281.67,-423.88,27.67,138.67,-17.69,-0.01,-15.17,-13.1,0.18,2.0
2.0,3.0,2.0,20.54,-109.24,-7.82,-34.0,7.36,-126.28,-65.34,-33.18,-112.19,101.32,-90.62,-132.89,-36.45,-52.57,19.46,38.46,-39.6,31.41,-154.42,-54.34,2.0
2.0,2.0,3.0,-24.15,-115.49,-48.34,-41.63,-84.91,-150.28,88.95,-61.18,-82.56,-10.94,-6.52,-44.27,-152.34,2.17,115.39,-26.31,-6.48,18.31,124.37,21.86,1.0
