cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,target
1.0,0.0,1.0,1.0,-1.35,-99.68,27.49,-174.25,139.17,-16.89,-37.25,-97.48,-5.09,-81.28,7.37,113.71,-18.35,-202.35,63.12,8.22,60.95,0.0
1.0,1.0,1.0,1.0,-2.63,16.95,-50.95,117.68,103.02,45.63,84.7,-3.4,18.83,64.43,-2.19,19.78,-39.91,38.4,-104.95,-117.88,-166.51,0.0
1.0,1.0,0.0,1.0,-1.69,180.81,-128.44,-104.54,-86.92,-24.64,-90.26,35.7,5.63,-11.1,12.09,-65.36,233.35,-181.96,-97.98,-4.46,6.01,0.0
1.0,1.0,2.0,2.0,-0.2,-121.05,109.33,-151.95,204.13,-108.71,46.13,-147.31,-21.93,-12.14,-7.25,6.92,-243.3,-224.86,-118.04,44.97,-30.36,0.0
1.0,1.0,1.0,1.0,2.5,-116.43,136.78,-4.74,-90.39,-3.85,9.95,47.33,8.25,49.65,-14.86,-75.23,-308.74,-71.98,-174.75,-7.26,25.7,2.0
1.0,1.0,0.0,1.0,3.6,176.48,64.11,162.12,39.69,-98.52,-4.75,96.28,10.57,82.73,-8.25,34.55,87.26,-58.07,129.48,254.34,-35.74,1.0
0.0,2.0,1.0,1.0,0.85,-5.45,24.07,-88.47,206.21,8.63,10.13,88.15,7.98,92.2,15.25,24.66,24.25,-74.51,-58.01,-42.15,-191.69,0.0
1.0,1.0,2.0,2.0,-5.47,-10.56,39.3,73.34,177.53,-6.53,-2.83,109.51,-1.31,79.2,8.43,95.18,-13.33,-24.04,-5.69,12.52,-181.98,0.0
1.0,2.0,1.0,2.0,0.43,-71.45,83.47,-142.07,168.09,-25.68,-17.04,-4.56,-23.63,78.5,2.74,2.96,33.73,-5.69,79.22,42.46,-50.93,0.0
1.0,1.0,1.0,0.0,4.59,54.84,76.11,-98.23,-76.42,-16.9,-121.45,-98.24,12.75,104.1,-7.43,-54.42,-70.91,-180.1,80.4,183.9,1.25,0.0
1.0,1.0,1.0,1.0,6.67,-78.7,79.62,22.33,-242.68,33.14,-86.04,-135.51,-10.84,-9.26,5.4,3.33,22.52,171.23,-76.59,-46.72,117.81,0.0
1.0,1.0,0.0,1.0,-0.95,-23.54,-180.14,21.4,-625.76,-17.66,-279.15,39.3,1.83,235.99,18.73,-117.5,-219.1,38.52,-108.17,26.25,249.98,1.0
2.0,1.0,1.0,1.0,0.69,110.22,108.99,72.44,-214.26,21.32,-9.15,92.7,5.2,177.87,-2.56,-118.03,75.05,81.48,126.93,156.01,139.15,1.0
1.0,1.0,1.0,1.0,-3.62,-29.33,-16.52,-29.27,54.58,8.36,-101.79,-90.63,-6.27,43.01,-2.03,-107.85,-126.7,-204.15,27.02,47.1,-85.52,0.0
1.0,1.0,1.0,2.0,-0.06,-58.78,11.12,-65.56,-70.47,-36.07,-18.39,135.45,-11.19,-80.56,7.74,-34.14,-231.24,-15.89,-94.84,18.48,-12.78,2.0
1.0,1.0,1.0,1.0,-1.56,7.0,98.98,-55.13,100.01,-14.49,-96.67,-97.96,17.71,22.89,1.29,-26.98,73.26,28.48,197.22,164.1,-99.61,0.0
2.0,1.0,1.0,1.0,-1.47,-61.52,-104.64,-88.18,181.25,-123.72,105.8,9.65,-22.62,-24.21,0.02,-26.53,-107.39,111.89,119.45,48.06,11.67,2.0
1.0,2.0,1.0,0.0,0.17,23.86,127.95,-22.9,-259.0,-51.4,-31.08,-8.03,-6.7,-128.39,4.28,-2.68,-101.31,-23.49,-123.74,99.37,158.64,2.0
1.0,1.0,1.0,1.0,3.94,-89.44,49.13,-31.02,78.64,4.67,66.49,8.24,5.51,168.24,3.53,-74.11,166.93,-44.55,-55.24,-129.88,169.63,2.0
1.0,1.0,1.0,1.0,1.66,-35.76,-11.69,-24.36,170.16,-91.05,89.67,-21.37,3.69,87.02,-3.67,-1.21,261.35,103.37,47.63,-42.55,123.96,0.0
1.0,1.0,0.0,1.0,0.57,33.69,-23.9,74.49,-39.17,-81.42,-73.95,53.12,-13.88,231.63,-4.53,38.6,51.14,40.75,44.88,101.51,14.16,1.0
1.0,1.0,1.0,0.0,2.48,-145.37,124.51,81.43,129.23,-83.52,-68.73,-124.44,-15.88,-112.78,-6.0,-28.78,-54.34,-125.04,176.06,147.59,123.86,0.0
0.0,2.0,1.0,1.0,0.76,-159.75,-7.46,2.79,20.25,-58.78,-1.49,100.1,11.11,14.03,6.46,152.08,-418.15,-52.83,-48.6,26.98,-25.47,0.0
2.0,1.0,0.0,2.0,3.8,-33.49,118.72,-61.06,136.59,-38.65,-51.8,116.73,-13.9,-67.45,-4.71,-84.96,-18.67,-57.3,98.59,128.5,-78.86,0.0
1.0,1.0,1.0,1.0,-0.22,-75.07,192.72,87.09,15.74,44.6,54.65,20.5,13.23,48.7,23.62,72.29,242.23,277.5,125.6,-13.75,120.67,0.0
2.0,1.0,1.0,1.0,-0.03,107.89,-3.31,8.11,-25.61,-14.47,83.19,-29.83,-11.41,77.25,-8.4,-24.01,41.49,261.91,105.53,87.91,-66.38,1.0
0.0,2.0,1.0,1.0,-3.74,68.08,-19.49,-10.94,208.37,0.9,128.3,42.73,-19.5,-0.9,-14.0,45.73,139.03,183.2,82.18,-14.15,-156.86,0.0
1.0,1.0,1.0,0.0,1.06,-6.01,-77.87,77.84,-81.11,34.82,46.28,21.1,-5.51,87.92,-3.23,21.33,-59.82,39.17,-95.46,-108.82,24.73,1.0
1.0,1.0,1.0,1.0,1.41,-107.41,43.92,94.24,125.09,-36.4,81.33,-94.0,14.04,22.32,17.89,-123.31,-338.25,225.54,-24.83,24.23,-231.03,0.0
1.0,1.0,1.0,1.0,-0.57,-58.2,119.26,80.54,379.08,-93.83,106.48,-12.47,2.86,86.95,8.66,-112.14,-199.62,-354.48,-1.25,100.53,-90.36,1.0
1.0,1.0,2.0,1.0,3.2,-68.31,22.18,121.11,285.84,1.26,93.85,12.62,-6.43,-89.47,-3.45,4.38,-129.21,-166.76,76.84,1.68,-84.2,2.0
1.0,1.0,1.0,1.0,0.4,-151.97,96.91,-46.53,282.69,-51.12,-5.04,-43.01,-8.35,-16.6,-1.68,-29.1,-68.41,-68.38,-52.13,-26.48,-139.9,0.0
1.0,2.0,1.0,0.0,1.92,-102.55,48.95,12.3,19.51,-41.83,-60.17,-90.66,10.23,36.49,-2.55,-143.38,-16.83,84.57,-88.71,-32.5,-40.99,2.0
1.0,1.0,0.0,1.0,-3.18,-137.25,58.14,24.19,47.16,33.06,55.6,-9.88,2.18,-12.91,-0.19,93.17,205.53,16.8,-79.07,-194.77,200.89,2.0
1.0,2.0,1.0,2.0,0.75,3.61,-1.41,202.63,203.38,-59.98,6.1,-87.09,-12.2,97.15,5.01,42.39,327.28,-77.26,-211.4,-151.24,-54.22,2.0
1.0,1.0,1.0,0.0,-0.9,184.71,123.23,-11.42,209.32,-25.17,57.55,-78.68,-5.97,-38.17,5.4,-31.14,83.48,-191.74,134.81,214.09,-148.26,1.0
1.0,1.0,0.0,1.0,1.77,-69.16,85.68,28.64,-271.35,-31.12,26.76,84.93,2.62,-136.43,-24.3,-61.01,-90.36,280.37,52.97,66.41,244.62,1.0
2.0,1.0,1.0,1.0,-2.5,-134.63,162.43,-19.25,-272.05,149.17,-67.28,-139.43,-6.07,-46.83,8.56,43.6,-63.76,150.89,-75.61,-109.02,107.81,0.0
1.0,2.0,1.0,0.0,-5.41,24.31,13.92,107.51,219.23,45.74,25.4,132.5,-17.43,74.02,-27.23,-0.17,129.31,-212.59,19.7,-48.56,-78.34,2.0
1.0,0.0,1.0,0.0,-1.82,82.68,-35.47,34.29,-296.13,63.44,-96.58,-17.12,-19.75,-19.26,-7.05,-49.38,-2.52,-2.44,54.5,56.01,112.93,1.0
0.0,1.0,0.0,0.0,-3.67,-80.52,-44.87,94.21,-180.68,-83.13,-136.8,-169.51,0.06,-29.21,11.39,27.83,-258.43,-166.06,-70.09,75.08,124.86,1.0
1.0,1.0,1.0,1.0,-3.67,47.48,115.46,89.17,-271.51,173.93,-112.86,-72.89,-14.21,58.32,-2.1,0.83,-94.39,62.18,255.07,148.88,26.0,1.0
1.0,1.0,1.0,1.0,3.34,41.15,-122.51,114.03,-357.74,19.9,-93.59,79.76,2.21,28.79,-4.61,43.67,38.44,4.1,-218.48,-121.38,158.28,1.0
1.0,1.0,1.0,0.0,3.66,-172.99,-32.21,-6.11,323.02,-106.88,36.34,31.84,5.1,-187.04,-34.83,-17.0,126.93,-69.24,-234.05,-213.99,-46.44,2.0
1.0,1.0,1.0,1.0,-5.33,-41.68,-6.68,2.9,-166.56,-15.12,-11.46,149.21,-5.76,71.16,-2.06,55.86,-8.76,44.21,70.79,27.16,234.49,0.0
1.0,1.0,1.0,0.0,0.12,-80.64,21.32,111.36,-28.98,-105.79,60.2,-19.45,-1.39,95.64,-11.11,-61.19,-144.08,146.93,73.12,90.8,136.83,0.0
1.0,1.0,1.0,1.0,-0.85,-165.29,93.08,1.8,-412.76,85.55,-163.37,56.13,-1.27,-149.69,9.77,-19.76,-40.91,-33.5,-147.48,-117.53,327.58,0.0
1.0,0.0,1.0,1.0,0.28,-28.9,194.74,39.04,-213.13,114.6,-0.6,-145.16,9.4,-14.35,21.74,40.58,-7.81,-92.03,70.67,35.51,254.89,2.0
1.0,1.0,0.0,1.0,6.38,62.39,25.58,-15.16,100.0,-26.34,75.48,58.34,-16.47,92.12,12.29,-50.88,-249.25,-36.79,-103.58,60.04,-247.29,0.0
1.0,0.0,0.0,2.0,-2.37,50.37,37.41,-36.79,-153.38,-124.94,-35.8,59.93,-19.59,88.41,-11.01,-114.7,-366.06,-386.35,-71.35,226.25,146.54,1.0
1.0,1.0,1.0,1.0,-0.98,-121.44,-39.23,-39.65,-79.35,-1.3,95.89,25.7,5.14,-15.15,6.67,136.02,-238.62,150.16,-124.37,-120.4,55.84,2.0
2.0,1.0,0.0,2.0,2.99,144.4,-95.01,2.71,124.65,-73.21,80.09,43.69,-10.08,47.37,-3.51,-13.83,166.33,129.99,83.8,64.79,-97.22,0.0
2.0,1.0,1.0,1.0,3.79,-25.0,108.67,7.91,-81.67,23.91,-97.5,-74.74,-9.33,49.25,5.17,-111.77,-47.16,-39.68,-33.25,48.27,-28.19,2.0
1.0,1.0,1.0,1.0,-3.36,-131.54,71.34,-92.98,194.47,-37.69,-45.44,34.02,-19.06,42.03,10.59,-3.61,-31.93,-33.96,97.42,42.3,-45.86,0.0
1.0,1.0,2.0,1.0,6.54,30.74,-65.76,249.0,-64.88,60.07,-63.24,-41.27,20.76,71.84,17.54,-7.79,256.2,114.75,-77.0,-141.14,-30.37,1.0
1.0,1.0,1.0,1.0,-3.14,35.13,101.4,-45.27,22.8,-57.57,-29.65,-47.39,11.27,147.8,-0.32,44.61,-51.76,-139.31,64.79,168.18,20.96,0.0
1.0,1.0,1.0,1.0,-6.88,-152.04,-83.41,71.56,30.26,-34.76,14.44,-104.34,2.17,135.71,-8.89,-55.4,-18.72,42.78,-175.52,-195.87,65.24,1.0
1.0,2.0,1.0,0.0,5.59,-116.32,103.04,-109.65,9.44,-3.43,-14.81,-28.18,10.7,71.76,16.97,-18.39,134.25,-119.08,-155.71,-126.52,169.29,2.0
2.0,1.0,1.0,1.0,-7.79,-39.14,134.79,65.86,-349.18,119.81,-13.15,-44.1,15.68,-28.75,4.12,-8.96,46.76,157.0,-167.42,-128.43,182.13,0.0
2.0,1.0,1.0,1.0,-1.65,-87.23,36.38,58.41,5.4,2.69,7.33,-149.16,-7.46,84.41,8.98,-85.87,-195.1,-47.34,172.86,94.24,95.72,1.0
1.0,1.0,1.0,1.0,0.44,49.69,12.97,85.32,-38.25,112.02,144.65,-36.31,8.64,-125.03,6.48,4.67,-96.23,385.36,211.66,33.42,-110.69,1.0
1.0,1.0,1.0,1.0,-2.64,1.58,-129.2,-109.49,-154.74,69.66,-49.2,59.55,18.61,-57.14,-1.32,-81.02,-332.5,83.05,-66.69,-36.5,-189.41,0.0
1.0,1.0,1.0,1.0,4.59,59.02,-74.86,87.95,-162.68,47.44,39.36,2.74,-11.46,-6.46,-13.71,-3.03,0.5,60.65,-91.11,-84.99,48.91,1.0
1.0,1.0,2.0,1.0,-4.05,-19.17,49.32,-50.45,125.03,8.46,-16.92,-86.76,-7.64,-35.57,-34.11,38.74,-96.91,-198.14,-88.01,-7.91,-128.07,2.0
1.0,1.0,1.0,1.0,-3.57,11.21,-77.87,108.48,45.85,-60.13,138.91,19.23,5.84,83.61,-3.79,87.47,-132.99,165.76,228.22,112.89,74.62,2.0
1.0,1.0,1.0,1.0,-4.04,-9.34,54.61,39.97,106.65,5.68,-118.1,-65.01,9.81,100.19,-2.76,8.58,31.2,-221.05,88.24,86.74,-59.28,0.0
0.0,1.0,1.0,1.0,-0.96,-56.43,82.0,-106.04,223.49,-63.18,49.69,-45.56,7.44,-57.19,-10.25,21.47,-136.41,-268.89,-12.3,61.08,-19.54,0.0
0.0,1.0,0.0,1.0,0.88,-33.99,-141.01,-20.65,-259.52,16.18,-5.04,-5.24,-15.59,109.38,-7.36,30.25,-207.76,-29.85,-101.04,-82.85,170.18,0.0
1.0,1.0,1.0,1.0,-0.46,-48.94,-16.65,-54.71,-131.44,-65.29,-125.65,7.84,6.19,59.46,-14.02,44.58,78.68,-177.73,288.59,174.99,393.13,0.0
1.0,1.0,1.0,1.0,0.29,9.27,-22.89,52.16,-75.16,-4.69,32.85,-12.35,-1.99,4.63,-4.6,-44.42,-54.73,-114.61,-153.47,-67.15,74.8,1.0
1.0,2.0,1.0,0.0,0.47,90.06,51.0,33.45,26.28,18.25,-110.0,95.75,-15.13,128.77,-0.84,22.24,150.11,-102.44,66.23,94.49,-92.8,0.0
1.0,1.0,2.0,1.0,6.96,62.14,8.26,-306.6,193.57,-1.57,33.34,59.08,-10.91,-99.18,3.1,56.09,280.26,169.4,100.21,-1.39,-141.03,1.0
1.0,1.0,1.0,2.0,-2.82,60.25,19.81,90.89,-618.5,-155.44,-44.08,-131.47,-15.63,60.59,4.87,86.64,-272.33,217.28,-187.73,174.5,326.02,2.0
1.0,0.0,1.0,1.0,4.55,247.51,159.69,-137.96,9.65,-129.6,-102.46,-17.09,-16.72,-221.92,-7.04,-105.64,97.68,-296.38,149.37,409.17,-20.0,1.0
1.0,1.0,1.0,1.0,2.68,14.71,-33.27,185.72,-115.9,78.75,-34.81,91.06,-15.45,-120.9,-5.8,0.38,28.5,-98.34,-119.61,-113.47,32.91,0.0
1.0,1.0,1.0,1.0,1.58,89.42,59.76,-73.16,-163.54,-19.74,-59.04,-27.41,25.01,-62.59,-5.68,-47.32,37.24,74.91,139.08,179.42,73.73,1.0
0.0,1.0,1.0,1.0,-0.47,30.96,133.18,21.68,169.18,-63.2,-82.82,-2.48,12.2,-13.85,4.47,-58.42,51.89,-291.24,-189.53,47.74,-168.42,2.0
1.0,1.0,1.0,1.0,0.38,10.87,16.78,62.31,95.24,7.29,63.26,8.29,0.16,-14.29,10.57,37.65,-84.03,-49.52,37.26,27.57,-57.44,1.0
1.0,1.0,2.0,1.0,-0.36,-234.71,131.4,-137.42,707.21,30.42,-30.76,24.71,-8.25,23.6,6.07,-53.69,102.06,-200.76,98.74,-98.9,-369.23,2.0
1.0,1.0,0.0,0.0,-1.84,-64.82,29.2,-154.31,33.79,-18.69,3.52,-66.39,35.08,-13.68,22.34,-34.18,274.02,18.96,-106.4,-139.79,142.09,2.0
1.0,0.0,0.0,0.0,5.69,-34.79,-101.18,41.62,-234.72,23.14,-34.31,-62.52,-15.24,-109.19,-10.96,-132.93,-372.67,54.39,74.93,66.15,49.45,1.0
1.0,1.0,1.0,1.0,3.77,6.66,-111.84,26.59,-350.12,36.78,-38.88,115.14,-9.91,71.3,8.54,-18.65,-295.03,-22.92,-78.25,-10.94,130.98,1.0
0.0,1.0,1.0,1.0,4.45,95.11,10.77,-58.78,-119.2,-65.32,-7.52,15.42,-28.92,96.08,18.56,93.86,-126.17,-127.45,5.75,157.64,69.83,1.0
1.0,1.0,1.0,1.0,-4.55,-121.6,55.61,-127.13,37.56,-108.93,-10.86,44.81,6.41,-52.8,6.02,-110.0,-17.21,11.63,95.76,82.9,189.59,0.0
1.0,2.0,1.0,0.0,-0.3,-157.82,62.85,181.59,170.55,-32.18,71.2,-88.67,-6.8,-31.88,4.76,-69.97,-71.67,93.54,239.57,59.87,105.06,2.0
2.0,1.0,0.0,1.0,1.75,-125.73,-32.74,60.88,-228.08,-59.53,12.55,87.09,10.5,-145.57,-12.48,-26.23,-329.65,12.14,-123.81,-19.55,206.27,1.0
1.0,1.0,1.0,1.0,3.7,53.07,26.38,-299.31,-223.4,75.51,-20.78,143.02,-23.46,-149.84,-7.33,7.56,-65.6,169.03,-19.37,9.86,-30.52,0.0
1.0,1.0,1.0,1.0,0.63,-30.51,118.47,-164.38,-197.71,49.49,12.58,-141.35,-5.51,39.47,-1.18,-20.87,125.75,111.92,4.24,-29.29,233.91,0.0
1.0,2.0,1.0,1.0,-4.29,-120.85,19.24,101.06,232.5,-16.19,-42.77,13.3,-28.55,95.69,-19.48,-44.53,40.28,-129.17,4.6,-56.21,-61.04,0.0
1.0,1.0,1.0,1.0,2.29,-21.54,30.56,71.89,24.23,-74.44,-51.67,-38.96,5.67,-26.38,0.06,5.78,-168.22,129.12,36.43,130.82,-152.7,2.0
1.0,2.0,1.0,1.0,0.13,81.91,128.61,-29.94,-85.76,64.06,-107.62,16.31,-9.01,-206.66,-15.86,44.75,139.6,-99.52,-60.28,37.09,-60.96,1.0
1.0,1.0,1.0,1.0,-0.86,174.84,-32.96,-7.14,-154.47,62.38,4.6,136.9,30.93,127.29,12.34,20.1,176.53,-5.42,-26.24,-6.94,24.3,0.0
1.0,0.0,1.0,1.0,-0.68,-98.4,4.8,-104.23,-346.3,48.74,-47.59,15.53,2.28,-85.19,-22.33,-22.17,-54.32,-15.79,-234.44,-167.4,276.39,0.0
0.0,1.0,1.0,1.0,-5.89,-34.91,16.31,-42.91,263.49,12.31,69.41,52.64,7.12,8.12,-7.62,-123.3,167.16,-8.15,-46.99,-120.94,-114.06,1.0
1.0,0.0,1.0,1.0,-6.8,62.65,82.03,-52.12,-193.37,56.9,-70.24,7.09,10.38,104.45,3.1,29.48,-7.13,29.75,34.26,83.0,18.75,1.0
1.0,1.0,0.0,0.0,0.45,-32.51,42.18,224.32,45.26,-53.45,-43.8,136.69,9.9,-79.94,4.29,-78.93,-81.88,-90.82,145.35,144.44,50.38,1.0
1.0,1.0,1.0,1.0,-2.95,19.84,-55.75,-221.76,103.66,-11.33,83.35,68.94,15.11,-86.43,14.94,67.26,200.74,103.74,4.49,-87.7,18.05,2.0
1.0,1.0,1.0,1.0,-2.49,-182.33,-184.93,-1.93,525.27,-218.98,177.44,-51.37,-11.73,89.33,14.43,36.0,-26.06,-104.18,-117.67,-163.17,-29.44,2.0
2.0,1.0,1.0,1.0,0.2,-80.21,51.48,-9.99,-102.88,-13.03,-162.24,32.51,-3.12,-66.55,-8.01,-95.15,-143.86,215.98,219.96,178.62,-59.93,0.0
1.0,2.0,1.0,0.0,4.73,41.26,-49.41,-96.06,-213.17,8.17,102.05,-39.18,-2.21,130.48,2.66,18.18,-303.83,-83.67,-51.05,29.47,151.44,2.0
1.0,0.0,1.0,0.0,-2.34,-67.7,-88.96,14.31,-113.22,-5.95,25.38,-8.72,-0.5,72.75,11.13,71.99,-148.29,-26.69,-164.11,-124.05,93.5,1.0
1.0,1.0,0.0,1.0,-6.79,14.29,129.33,4.36,308.84,-114.72,-5.95,-83.95,-19.18,-146.56,-16.52,-90.75,90.53,-284.83,-0.36,126.0,-77.62,1.0
2.0,1.0,0.0,1.0,2.08,10.15,-21.83,-50.26,106.67,17.18,-30.11,5.24,-18.15,28.72,-3.95,26.86,-111.89,-82.15,215.29,124.27,-88.68,1.0
1.0,1.0,1.0,1.0,-7.91,52.31,-90.35,-84.5,271.87,-65.94,194.82,19.0,-4.86,62.69,7.82,-67.2,72.3,221.64,116.33,2.25,-127.93,0.0
1.0,1.0,2.0,0.0,-3.33,73.7,-117.33,-142.76,-492.5,-23.56,-82.18,33.71,-30.59,-53.71,-1.23,41.34,-130.85,-85.28,-239.66,-29.32,262.18,1.0
2.0,1.0,1.0,0.0,-0.86,3.76,228.13,-132.3,-252.98,74.92,-107.05,53.49,-3.8,-135.74,-7.39,-40.07,5.74,72.67,41.41,114.86,77.67,2.0
