cat_0,cat_1,cat_2,cat_3,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,target
1.0,1.0,1.0,1.0,36.67,-32.3,170.81,153.44,64.76,-28.04,4.55,7.76,-12.09,-61.02,-47.41,89.22,47.23,12.53,12.41,59.82,393.15,16.37,61.11,16.85,16.28,56.35,-3.39,1.0
2.0,1.0,2.0,1.0,-33.67,-11.35,-12.75,69.76,63.71,7.44,-0.64,18.1,17.18,15.81,-34.03,180.24,10.63,-162.02,107.88,-98.57,259.32,-6.84,-33.24,-84.99,78.72,53.1,46.92,0.0
1.0,2.0,1.0,1.0,19.92,-16.24,91.55,116.38,111.99,-63.7,19.69,1.52,-51.23,-171.57,5.39,100.52,9.52,24.14,60.96,-16.02,38.99,48.3,125.48,-59.6,-18.03,-2.23,-2.47,1.0
1.0,1.0,2.0,2.0,235.27,-0.09,-31.11,-137.11,17.22,-18.89,-30.46,-7.02,10.97,-71.16,-31.44,73.65,46.04,-31.72,61.6,-45.68,17.59,-190.75,-48.77,-229.9,-9.38,-70.96,-68.3,1.0
2.0,2.0,2.0,1.0,-124.87,-9.85,140.63,-63.28,-50.31,-0.68,24.8,0.57,-11.29,29.7,58.0,80.01,46.48,22.51,-137.19,-57.99,13.12,-63.45,127.03,-204.54,-36.72,-37.19,-39.48,0.0
2.0,1.0,2.0,1.0,-111.58,-3.16,-5.56,31.48,30.24,-17.53,25.76,21.4,40.85,46.02,12.12,18.34,5.15,76.76,-15.56,-50.34,-137.23,69.28,-90.97,49.22,-13.58,-12.36,-52.84,1.0
2.0,1.0,2.0,2.0,-199.83,-53.81,-18.53,188.92,87.2,19.23,22.23,8.84,-3.08,30.74,-5.59,135.12,8.86,177.93,111.5,119.56,-83.99,-41.46,12.61,92.14,61.23,107.33,4.19,0.0
2.0,1.0,1.0,2.0,128.73,-5.26,44.98,200.19,-59.35,-14.38,-14.58,-2.57,3.5,-64.05,-16.67,-77.31,14.75,-76.71,35.43,-76.89,-323.81,-103.43,1.38,-39.24,-29.12,-68.82,110.62,0.0
1.0,1.0,2.0,1.0,96.43,37.35,49.03,79.53,54.89,16.87,3.01,13.93,-19.97,-83.75,30.33,35.5,16.98,32.6,114.09,-68.43,9.63,-3.79,14.6,-53.56,32.87,-115.8,-90.81,1.0
1.0,2.0,2.0,1.0,-44.96,-12.03,-145.63,-20.43,-15.16,-17.66,7.09,23.39,2.56,-175.81,-24.12,53.52,21.07,-187.51,55.67,63.44,138.74,75.1,-39.05,-204.52,-1.55,50.58,-46.13,0.0
1.0,2.0,2.0,1.0,9.9,40.75,-34.75,42.72,4.14,0.11,37.77,-2.29,-9.77,55.59,-31.41,35.27,46.96,-115.71,11.68,-43.44,-221.67,103.15,87.93,-95.11,55.81,-98.73,16.43,1.0
2.0,1.0,2.0,2.0,-145.13,14.33,-25.48,-60.71,-28.64,20.61,-35.01,4.54,4.41,60.75,48.86,91.52,27.48,-53.71,6.48,133.51,17.59,-22.29,-31.59,-78.84,-74.5,-5.28,-6.99,0.0
2.0,2.0,2.0,2.0,-393.25,2.62,72.14,-140.18,-47.43,-13.46,-33.22,6.6,-11.09,157.35,-8.22,92.95,23.78,21.1,-34.53,97.35,280.12,-18.97,111.89,50.83,55.07,73.56,-64.73,0.0
1.0,1.0,3.0,2.0,-154.06,10.57,-126.91,-180.31,7.7,8.81,-36.19,9.96,4.89,90.61,24.63,-116.59,-18.78,-137.28,53.79,-46.06,113.27,10.28,-42.96,-106.53,-120.76,-24.27,-90.35,0.0
2.0,2.0,2.0,1.0,-265.56,-5.05,101.79,18.25,70.53,20.87,-4.43,24.76,-33.01,102.4,8.65,-51.39,-12.2,-83.97,173.52,-9.3,226.48,-48.48,-28.04,-238.64,39.86,-14.96,74.22,0.0
1.0,1.0,2.0,2.0,40.27,8.87,-126.31,9.45,21.1,-15.37,-26.53,7.62,-5.34,3.9,5.05,-245.02,-7.97,3.63,-2.35,-111.3,-170.87,-16.86,24.71,195.66,-83.96,-64.92,20.88,1.0
1.0,2.0,2.0,1.0,-21.27,-16.58,6.02,94.41,-10.24,-22.21,-17.95,7.42,13.61,88.32,-12.67,83.53,54.75,-157.22,168.2,-49.53,189.27,55.27,46.21,9.62,58.89,-169.14,-64.37,1.0
2.0,1.0,1.0,1.0,-72.51,-14.84,-35.84,-83.27,-51.24,19.04,23.53,8.11,-15.83,-185.1,-37.44,-146.93,13.2,8.71,-15.7,184.03,112.55,-149.12,-6.99,-69.23,-45.72,142.76,19.73,0.0
1.0,2.0,1.0,1.0,-7.3,10.9,66.1,138.01,-98.45,9.78,-13.28,2.19,-6.06,-200.79,-36.02,-100.91,59.51,-8.21,93.08,-95.24,269.69,103.74,-89.8,11.1,-35.31,144.51,-28.51,1.0
2.0,1.0,2.0,2.0,-127.3,51.1,-82.14,3.34,75.53,-33.75,38.13,4.73,5.94,192.36,-23.68,223.47,32.59,8.3,-27.63,-10.63,253.8,6.93,17.7,-3.13,13.89,119.18,-8.94,1.0
2.0,2.0,1.0,2.0,-255.54,13.14,-205.26,-175.92,-47.79,18.24,-3.04,5.92,-9.14,50.59,48.56,127.79,-6.36,106.95,53.44,-68.69,-9.36,49.94,52.22,-120.44,96.18,-10.06,76.68,0.0
1.0,1.0,2.0,2.0,-148.83,23.3,-29.16,-89.0,-29.03,67.1,4.55,0.69,-23.93,-1.45,-17.1,-101.89,7.9,114.59,13.95,-132.14,-43.25,8.84,106.07,75.97,-33.28,-84.02,-14.62,1.0
1.0,1.0,2.0,1.0,75.86,-11.82,5.84,136.09,-34.63,15.1,11.78,10.61,29.35,-56.15,30.52,132.45,18.27,-59.99,-40.04,51.85,38.91,-8.97,11.85,75.39,-36.16,4.2,-0.6,1.0
3.0,1.0,1.0,2.0,-398.08,-32.42,57.74,-31.67,18.73,38.34,-11.79,21.6,-8.32,27.35,-27.47,-17.26,41.87,79.61,77.34,30.06,-507.52,111.26,52.38,92.4,-3.76,84.26,-132.7,0.0
1.0,1.0,1.0,1.0,114.7,-0.04,-1.62,164.1,-14.24,-26.87,16.21,13.11,-15.99,-128.5,-20.43,-17.19,48.15,72.66,31.05,3.26,347.59,-56.06,65.92,-9.6,2.57,51.41,57.35,1.0
2.0,2.0,2.0,1.0,-233.25,-23.8,2.64,15.59,-0.47,14.31,-75.85,8.84,-4.32,-103.37,21.35,-191.85,57.39,99.97,34.61,199.14,110.95,-79.74,-38.0,-162.37,96.7,-107.05,43.32,0.0
3.0,1.0,1.0,2.0,-386.94,48.72,-95.46,-50.15,-17.38,-36.42,39.1,16.08,4.72,44.95,25.72,161.39,43.98,-150.47,-17.36,3.65,-326.19,6.45,-1.57,243.21,111.25,77.81,25.55,0.0
1.0,2.0,2.0,1.0,51.57,6.69,-88.53,139.82,20.99,-0.78,5.53,12.96,13.76,-189.4,19.02,-10.79,20.41,-81.53,54.26,211.38,-209.25,26.83,11.39,-108.68,-69.85,28.65,-21.6,1.0
2.0,2.0,1.0,2.0,-473.12,-17.0,-183.24,-24.64,-84.74,-6.41,-37.26,14.58,26.5,108.06,-41.55,17.58,9.44,-87.15,-61.31,-102.06,-32.39,104.13,9.78,219.08,49.2,13.17,11.5,0.0
2.0,2.0,2.0,2.0,-302.72,6.96,15.02,-257.67,5.28,-18.04,-9.19,2.72,-19.9,74.85,-27.31,243.13,9.04,-61.58,2.21,128.24,-13.98,128.79,-43.28,-38.27,-28.7,-86.36,-65.92,0.0
1.0,1.0,2.0,2.0,-83.57,51.05,70.74,67.69,-65.52,52.13,18.48,-3.32,9.92,-4.92,78.02,-28.03,53.77,-48.53,35.18,14.59,268.69,-173.77,48.88,111.43,-11.02,-18.92,9.7,1.0
1.0,1.0,0.0,1.0,10.49,-32.73,61.35,-148.79,70.32,-56.26,16.76,3.0,22.43,-6.5,1.63,-158.13,-30.29,208.17,-55.84,62.43,-170.48,66.0,32.39,154.73,53.34,53.38,-29.03,0.0
2.0,1.0,1.0,1.0,60.24,1.19,-111.93,19.22,-4.24,58.47,-10.13,7.59,-14.95,46.08,-9.76,-134.44,23.29,-205.29,23.46,27.98,-118.09,-42.79,47.12,-20.46,23.11,-112.95,-37.26,1.0
1.0,1.0,2.0,2.0,-105.88,-22.06,40.06,46.51,-61.1,13.06,9.49,4.7,5.05,19.52,-15.76,186.3,29.96,-58.8,55.77,19.99,116.8,-290.59,-16.45,113.45,5.75,-65.32,-66.32,1.0
2.0,1.0,2.0,2.0,-122.31,-4.62,-103.18,-16.71,88.75,15.4,-28.11,-1.49,11.95,49.5,22.63,62.39,-13.85,98.36,-39.66,18.5,-82.42,108.4,-76.1,150.47,105.41,5.06,-23.62,1.0
2.0,1.0,1.0,2.0,-74.18,18.93,-110.42,-27.61,30.26,54.42,-2.11,-5.99,-21.92,13.45,32.9,-29.93,27.37,-44.0,30.33,55.62,118.03,1.3,33.07,-38.85,5.2,-55.17,79.81,0.0
2.0,1.0,2.0,2.0,-149.77,18.73,41.86,8.31,-15.66,25.74,-0.92,-8.26,13.34,12.5,-26.61,-130.22,29.72,-23.5,-40.49,77.4,390.49,-63.52,-52.65,26.42,-49.04,119.18,31.67,0.0
1.0,1.0,2.0,1.0,83.11,-1.48,-99.13,60.83,48.71,-4.56,35.3,14.71,26.07,71.86,-10.29,-18.12,49.5,6.45,83.89,-22.45,166.01,5.86,118.42,0.68,-32.4,-29.27,-9.06,1.0
1.0,1.0,1.0,1.0,136.91,-17.54,42.75,305.14,9.43,6.79,22.07,14.27,27.01,45.84,2.98,13.97,72.74,247.83,42.46,31.05,520.03,161.75,-33.97,9.69,-109.88,6.72,-70.19,1.0
1.0,1.0,2.0,1.0,-28.74,-26.3,-17.73,-146.95,42.54,16.13,-7.63,13.45,2.99,-40.71,2.16,70.23,-5.71,96.37,-28.54,24.49,37.81,-112.26,32.34,-119.37,16.08,142.62,-64.66,0.0
3.0,2.0,2.0,2.0,-548.76,4.15,88.68,-92.01,48.42,-31.0,-19.81,1.68,10.61,84.23,-0.35,25.46,25.98,-60.17,34.26,-67.04,288.02,-6.46,-34.45,31.6,-159.16,-99.49,-7.18,0.0
2.0,2.0,1.0,1.0,-172.79,3.29,-6.09,-132.67,-29.86,-16.55,-61.25,15.3,-7.47,-87.97,-10.32,66.24,-10.62,-41.09,41.04,-23.37,135.98,-123.43,-37.09,-86.0,27.55,-137.8,-65.63,0.0
1.0,1.0,2.0,1.0,156.71,27.11,-65.92,260.73,-6.42,83.6,17.26,17.36,6.74,-21.11,-15.0,-127.68,29.33,8.45,-21.63,-49.61,296.26,-118.48,9.94,146.98,36.44,-161.89,31.79,1.0
2.0,1.0,1.0,1.0,-57.35,15.25,118.34,-32.1,-81.05,-32.94,9.75,13.17,-23.17,4.95,41.4,27.58,15.51,-13.63,-33.35,142.92,-225.34,-174.44,84.73,88.01,-74.42,-35.86,-35.14,1.0
2.0,1.0,1.0,1.0,130.49,-17.35,5.72,47.44,78.65,-49.28,-27.74,19.03,1.4,94.93,21.45,-181.25,17.25,48.08,-39.9,102.89,72.65,-60.99,46.24,-86.4,32.08,-62.01,-50.65,1.0
1.0,2.0,2.0,1.0,124.13,-7.34,-4.05,172.05,4.79,19.99,7.89,7.57,-17.35,43.58,21.19,-74.42,30.05,70.76,80.55,35.92,-349.54,-16.78,-56.66,-117.55,66.08,-88.7,28.79,1.0
1.0,1.0,2.0,1.0,-0.82,14.49,22.53,126.44,82.68,8.95,-53.43,10.63,-2.43,9.12,3.74,30.07,29.67,-87.19,-15.48,-3.62,221.07,-34.31,41.87,107.37,93.16,-37.02,5.22,1.0
2.0,2.0,2.0,1.0,-187.84,-21.63,37.61,63.4,-77.94,8.87,16.75,19.97,23.1,-122.4,-4.76,-67.51,56.77,78.31,-4.65,66.52,218.19,-5.75,-10.39,-163.59,-39.62,124.49,-14.16,0.0
2.0,1.0,2.0,1.0,-103.74,-0.02,53.41,131.24,6.92,-59.02,-12.58,24.42,20.6,200.92,28.02,-102.68,46.84,3.64,33.83,17.19,-223.16,85.26,46.04,-40.3,-53.2,-40.29,34.35,1.0
2.0,2.0,2.0,2.0,-340.06,4.36,90.88,-290.32,-41.09,-25.43,-0.8,7.16,-20.41,250.45,34.63,57.64,-4.99,-73.67,-26.08,21.35,-16.82,29.68,5.9,-85.13,28.92,34.82,94.84,0.0
2.0,2.0,2.0,2.0,-201.58,-24.12,-94.75,-76.13,63.61,-5.63,29.93,9.55,2.97,-17.39,17.65,-78.76,8.26,13.81,43.69,7.91,144.18,-81.46,30.54,-58.21,128.61,-6.35,-5.05,0.0
1.0,1.0,1.0,1.0,156.51,-19.3,19.68,240.56,-32.6,10.93,59.92,9.75,2.8,141.7,57.31,-20.1,47.54,-127.82,-20.12,-27.72,322.09,-82.53,-76.4,89.55,-51.57,49.83,66.12,1.0
1.0,1.0,2.0,2.0,-59.79,2.56,90.99,1.56,-30.88,-51.21,-11.2,2.14,-16.96,-66.16,3.99,13.73,22.1,-40.99,-107.2,-42.59,-46.81,2.6,8.79,-3.47,3.55,99.37,9.26,1.0
2.0,2.0,2.0,1.0,-219.85,24.34,-98.72,-26.79,64.15,-12.56,-39.21,10.71,-32.48,-47.01,58.06,117.69,20.29,-33.83,63.52,66.01,27.16,25.39,-53.07,-208.86,77.13,181.56,-15.06,0.0
1.0,1.0,2.0,1.0,34.86,-1.11,-16.2,74.53,-39.55,-38.98,-31.75,13.83,-8.69,4.0,-20.77,41.67,35.09,-96.61,-59.1,4.2,46.28,-155.25,-85.9,-8.07,-67.26,11.43,80.97,1.0
1.0,2.0,2.0,1.0,-131.77,7.42,-16.86,-64.53,152.02,-16.82,83.63,17.64,7.69,-104.42,-38.0,49.2,3.24,49.9,-102.15,-5.91,207.2,-129.67,-58.83,-120.86,-62.25,131.66,-68.28,0.0
2.0,1.0,1.0,1.0,24.2,10.38,29.3,75.51,13.06,-10.58,51.87,7.19,-13.14,-74.96,-10.91,-32.91,-1.22,-54.28,9.38,10.81,0.61,1.53,35.02,1.7,30.17,-83.74,63.99,0.0
1.0,1.0,2.0,1.0,78.9,10.37,50.73,202.36,10.11,-32.16,16.93,8.53,21.26,11.94,42.62,25.84,43.98,142.76,-91.49,169.78,302.4,-2.17,0.27,143.74,-6.75,-53.43,-37.62,1.0
1.0,1.0,2.0,1.0,159.89,-38.99,-39.09,139.49,-48.78,62.85,6.81,16.17,-5.5,-87.72,-0.54,155.72,49.41,-29.9,1.64,-110.45,101.19,-50.96,-41.09,-26.66,-12.81,-100.39,-77.91,1.0
1.0,1.0,2.0,1.0,37.23,1.72,-4.24,-12.24,-24.74,-38.48,-10.65,2.59,-0.83,57.49,10.12,34.16,46.96,22.38,-124.1,7.31,-54.82,127.47,-54.77,-158.45,-69.85,-23.1,-1.94,1.0
1.0,1.0,2.0,1.0,61.05,41.81,-4.49,147.97,32.79,-77.96,-59.7,13.97,23.29,-20.51,28.54,-17.97,40.29,86.67,-13.21,6.39,302.54,45.92,-93.78,-66.93,-4.5,-113.0,7.46,1.0
2.0,1.0,2.0,2.0,-320.79,-9.09,-2.58,-96.62,-10.99,40.42,13.67,0.85,-6.42,75.92,32.72,12.41,6.21,15.31,30.21,-176.59,222.23,-64.54,-30.48,66.44,22.23,-3.29,18.61,0.0
2.0,1.0,1.0,1.0,-64.55,24.48,5.38,12.25,-45.18,17.05,-19.86,13.91,-11.58,-22.65,-7.75,52.2,27.79,-115.33,38.67,-8.0,-365.54,-113.53,35.7,157.9,8.14,-6.65,67.21,1.0
2.0,2.0,1.0,1.0,-80.63,-12.75,-36.29,-35.19,-38.11,2.26,-5.28,9.94,-8.1,-34.83,-62.64,70.09,32.16,-75.71,-117.49,19.06,-65.08,-55.11,-26.64,-289.95,11.39,-63.28,175.25,0.0
1.0,2.0,2.0,1.0,-9.37,-8.96,-11.02,-78.23,-71.34,7.36,-31.15,25.56,1.99,99.28,21.91,36.64,-21.59,115.66,-214.82,1.21,-40.84,19.12,12.19,-375.97,52.58,-47.57,57.97,0.0
2.0,1.0,2.0,2.0,-15.63,-13.24,119.56,30.23,61.71,-30.24,-0.71,4.97,37.46,44.21,-12.45,57.94,21.21,208.02,-22.54,-101.37,230.19,47.54,48.07,-99.21,-35.37,20.44,-61.99,0.0
2.0,1.0,1.0,1.0,-14.21,-13.22,-16.22,44.14,1.35,-7.94,43.68,2.7,-19.46,-135.05,2.45,-116.04,-14.18,-88.95,16.56,84.08,-116.83,-2.91,-93.91,64.81,-63.74,-19.44,-60.63,0.0
3.0,1.0,1.0,1.0,-282.13,6.86,-106.81,37.91,0.75,12.91,-2.46,30.39,-17.32,122.51,28.29,70.87,52.88,-46.17,28.56,-83.24,-131.65,32.59,-49.39,16.8,68.9,35.56,-55.16,0.0
1.0,1.0,1.0,1.0,33.31,-1.91,5.36,42.19,20.83,20.88,-17.63,7.23,-22.2,-58.51,11.66,-88.73,36.86,-30.45,-85.45,150.76,-322.73,7.75,-125.17,-35.03,-154.78,-69.86,-42.35,1.0
1.0,1.0,1.0,1.0,74.61,25.6,48.54,7.54,39.32,-73.84,-60.46,-1.62,2.31,100.14,-5.63,-61.55,35.54,157.75,21.98,-11.39,-424.71,98.93,1.2,9.17,-72.84,7.46,21.2,1.0
