cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,target
1.0,1.0,177.36,45.68,20.07,0.24,175.06,9.41,-36.12,58.73,73.84,34.66,-18.92,-41.88,82.1,-78.26,-70.41,73.43,-98.62,0.0
1.0,2.0,86.87,-64.31,20.39,3.5,-179.78,-26.86,-30.25,-2.65,10.07,34.21,-24.16,-199.64,-77.05,-20.17,34.74,106.09,20.23,2.0
2.0,1.0,142.99,-37.82,-283.33,0.47,-164.1,7.2,-62.88,-64.19,-8.02,-27.91,30.69,-167.54,25.16,-4.81,-71.59,-147.73,-52.03,1.0
2.0,1.0,-286.67,-7.82,-19.98,3.96,-17.87,-6.65,34.18,64.16,10.86,-113.52,152.62,68.49,-36.72,-6.39,98.67,72.32,125.57,0.0
1.0,1.0,325.27,21.85,-153.28,-5.06,-67.32,-49.82,-56.3,57.6,-30.2,-56.69,107.32,-9.26,66.39,-41.91,64.66,130.04,122.66,1.0
2.0,1.0,33.91,-55.9,-303.89,1.93,-184.87,22.95,-66.88,-30.51,52.6,116.1,-81.04,-215.83,-64.06,-22.7,-15.72,-316.28,35.86,1.0
1.0,1.0,267.86,20.33,-166.78,-18.13,-52.14,7.07,-33.06,-100.53,-93.68,7.1,22.74,161.5,96.5,-58.97,5.08,204.62,84.55,1.0
1.0,1.0,-262.28,56.05,312.1,1.36,132.46,19.84,49.23,-39.38,70.47,-100.11,-46.44,-68.39,-5.37,-132.61,-35.67,50.05,-45.0,0.0
2.0,1.0,-46.61,8.27,41.71,2.78,-113.51,26.69,-46.79,-93.64,-35.9,-130.99,-150.48,24.56,-38.69,-33.41,-30.77,191.6,99.32,1.0
2.0,2.0,161.66,-9.49,-115.56,7.44,92.22,-8.06,-28.62,-58.96,-44.68,-67.2,-23.3,-41.78,145.24,149.26,49.4,62.6,-86.72,2.0
1.0,1.0,18.32,12.05,69.86,10.49,-194.62,43.46,16.38,25.79,-130.59,74.78,96.06,13.14,-4.51,-35.43,-33.26,-205.56,-38.5,1.0
2.0,1.0,-361.81,57.55,19.65,0.01,282.46,13.87,47.75,-116.61,-38.28,-64.77,31.83,115.96,-31.18,-90.82,154.83,-117.7,-73.34,0.0
1.0,1.0,34.26,-0.0,96.68,10.07,-146.03,4.47,-15.64,123.89,-52.29,28.88,7.41,-73.95,-21.02,-184.69,46.23,105.73,0.87,2.0
1.0,2.0,312.6,-40.14,-151.74,7.25,-247.96,18.24,-2.64,-19.11,-72.5,-34.77,-15.79,-25.15,-28.75,38.48,-16.18,268.41,-128.62,1.0
1.0,3.0,547.32,-19.38,40.65,15.31,-116.31,-26.3,-5.67,-100.62,22.46,6.02,71.92,18.96,98.13,-13.65,85.36,361.4,49.18,2.0
1.0,2.0,289.02,-27.85,-56.96,-2.77,-152.86,8.26,-19.79,-40.59,219.57,-29.73,116.33,-15.91,-17.02,-40.19,43.48,211.71,-71.21,2.0
1.0,1.0,92.79,-0.11,51.49,-7.89,-60.5,4.64,-14.29,42.4,-10.67,4.99,-11.98,-5.44,41.77,-98.56,29.64,-99.1,106.8,1.0
1.0,2.0,-221.45,4.11,94.96,1.24,165.0,21.69,123.53,-60.76,31.44,-69.63,44.35,68.5,87.75,-110.27,-4.48,69.38,43.89,0.0
2.0,1.0,-141.02,-28.97,-168.13,2.08,-222.97,64.76,-12.07,-179.47,85.3,83.7,30.86,100.71,-88.76,8.98,-56.58,223.08,24.27,0.0
1.0,1.0,38.79,21.87,-152.32,3.08,22.57,-56.8,-45.04,-151.66,-58.95,33.69,104.12,-56.78,-96.34,-85.28,-147.99,-61.24,-142.77,1.0
1.0,1.0,319.26,5.88,-162.64,-3.47,56.29,-18.82,14.29,35.24,11.47,61.82,88.11,5.21,283.65,3.42,-12.73,106.44,-125.56,1.0
2.0,1.0,108.95,-36.61,-373.94,-4.95,-131.57,12.42,-59.0,28.73,-68.49,-95.72,-11.76,-165.39,-25.37,18.25,-60.73,-79.99,87.76,1.0
2.0,2.0,-6.03,-68.98,-172.2,-11.17,-303.37,-29.17,43.02,-40.04,-88.69,-49.66,3.12,27.01,48.33,-7.6,22.15,90.35,-42.61,0.0
2.0,1.0,200.74,0.19,-296.91,2.51,9.1,-36.82,-52.23,90.74,-21.5,88.36,-20.97,91.11,9.3,131.92,-137.56,-83.19,-53.71,2.0
2.0,1.0,-153.24,-2.29,-18.42,2.85,-48.79,5.72,65.97,-137.79,-54.41,39.58,-164.12,144.23,-78.75,32.24,-55.03,62.82,-26.82,1.0
1.0,1.0,250.13,-11.04,-110.7,2.83,4.23,4.84,-28.4,67.56,151.06,-36.49,13.33,-148.43,22.14,-1.45,64.2,124.2,50.87,0.0
2.0,1.0,149.36,24.21,-165.77,3.39,-191.72,5.52,-32.15,60.62,14.62,83.28,-196.64,132.47,230.83,171.47,-29.23,14.79,-17.61,1.0
2.0,1.0,98.6,13.39,-60.54,3.82,-28.85,19.85,7.55,-16.84,7.28,114.2,46.1,-1.72,-6.68,23.77,64.97,78.48,55.5,1.0
1.0,2.0,-114.67,-27.25,-6.28,-13.74,-98.47,39.14,59.57,161.29,63.51,-47.56,38.7,115.06,-74.58,-15.42,73.92,103.53,12.78,0.0
1.0,2.0,-93.51,-18.0,-77.58,4.83,183.16,3.25,46.36,68.04,268.34,49.13,-45.54,-61.39,13.68,12.63,85.24,165.08,-73.81,2.0
2.0,2.0,-303.89,-62.02,-122.77,-0.73,32.19,-16.9,86.04,-120.56,-45.65,143.11,4.81,-70.89,107.09,4.21,49.97,-80.82,35.92,2.0
1.0,2.0,-33.04,-44.16,-51.35,-1.44,-106.42,-43.16,-7.33,19.58,11.24,-132.22,-124.8,-107.04,-21.51,-40.54,89.99,-167.78,-56.37,1.0
1.0,1.0,228.93,-14.67,-81.2,-4.17,-144.33,-51.27,-85.03,18.87,-94.67,84.1,-91.58,-104.03,195.14,-159.53,126.55,-247.98,66.63,1.0
2.0,1.0,214.54,-0.48,-123.63,1.5,-110.91,-24.55,-23.22,-68.93,-42.86,-27.78,11.96,-21.96,30.52,69.03,109.76,312.12,-38.67,1.0
2.0,2.0,-134.58,-15.09,41.88,-1.97,-2.05,-98.64,75.09,112.04,57.23,-56.6,-32.2,26.21,-40.56,101.33,-48.08,112.5,-41.29,1.0
1.0,1.0,424.74,23.7,-194.21,8.52,-42.28,12.56,-29.96,-27.06,57.94,67.39,-18.98,79.71,-162.3,78.94,26.96,25.46,0.63,1.0
1.0,2.0,-193.58,-71.52,-123.07,15.18,-111.37,25.92,-24.33,-41.93,-6.63,-10.59,-170.53,-12.4,-60.03,-221.02,-32.36,164.52,-57.61,0.0
1.0,1.0,297.52,46.74,254.88,-8.95,-324.12,-67.89,4.42,-143.89,75.23,37.89,88.81,70.75,-14.04,-137.53,43.38,208.95,-7.42,2.0
2.0,1.0,42.58,-8.63,-128.29,12.35,-240.93,6.14,-93.99,90.88,-53.86,-91.59,-37.61,22.62,15.7,-4.28,72.94,246.86,31.22,2.0
1.0,2.0,417.8,23.43,-89.51,-3.17,96.92,-10.94,-25.63,42.65,123.96,88.94,-157.91,115.7,54.48,24.6,106.9,230.5,103.9,2.0
2.0,2.0,165.36,-107.54,-351.22,2.31,-385.15,-6.54,-39.38,-2.55,-66.54,-109.24,-70.91,-45.92,-0.82,20.49,115.57,80.27,-24.68,1.0
1.0,2.0,202.37,16.67,-99.62,-4.16,332.7,-48.75,-47.61,218.74,75.4,-30.71,-56.41,-123.9,35.07,-20.67,30.4,12.69,-35.9,0.0
1.0,1.0,173.25,9.74,38.03,0.83,-101.94,-72.01,-16.79,16.9,151.16,3.68,-29.02,19.52,-213.29,-151.67,-105.29,268.64,1.85,2.0
1.0,1.0,188.16,-31.47,-215.1,-6.57,-219.2,-51.71,-62.09,160.37,69.44,186.28,28.45,-92.5,104.36,-79.01,-105.84,-270.54,21.39,1.0
1.0,1.0,46.4,100.84,212.32,3.83,196.8,-27.99,-27.72,29.87,147.85,122.17,-91.11,35.35,36.59,-181.65,28.19,229.21,-16.58,0.0
2.0,1.0,158.78,16.89,-120.64,6.58,94.75,-18.11,32.39,3.07,-82.99,-169.88,-43.59,-17.77,165.65,94.54,39.42,170.48,-144.53,1.0
2.0,1.0,-141.99,-1.63,-182.57,5.0,-101.58,-10.11,-12.13,44.49,58.47,-118.22,89.68,115.86,-38.47,32.43,-115.86,-15.39,-74.6,0.0
1.0,2.0,54.55,-49.83,-111.17,-4.39,-61.1,-7.0,-18.57,-61.01,-65.63,94.45,76.68,-104.45,67.74,-35.84,-17.95,20.17,132.92,2.0
1.0,1.0,141.4,43.95,104.92,3.0,37.58,-28.16,-0.01,-208.0,105.5,51.68,24.62,65.47,19.39,-29.88,-18.85,173.9,-90.54,0.0
1.0,1.0,-168.76,71.57,227.63,13.66,157.59,-47.33,-19.94,-19.78,59.91,-86.05,-41.36,-5.04,-66.2,-102.86,102.86,70.2,99.01,0.0
1.0,2.0,158.25,-16.61,44.62,3.48,57.46,-16.62,-20.17,32.34,-64.57,35.64,-47.17,-120.97,58.6,-83.5,109.42,20.87,-8.7,2.0
3.0,1.0,260.01,19.52,-187.46,-11.59,-326.1,13.78,-65.72,-63.43,129.81,-174.54,-83.93,161.0,68.62,231.82,-67.32,29.31,121.73,1.0
2.0,1.0,-474.14,22.22,-193.44,-3.36,172.93,33.02,-92.93,-103.24,83.09,99.17,2.1,-13.59,-100.17,-203.04,-68.9,32.58,-25.39,0.0
2.0,1.0,-61.89,-13.94,-22.69,4.11,-182.32,25.65,-51.21,29.37,92.78,26.77,63.35,-69.3,-22.27,46.93,-18.16,184.75,-126.87,1.0
2.0,1.0,-38.73,-34.55,-215.34,16.36,-208.59,82.29,15.66,-103.43,42.17,24.25,10.19,59.08,20.69,36.9,43.1,3.71,-76.34,0.0
2.0,2.0,-111.39,-3.6,18.86,5.48,-3.92,-25.29,68.91,-39.0,75.22,-9.83,34.14,159.72,-99.18,52.81,38.8,-61.31,-29.1,0.0
2.0,2.0,-170.39,-36.93,-29.68,-1.26,-95.57,21.86,45.23,43.36,59.08,171.24,39.34,75.63,65.01,-42.27,-16.43,167.56,-20.06,0.0
2.0,2.0,-141.57,-43.68,-252.74,-3.63,20.52,31.05,12.01,140.76,70.45,-46.8,-40.93,-42.15,-109.2,119.73,35.98,-48.82,-206.29,2.0
2.0,1.0,-274.63,-26.96,-65.68,8.78,-74.04,54.42,29.35,-49.23,-25.29,-9.09,49.92,17.98,57.44,-84.07,144.58,249.1,-80.73,0.0
1.0,1.0,144.22,53.85,-54.94,-4.59,374.52,-23.39,-27.21,47.82,-0.75,-62.53,-23.42,21.08,-163.55,-35.76,24.26,-120.47,-33.14,2.0
2.0,2.0,-312.12,-69.7,-121.23,-5.43,-45.78,31.36,14.64,78.94,55.7,28.09,145.07,-126.91,86.56,92.63,61.89,216.18,6.84,2.0
2.0,2.0,-423.06,-103.16,-107.14,13.24,-75.59,71.44,83.97,-20.94,69.6,172.11,34.5,-150.51,29.37,-56.27,-28.34,195.36,-130.38,2.0
1.0,1.0,107.59,45.42,94.1,-3.02,84.61,13.63,-41.31,-98.82,-59.26,-12.49,-81.34,10.25,57.67,-54.84,88.84,-102.29,-17.6,0.0
2.0,1.0,-7.2,-69.6,-290.95,13.08,-387.74,-0.65,-87.73,-166.87,-18.06,55.7,17.77,-37.07,76.27,-13.23,35.73,163.67,166.71,2.0
1.0,1.0,27.95,84.13,234.17,-7.5,333.74,27.01,-22.48,9.21,-36.41,64.48,10.94,-69.35,-49.32,-159.59,-147.69,260.95,69.54,0.0
1.0,2.0,107.51,-53.56,-179.1,1.73,-236.58,-23.92,8.36,123.11,-10.56,-45.08,18.37,-9.13,-104.0,-47.93,-86.07,-168.78,162.24,1.0
1.0,2.0,144.71,19.77,-85.37,1.93,226.42,-1.38,40.27,17.07,4.16,-58.42,19.5,25.91,41.09,-86.27,-2.4,91.31,87.2,1.0
1.0,1.0,293.82,40.8,42.69,-5.88,212.92,-8.92,-36.47,-22.24,-186.21,32.9,7.55,-87.66,44.65,-114.09,95.28,206.48,26.32,0.0
1.0,3.0,76.13,-97.73,-69.42,0.48,-288.48,15.95,91.3,-17.15,-76.09,-82.48,-135.3,22.35,21.65,-37.02,-133.55,82.27,-238.81,0.0
2.0,2.0,-122.27,-39.21,-65.8,2.56,-185.52,2.38,24.31,103.94,99.54,-74.36,3.15,87.78,-14.66,65.18,-107.15,114.46,-115.85,0.0
1.0,2.0,202.64,-28.84,-41.43,-0.42,-141.55,44.25,-75.47,47.44,245.85,-63.19,33.07,-50.57,159.37,-45.2,-16.95,354.11,-77.9,2.0
2.0,2.0,-135.54,-5.95,36.32,-0.07,-17.16,-10.74,80.72,129.38,103.91,-47.44,151.48,151.71,-71.45,54.25,15.62,43.99,145.83,0.0
2.0,1.0,-67.7,-11.76,10.23,-2.01,-144.67,12.67,2.78,72.38,-71.6,-89.42,-21.65,-75.74,-31.88,-33.02,94.48,-230.64,-58.84,1.0
2.0,2.0,-265.5,-36.21,-49.72,7.75,-82.21,-5.16,14.43,-174.36,-2.9,19.96,-39.0,40.14,121.9,-97.59,-58.34,162.08,128.88,0.0
2.0,2.0,77.96,-0.9,-13.06,-1.18,241.04,-32.47,-12.03,-126.25,61.73,-109.64,-24.19,-72.97,-10.6,187.61,-110.74,92.78,79.64,2.0
1.0,3.0,117.95,-118.37,-105.75,2.84,-340.94,-59.58,63.24,15.45,80.58,-54.04,83.86,38.43,75.68,-88.94,-11.3,108.79,207.26,0.0
1.0,1.0,-404.34,38.77,33.98,9.55,226.09,64.69,34.68,52.27,25.54,-75.63,-33.46,81.35,9.53,-143.16,-29.19,101.13,-14.99,0.0
3.0,1.0,262.34,-5.0,-182.66,-0.19,-328.27,-13.17,-49.87,-21.36,84.44,90.11,-64.96,80.39,102.67,250.11,-10.08,-29.41,149.55,1.0
2.0,2.0,-22.02,-80.36,-208.44,6.11,-407.12,-24.27,-38.81,16.67,-83.97,63.15,-74.88,89.7,145.52,-48.06,63.64,321.67,28.22,0.0
1.0,2.0,257.31,7.37,-2.61,1.64,194.58,16.85,-24.6,17.52,-33.66,-96.36,-35.36,-143.83,-94.77,2.82,136.66,60.42,-9.68,0.0
2.0,2.0,139.82,-65.59,-314.33,6.82,-120.52,-11.11,-45.5,182.11,-51.72,-87.51,55.42,2.35,48.1,21.13,35.56,209.73,57.17,2.0
1.0,2.0,101.01,-20.88,83.62,3.19,-3.92,7.14,-25.02,-9.93,-12.09,-72.0,54.3,-196.23,-22.66,-28.02,102.49,-58.96,-8.35,0.0
1.0,3.0,-15.83,-38.88,99.75,-6.22,-65.99,-3.22,107.24,-43.39,-0.41,-67.75,-113.96,164.03,40.85,59.85,-49.78,-23.08,-10.72,0.0
2.0,1.0,222.59,81.22,-131.12,7.97,278.44,-6.04,-6.01,27.88,-55.05,-22.44,65.84,68.91,-110.73,80.8,223.34,-24.37,-46.95,1.0
0.0,1.0,233.69,100.29,-34.53,4.77,386.44,-94.57,-64.07,21.33,-2.58,34.82,40.07,54.08,66.33,-252.3,-0.32,288.98,51.92,0.0
1.0,1.0,155.62,-16.48,-72.67,-4.75,-89.6,-12.72,-72.65,-14.87,156.17,-143.93,-222.13,-117.51,-25.55,-130.54,-0.0,-171.94,71.71,1.0
1.0,2.0,358.55,-29.28,17.01,-3.54,-293.07,-1.68,-39.02,32.03,-18.35,-104.67,-25.56,-16.63,-176.91,-59.36,-33.53,-129.94,24.75,1.0
2.0,2.0,-19.12,-14.11,-67.01,8.66,-245.58,0.66,-63.7,28.26,-124.41,-1.77,44.15,77.78,32.54,-5.62,54.06,271.01,-36.33,1.0
2.0,1.0,44.22,37.01,-28.2,9.25,295.21,27.44,13.94,122.72,154.86,-28.47,25.84,-9.38,204.06,83.93,-25.65,161.78,63.41,2.0
1.0,1.0,168.09,32.02,100.88,-3.6,32.61,46.2,-37.4,-94.07,-26.41,-30.68,-72.67,-27.57,70.79,-22.93,31.17,-11.43,54.94,0.0
1.0,1.0,-460.81,34.48,48.98,-6.55,285.63,11.66,0.27,-0.9,-51.42,-56.85,-183.4,96.48,5.9,-180.56,7.59,140.34,49.41,0.0
2.0,1.0,-132.58,47.69,58.56,-14.56,251.68,34.68,-18.95,9.52,77.86,-48.87,24.05,-8.45,-12.06,160.17,14.62,255.98,50.94,2.0
1.0,1.0,266.17,28.41,30.01,-2.97,124.9,12.81,-7.09,70.27,13.92,-6.4,54.79,-111.84,-87.92,-140.81,10.73,253.57,-108.17,0.0
1.0,1.0,296.67,-21.66,-123.13,-1.25,-248.01,-5.14,-43.32,172.98,-41.18,-67.21,-107.66,-74.64,-91.4,28.97,80.09,-21.85,-24.27,1.0
1.0,1.0,141.87,37.05,-8.93,-11.05,-111.08,32.51,-57.53,-110.75,-3.6,-53.08,-82.8,76.8,-37.21,-149.32,168.76,149.27,26.7,1.0
1.0,2.0,-8.32,-47.32,-67.03,2.23,182.41,7.32,79.57,70.46,-24.06,17.73,-3.54,-89.27,-1.91,-25.18,-62.31,23.53,-53.93,2.0
1.0,2.0,-58.16,-43.42,35.31,1.51,-98.23,-27.47,73.87,84.13,111.29,41.73,-121.61,107.23,116.67,-69.68,-77.98,98.65,-118.45,0.0
2.0,1.0,212.99,23.62,-146.18,-8.64,-294.19,-31.97,-78.59,77.52,24.38,-30.7,1.5,235.73,124.44,111.83,110.97,-20.97,-4.25,1.0
1.0,2.0,25.59,-88.82,-126.83,0.7,-285.9,-28.58,50.42,-143.8,-128.85,25.91,70.14,10.61,17.18,-75.63,-21.67,156.13,-122.77,0.0
2.0,1.0,34.63,29.07,-28.67,-7.0,35.31,4.39,-37.53,8.09,-152.19,21.9,-83.73,85.59,-68.75,-5.5,66.58,70.19,-13.05,1.0
2.0,1.0,-250.7,16.73,-192.3,7.57,54.35,49.98,-49.77,19.36,117.4,28.08,75.67,97.18,-170.25,-91.41,-7.69,60.49,30.93,0.0
2.0,1.0,60.4,-17.44,-164.32,-8.98,-140.03,-5.19,-25.02,48.34,24.08,99.05,-82.57,-73.42,12.2,-28.99,61.1,-168.32,-1.42,1.0
2.0,2.0,-85.1,-81.19,-76.06,-14.56,-309.09,-17.26,-13.69,-113.43,52.39,-148.62,62.92,-179.04,131.32,-57.66,-136.34,75.86,-11.34,2.0
2.0,1.0,-207.05,-38.75,-246.2,-3.14,-56.77,-17.36,15.38,149.54,58.3,-9.83,137.61,-12.62,-89.3,83.68,-98.17,-68.26,80.79,2.0
0.0,2.0,289.95,-18.02,125.24,-7.55,82.11,-53.56,79.61,59.52,24.88,-16.04,-7.44,-68.43,-61.88,-171.95,-75.91,49.69,-40.93,2.0
1.0,1.0,180.14,69.74,46.2,1.09,-111.99,5.42,-71.67,97.33,133.81,-43.55,-105.66,157.54,87.86,-139.06,-51.94,261.23,-76.7,2.0
2.0,2.0,64.0,-8.83,-167.93,5.08,-199.12,49.97,-75.33,-23.45,45.57,85.18,107.73,142.47,-17.07,-67.52,-83.18,276.92,50.48,1.0
1.0,1.0,125.18,-12.15,88.0,-4.87,-7.53,-23.42,39.23,152.74,-28.46,-173.63,107.32,-151.83,9.32,19.86,-58.96,-53.39,63.45,0.0
2.0,2.0,-181.44,-90.44,-375.29,0.46,-301.23,47.83,-10.39,144.02,61.89,-33.34,43.43,-21.5,-13.02,-6.69,112.09,19.22,69.13,2.0
1.0,2.0,-40.14,-99.3,-208.8,9.71,-317.72,23.02,19.14,-81.09,-2.31,147.18,164.41,-71.54,12.65,-167.07,149.28,237.74,95.92,0.0
1.0,1.0,214.97,-26.39,-101.3,-7.43,-230.91,28.0,-37.7,-53.5,-86.32,59.52,96.25,-62.79,63.24,-16.3,87.56,-183.77,192.35,1.0
2.0,2.0,-95.5,-78.65,-147.27,-14.93,-139.34,-28.87,32.03,-238.0,-71.4,-141.27,74.05,-133.76,21.99,129.33,-250.68,-71.48,72.99,1.0
2.0,1.0,121.55,18.42,-100.79,10.51,-113.33,13.16,-13.21,-64.92,40.09,25.96,-29.76,-19.69,-229.02,-0.67,-26.31,-0.38,-20.54,1.0
1.0,1.0,16.33,-17.55,-81.19,-1.59,-335.17,26.91,-34.15,-5.92,9.99,-0.78,-23.38,23.3,-25.22,-122.56,59.82,172.16,-108.41,2.0
2.0,1.0,32.49,16.06,6.81,-1.64,-55.99,58.41,17.69,61.46,39.71,-76.42,-38.7,4.66,7.88,70.56,8.96,71.8,-3.85,1.0
2.0,2.0,-52.77,0.34,33.76,1.46,34.77,-72.42,-44.51,0.21,-17.53,70.83,98.35,-37.53,34.17,168.96,38.98,176.82,-117.78,2.0
1.0,0.0,215.05,12.27,-283.54,12.58,-65.24,-19.4,-101.88,-75.51,-126.27,35.35,-109.99,-108.66,114.04,-140.53,89.3,-135.12,10.26,1.0
2.0,2.0,138.27,-21.14,-328.07,5.24,25.67,17.72,-108.22,198.49,2.41,136.34,2.24,40.42,-64.4,34.15,-48.88,156.1,38.55,2.0
1.0,1.0,-36.91,-32.43,-58.97,-2.63,-301.65,40.76,-22.17,-107.14,-197.06,-38.78,-30.31,-49.34,86.64,-137.07,-88.01,64.4,-10.8,2.0
2.0,2.0,33.97,-49.11,-161.63,-11.25,-247.28,-22.28,-41.26,112.55,-79.56,-79.21,-56.64,-45.22,-7.32,18.41,-113.67,107.8,80.68,2.0
1.0,3.0,419.89,11.93,-141.6,3.84,315.41,-61.8,-81.84,60.03,152.6,-37.52,1.2,29.87,-25.78,121.33,0.73,170.59,-21.72,2.0
1.0,1.0,228.72,30.36,69.36,-0.47,-242.54,23.76,-31.58,73.47,81.23,-58.3,24.55,102.54,-88.55,-194.95,124.83,337.78,-85.41,2.0
1.0,1.0,325.63,22.05,-87.57,-11.5,-121.71,8.39,-42.4,72.88,40.08,23.83,132.58,134.63,-54.19,-0.81,-156.29,114.91,-24.98,1.0
2.0,2.0,-80.78,-53.61,-178.82,0.82,-263.48,31.39,-0.48,87.83,16.97,-63.43,-27.39,63.17,-113.72,-73.68,44.2,262.18,-59.97,0.0
2.0,2.0,-362.5,1.05,3.43,-4.28,103.78,-0.74,5.96,-148.34,-69.83,100.84,73.75,67.14,24.98,-110.41,-36.36,96.98,83.47,0.0
1.0,2.0,199.78,-44.68,21.25,1.9,-74.55,-1.29,10.83,63.46,-11.66,-56.47,29.36,-125.84,82.86,-96.04,-99.2,105.84,-28.31,2.0
1.0,1.0,-69.16,-24.26,-8.94,-1.66,-186.67,-50.99,-20.94,-148.89,-51.2,33.72,-51.77,-89.76,-110.4,-144.31,-5.73,64.26,-48.54,2.0
1.0,1.0,102.36,63.14,121.65,-4.02,257.12,-19.6,-34.58,119.05,116.72,55.19,-154.84,-36.94,9.96,-95.79,-73.99,78.41,-10.1,0.0
1.0,1.0,118.09,61.62,28.04,-4.54,463.17,-10.89,50.86,136.71,49.02,-77.94,3.39,18.61,69.65,58.99,53.05,48.17,158.67,2.0
1.0,2.0,182.33,-49.79,-221.9,4.52,-257.59,48.27,-25.27,233.65,62.09,52.46,-31.12,35.21,106.06,-52.06,-8.2,215.86,-41.91,2.0
2.0,1.0,126.13,51.04,-108.01,-4.97,-6.09,-70.28,-44.98,-66.39,61.7,-138.52,36.36,102.79,68.58,198.79,-0.65,-226.78,24.79,1.0
2.0,1.0,-29.97,32.69,56.88,9.15,-57.44,-24.06,-38.21,-32.38,-22.34,-90.88,-11.99,59.95,-64.99,-34.76,109.77,42.41,126.38,1.0
2.0,1.0,-128.25,1.48,-34.39,-9.63,-224.78,27.16,-47.65,5.04,-14.57,-109.95,-5.83,87.03,153.96,65.44,-83.84,-99.03,-52.1,1.0
1.0,2.0,268.33,1.12,-198.25,0.21,-160.32,14.57,-59.82,94.89,-36.98,-1.6,-107.43,180.78,-158.18,-36.53,-11.49,112.95,-125.29,2.0
1.0,2.0,-237.33,-12.69,122.24,-5.55,50.96,-22.21,53.21,3.91,14.51,-80.78,-45.76,161.23,-55.1,-184.39,97.69,313.08,1.74,0.0
1.0,2.0,-64.72,-9.72,-59.98,12.25,237.01,-8.36,60.8,18.27,59.46,-9.4,64.69,-8.02,-23.73,-103.85,-94.69,202.89,-15.19,0.0
1.0,2.0,-3.18,11.91,113.09,4.2,325.32,3.99,26.62,-0.69,108.9,169.86,50.3,-161.43,-59.38,2.61,-53.45,-180.4,-8.15,0.0
1.0,2.0,36.1,-80.95,-110.31,7.85,-326.67,-14.86,55.74,-51.18,-1.02,36.92,-106.0,59.1,-18.0,-58.89,8.47,252.95,-77.2,0.0
1.0,2.0,188.12,9.06,154.39,4.48,125.79,31.29,-44.17,179.19,-72.71,-38.76,-33.2,-145.4,-118.61,-24.17,-58.01,-19.76,15.28,0.0
2.0,2.0,-51.31,-6.22,27.6,-4.85,-114.83,-45.54,82.31,42.24,-122.54,-82.28,-117.25,191.04,-199.57,43.02,12.21,112.33,-99.96,0.0
1.0,3.0,101.33,-90.44,-144.57,-14.03,-5.64,33.85,65.79,16.05,-65.81,35.83,-31.2,-146.11,8.45,-36.82,-57.59,-133.17,-42.99,2.0
1.0,1.0,-65.71,22.68,198.94,-4.16,218.99,12.09,-24.56,-32.37,-72.22,15.34,-52.41,-222.36,39.92,34.45,-105.64,79.11,-166.45,0.0
1.0,3.0,-2.75,-67.69,-37.3,-3.84,-217.34,-0.33,57.92,-26.19,61.33,43.58,28.41,105.67,-95.24,-69.51,-38.87,140.66,53.67,0.0
