cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,target
1.0,1.0,15.86,-0.78,-85.8,-65.66,-86.01,-21.34,-35.78,26.23,71.07,-14.84,-13.39,5.11,0.23,1.0
2.0,1.0,-31.2,24.36,82.65,-57.59,337.64,-67.74,30.14,10.08,-371.58,-75.78,-14.78,-2.82,8.37,0.0
1.0,2.0,-4.23,9.89,-160.41,64.48,-245.93,-120.77,20.69,29.63,61.82,58.21,-8.68,-36.06,31.59,1.0
1.0,2.0,22.19,-18.0,81.57,25.45,-193.78,-65.29,-13.4,7.76,137.69,82.46,49.54,-18.85,6.28,1.0
1.0,1.0,6.64,25.59,-124.8,-69.83,-196.41,-79.58,5.78,-20.37,-177.66,-76.72,29.22,-84.64,-1.15,1.0
0.0,2.0,15.28,-28.71,28.6,25.55,-74.54,16.57,-14.61,29.69,57.78,-180.0,38.05,50.26,-39.73,1.0
1.0,1.0,0.58,-45.11,-15.95,-27.38,-91.62,44.66,22.1,29.67,154.94,-14.25,-69.92,47.39,-2.85,1.0
0.0,1.0,20.07,24.04,13.99,-15.4,-270.0,-85.17,-20.71,-9.66,-345.74,1.67,-2.57,40.4,27.49,1.0
2.0,1.0,-24.18,-0.31,15.63,63.42,382.23,-11.46,6.45,7.6,-272.7,-70.11,-5.3,-18.46,16.95,0.0
1.0,1.0,1.8,-14.93,-72.61,69.93,-0.3,99.88,6.89,-35.59,-105.53,-189.02,5.88,-22.55,-34.88,0.0
1.0,0.0,6.98,-21.13,-24.07,59.49,220.18,56.79,-35.95,12.58,152.91,-5.23,-23.01,-38.25,26.73,1.0
0.0,1.0,8.77,0.14,-140.2,-44.19,-40.32,-16.77,-30.41,4.15,-322.01,117.6,-70.38,8.94,-7.09,1.0
1.0,1.0,5.6,-24.89,-78.61,-0.74,-208.34,51.85,7.22,-25.83,84.0,-16.2,-37.38,5.88,-26.98,0.0
1.0,1.0,14.48,22.4,-85.2,-0.45,-45.97,141.28,-6.02,5.1,150.7,71.97,2.39,12.84,27.16,1.0
1.0,0.0,-2.21,-41.61,57.35,-10.3,116.28,133.82,26.56,-19.86,-84.91,-10.52,-24.71,12.02,5.1,0.0
1.0,1.0,14.61,-27.05,9.45,-6.12,-142.1,-4.1,-2.76,19.72,116.09,52.03,-20.93,11.0,-15.59,1.0
1.0,1.0,13.83,-2.27,15.98,-37.53,-257.66,-1.97,29.94,4.28,60.81,-160.38,-12.29,-10.96,-22.42,1.0
1.0,1.0,-4.41,24.54,85.48,-25.9,-0.58,25.47,7.47,-30.28,-200.65,-54.97,68.3,51.57,12.45,0.0
1.0,1.0,7.39,6.88,-40.06,9.78,-18.31,107.01,4.34,15.57,190.32,165.09,-24.53,21.94,15.29,1.0
1.0,1.0,6.87,23.38,-150.27,-22.34,-120.67,-110.47,-6.4,43.45,-86.14,178.02,-29.16,-44.46,-9.48,1.0
1.0,1.0,2.02,-4.12,38.84,34.2,-41.4,130.62,34.82,-26.35,-79.78,95.85,42.91,25.93,-28.04,0.0
1.0,1.0,-11.94,5.39,-0.96,-1.88,10.59,30.28,41.88,-11.18,-274.79,36.67,-2.24,15.64,4.15,0.0
1.0,2.0,11.25,-36.8,-86.64,-74.03,-152.06,65.12,5.79,25.33,145.52,-21.98,25.72,29.46,-1.52,1.0
1.0,1.0,0.08,-20.6,-22.54,-59.24,228.37,44.81,-20.26,-12.47,-235.69,-79.94,-70.94,-30.78,13.86,1.0
1.0,1.0,-17.43,4.45,28.94,-26.04,64.82,-82.34,11.87,11.1,-300.77,44.1,-35.75,49.42,-17.77,0.0
1.0,1.0,-8.71,-25.31,-35.88,24.9,-60.22,2.61,19.48,-26.75,-235.92,55.87,-5.12,11.93,-18.07,0.0
1.0,1.0,8.48,39.44,-18.32,37.38,-4.68,160.07,34.77,26.05,228.12,59.15,16.48,6.66,-15.2,1.0
1.0,1.0,3.52,-5.18,-93.93,74.6,-249.58,72.29,41.84,-40.99,-192.0,-129.32,19.67,-13.55,-6.52,0.0
1.0,1.0,-3.89,5.73,140.27,-4.15,-167.56,-64.47,44.43,0.54,-305.41,121.16,-81.07,70.1,-40.57,0.0
1.0,1.0,-1.24,-13.89,-102.24,-42.29,-173.51,51.05,36.53,-32.06,-136.2,95.03,32.97,-27.92,-4.64,0.0
1.0,1.0,1.66,7.3,-62.93,20.49,178.72,15.13,-22.14,35.83,200.4,-72.84,-58.52,-39.97,5.02,1.0
1.0,1.0,0.79,-24.74,9.15,31.52,-99.14,-25.78,8.92,19.25,54.67,101.23,63.75,32.33,-3.69,1.0
1.0,1.0,-1.02,64.12,-75.59,71.26,-89.75,-4.73,13.45,40.32,-15.4,-70.26,19.48,47.5,18.88,1.0
1.0,1.0,-23.08,2.27,-4.67,-9.46,261.22,-15.97,12.63,16.48,-270.72,-225.68,-85.14,22.69,-10.98,0.0
1.0,1.0,-7.21,7.45,-5.87,-66.72,-60.66,-42.9,47.0,23.53,-90.99,102.78,-19.8,-18.83,6.09,0.0
1.0,0.0,11.38,51.46,-20.89,71.94,-143.18,31.5,18.11,21.98,106.04,95.06,-102.18,2.59,9.93,1.0
1.0,2.0,-12.4,-16.17,120.54,18.32,318.56,74.3,30.25,17.41,-97.39,-186.44,11.14,5.35,44.54,0.0
1.0,2.0,-3.57,-2.7,177.39,15.01,-54.07,-19.67,23.81,-21.24,-393.68,71.13,32.73,89.03,8.96,0.0
1.0,1.0,-1.91,-2.8,68.0,33.04,100.68,139.25,-6.49,-49.49,-150.79,52.99,35.87,62.42,-9.0,0.0
1.0,1.0,4.07,41.56,-3.79,0.26,220.1,67.94,-25.58,1.55,155.55,124.9,39.73,-43.9,19.66,1.0
0.0,1.0,19.05,42.16,-188.07,-21.67,-263.63,-23.35,-36.68,-3.25,-30.34,84.52,-68.7,-6.8,12.8,1.0
1.0,2.0,8.52,11.3,-43.56,-31.69,-23.08,115.53,9.58,27.27,113.72,-130.16,-64.64,41.56,-11.92,1.0
1.0,1.0,2.78,-14.32,-103.05,-1.05,-52.14,99.98,11.88,-34.77,-16.38,-133.1,20.13,-39.74,4.32,0.0
1.0,1.0,-3.06,-31.2,7.04,-25.2,79.5,75.22,6.74,-13.88,90.55,-9.28,6.75,-8.88,-10.39,0.0
1.0,0.0,-2.8,27.58,-75.03,72.69,-93.89,-36.91,4.35,16.0,-109.78,-27.46,-42.71,28.43,-23.45,1.0
1.0,1.0,-6.86,-10.49,-25.29,40.34,295.9,-6.34,-7.4,56.32,211.11,-7.26,-30.63,-50.24,-38.11,1.0
1.0,1.0,4.75,-1.02,-61.62,28.21,-221.84,108.64,29.23,-34.61,93.94,154.16,20.59,7.35,-2.12,0.0
1.0,0.0,21.92,6.36,-3.3,44.88,-57.56,107.21,-24.28,5.44,289.0,17.78,12.77,10.1,65.82,1.0
1.0,0.0,-2.57,-30.27,-32.0,-23.45,-209.24,-21.39,-8.66,-38.92,33.65,122.13,-21.67,37.54,-40.6,0.0
1.0,1.0,-1.91,4.96,-160.89,15.53,-105.77,-123.63,2.3,52.53,-149.98,54.28,13.55,-13.39,-31.73,1.0
0.0,1.0,10.15,35.59,-1.11,-47.88,-49.22,-43.6,-15.98,-7.94,-360.87,27.07,18.35,6.61,30.16,1.0
1.0,1.0,17.62,51.77,-219.94,16.61,-210.54,-28.85,-41.11,24.05,106.17,-38.28,19.24,-11.37,21.36,1.0
1.0,1.0,1.16,14.51,-54.69,-8.69,-140.03,-16.87,6.3,12.66,67.83,105.45,23.28,19.72,-56.7,1.0
1.0,2.0,-1.89,-11.47,47.57,43.88,-212.36,-16.0,50.08,-5.8,-111.27,93.48,37.99,23.73,-58.86,0.0
1.0,0.0,-17.48,-10.91,26.13,-54.21,369.31,22.16,-11.7,-8.83,-331.2,68.05,71.22,4.46,17.41,0.0
1.0,1.0,1.6,6.6,-82.0,-68.41,-86.45,-114.36,-1.84,45.61,-150.05,-127.27,81.7,1.34,-36.94,1.0
1.0,2.0,3.27,-3.77,-72.4,36.01,-93.82,72.48,15.48,-33.91,-40.58,-170.74,-9.7,-31.79,6.97,0.0
2.0,1.0,-22.5,-7.7,52.91,10.39,431.44,-51.05,12.42,49.64,-60.89,47.56,25.43,-42.25,11.62,0.0
2.0,1.0,-14.63,-6.09,78.5,31.71,350.58,36.08,-11.37,16.48,226.2,46.44,66.11,-6.28,67.66,0.0
1.0,1.0,6.77,-10.84,-27.99,5.29,-256.37,-58.08,14.69,-1.52,11.34,74.6,-45.01,-7.07,23.39,1.0
1.0,1.0,-4.39,39.67,150.4,25.88,94.2,47.17,17.37,-20.12,-185.79,148.46,17.84,45.84,-56.58,0.0
1.0,1.0,1.19,-6.51,-66.42,4.74,-51.19,-83.97,-6.72,50.88,-38.37,-15.01,-43.0,21.23,7.32,1.0
1.0,2.0,-3.63,35.06,7.53,50.2,-234.7,38.97,31.67,-20.47,218.2,156.63,-27.83,38.33,21.53,1.0
0.0,1.0,33.65,-11.56,-45.48,-18.93,-61.54,22.34,-43.93,19.52,-231.16,65.22,81.19,-1.43,-44.65,1.0
1.0,2.0,-12.52,43.51,-11.42,18.42,505.74,55.57,-15.46,37.77,-65.11,62.65,-12.61,-38.5,-41.36,1.0
1.0,2.0,-12.61,-16.34,88.84,61.84,180.02,4.29,8.29,1.46,-87.16,27.61,-16.66,25.05,-2.28,0.0
1.0,1.0,8.21,13.19,-89.26,-36.73,-25.45,45.71,-24.87,29.6,75.43,187.62,53.65,51.16,-17.54,1.0
1.0,2.0,1.06,-2.28,-62.26,-0.5,-307.32,5.74,61.53,-5.82,-46.4,-34.7,49.5,-16.68,-5.34,0.0
1.0,1.0,0.66,-11.26,65.0,50.98,-143.45,52.71,50.16,-21.73,-307.25,-56.72,1.95,41.46,32.58,0.0
1.0,1.0,-6.15,-25.85,-37.84,-28.44,2.57,56.63,24.67,-13.23,-77.79,-121.09,-24.32,-4.01,43.22,0.0
1.0,1.0,-12.54,-5.08,-80.29,-27.68,172.67,9.51,0.82,16.21,-116.52,-177.68,34.39,-5.97,17.66,0.0
2.0,1.0,-15.79,12.68,-30.47,41.83,575.25,61.82,-25.5,8.54,-118.08,-68.93,54.5,-76.54,18.13,0.0
1.0,1.0,-2.5,-2.16,101.89,3.52,37.06,76.8,21.77,-20.63,-175.14,-20.56,-32.18,51.72,-9.82,0.0
2.0,1.0,-16.25,2.98,-180.37,28.22,-159.33,44.12,60.5,24.53,143.01,26.16,30.24,3.77,-15.78,1.0
2.0,1.0,0.58,-21.24,-97.08,42.88,396.53,122.12,-39.18,6.06,161.58,-39.82,66.36,-78.25,50.04,1.0
1.0,0.0,2.66,28.11,-65.7,50.86,19.97,85.0,-3.71,-14.24,111.52,-93.77,41.59,-19.84,-2.82,0.0
1.0,1.0,3.58,-38.31,-28.82,18.78,-392.17,22.05,47.59,-34.25,-32.66,-38.64,-23.77,23.99,14.01,0.0
2.0,0.0,-14.47,17.69,37.08,11.52,294.61,38.56,3.88,17.0,118.18,126.46,17.7,-14.66,34.41,0.0
0.0,0.0,18.56,19.84,19.58,-48.27,-334.12,-172.5,-1.44,17.95,-255.01,139.38,-9.15,2.19,14.96,1.0
0.0,1.0,11.03,-0.73,-17.09,6.7,64.96,-25.2,-23.26,-7.74,-403.29,-30.57,-38.08,-25.98,16.79,1.0
1.0,1.0,4.43,16.03,-159.33,-25.46,-308.41,92.55,54.76,-22.5,-55.99,13.37,-10.48,-23.49,48.79,1.0
1.0,1.0,14.59,-34.73,-54.87,22.15,-52.51,99.42,-1.61,30.13,204.84,-156.26,14.22,19.51,35.78,1.0
1.0,1.0,13.84,-5.44,4.07,-48.78,-113.93,41.48,12.02,9.89,157.69,-200.61,48.82,-19.26,20.59,1.0
1.0,1.0,1.05,-2.75,-67.66,-26.35,105.52,116.12,0.57,-23.53,69.75,36.01,-9.28,-47.87,-71.61,0.0
0.0,1.0,24.36,21.6,-7.84,20.13,-194.06,66.96,13.94,3.14,15.21,57.14,-1.05,-18.28,1.06,0.0
1.0,1.0,12.15,-9.06,-73.65,97.53,-208.51,4.28,-4.75,11.45,225.02,-142.67,8.73,-0.85,-39.96,1.0
1.0,1.0,1.4,10.3,48.02,-60.69,158.8,-74.45,-2.64,39.28,-154.0,14.49,-45.09,-32.06,9.36,1.0
1.0,2.0,-3.51,-24.78,-39.3,-13.25,-96.31,30.78,28.76,-9.65,-22.63,68.1,-48.43,-2.27,-11.95,0.0
0.0,1.0,27.72,-15.56,-187.37,-64.63,-277.28,-78.38,-43.8,-1.53,-325.58,271.65,33.11,-31.54,17.33,1.0
1.0,1.0,9.07,-13.41,-6.45,-37.31,-62.8,59.91,20.62,25.26,40.74,78.49,-85.69,14.75,-7.13,1.0
2.0,1.0,-12.73,-29.02,3.35,0.2,278.37,95.4,27.28,-5.08,-9.38,-94.17,56.14,-55.88,-4.56,0.0
1.0,2.0,-0.08,6.96,-100.93,17.33,-127.15,-66.68,1.15,48.06,376.53,45.43,13.7,-19.0,-11.44,1.0
1.0,1.0,-1.1,33.06,24.1,7.22,-26.11,58.25,16.2,-35.77,-195.4,48.57,-70.55,12.99,28.11,0.0
2.0,1.0,6.19,25.74,-75.15,-2.52,-90.58,124.32,39.67,-33.25,115.98,-90.26,-0.62,-84.61,2.39,0.0
1.0,1.0,-9.04,14.74,18.61,35.01,-76.5,7.83,28.51,7.85,-24.13,61.84,-18.41,58.14,47.64,1.0
1.0,1.0,6.35,-10.17,-16.89,44.88,-550.24,-110.2,46.99,-18.97,-125.75,-115.81,-37.07,26.26,19.39,0.0
1.0,1.0,-7.08,10.29,73.03,-16.18,52.04,-43.23,33.69,18.46,-211.24,64.04,-89.36,1.24,2.45,0.0
2.0,1.0,-9.79,8.97,-18.09,-9.04,387.75,131.68,-43.64,-38.08,132.44,65.74,-19.33,-25.97,-3.94,0.0
1.0,1.0,0.33,18.59,-47.9,-54.28,191.87,29.26,-22.15,0.06,-196.09,-101.38,22.92,-20.28,3.99,1.0
2.0,1.0,-8.33,19.09,-72.86,30.61,427.07,90.47,-25.62,9.13,29.57,-172.23,42.41,-62.52,-4.99,0.0
1.0,1.0,1.84,-35.55,123.25,-104.86,-327.13,-106.32,44.96,-16.85,-384.38,9.76,-29.54,57.69,-14.88,0.0
2.0,1.0,0.83,-6.54,-108.29,28.86,191.5,134.57,-3.75,-15.26,88.19,211.72,41.19,-74.5,38.58,0.0
1.0,2.0,-0.43,35.27,-102.52,66.43,-151.35,-79.27,-5.91,45.2,-1.58,-32.46,-18.89,50.25,-18.5,1.0
1.0,1.0,23.5,36.88,-153.72,-13.37,-520.46,139.81,38.42,-73.18,66.05,-194.67,18.36,-47.9,-46.58,0.0
1.0,1.0,13.86,13.35,-69.91,-58.72,-142.18,68.3,-0.63,14.25,319.04,80.05,43.03,-8.47,-27.78,1.0
1.0,1.0,-7.62,-33.9,-38.24,-20.74,-77.79,-23.9,15.91,-13.69,-81.35,-16.32,92.24,-1.53,-34.83,0.0
0.0,1.0,24.4,-10.3,-52.73,7.62,-457.8,-102.29,-25.35,24.25,147.83,-19.05,-42.06,56.54,1.94,1.0
0.0,1.0,5.55,19.09,36.6,17.49,26.21,-36.96,-24.92,52.27,48.74,96.82,25.52,76.18,-28.37,0.0
1.0,1.0,6.91,14.81,16.13,-34.78,-92.49,-21.05,8.56,22.52,94.46,29.41,-109.92,1.99,32.88,1.0
1.0,0.0,-10.62,6.18,223.5,-28.57,265.34,7.76,37.76,22.6,-272.66,97.34,-48.39,36.28,-8.85,0.0
2.0,1.0,-11.11,19.75,7.78,-71.28,71.52,-7.24,2.93,0.27,89.37,90.94,-19.62,5.92,3.62,0.0
1.0,1.0,3.86,-61.53,-102.34,-23.86,147.09,9.25,-30.81,12.63,-199.33,207.09,21.11,-20.8,22.39,1.0
1.0,1.0,-4.79,-13.74,-57.73,58.14,137.65,65.49,11.3,-20.86,-210.69,-157.24,-1.61,-45.41,6.67,0.0
2.0,1.0,-4.61,-15.47,-71.59,57.95,386.07,123.45,-32.45,-1.93,99.84,-40.43,-69.57,-48.82,11.0,0.0
1.0,1.0,-13.58,-13.51,-14.24,57.4,91.11,-18.48,3.91,1.33,-80.68,29.05,20.19,14.53,-6.49,0.0
0.0,1.0,18.13,39.21,62.99,34.81,-775.3,-80.42,40.64,-63.3,-233.48,63.05,-32.95,93.65,11.28,0.0
1.0,2.0,0.54,-0.31,-82.55,-89.5,-142.01,13.48,29.95,31.08,171.75,3.04,52.63,-2.57,15.83,1.0
1.0,1.0,-14.36,-18.98,-14.32,-58.3,136.67,-25.95,-7.43,7.91,-90.5,0.43,79.3,27.16,29.94,0.0
1.0,1.0,-6.09,-22.03,65.39,-35.62,271.48,106.66,-0.43,-9.84,-41.33,112.55,-40.64,7.75,34.23,0.0
1.0,1.0,13.05,3.49,-20.74,-19.36,-109.75,9.08,-9.46,0.79,-99.23,-79.17,7.79,14.96,-32.87,1.0
1.0,2.0,13.35,-38.39,-34.32,-35.49,-191.75,127.33,20.53,-18.14,309.27,0.57,36.03,-13.34,-9.0,1.0
1.0,0.0,-8.26,26.31,3.93,49.46,-209.67,5.12,49.82,-16.66,-71.44,71.04,39.95,31.14,5.53,0.0
1.0,0.0,11.75,30.11,-123.61,67.27,-94.75,113.92,4.5,-33.55,74.22,142.72,-39.39,-62.88,18.66,0.0
1.0,1.0,-4.69,-7.05,-67.43,-12.42,222.51,-26.34,-13.54,49.47,-26.7,-106.35,-21.49,-25.51,-41.48,1.0
1.0,2.0,8.18,-42.36,-42.75,24.05,-298.83,91.21,45.42,-24.25,229.45,-39.37,-0.66,-17.0,-11.72,1.0
1.0,1.0,-3.51,-35.13,-41.42,16.64,-95.35,-18.83,16.29,-28.57,-169.73,-23.34,59.7,-25.43,1.78,0.0
1.0,1.0,-0.07,21.04,-128.72,43.95,-241.27,53.3,29.18,-2.13,283.0,-75.74,-53.97,-8.26,3.29,1.0
2.0,2.0,-14.22,-22.31,-153.71,3.35,-174.28,109.44,47.19,-13.59,286.33,284.66,-15.62,12.42,-29.23,1.0
0.0,1.0,21.1,19.93,28.86,-34.34,6.49,22.29,-41.9,24.61,69.88,-60.1,-32.88,31.84,-9.06,1.0
1.0,2.0,8.03,-13.34,-20.09,-58.75,70.62,66.5,-13.63,55.8,189.09,64.69,0.33,55.86,-32.0,1.0
1.0,2.0,0.57,21.55,-67.83,-12.05,4.34,38.71,0.21,-1.12,-39.7,113.69,-40.21,-4.0,-2.8,0.0
0.0,1.0,14.8,24.01,-140.37,27.51,-553.96,-193.74,-1.78,40.55,-115.07,63.5,44.25,54.64,22.23,1.0
1.0,1.0,-4.81,-9.65,116.86,41.99,187.7,109.82,19.26,-19.72,-195.36,-20.31,-6.99,33.34,39.22,0.0
1.0,1.0,-10.28,13.39,-39.18,-123.62,184.72,15.63,-4.97,-1.44,-127.66,282.01,54.53,-13.76,-36.96,0.0
1.0,1.0,-13.78,-9.15,74.86,-36.61,341.12,107.74,15.34,-3.48,-159.99,-124.21,13.04,14.68,21.08,0.0
2.0,1.0,-15.05,40.3,129.43,-32.2,414.93,28.94,-29.75,-10.95,-18.81,-67.32,1.37,15.05,7.8,0.0
1.0,2.0,-12.83,31.76,46.11,-10.3,190.3,27.34,-4.93,-2.85,25.69,-66.78,134.57,24.51,-4.49,0.0
1.0,1.0,-0.33,18.97,-38.29,-19.0,-120.1,55.37,39.9,4.59,-34.48,-101.05,-27.87,12.16,-10.25,1.0
1.0,1.0,12.43,-23.52,-155.97,-53.83,-64.98,132.63,-22.28,-28.32,175.95,93.03,19.16,-29.67,-20.68,0.0
1.0,1.0,-1.84,-3.45,27.51,7.25,77.87,92.78,-35.55,-66.58,-95.14,45.57,-44.95,44.47,-15.75,0.0
1.0,1.0,-5.3,-24.43,-42.69,28.35,62.57,77.4,22.78,-16.15,-59.5,89.32,23.0,-27.67,34.49,0.0
1.0,0.0,-0.52,3.95,-56.29,-94.78,64.73,4.77,-21.69,-4.89,113.01,-143.72,32.05,-29.8,-16.05,0.0
1.0,1.0,-18.28,1.62,70.45,-2.74,59.76,-115.57,39.78,46.35,-33.62,-51.53,26.86,6.8,-8.43,0.0
1.0,1.0,16.65,60.45,-134.73,-55.45,-358.97,102.27,1.2,-36.16,253.97,-71.14,-47.24,3.72,35.35,1.0
1.0,1.0,9.61,-20.76,-14.13,-78.74,-114.69,20.27,9.4,16.65,100.87,69.49,-55.36,3.98,-25.12,1.0
1.0,1.0,-8.51,-29.46,-149.81,-46.64,12.43,181.2,30.65,20.91,115.3,-65.68,6.51,63.75,-6.16,1.0
2.0,1.0,-13.45,-47.52,1.14,4.1,351.26,55.74,-3.27,13.66,33.33,-61.72,-27.51,-29.84,-20.53,0.0
2.0,0.0,-10.6,33.8,36.75,20.58,250.89,31.26,29.97,37.05,113.86,-117.17,-82.91,-45.28,-11.03,0.0
1.0,2.0,-23.44,61.22,15.08,-9.99,225.18,-52.92,18.0,14.28,-255.32,32.64,-49.76,4.99,8.48,0.0
1.0,1.0,7.21,30.18,-121.48,73.3,160.0,175.97,-10.42,57.75,164.52,18.34,46.33,53.85,5.42,1.0
1.0,2.0,-17.41,16.48,-142.69,18.16,-272.35,-77.3,54.42,-4.8,-322.34,-82.05,7.15,21.23,29.7,1.0
1.0,1.0,0.91,27.26,11.38,61.02,326.36,106.54,-25.35,-15.66,26.78,-196.45,-49.51,-50.27,17.01,1.0
0.0,1.0,9.19,-66.78,-181.48,-6.24,-73.09,-84.13,-26.05,36.41,-209.01,96.42,35.99,-25.58,-27.3,1.0
1.0,1.0,-1.15,-1.38,34.65,-52.31,-88.86,36.52,-3.73,-49.58,-120.64,65.99,-17.94,43.11,8.73,0.0
2.0,2.0,2.6,49.29,-2.9,7.82,110.57,70.81,-10.51,-21.04,314.82,42.71,-48.76,-71.04,-38.62,1.0
2.0,1.0,-9.44,-21.34,26.39,-21.11,320.13,57.63,-32.12,-9.96,192.03,-77.14,-1.0,-20.62,-68.39,0.0
1.0,2.0,-0.7,7.49,-107.4,54.06,-144.19,64.27,25.54,16.91,237.47,62.28,5.31,11.5,-3.63,1.0
1.0,1.0,-6.13,-25.72,-45.05,-12.49,-16.86,39.67,43.2,-22.22,-245.62,68.1,2.81,-42.6,-10.86,0.0
1.0,1.0,0.3,-35.83,167.77,-1.64,166.04,142.37,38.0,-15.94,-182.13,93.43,4.1,29.37,16.71,0.0
1.0,1.0,5.87,-37.26,4.8,67.39,-68.92,-93.9,2.3,7.55,-275.78,71.42,43.93,-24.74,-26.37,1.0
1.0,1.0,0.2,5.69,17.66,72.92,-203.9,-108.26,23.87,-1.71,-116.61,62.99,9.72,-16.2,42.81,1.0
1.0,0.0,14.73,-39.74,-86.73,57.24,-78.05,59.3,-11.87,10.64,138.66,-28.95,26.24,-15.76,-6.71,1.0
1.0,1.0,4.2,-10.85,-59.58,-59.36,-445.09,-30.33,19.59,-25.81,40.46,128.34,-62.17,54.44,-5.39,0.0
1.0,1.0,-7.53,-36.04,-60.83,54.72,48.05,23.58,11.97,-14.12,-63.05,-2.54,42.19,-32.5,35.07,0.0
1.0,0.0,-10.2,-5.79,-80.08,-5.83,-53.95,14.9,19.25,-1.71,-67.72,70.76,-10.96,21.9,-17.08,1.0
1.0,0.0,16.74,-28.54,-159.62,26.14,-82.72,181.92,10.96,-52.56,152.36,84.45,5.94,-116.35,12.92,0.0
1.0,1.0,7.14,14.67,-74.03,50.39,-117.8,51.79,2.09,-27.15,48.16,-155.63,19.7,-31.57,13.89,0.0
1.0,1.0,-8.69,-17.04,-151.39,51.2,201.83,13.85,-30.26,75.01,100.99,-90.13,51.48,58.22,-18.78,1.0
1.0,1.0,-11.31,-11.56,-35.78,-30.47,14.42,-16.95,28.36,-16.52,-289.03,-1.88,46.69,-21.81,6.75,0.0
2.0,1.0,6.37,-27.7,-49.26,-48.89,159.36,38.88,-18.39,-17.77,97.65,-188.73,-33.93,-111.05,3.08,1.0
1.0,1.0,5.74,-45.55,24.82,90.35,43.23,96.94,10.95,26.1,120.89,91.46,-11.82,36.75,8.16,1.0
