cat_0,cat_1,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,target
2.0,0.0,-17.26,68.23,-55.91,16.08,-89.34,-101.67,76.55,72.78,3.42,41.08,68.13,14.24,-147.39,-274.45,-7.36,-93.26,-3.45,-25.06,-0.88,0.0
2.0,2.0,223.53,89.24,-17.45,88.83,42.9,7.99,-0.6,57.59,1.92,40.06,6.1,-23.09,77.68,-398.25,2.49,-64.22,-14.2,50.45,8.63,1.0
2.0,2.0,75.4,39.48,-2.07,99.92,78.97,72.22,-22.67,-2.69,4.71,314.98,84.35,3.95,4.12,-443.55,-17.37,72.88,-19.16,3.01,-0.6,0.0
2.0,1.0,543.33,33.28,13.1,-88.53,55.22,-130.29,14.33,57.18,-1.37,33.62,-56.56,7.32,-168.76,-518.45,5.92,-35.25,-7.12,-84.8,7.19,1.0
1.0,2.0,-391.83,141.85,-6.69,-31.33,49.59,-166.06,24.23,21.69,-10.56,186.11,-6.36,-19.13,-149.31,-164.18,-4.28,-54.88,-33.44,115.24,-42.14,2.0
1.0,1.0,-210.87,14.81,-7.42,-43.84,15.95,144.55,-1.19,3.19,-2.45,230.63,72.87,20.26,152.38,-86.19,-5.65,-59.56,27.86,19.01,-13.59,2.0
1.0,2.0,4.66,56.02,38.93,-90.31,35.09,59.97,-45.6,-41.99,-6.63,4.87,-71.25,-0.44,-72.68,65.69,12.2,-144.22,3.36,-159.57,2.97,0.0
1.0,0.0,-284.29,4.97,-39.63,-12.85,-28.84,-54.58,31.02,79.36,-5.15,46.95,-68.76,-38.27,35.21,192.75,-12.82,64.45,-5.03,-44.43,21.94,2.0
2.0,1.0,162.85,77.15,-67.08,-74.09,-54.44,154.13,-0.94,10.79,-5.38,6.55,-51.15,-6.16,65.32,-206.38,12.73,10.63,-14.7,113.33,-5.52,1.0
1.0,1.0,225.71,49.07,2.18,-46.4,-39.87,11.72,30.75,-71.06,-0.16,66.67,7.63,-26.21,256.23,-350.73,-11.52,-30.56,-35.2,-18.18,-14.79,1.0
1.0,2.0,-48.34,60.59,-43.62,125.4,72.93,-121.16,-67.83,-88.65,3.98,180.91,-120.91,-3.45,282.53,106.18,12.5,-31.74,12.27,-104.16,-23.15,0.0
1.0,2.0,-244.65,106.02,36.46,-109.53,19.96,-175.62,20.25,-40.96,-0.26,-22.08,-185.33,0.14,33.39,-76.08,8.85,-14.16,33.03,55.02,7.47,2.0
2.0,1.0,268.58,-141.69,-83.67,17.3,44.91,-151.66,6.19,67.16,4.26,62.93,35.03,7.89,13.03,-89.93,1.08,-37.19,-16.81,28.34,14.12,1.0
2.0,1.0,-278.14,71.17,-13.19,31.08,-45.45,47.53,-6.0,68.96,4.58,127.82,-38.02,62.88,-72.57,142.62,-2.83,14.57,15.84,-2.84,-23.34,0.0
2.0,2.0,-354.83,108.76,-61.91,-95.54,-4.44,133.84,28.0,42.05,1.97,234.42,95.49,-5.1,-8.42,-347.11,-4.82,30.68,-2.59,-75.47,-27.38,1.0
2.0,3.0,-382.29,-172.6,14.56,49.94,133.06,-89.43,3.43,51.62,5.49,-78.8,6.32,-111.37,-49.61,117.74,11.47,-107.93,-71.03,-83.96,-14.31,1.0
2.0,2.0,-48.95,-228.52,-26.94,88.43,80.27,-128.8,70.96,45.04,2.82,154.64,-27.12,38.72,35.33,-381.35,-1.63,-8.14,-72.71,92.39,-8.24,1.0
1.0,0.0,128.76,71.81,22.51,48.77,-73.78,48.78,41.89,33.9,6.72,-124.6,-98.04,22.71,-69.0,-78.42,2.48,-79.22,2.9,73.45,36.78,2.0
2.0,1.0,-64.36,170.58,54.25,49.82,-93.5,150.36,15.17,27.77,10.95,144.96,-61.08,-28.41,5.41,-278.0,-7.25,-42.56,0.94,27.55,-29.08,1.0
1.0,1.0,249.54,135.55,-13.61,-133.3,-56.84,50.61,3.86,-34.4,4.6,-240.31,64.83,20.85,105.42,-18.67,-6.59,-22.83,0.38,50.95,8.01,1.0
2.0,2.0,-108.7,122.5,-0.33,-51.32,27.86,-52.95,-2.69,-2.98,-5.42,314.12,123.31,-28.18,263.64,-377.74,-8.2,-20.34,-38.05,52.61,-1.81,1.0
1.0,2.0,171.95,90.36,22.36,-195.64,39.44,23.43,0.35,-62.94,-0.48,137.51,44.15,10.84,213.56,-440.16,-3.24,21.27,47.27,-151.72,23.54,0.0
2.0,1.0,30.49,-148.49,15.36,14.37,23.15,-94.2,47.44,39.89,6.36,73.16,166.47,-26.61,62.01,-207.2,1.57,48.69,59.66,-28.16,30.37,1.0
2.0,2.0,515.92,-86.98,42.9,114.51,88.5,105.78,6.86,78.13,-12.45,3.9,18.85,33.68,29.2,-580.56,7.13,86.7,46.6,-62.19,-6.17,1.0
2.0,2.0,-1.87,70.12,39.55,-54.83,-11.01,39.15,-0.01,-51.24,8.12,175.06,-24.36,2.91,237.79,-259.41,-8.23,-64.23,-25.3,-14.04,-4.7,1.0
2.0,1.0,-68.81,83.18,-9.04,-215.42,-29.21,32.92,-9.43,6.15,5.87,264.87,20.08,-3.78,140.36,-224.27,2.74,-40.38,-34.06,-109.85,31.79,1.0
1.0,3.0,-174.29,-109.62,0.02,33.93,141.0,-81.53,15.43,26.8,-4.72,208.98,7.08,34.92,-35.45,-314.71,11.96,-21.94,25.78,121.65,-40.67,1.0
2.0,2.0,358.37,74.92,73.3,81.61,58.83,201.47,-2.37,15.33,0.44,311.87,-5.24,2.58,25.38,-796.75,-12.42,-61.93,-15.98,-4.71,18.36,0.0
2.0,3.0,21.52,5.93,-38.02,45.21,74.29,27.72,-9.19,-22.55,-8.61,-220.4,16.77,43.49,-218.28,-189.77,1.62,41.05,-14.44,23.58,-35.16,1.0
2.0,2.0,114.62,124.89,7.11,112.39,-12.38,86.38,36.47,48.56,1.0,89.89,119.42,-9.04,15.85,-529.17,-3.04,21.38,-38.31,10.36,9.36,1.0
1.0,1.0,169.46,140.77,39.93,-71.61,-17.14,127.9,-17.17,-74.09,1.4,72.74,-78.3,-3.5,50.77,-257.17,9.1,-115.67,40.09,-110.63,-43.04,0.0
1.0,1.0,-249.62,-49.6,23.33,41.75,-14.73,104.41,50.53,65.0,-8.45,3.19,-139.57,71.46,296.65,-31.39,1.67,41.25,-44.99,-15.79,-41.8,2.0
2.0,1.0,320.21,-1.55,20.62,35.23,8.48,-24.87,8.37,10.97,-6.29,-63.06,6.2,35.74,-104.3,-264.5,4.57,-25.56,59.05,171.28,-16.78,1.0
1.0,1.0,-213.41,186.62,-31.54,199.21,-65.87,78.99,29.32,12.66,2.06,21.36,-97.14,59.79,120.54,-96.21,-13.26,-34.46,-27.92,-24.84,5.25,2.0
1.0,2.0,-59.98,88.84,95.71,69.73,71.57,-92.01,5.27,69.8,9.84,-11.87,67.42,-42.66,56.86,-124.84,4.88,-102.98,-17.59,-77.58,2.93,2.0
2.0,1.0,-132.75,1.4,-5.4,-115.52,-2.75,-23.98,22.32,48.33,2.09,114.84,-148.27,45.6,189.29,-92.28,-0.74,-173.69,7.81,85.36,14.62,2.0
2.0,2.0,241.87,-50.65,36.78,-112.04,84.25,-22.56,-12.84,20.45,9.03,159.49,38.0,-4.72,145.43,-379.17,-11.14,70.63,35.76,87.59,7.33,0.0
1.0,2.0,411.99,227.37,-11.37,-44.45,84.69,-125.94,-11.9,64.94,-6.29,1.74,-6.5,57.11,-50.43,-481.74,-8.6,-103.17,35.46,141.99,10.0,2.0
2.0,1.0,-115.23,18.62,10.52,1.38,15.09,-97.97,12.22,16.79,-8.96,65.29,70.46,-32.83,149.02,-58.68,-17.69,71.63,-17.48,41.49,-28.53,2.0
1.0,2.0,152.98,29.24,-2.92,59.88,66.12,48.37,-23.01,0.87,-3.24,138.03,156.8,-57.99,129.91,-272.55,2.91,-39.75,12.54,39.27,26.99,0.0
1.0,1.0,137.47,118.52,20.35,77.75,4.06,98.68,-2.67,-47.97,3.98,91.6,48.47,-39.79,142.83,-284.1,1.27,13.07,14.12,-52.51,17.23,0.0
1.0,2.0,-102.32,92.75,-18.43,-50.25,8.98,-85.08,14.43,-2.98,-0.56,28.48,-21.0,40.3,-108.62,-155.43,2.96,72.59,-30.48,77.17,-23.21,0.0
2.0,1.0,353.86,34.43,-19.79,34.82,-41.16,-7.87,3.63,19.5,2.12,-220.81,-103.7,69.62,-36.23,-73.78,9.41,42.96,-1.65,35.47,2.53,1.0
2.0,1.0,-123.97,35.94,-9.68,81.22,-43.99,-56.15,19.95,1.11,0.53,-4.25,9.84,1.15,-52.43,-12.04,-0.38,24.08,4.23,-80.89,-19.02,0.0
0.0,1.0,296.82,191.79,41.44,-120.09,-29.11,160.52,37.59,9.43,-1.23,48.58,87.22,-9.19,-74.19,-564.14,21.18,-61.86,19.95,38.14,-0.06,2.0
2.0,0.0,-178.04,-16.71,37.17,35.37,-63.28,-119.12,50.19,47.76,2.76,206.63,16.57,32.57,34.52,-70.95,4.72,-131.44,-29.57,-78.77,4.06,0.0
1.0,1.0,62.63,58.61,32.54,37.47,-58.77,58.08,33.78,-27.05,-2.88,-10.14,128.75,-13.99,93.03,-190.31,-3.98,69.56,88.6,-83.89,16.83,1.0
1.0,1.0,-48.85,114.15,-15.44,-87.85,-57.68,79.38,36.37,9.02,-1.65,152.23,-7.84,-32.64,151.05,-231.18,-3.99,-50.06,-42.24,124.74,18.06,2.0
2.0,2.0,290.39,-85.5,-59.54,-91.42,53.65,-84.4,50.89,38.22,0.99,-108.72,5.33,-4.66,-149.44,-471.46,-1.59,-21.3,21.1,-140.23,16.6,1.0
0.0,1.0,177.84,53.31,-54.5,50.41,26.34,-106.73,31.02,20.92,-5.36,-130.22,-15.29,20.66,15.55,-132.35,13.13,-114.65,5.45,-44.63,-64.96,1.0
2.0,1.0,71.27,114.76,25.9,-185.78,-53.72,195.66,13.6,8.73,3.0,150.54,-57.54,-26.97,97.36,-360.18,1.03,67.0,-5.97,-31.75,-18.0,2.0
1.0,1.0,-307.35,-33.1,-100.77,-50.62,19.59,135.71,-7.77,26.94,-0.69,293.09,8.85,14.87,173.43,-12.21,6.36,-116.98,-52.7,-29.22,2.88,2.0
2.0,2.0,-304.13,192.46,-15.82,73.16,-54.42,55.84,-24.56,36.66,-8.2,-186.78,112.65,14.17,-59.89,229.46,3.11,-31.97,26.27,-199.7,1.49,0.0
1.0,1.0,254.44,159.35,-8.94,79.76,15.42,-139.86,6.48,47.68,1.88,-43.62,-184.77,-24.38,18.15,-268.95,-0.87,-8.76,-3.17,18.13,4.39,2.0
2.0,1.0,-228.4,21.68,26.81,-63.16,1.1,-98.37,0.11,8.96,1.59,88.33,-131.61,17.73,-10.57,112.29,7.41,55.92,66.62,26.35,-26.79,1.0
1.0,1.0,10.38,82.12,-55.45,-28.24,11.89,-12.64,-17.16,-76.84,5.49,46.69,-173.24,10.92,98.91,-56.33,0.72,-6.54,7.41,-114.75,-6.47,0.0
2.0,2.0,331.88,39.54,64.71,125.21,19.05,15.17,44.56,47.65,3.86,53.85,129.28,-33.56,25.69,-603.57,-2.58,111.37,-8.29,141.82,8.59,1.0
1.0,2.0,22.16,-1.01,-39.05,-20.29,68.8,1.28,-20.57,-7.43,5.94,21.14,-45.55,-39.61,-5.02,-54.11,-1.6,15.04,-18.32,54.52,1.85,0.0
1.0,2.0,-97.62,44.82,5.65,32.13,81.14,-117.31,8.09,26.63,2.94,166.84,42.06,57.85,177.8,-236.83,3.82,-27.34,27.33,-71.3,-5.91,2.0
1.0,1.0,282.1,33.79,-19.82,-164.18,17.01,101.17,-5.27,20.45,-1.32,256.4,89.23,-30.27,153.75,-418.7,10.55,64.07,-51.28,-31.61,19.14,0.0
2.0,1.0,0.77,-8.68,-18.08,-161.62,12.9,129.48,-32.9,15.65,0.1,82.31,111.39,-45.16,-247.07,46.84,-16.65,-72.41,-4.03,92.93,-12.56,0.0
1.0,1.0,-90.05,134.24,-61.15,131.59,-25.61,124.48,37.58,42.36,3.97,97.06,141.09,-22.31,52.6,-243.15,9.7,82.91,15.09,61.51,11.31,2.0
3.0,1.0,546.37,-61.37,46.43,-83.77,-47.4,-21.31,-21.15,-1.11,-0.0,-278.65,47.41,37.04,-183.55,45.37,-12.76,23.82,18.18,105.47,-13.34,1.0
1.0,0.0,-54.92,-85.13,-17.19,5.98,-25.06,-152.98,64.83,58.05,0.47,314.27,-24.7,-48.83,-118.22,-212.6,-1.28,-108.06,-59.89,-57.07,-32.76,0.0
0.0,1.0,-0.38,142.82,-0.97,88.71,2.19,81.29,-17.31,-62.36,-1.13,88.17,-164.29,-37.67,137.46,-60.82,-16.32,5.49,-40.95,63.98,-12.05,0.0
1.0,1.0,137.16,4.07,69.76,49.93,56.04,-36.54,12.73,34.36,5.01,192.21,46.33,28.04,178.62,-327.45,2.42,54.23,61.82,-88.91,14.78,2.0
1.0,1.0,-79.21,-10.65,-87.99,-169.96,48.84,-160.61,-70.48,-61.9,-3.88,-16.21,136.25,42.55,224.29,503.39,-9.2,21.9,5.37,-36.57,37.53,0.0
2.0,2.0,-311.07,59.59,40.04,-2.99,-44.58,-24.65,36.52,-45.9,2.82,-84.32,-178.52,31.03,101.34,17.39,17.32,-63.38,-7.37,-43.78,33.09,2.0
2.0,2.0,260.27,111.32,8.83,13.59,9.28,-20.98,28.96,64.51,-8.03,232.24,-32.07,45.6,80.14,-674.96,1.7,-16.06,-10.44,-78.06,-0.51,1.0
2.0,1.0,102.82,-26.5,40.67,-5.57,-58.5,-27.63,25.11,29.81,0.52,-281.7,19.18,57.23,-78.29,121.21,4.15,126.87,-21.87,-19.22,-3.07,1.0
2.0,1.0,295.13,-4.45,-16.14,-193.36,-20.52,29.85,45.63,39.36,1.17,170.23,90.46,5.34,63.42,-567.95,-16.68,63.68,-22.19,85.23,-19.68,1.0
1.0,1.0,140.82,20.02,-56.1,-27.43,47.23,23.6,-26.66,-18.12,-2.09,122.58,-110.58,9.36,78.51,-161.45,9.2,4.74,-18.77,-101.91,22.23,0.0
2.0,1.0,368.86,37.63,31.23,-21.09,-74.24,33.52,32.23,-9.34,-1.83,-271.4,40.71,-75.56,-12.52,-178.53,-5.47,-11.14,13.59,-15.19,2.98,1.0
1.0,2.0,105.29,146.36,28.67,21.5,102.09,-58.42,18.54,134.71,-2.19,144.62,113.68,12.23,-38.23,-474.4,-3.44,8.94,-10.73,-41.55,0.18,2.0
1.0,1.0,-442.11,94.36,30.14,34.4,9.72,-73.06,-15.65,50.85,1.25,181.71,115.27,85.65,-34.35,222.22,-10.5,-124.35,-50.56,56.83,-6.11,0.0
2.0,2.0,338.85,72.06,-24.77,-89.02,34.69,45.83,2.2,-21.82,4.0,284.7,94.56,9.18,359.66,-653.96,-2.72,-56.13,-39.39,134.53,-11.87,0.0
1.0,2.0,170.99,15.73,-52.81,135.71,51.96,8.74,-41.97,-27.84,-8.86,-32.19,38.61,-22.21,129.19,-22.48,-0.39,-52.42,16.78,70.24,-6.95,0.0
1.0,1.0,128.43,95.66,4.02,35.18,-5.31,-4.5,-10.49,-63.94,0.8,108.58,-0.08,-33.43,288.41,-116.3,7.04,91.67,20.18,154.89,26.38,0.0
2.0,2.0,-245.53,-136.96,3.73,-30.34,42.66,-51.8,27.84,55.63,-1.25,-102.39,19.13,-9.83,44.42,65.65,-24.08,-62.16,-0.41,-122.29,23.96,1.0
2.0,1.0,58.33,-20.21,-25.78,71.58,-74.37,-78.5,57.38,39.78,0.86,69.73,130.28,7.14,-49.42,-246.41,-11.6,67.56,-16.13,96.34,-26.73,0.0
1.0,1.0,159.66,97.62,1.22,-58.47,-14.78,43.17,26.57,52.19,1.79,-133.34,46.81,20.55,114.24,-191.07,-20.62,60.54,-9.17,137.52,-0.43,2.0
2.0,1.0,312.79,61.4,24.72,127.71,-65.37,8.42,-13.14,-11.26,-1.56,-302.18,20.67,-4.7,-89.92,140.79,-4.18,64.25,-17.55,165.66,11.75,1.0
2.0,1.0,-94.77,106.74,20.43,130.46,-22.01,44.5,6.27,13.21,-12.45,185.69,6.96,-63.3,147.58,-258.46,14.21,-10.81,32.57,29.92,32.5,1.0
1.0,2.0,-611.46,-63.78,-42.55,29.13,16.4,-43.6,36.06,-87.31,-8.92,-32.4,-67.46,67.03,277.27,210.65,-10.89,35.03,-12.65,46.25,5.32,2.0
2.0,1.0,-20.71,119.12,-53.01,58.14,-94.92,118.04,26.35,-8.33,3.07,209.95,115.55,-31.29,170.95,-265.24,-3.63,13.05,-12.33,-19.08,12.25,2.0
1.0,1.0,147.04,66.83,-27.72,136.36,-5.66,-83.56,44.41,40.04,-5.39,-316.08,-101.74,15.11,-19.91,-85.83,15.33,81.51,14.42,-64.18,16.74,1.0
1.0,2.0,249.2,12.06,-24.52,73.38,5.16,5.94,46.0,-25.17,3.64,37.86,-134.1,7.37,143.76,-470.08,9.59,-20.23,-14.64,-105.06,7.67,1.0
1.0,2.0,182.12,117.54,53.87,7.17,48.02,120.21,-26.88,-56.53,-6.63,279.52,-43.33,7.25,74.4,-532.01,-12.25,-144.7,-37.88,8.35,19.68,0.0
2.0,1.0,-123.87,89.18,17.9,-75.46,-11.87,-158.28,25.82,25.72,-0.68,-1.02,-7.53,-45.67,-116.31,-64.4,10.55,-38.09,-27.62,91.93,-35.28,0.0
1.0,2.0,243.74,-67.59,-27.75,75.41,95.53,-164.63,32.35,60.83,3.12,19.98,-23.09,-31.72,-47.89,-389.29,3.9,60.73,-1.2,137.15,22.81,1.0
2.0,1.0,259.11,-98.36,-18.07,61.82,59.13,-212.34,79.89,108.78,-1.7,185.58,74.76,-35.86,-12.86,-619.04,-4.49,-32.64,-48.63,-23.97,-26.94,1.0
1.0,1.0,123.27,64.45,35.44,135.78,33.6,124.31,-25.72,-6.98,-0.63,81.77,54.94,22.94,0.88,-149.65,3.74,67.2,-5.82,-109.48,4.28,0.0
1.0,2.0,262.72,126.74,66.6,82.58,104.73,-72.06,14.3,72.35,3.11,110.73,162.52,-32.66,134.4,-678.26,3.23,-35.1,37.5,-100.52,-24.26,1.0
1.0,1.0,-323.75,-152.8,-27.71,219.0,43.56,-12.19,9.73,69.79,-4.47,212.21,26.86,-31.72,146.18,197.57,-11.24,-27.42,-14.38,-63.14,-14.67,2.0
2.0,2.0,331.73,-58.42,42.45,52.86,85.44,37.06,22.5,31.55,-2.5,132.15,-5.65,18.88,89.2,-626.9,-5.76,-14.71,12.96,-113.85,-5.55,1.0
2.0,0.0,-234.95,128.06,28.05,87.04,-151.1,-17.17,50.32,-0.13,-0.27,102.58,-1.83,58.08,278.93,-24.06,-7.52,-50.95,50.88,1.38,-31.08,2.0
1.0,2.0,226.42,165.72,28.8,100.3,4.11,-11.5,55.42,73.5,0.55,-64.76,54.4,-23.41,-41.88,-558.96,-3.77,168.86,-10.03,70.68,-27.75,1.0
3.0,2.0,-13.43,39.07,17.2,-133.81,39.2,2.29,-8.91,30.32,-0.1,459.45,-66.49,35.71,246.62,-524.5,-7.98,53.29,25.1,157.55,28.72,1.0
1.0,1.0,286.03,58.97,-17.56,44.68,-18.14,170.19,29.46,25.59,-5.31,46.36,-105.94,28.14,-84.92,-380.56,-7.07,41.82,-22.6,-11.2,-4.27,2.0
0.0,2.0,-153.22,96.88,-17.84,2.78,181.58,-312.33,-8.29,35.52,5.19,300.77,173.04,-15.37,70.55,-308.07,-12.88,-19.96,-29.34,118.52,-38.23,2.0
1.0,1.0,201.17,32.75,3.09,19.78,-9.77,-77.71,97.76,34.52,-0.65,-12.4,30.56,43.3,61.98,-592.18,14.21,62.61,-27.43,-12.4,65.59,1.0
1.0,2.0,-564.45,-29.21,-15.75,-16.45,63.03,-209.03,46.27,-29.43,-3.27,196.44,24.74,-21.22,225.8,-39.71,8.73,-45.65,12.03,90.07,-10.48,2.0
2.0,1.0,-360.69,-146.66,-87.74,-42.59,-4.63,54.96,-1.52,29.26,2.37,304.74,121.78,8.41,239.81,210.87,-0.64,5.75,-19.94,-16.26,-6.26,2.0
2.0,1.0,-39.46,-3.1,-10.49,24.49,-79.81,24.66,37.5,-7.87,-8.84,-307.41,-115.09,-22.18,81.36,180.26,-4.25,50.94,2.43,-54.68,1.08,1.0
1.0,1.0,60.64,13.61,-62.51,-47.52,16.07,104.33,21.43,26.99,4.18,169.97,88.79,37.47,85.31,-245.23,7.43,-124.67,-19.83,-158.94,-15.37,2.0
1.0,2.0,252.07,-10.45,-26.7,-57.51,78.35,-77.84,37.73,19.5,6.25,-109.88,-61.52,-40.16,-150.14,-459.09,1.39,-82.19,24.43,115.97,-11.12,1.0
2.0,1.0,-311.9,34.93,14.44,70.67,-65.16,13.47,40.16,8.77,-6.11,238.99,-102.66,-44.08,54.9,-145.58,11.4,-102.29,-33.58,-39.44,32.68,0.0
1.0,1.0,167.21,67.34,-23.81,2.7,36.35,46.03,-7.74,-33.18,-9.88,247.75,-31.86,60.15,70.03,-375.79,-7.86,-35.4,51.63,143.34,-0.91,0.0
1.0,2.0,290.9,110.44,-8.82,102.37,46.7,189.89,-14.64,-10.73,2.82,211.6,35.49,-10.7,87.05,-561.46,-6.37,72.93,-12.3,117.46,3.7,0.0
1.0,2.0,99.01,21.6,4.13,92.11,86.96,32.88,-42.53,1.87,-2.14,214.05,67.63,26.03,121.83,-176.37,-14.75,-160.38,73.2,12.91,40.66,0.0
1.0,2.0,222.84,31.8,-73.77,-62.89,76.07,66.51,-15.13,-3.25,4.69,247.75,25.95,-41.08,91.88,-501.68,4.03,17.49,-4.66,-71.08,10.26,0.0
2.0,1.0,7.02,155.74,22.36,-6.27,-59.47,135.14,9.85,-3.96,-5.44,2.76,-175.41,6.01,113.47,-209.54,-2.0,-25.26,-9.73,-22.7,21.87,1.0
1.0,2.0,216.93,146.07,-78.93,-62.8,21.16,-55.14,6.3,12.82,7.82,-49.72,20.88,29.79,43.09,-299.51,-13.47,-70.1,-9.61,97.25,0.68,2.0
1.0,1.0,-338.7,121.18,7.15,89.87,-38.41,81.75,20.3,24.16,1.5,236.39,95.3,-15.89,176.48,-80.07,-4.79,60.31,-14.48,54.37,1.42,2.0
1.0,1.0,95.64,88.41,-5.85,58.5,11.21,97.6,15.33,37.01,2.11,-3.89,39.43,-45.43,-63.82,-232.79,8.56,-105.46,-14.9,-140.86,-12.18,2.0
2.0,1.0,425.42,-49.52,-68.51,-10.46,-9.67,-152.19,91.71,75.17,-2.25,-175.52,39.81,46.55,-43.24,-500.34,2.22,76.14,-26.7,-6.63,-11.12,1.0
0.0,2.0,28.26,114.85,115.44,18.31,129.24,-219.53,11.15,13.32,-13.01,207.51,66.74,-32.98,97.94,-432.81,-3.06,50.02,-14.64,12.25,-8.76,2.0
1.0,1.0,139.8,106.23,-12.49,120.88,40.96,41.47,-38.61,-58.58,5.04,301.59,-7.92,-9.08,217.63,-292.28,-0.93,18.81,18.4,-52.33,14.08,0.0
0.0,2.0,-50.79,174.47,-23.1,159.78,133.42,-175.06,3.91,94.88,5.04,122.35,15.04,-48.97,-65.75,-336.83,-3.19,18.12,-53.25,-93.09,17.17,2.0
2.0,1.0,-186.41,200.3,-5.93,98.73,-63.74,175.51,11.31,56.67,7.46,82.94,33.94,-7.85,3.22,-233.68,-10.75,-92.66,-34.63,-101.51,-9.14,1.0
2.0,1.0,303.08,34.68,5.98,76.32,-66.12,-12.82,29.53,14.02,3.44,-230.68,-29.07,-12.56,0.28,-78.93,-6.75,131.64,9.81,-27.76,-29.46,1.0
